Symbol,Date,Close,High,Low,Open,Volume
KSU,2006-01-02,24.43,24.64,24.22,24.55,0
KSU,2006-01-03,24.44,24.76,23.76,24.67,1100600
KSU,2006-01-04,24.77,24.78,24.51,24.6,1341100
KSU,2006-01-05,25.05,25.24,24.88,24.88,930500
KSU,2006-01-06,25.04,25.5,24.5,25.5,707300
KSU,2006-01-09,25.5,25.82,25.15,25.17,604100
KSU,2006-01-10,25.85,25.91,25.3,25.5,598900
KSU,2006-01-11,25.6,25.94,25.43,25.85,329400
KSU,2006-01-12,25.21,25.78,25.16,25.42,505200
KSU,2006-01-13,25.42,25.6,25.29,25.29,219100
KSU,2006-01-16,25.42,25.6,25.29,25.29,0
KSU,2006-01-17,25.46,25.53,24.99,25.2,390200
KSU,2006-01-18,25.54,25.66,25.18,25.3,407000
KSU,2006-01-19,26.17,26.23,25.61,25.79,535500
KSU,2006-01-20,25.35,26.19,25.29,26.19,588900
KSU,2006-01-23,25.66,25.72,25.3,25.36,528200
KSU,2006-01-24,25.56,26.1,25.21,25.79,1198900
KSU,2006-01-25,25.32,26.05,25.11,25.76,1664600
KSU,2006-01-26,26.04,26.07,25.39,25.6,504299
KSU,2006-01-27,25.77,26.08,25.56,26.04,459700
KSU,2006-01-30,25.94,26.03,25.72,25.77,982300
KSU,2006-01-31,25.98,26.09,25.55,25.9,989000
KSU,2006-02-01,25.39,25.98,25.34,25.8,1005500
KSU,2006-02-02,24.6,25.28,24.47,25.06,1652200
KSU,2006-02-03,24.5,24.82,24.17,24.5,720700
KSU,2006-02-06,24.73,24.99,24.5,24.5,694000
KSU,2006-02-07,24.12,24.75,23.95,24.61,661400
KSU,2006-02-08,24.12,24.3,23.89,24.1,324200
KSU,2006-02-09,23.69,24.2,23.591,24.15,424900
KSU,2006-02-10,23.5,23.64,23.06,23.23,1233500
KSU,2006-02-13,23.8,23.99,23.55,23.69,764000
KSU,2006-02-14,24.11,24.26,23.41,23.85,468100
KSU,2006-02-15,24.47,24.48,23.81,24.05,293200
KSU,2006-02-16,24.24,24.6,23.91,24.6,391700
KSU,2006-02-17,24.38,24.4,23.98,24.24,575900
KSU,2006-02-20,24.38,24.4,23.98,24.24,0
KSU,2006-02-21,23.9,24.5,23.72,24.36,977400
KSU,2006-02-22,24.14,24.3,23.84,24.02,507700
KSU,2006-02-23,23.66,24.15,23.6,24.14,274000
KSU,2006-02-24,23.66,23.87,23.44,23.58,326400
KSU,2006-02-27,23.71,23.95,23.7,23.7,497200
KSU,2006-02-28,23.17,23.71,23.11,23.65,440000
KSU,2006-03-01,23.89,24.03,23.11,23.23,499800
KSU,2006-03-02,23.35,23.98,23.3,23.89,692700
KSU,2006-03-03,23.56,23.59,23.0,23.36,723200
KSU,2006-03-06,22.96,23.55,22.8,22.89,462000
KSU,2006-03-07,22.61,22.8,22.5,22.8,747900
KSU,2006-03-08,22.32,22.58,21.85,22.57,819800
KSU,2006-03-09,22.5,22.8,22.27,22.34,535100
KSU,2006-03-10,22.86,22.92,22.11,22.54,388700
KSU,2006-03-13,22.72,23.14,22.57,22.93,461300
KSU,2006-03-14,22.95,23.01,22.5,22.74,238400
KSU,2006-03-15,24.4,24.47,23.6,24.0,1144000
KSU,2006-03-16,24.16,24.48,23.97,24.42,561300
KSU,2006-03-17,23.78,24.28,23.64,24.28,786400
KSU,2006-03-20,23.59,23.99,23.16,23.78,629000
KSU,2006-03-21,23.5,24.44,23.49,23.59,1828900
KSU,2006-03-22,24.15,24.34,23.4,23.5,442500
KSU,2006-03-23,23.86,24.15,23.53,24.15,388300
KSU,2006-03-24,24.5,24.52,23.75,23.88,608000
KSU,2006-03-27,24.18,24.5,24.08,24.5,211100
KSU,2006-03-28,23.78,24.2,23.65,24.17,265600
KSU,2006-03-29,24.06,24.28,23.58,24.28,449400
KSU,2006-03-30,24.03,24.03,23.7,24.0,420300
KSU,2006-03-31,24.7,24.89,24.0901,24.13,782700
KSU,2006-04-03,24.12,24.71,23.89,24.7,849400
KSU,2006-04-04,24.4,24.67,23.84,24.06,644200
KSU,2006-04-05,24.1,24.3401,23.66,24.2,1165800
KSU,2006-04-06,24.01,24.03,23.65,23.95,655800
KSU,2006-04-07,23.99,24.3,23.8401,24.13,645700
KSU,2006-04-10,24.06,24.31,23.66,24.31,461900
KSU,2006-04-11,23.69,24.08,23.63,24.06,645400
KSU,2006-04-12,23.46,23.75,23.39,23.64,472900
KSU,2006-04-13,23.85,23.92,23.12,23.46,750300
KSU,2006-04-14,23.85,23.92,23.12,23.46,0
KSU,2006-04-17,23.85,24.05,23.61,23.85,414100
KSU,2006-04-18,24.2,24.5,23.91,24.0,851300
KSU,2006-04-19,24.58,24.64,24.14,24.35,749000
KSU,2006-04-20,24.67,24.87,24.31,24.5,670100
KSU,2006-04-21,25.2,25.34,24.71,25.01,789500
KSU,2006-04-24,25.0,25.27,24.59,25.21,810800
KSU,2006-04-25,24.1,24.98,24.07,24.97,717400
KSU,2006-04-26,24.24,24.5,24.16,24.16,593300
KSU,2006-04-27,24.01,24.26,23.54,24.0,609300
KSU,2006-04-28,24.3,24.36,23.61,23.88,566900
KSU,2006-05-01,24.47,24.89,23.8,23.8,504700
KSU,2006-05-02,27.2,27.3,24.99,25.7,4575200
KSU,2006-05-03,27.25,27.58,26.66,27.0,2181200
KSU,2006-05-04,27.75,27.77,27.09,27.25,1228800
KSU,2006-05-05,27.44,28.42,27.36,27.96,763200
KSU,2006-05-08,27.12,27.37,26.93,27.2,608600
KSU,2006-05-09,27.14,27.37,27.08,27.2,496000
KSU,2006-05-10,27.44,27.7,26.84,27.04,848800
KSU,2006-05-11,26.9,27.45,26.8,27.45,925400
KSU,2006-05-12,26.52,27.16,26.39,26.85,906600
KSU,2006-05-15,26.14,26.73,25.63,26.51,1140400
KSU,2006-05-16,26.46,26.78,26.25,26.26,729400
KSU,2006-05-17,25.79,26.33,25.44,26.1,951600
KSU,2006-05-18,25.53,26.39,25.5,25.89,779400
KSU,2006-05-19,25.68,26.25,25.25,25.54,678300
KSU,2006-05-22,25.69,25.84,24.92,25.53,549200
KSU,2006-05-23,25.85,26.54,25.75,25.94,1332100
KSU,2006-05-24,26.1,26.65,25.69,25.88,1762900
KSU,2006-05-25,26.81,26.9,26.47,26.5,1058800
KSU,2006-05-26,27.69,28.03,27.12,28.0,1365000
KSU,2006-05-29,27.69,28.03,27.12,28.0,0
KSU,2006-05-30,26.71,27.7,26.71,27.7,551100
KSU,2006-05-31,26.53,27.07,26.2,26.85,1159900
KSU,2006-06-01,27.14,27.14,26.44,26.6,746400
KSU,2006-06-02,27.55,27.59,27.16,27.5,638400
KSU,2006-06-05,26.64,27.61,26.63,27.55,723600
KSU,2006-06-06,26.06,26.8,25.52,26.8,682400
KSU,2006-06-07,25.64,26.61,25.6,26.08,610300
KSU,2006-06-08,25.75,25.86,24.6,25.64,1052000
KSU,2006-06-09,25.4,26.4,25.19,26.03,494100
KSU,2006-06-12,25.01,25.54,24.92,25.5,595600
KSU,2006-06-13,25.47,25.47,24.9,24.9,1003500
KSU,2006-06-14,24.9,25.4,24.28,24.8,849600
KSU,2006-06-15,25.89,25.97,25.08,25.08,723600
KSU,2006-06-16,25.96,26.31,25.65,25.9,1412900
KSU,2006-06-19,25.46,26.1,25.23,26.07,898600
KSU,2006-06-20,24.96,25.8,24.9,25.48,631300
KSU,2006-06-21,25.69,25.74,24.85,24.91,621400
KSU,2006-06-22,25.42,25.64,24.89,25.53,523300
KSU,2006-06-23,25.48,25.83,25.0201,25.42,460000
KSU,2006-06-26,25.27,25.79,24.9,25.62,557100
KSU,2006-06-27,24.7,25.7,24.7,25.27,1178700
KSU,2006-06-28,24.99,25.0,24.28,24.81,899500
KSU,2006-06-29,26.25,26.49,25.04,25.15,1273000
KSU,2006-06-30,27.7,27.7,25.7,26.45,4299400
KSU,2006-07-03,26.95,27.3599,26.82,27.08,570900
