Symbol,Date,Close,High,Low,Open,Volume
L,2006-01-02,31.6167,31.6733,31.4833,31.63,0
L,2006-01-03,32.2433,32.2433,31.5333,31.7,1430400
L,2006-01-04,32.52,32.6933,32.3067,32.3267,1608600
L,2006-01-05,32.6467,32.7467,32.35,32.5667,1356300
L,2006-01-06,32.93,32.9833,32.61,32.6467,1016699
L,2006-01-09,32.89,33.0,32.7833,32.9333,619800
L,2006-01-10,33.1233,33.13,32.7967,32.8333,1287300
L,2006-01-11,33.2367,33.3733,32.9633,33.1833,1526400
L,2006-01-12,33.2767,33.54,33.1167,33.3033,1155300
L,2006-01-13,33.5867,33.69,33.41,33.45,1455900
L,2006-01-16,33.5867,33.69,33.41,33.45,0
L,2006-01-17,33.3967,33.56,33.3,33.4333,1273800
L,2006-01-18,33.1267,33.4,32.8967,33.4,1905900
L,2006-01-19,33.4,33.5767,33.1533,33.16,1669200
L,2006-01-20,33.0867,33.3833,33.0867,33.3333,2198700
L,2006-01-23,33.2533,33.3233,33.05,33.09,1434600
L,2006-01-24,32.9733,33.3733,32.92,33.3167,1483200
L,2006-01-25,32.65,33.15,32.5,33.0233,1621200
L,2006-01-26,33.4267,33.4433,32.7667,32.7833,2141400
L,2006-01-27,33.1567,33.47,33.1567,33.3266,1118700
L,2006-01-30,33.04,33.3167,32.9667,32.9667,1280100
L,2006-01-31,32.8967,33.1167,32.8667,32.9333,1342800
L,2006-02-01,32.8,33.08,32.7467,32.8333,1952100
L,2006-02-02,32.6533,32.8267,32.5033,32.8,1023900
L,2006-02-03,32.51,32.6667,32.3333,32.4,1305900
L,2006-02-06,32.2933,32.5867,32.1767,32.3833,1422600
L,2006-02-07,31.8033,32.2867,31.79,32.2834,1807800
L,2006-02-08,31.9067,32.0067,31.6167,31.6667,1760100
L,2006-02-09,31.5767,32.0067,31.5767,31.89,2076299
L,2006-02-10,31.95,32.1167,31.58,31.58,2134500
L,2006-02-13,31.9067,31.9933,31.6833,31.9633,1819800
L,2006-02-14,32.04,32.1667,31.77,31.9733,1829400
L,2006-02-15,31.6833,32.0333,31.4033,31.9667,2374800
L,2006-02-16,32.0,32.0367,31.1667,31.1667,1947900
L,2006-02-17,31.81,32.0333,31.7333,31.9,1868700
L,2006-02-20,31.81,32.0333,31.7333,31.9,0
L,2006-02-21,31.6367,31.95,31.57,31.81,2304300
L,2006-02-22,31.6,31.7967,31.5633,31.72,2644500
L,2006-02-23,31.7667,31.9033,31.448,31.5833,1580400
L,2006-02-24,31.1167,31.7,31.0967,31.7,5340000
L,2006-02-27,30.84,31.19,30.7367,31.1,6582000
L,2006-02-28,30.7533,30.8567,30.42,30.8333,3434700
L,2006-03-01,31.33,31.4,30.9333,30.9333,3923100
L,2006-03-02,31.54,31.58,31.2667,31.3333,3622200
L,2006-03-03,31.53,31.68,31.4633,31.5333,2567400
L,2006-03-06,31.2967,31.5133,31.21,31.5133,1480200
L,2006-03-07,31.0167,31.2767,30.9133,31.1467,1658700
L,2006-03-08,31.37,31.4533,30.9167,31.06,2592000
L,2006-03-09,31.5533,31.7,31.4033,31.4033,1766400
L,2006-03-10,31.68,31.8333,31.5333,31.5533,2078100
L,2006-03-13,32.0733,32.25,31.6333,31.68,3320100
L,2006-03-14,32.7767,32.87,32.0733,32.1333,2376900
L,2006-03-15,32.97,33.04,32.5133,32.78,1941000
L,2006-03-16,33.32,33.3933,32.96,33.0533,1733700
L,2006-03-17,33.35,33.55,33.04,33.55,2864700
L,2006-03-20,32.9867,33.4167,32.9167,33.3533,2511900
L,2006-03-21,33.1267,33.5,32.88,33.1367,2101500
L,2006-03-22,33.2867,33.36,32.82,32.82,1811700
L,2006-03-23,33.3067,33.4667,33.2,33.25,2304300
L,2006-03-24,33.53,33.7367,33.3333,33.3333,1635000
L,2006-03-27,33.56,33.6267,33.3167,33.5933,1002300
L,2006-03-28,33.7667,33.9133,33.4333,33.6667,2314200
L,2006-03-29,34.26,34.3,33.8167,33.8167,1584600
L,2006-03-30,34.1467,34.3767,33.9766,34.21,1128300
L,2006-03-31,33.7333,34.13,33.6167,34.1133,2120100
L,2006-04-03,34.0,34.7033,33.9067,33.9333,3554400
L,2006-04-04,34.09,34.1633,33.55,33.95,1744200
L,2006-04-05,34.3267,34.4167,34.0867,34.09,1530300
L,2006-04-06,33.95,34.3767,33.94,34.36,1377900
L,2006-04-07,33.3267,34.0667,33.31,34.0167,1563600
L,2006-04-10,33.6433,33.7933,33.4933,33.4933,1409100
L,2006-04-11,33.2433,33.8333,33.1167,33.7167,1519800
L,2006-04-12,33.4533,34.3167,33.41,33.6433,2259600
L,2006-04-13,33.2367,33.4533,33.1333,33.4533,1367100
L,2006-04-14,33.2367,33.4533,33.1333,33.4533,0
L,2006-04-17,33.6533,33.6733,33.3067,33.32,1167000
L,2006-04-18,34.0767,34.1633,33.5667,33.6533,1126500
L,2006-04-19,34.6267,34.6267,34.09,34.1267,1546800
L,2006-04-20,34.5767,34.7833,34.13,34.4567,1469100
L,2006-04-21,34.7367,34.89,34.4834,34.8,1262100
L,2006-04-24,34.7233,34.8667,34.3867,34.8667,1417200
L,2006-04-25,34.4033,34.8767,34.2533,34.7467,1497900
L,2006-04-26,34.5933,34.88,34.4167,34.4167,1182300
