Symbol,Date,Close,High,Low,Open,Volume
LB,2006-01-02,22.35,22.72,22.26,22.36,0
LB,2006-01-03,22.3,22.382,21.62,22.37,2305900
LB,2006-01-04,22.05,22.43,21.77,22.43,2150500
LB,2006-01-05,22.69,22.94,21.93,21.93,3328400
LB,2006-01-06,22.84,22.98,22.53,22.95,1867900
LB,2006-01-09,22.98,23.17,22.77,22.81,2206900
LB,2006-01-10,22.92,23.0,22.72,22.78,1807300
LB,2006-01-11,23.45,23.49,22.82,22.85,1538800
LB,2006-01-12,23.03,23.54,22.92,23.45,1363500
LB,2006-01-13,22.84,23.3,22.82,23.08,1077000
LB,2006-01-16,22.84,23.3,22.82,23.08,0
LB,2006-01-17,22.17,22.72,22.14,22.63,1858100
LB,2006-01-18,22.3402,22.73,22.11,22.29,2332300
LB,2006-01-19,22.55,22.72,22.4,22.53,1153900
LB,2006-01-20,22.38,22.76,22.3,22.75,1890400
LB,2006-01-23,22.39,22.74,22.35,22.4,1193200
LB,2006-01-24,23.01,23.18,22.45,22.45,2416300
LB,2006-01-25,23.3,23.36,22.92,23.01,1783700
LB,2006-01-26,23.26,23.85,23.12,23.7,1961700
LB,2006-01-27,23.02,23.46,22.96,23.2,1453300
LB,2006-01-30,23.21,23.38,22.98,23.01,1434800
LB,2006-01-31,23.66,23.7,23.1,23.1,1864600
LB,2006-02-01,23.22,23.46,22.99,23.2,2049700
LB,2006-02-02,23.4,23.47,23.15,23.25,3104900
LB,2006-02-03,23.16,23.4,22.85,23.2,2871400
LB,2006-02-06,23.11,23.16,22.94,23.1,1927500
LB,2006-02-07,23.05,23.32,23.01,23.12,1456400
LB,2006-02-08,23.3,23.38,23.0,23.05,1996900
LB,2006-02-09,23.57,23.67,23.3,23.38,2042199
LB,2006-02-10,23.59,23.72,23.36,23.47,1735800
LB,2006-02-13,23.84,23.91,23.48,23.53,1588200
LB,2006-02-14,23.81,23.97,23.63,23.92,2010700
LB,2006-02-15,24.03,24.06,23.58,23.71,1507800
LB,2006-02-16,23.83,24.11,23.74,24.0,1693500
LB,2006-02-17,23.55,23.81,23.41,23.75,2056500
LB,2006-02-20,23.55,23.81,23.41,23.75,0
