Symbol,Date,Close,High,Low,Open,Volume
LEG,2006-01-02,22.96,23.29,22.85,23.23,0
LEG,2006-01-03,24.15,24.15,23.16,23.16,1255400
LEG,2006-01-04,24.22,24.5,23.99,24.15,1187600
LEG,2006-01-05,23.95,24.31,23.58,24.09,1008599
LEG,2006-01-06,24.0,24.1,23.6,24.0,1410800
LEG,2006-01-09,24.27,24.32,23.8,23.88,1434500
LEG,2006-01-10,24.11,24.27,23.98,24.22,627900
LEG,2006-01-11,24.13,24.44,24.086,24.22,785700
LEG,2006-01-12,24.08,24.35,23.42,23.46,890100
LEG,2006-01-13,23.99,24.24,23.89,24.19,755500
LEG,2006-01-16,23.99,24.24,23.89,24.19,0
LEG,2006-01-17,23.5,23.99,23.27,23.99,1063800
LEG,2006-01-18,23.65,23.8,23.35,23.5,978900
LEG,2006-01-19,23.8,23.87,23.65,23.67,716000
LEG,2006-01-20,23.12,23.87,23.1,23.8,863500
LEG,2006-01-23,23.3,23.5,23.22,23.26,591200
LEG,2006-01-24,23.45,23.5,23.08,23.32,838000
LEG,2006-01-25,23.63,23.7,23.05,23.61,857900
LEG,2006-01-26,23.97,24.25,23.73,23.85,1305000
LEG,2006-01-27,24.78,25.09,24.21,24.25,1522100
LEG,2006-01-30,24.57,24.84,24.55,24.77,839300
LEG,2006-01-31,24.62,24.89,24.372,24.55,1422400
LEG,2006-02-01,24.77,24.81,24.41,24.69,840000
LEG,2006-02-02,24.42,24.71,24.35,24.64,892500
LEG,2006-02-03,24.16,24.31,24.01,24.24,764500
LEG,2006-02-06,24.21,24.29,23.94,24.15,695400
LEG,2006-02-07,24.16,24.21,24.01,24.21,658900
LEG,2006-02-08,24.38,24.4,24.16,24.33,574500
LEG,2006-02-09,24.26,24.51,24.2,24.38,636400
LEG,2006-02-10,24.21,24.32,23.95,24.24,580600
LEG,2006-02-13,24.04,24.29,23.93,24.19,520700
LEG,2006-02-14,24.47,24.54,24.0,24.06,408400
LEG,2006-02-15,24.56,24.65,24.14,24.4,425200
LEG,2006-02-16,24.34,24.7,24.28,24.57,691200
LEG,2006-02-17,24.29,24.52,24.25,24.34,396600
LEG,2006-02-20,24.29,24.52,24.25,24.34,0
LEG,2006-02-21,24.02,24.28,23.95,24.27,697900
LEG,2006-02-22,24.07,24.28,24.0,24.15,728800
LEG,2006-02-23,23.88,24.17,23.87,24.07,712600
LEG,2006-02-24,23.9,24.03,23.79,23.92,442700
LEG,2006-02-27,24.01,24.08,23.88,24.04,458500
LEG,2006-02-28,23.48,23.92,23.43,23.9,1283400
LEG,2006-03-01,23.89,23.94,23.529,23.66,701500
LEG,2006-03-02,23.79,23.83,23.55,23.72,596700
LEG,2006-03-03,23.85,24.0,23.61,23.64,546200
LEG,2006-03-06,23.35,23.93,23.24,23.83,625200
LEG,2006-03-07,23.44,23.48,23.18,23.4,459000
LEG,2006-03-08,23.66,23.83,23.3,23.42,519900
LEG,2006-03-09,23.57,23.72,23.48,23.66,331700
LEG,2006-03-10,23.78,23.83,23.56,23.65,450800
LEG,2006-03-13,23.88,23.95,23.7,23.82,528100
LEG,2006-03-14,24.18,24.22,23.56,23.88,938100
LEG,2006-03-15,24.15,24.28,24.09,24.11,565000
LEG,2006-03-16,24.57,24.61,24.15,24.23,452800
LEG,2006-03-17,24.78,24.82,24.56,24.7,738400
LEG,2006-03-20,24.91,24.95,24.8,24.8,572900
LEG,2006-03-21,24.91,25.1,24.76,24.96,545900
LEG,2006-03-22,24.96,25.01,24.83,24.93,593100
LEG,2006-03-23,24.93,25.14,24.84,24.99,400100
LEG,2006-03-24,25.07,25.08,24.68,24.95,376200
LEG,2006-03-27,24.98,25.0,24.75,24.96,287700
LEG,2006-03-28,24.79,24.91,24.51,24.9,564100
LEG,2006-03-29,24.85,24.99,24.69,24.71,660200
LEG,2006-03-30,24.57,24.94,24.41,24.79,470500
LEG,2006-03-31,24.37,24.595,24.21,24.53,602200
LEG,2006-04-03,24.09,24.52,24.09,24.26,598500
LEG,2006-04-04,24.39,24.51,24.0,24.15,400100
LEG,2006-04-05,24.5,24.58,24.28,24.39,310900
LEG,2006-04-06,24.25,24.47,24.02,24.47,218300
