Symbol,Date,Close,High,Low,Open,Volume
LEN,2006-01-02,59.8235,60.1667,59.4412,59.8529,0
LEN,2006-01-03,61.5392,61.7647,59.0882,59.9902,2642004
LEN,2006-01-04,60.8627,61.3529,60.3333,61.3529,1922598
LEN,2006-01-05,61.6765,62.3137,60.5784,60.8627,1606908
LEN,2006-01-06,61.3922,61.5098,60.6961,61.0784,1759194
LEN,2006-01-09,63.9608,64.5392,61.098,61.3922,2936784
LEN,2006-01-10,64.6176,65.1373,63.098,63.5784,1789794
LEN,2006-01-11,64.6569,64.902,64.049,64.6275,1491036
LEN,2006-01-12,63.951,64.4706,63.5784,64.4608,1905666
LEN,2006-01-13,62.7353,63.8824,62.3824,63.7255,2191368
LEN,2006-01-16,62.7353,63.8824,62.3824,63.7255,0
LEN,2006-01-17,62.1863,62.7451,61.7843,62.7353,1357314
LEN,2006-01-18,62.0294,62.6373,60.9902,61.9412,1581000
LEN,2006-01-19,61.3922,62.1078,61.0588,61.8627,1369248
LEN,2006-01-20,60.5392,61.9608,60.1275,61.9608,1768068
LEN,2006-01-23,60.0098,60.5392,59.7059,60.4412,1139034
LEN,2006-01-24,61.7059,62.6176,61.1176,61.4706,2657916
LEN,2006-01-25,60.2451,61.7157,59.7647,61.7059,2013684
LEN,2006-01-26,61.7059,61.7157,60.6863,61.1275,2061420
LEN,2006-01-27,62.098,63.0392,61.4314,61.4902,2348958
LEN,2006-01-30,61.7157,62.2647,61.3725,62.098,1121592
LEN,2006-01-31,61.3333,61.549,60.6373,61.5196,1579266
LEN,2006-02-01,60.3529,60.9608,59.902,60.9412,2136186
LEN,2006-02-02,59.1961,60.8627,59.098,60.3824,1969926
LEN,2006-02-03,59.6078,60.2451,57.9216,58.6667,2356914
LEN,2006-02-06,59.0294,59.8039,58.7255,59.6176,1223592
LEN,2006-02-07,56.7157,58.6569,56.5294,58.6471,3047352
LEN,2006-02-08,56.7549,56.8627,55.5196,56.6961,2408322
LEN,2006-02-09,56.5294,57.5196,56.402,56.5784,1290912
LEN,2006-02-10,55.9314,56.4314,55.0,56.4216,1554072
LEN,2006-02-13,55.3039,55.9902,55.049,55.9314,1214310
LEN,2006-02-14,56.1765,56.5196,54.1471,55.2941,2378844
LEN,2006-02-15,56.9216,57.5196,55.7549,56.0882,2262768
LEN,2006-02-16,57.6569,57.8431,56.5784,57.7451,2056524
LEN,2006-02-17,57.098,57.9902,56.7941,57.6569,1353948
LEN,2006-02-20,57.098,57.9902,56.7941,57.6569,0
LEN,2006-02-21,57.6471,58.2745,56.5196,57.6961,1457682
LEN,2006-02-22,59.8627,60.1471,57.4216,57.6471,2283984
LEN,2006-02-23,59.7353,60.3627,59.1833,59.7549,1868028
LEN,2006-02-24,59.5,59.7549,58.951,59.7353,990930
LEN,2006-02-27,59.2549,59.7255,58.4706,58.9118,1623738
LEN,2006-02-28,58.6863,59.7549,58.3333,59.1373,2084574
LEN,2006-03-01,58.0882,58.6569,57.598,58.3824,1699218
LEN,2006-03-02,58.1176,58.3824,57.1863,57.8922,2334780
LEN,2006-03-03,57.0882,58.1078,56.7843,57.8922,1869660
LEN,2006-03-06,56.1275,57.2059,55.8333,57.0882,2122008
LEN,2006-03-07,55.2647,56.1275,54.6275,56.1275,2033370
LEN,2006-03-08,55.3039,55.402,54.3333,54.951,2513790
LEN,2006-03-09,54.0882,55.6078,54.0393,55.3039,1916580
LEN,2006-03-10,55.2059,55.451,53.9804,54.0784,1400052
LEN,2006-03-13,55.6765,56.3922,55.5882,55.6863,1467678
LEN,2006-03-14,57.7059,57.8039,55.598,55.6863,2422704
LEN,2006-03-15,57.6765,57.8333,57.0686,57.7157,1942284
LEN,2006-03-16,58.7255,59.1176,57.8725,58.0882,2503590
LEN,2006-03-17,58.8333,59.8333,58.7451,59.0196,2012052
LEN,2006-03-20,57.6961,58.9314,57.5882,58.8333,1849362
LEN,2006-03-21,56.5098,57.6961,56.1765,57.6961,2267970
LEN,2006-03-22,56.0784,57.1078,55.951,56.5098,1438608
LEN,2006-03-23,58.2843,58.4608,56.1471,56.3333,3010428
LEN,2006-03-24,58.7451,58.8922,57.1078,58.2941,2393838
LEN,2006-03-27,59.1373,60.049,59.0098,59.3137,1773984
LEN,2006-03-28,59.8333,60.6667,59.2059,60.2353,4004622
LEN,2006-03-29,59.9118,60.3627,59.2059,59.5882,1871496
LEN,2006-03-30,59.3627,60.0392,58.7451,59.9118,2669748
LEN,2006-03-31,59.1961,59.6176,58.8431,59.3627,1407090
LEN,2006-04-03,58.2353,59.3137,58.1569,58.7745,1906176
LEN,2006-04-04,58.402,58.951,58.0784,58.2451,1314576
LEN,2006-04-05,61.0588,61.1569,58.5784,58.598,2369664
LEN,2006-04-06,60.0686,60.7353,59.8137,60.5392,1766334
LEN,2006-04-07,60.2059,60.5686,59.6275,60.0784,1706766
LEN,2006-04-10,59.7059,60.9314,59.5686,60.1961,1186362
LEN,2006-04-11,59.5882,60.6765,59.4804,60.049,1712886
LEN,2006-04-12,58.4804,59.5882,58.2843,59.5882,1699932
LEN,2006-04-13,58.1863,58.4314,57.5,58.2843,1714416
LEN,2006-04-14,58.1863,58.4314,57.5,58.2843,0
LEN,2006-04-17,56.6765,58.5098,56.4216,58.1863,2355486
