Symbol,Date,Close,High,Low,Open,Volume
LH,2006-01-02,53.85,54.06,53.4,53.68,0
LH,2006-01-03,53.68,53.81,52.58,53.8,913200
LH,2006-01-04,54.74,54.87,53.63,53.7,780300
LH,2006-01-05,54.89,55.11,54.48,54.74,730600
LH,2006-01-06,55.0,55.04,54.313,54.95,694300
LH,2006-01-09,54.98,55.0,54.45,55.0,691500
LH,2006-01-10,55.4,55.55,54.45,54.66,1203900
LH,2006-01-11,57.06,57.1,55.34,55.5,1860600
LH,2006-01-12,57.19,57.9,56.94,56.96,1516400
LH,2006-01-13,56.93,58.14,56.461,57.2,804200
LH,2006-01-16,56.93,58.14,56.461,57.2,0
LH,2006-01-17,56.85,56.949,56.45,56.51,665900
LH,2006-01-18,56.97,57.49,56.85,56.86,1088900
LH,2006-01-19,57.39,57.67,56.79,57.09,947500
LH,2006-01-20,56.71,57.39,56.46,57.39,527700
LH,2006-01-23,56.4,57.1,56.11,56.95,675200
LH,2006-01-24,57.05,57.16,56.35,56.35,836000
LH,2006-01-25,56.81,57.23,56.53,57.05,465100
LH,2006-01-26,57.24,57.53,57.0,57.3,854400
LH,2006-01-27,58.23,58.84,57.35,57.35,927700
LH,2006-01-30,58.1,58.33,57.99,58.15,381800
LH,2006-01-31,58.65,58.83,57.75,57.87,701300
LH,2006-02-01,57.74,58.55,57.69,58.45,813300
LH,2006-02-02,57.0,57.74,56.72,57.74,970900
LH,2006-02-03,56.85,57.22,56.45,56.75,745800
LH,2006-02-06,55.4,56.51,55.21,56.5,1381700
LH,2006-02-07,55.94,56.27,55.4,55.4,1068400
LH,2006-02-08,56.27,56.6,55.89,55.89,580000
LH,2006-02-09,56.51,56.91,56.15,56.29,448300
LH,2006-02-10,56.36,56.9,56.25,56.45,564400
LH,2006-02-13,56.54,56.89,56.45,56.5,779400
LH,2006-02-14,57.34,57.4,56.561,56.74,475200
LH,2006-02-15,57.78,57.8,57.02,57.09,1304600
LH,2006-02-16,58.26,58.94,58.0,58.25,1249400
LH,2006-02-17,58.77,59.09,58.0,58.46,967300
LH,2006-02-20,58.77,59.09,58.0,58.46,0
LH,2006-02-21,57.79,58.5,57.5,57.5,1053000
LH,2006-02-22,58.57,58.78,58.05,58.05,769500
LH,2006-02-23,58.28,58.71,58.06,58.32,678100
LH,2006-02-24,58.31,58.58,58.07,58.07,605500
LH,2006-02-27,58.2,58.59,58.15,58.27,547000
LH,2006-02-28,58.11,58.45,57.76,57.95,550200
LH,2006-03-01,58.0,58.16,57.72,58.11,532700
LH,2006-03-02,58.75,58.75,57.66,57.7,584200
LH,2006-03-03,58.39,59.1,58.35,58.45,373200
LH,2006-03-06,57.19,58.26,57.11,58.25,717000
LH,2006-03-07,56.83,57.7,56.71,57.2,833300
LH,2006-03-08,57.43,57.68,56.71,56.8,460300
LH,2006-03-09,57.02,57.65,56.98,57.43,482400
LH,2006-03-10,57.32,57.54,56.58,57.03,540400
LH,2006-03-13,56.9,57.59,56.79,57.57,421400
LH,2006-03-14,57.27,57.36,56.75,56.75,486100
LH,2006-03-15,57.79,58.09,57.15,57.15,568000
LH,2006-03-16,57.56,58.25,57.48,57.8,660900
LH,2006-03-17,58.22,58.22,57.7,57.7,1249300
LH,2006-03-20,58.42,58.68,58.15,58.15,578500
LH,2006-03-21,58.38,58.81,58.29,58.42,531200
LH,2006-03-22,58.91,58.94,58.12,58.4,482600
LH,2006-03-23,58.96,59.05,58.26,58.75,492000
LH,2006-03-24,59.32,59.48,58.88,58.97,626000
LH,2006-03-27,59.31,59.55,58.88,59.33,613600
LH,2006-03-28,59.39,61.055,59.1,61.055,479400
LH,2006-03-29,59.14,59.74,59.1,59.64,677600
LH,2006-03-30,58.79,59.01,58.57,59.01,461500
LH,2006-03-31,58.48,58.9,58.35,58.83,720300
LH,2006-04-03,58.06,58.63,58.01,58.63,582400
LH,2006-04-04,57.88,58.18,57.69,57.95,945300
LH,2006-04-05,58.24,58.44,57.85,57.9,579200
LH,2006-04-06,57.72,58.22,57.67,58.22,994000
LH,2006-04-07,57.45,57.93,57.25,57.56,484800
LH,2006-04-10,57.15,57.46,56.98,57.41,600300
LH,2006-04-11,56.88,57.3,56.73,57.25,764800
LH,2006-04-12,56.87,57.45,56.84,57.02,434400
LH,2006-04-13,56.81,57.2,56.52,56.81,350600
LH,2006-04-14,56.81,57.2,56.52,56.81,0
LH,2006-04-17,56.39,56.7,56.22,56.7,546500
LH,2006-04-18,56.58,57.39,56.32,56.64,526800
LH,2006-04-19,56.81,56.95,56.27,56.56,488700
LH,2006-04-20,58.84,59.9,58.5,58.5,1671500
LH,2006-04-21,58.5,59.04,58.26,59.04,555300
LH,2006-04-24,58.56,58.9,58.25,58.5,830200
LH,2006-04-25,58.73,59.4,58.11,58.57,1099100
LH,2006-04-26,58.2,59.0,58.02,58.9,884600
LH,2006-04-27,57.4,58.2,57.15,58.2,729800
LH,2006-04-28,57.1,57.884,56.88,57.38,702400
LH,2006-05-01,56.63,57.52,56.62,57.35,846100
LH,2006-05-02,57.17,57.4,56.54,56.83,688900
LH,2006-05-03,56.86,57.2601,56.6,57.18,569900
LH,2006-05-04,57.33,57.65,56.85,56.86,629400
LH,2006-05-05,57.74,58.0,57.5,57.55,626000
LH,2006-05-08,57.89,58.21,57.84,57.92,376400
LH,2006-05-09,58.46,58.7,57.95,58.06,750000
LH,2006-05-10,58.45,58.9,58.25,58.3,626200
LH,2006-05-11,58.44,58.87,58.22,58.44,573600
LH,2006-05-12,58.52,58.85,58.37,58.85,472700
LH,2006-05-15,58.91,59.05,58.46,58.6,500700
LH,2006-05-16,59.37,59.57,58.82,58.88,913500
LH,2006-05-17,59.77,60.37,59.1,59.37,1892400
LH,2006-05-18,59.52,60.1,59.49,59.77,898400
LH,2006-05-19,59.29,59.66,58.99,59.65,943100
LH,2006-05-22,59.58,59.78,58.85,58.95,574800
LH,2006-05-23,58.67,59.58,58.67,59.48,774100
