Symbol,Date,Close,High,Low,Open,Volume
LLY,2006-01-02,56.59,57.0,56.51,56.96,0
LLY,2006-01-03,57.36,57.59,56.15,57.19,3956800
LLY,2006-01-04,57.08,57.75,56.88,57.48,3821600
LLY,2006-01-05,57.39,57.44,56.89,57.35,3119400
LLY,2006-01-06,57.82,58.12,57.09,57.7,3048300
LLY,2006-01-09,58.58,58.86,57.74,57.88,2950500
LLY,2006-01-10,58.18,59.0,57.58,58.45,3353700
LLY,2006-01-11,58.18,58.35,57.61,58.35,1908300
LLY,2006-01-12,57.95,58.69,57.57,58.28,2634200
LLY,2006-01-13,57.95,58.5,57.8,58.1,3081600
LLY,2006-01-16,57.95,58.5,57.8,58.1,0
LLY,2006-01-17,57.27,57.95,57.11,57.55,3365800
LLY,2006-01-18,56.96,57.22,56.6,57.22,3160400
LLY,2006-01-19,57.18,57.81,56.82,57.4,3600800
LLY,2006-01-20,56.9,57.36,56.71,57.15,5010300
LLY,2006-01-23,57.21,57.55,56.51,57.08,3364500
LLY,2006-01-24,57.11,57.9,56.73,57.52,3668500
LLY,2006-01-25,57.17,57.79,57.15,57.35,4697500
LLY,2006-01-26,56.93,57.65,56.9,57.5,6534300
LLY,2006-01-27,57.55,57.7,56.73,56.79,6577700
LLY,2006-01-30,57.37,57.83,57.21,57.66,3111200
LLY,2006-01-31,56.62,57.17,56.0,57.15,6400500
LLY,2006-02-01,56.89,57.0,56.02,56.34,4017500
LLY,2006-02-02,56.3,57.13,56.12,56.8,3339000
LLY,2006-02-03,55.86,56.36,55.7,55.94,4045499
LLY,2006-02-06,55.42,55.85,55.09,55.75,2785700
LLY,2006-02-07,54.98,55.565,54.6,55.25,3144700
LLY,2006-02-08,55.7,55.88,54.84,54.84,2623200
LLY,2006-02-09,56.3,56.83,55.55,55.7,5236600
LLY,2006-02-10,56.18,56.6,55.75,56.44,3016600
LLY,2006-02-13,55.35,55.82,54.9,55.78,2734700
LLY,2006-02-14,55.48,55.8,54.82,55.53,4019800
LLY,2006-02-15,56.02,56.35,55.25,55.63,2654600
LLY,2006-02-16,56.36,56.44,55.43,56.03,3033600
LLY,2006-02-17,55.84,56.5,55.5,56.48,2778600
LLY,2006-02-20,55.84,56.5,55.5,56.48,0
LLY,2006-02-21,55.5,56.1,55.45,55.68,2312400
LLY,2006-02-22,56.1,56.29,55.63,55.8,2433800
LLY,2006-02-23,55.93,55.97,55.45,55.89,2468500
LLY,2006-02-24,56.02,56.3,55.81,56.15,2434300
LLY,2006-02-27,56.73,57.07,55.91,55.91,2423500
LLY,2006-02-28,55.62,56.9,55.45,56.87,4044200
LLY,2006-03-01,55.89,55.94,54.85,55.37,3439800
LLY,2006-03-02,55.75,56.03,55.58,55.89,2307100
LLY,2006-03-03,55.71,56.37,55.4,55.5,2295800
LLY,2006-03-06,56.49,56.8,55.78,56.0,3853900
LLY,2006-03-07,56.61,56.99,56.4,56.49,3244700
LLY,2006-03-08,57.36,57.51,56.47,56.5,4046999
LLY,2006-03-09,57.08,57.9,56.86,57.9,3342400
LLY,2006-03-10,57.25,57.6,56.9,57.46,3321400
LLY,2006-03-13,57.24,57.65,57.08,57.53,2391200
LLY,2006-03-14,57.55,57.72,56.85,57.07,3539800
LLY,2006-03-15,56.97,57.4,56.45,57.3,3769700
LLY,2006-03-16,57.23,57.38,56.78,57.22,2511600
LLY,2006-03-17,57.09,57.55,56.9426,57.52,3432600
LLY,2006-03-20,57.42,57.9695,57.36,57.79,3008200
LLY,2006-03-21,57.31,57.85,57.26,57.7,2847200
LLY,2006-03-22,58.49,58.68,57.59,57.75,3625800
LLY,2006-03-23,58.04,58.37,57.6,58.28,2680000
LLY,2006-03-24,58.86,59.24,58.32,58.45,4111500
LLY,2006-03-27,58.67,58.97,58.21,58.86,3171900
LLY,2006-03-28,56.38,57.7,56.0,57.19,7519800
LLY,2006-03-29,56.32,56.32,55.25,56.08,6304200
LLY,2006-03-30,56.05,56.7,55.64,55.9,3387500
