Symbol,Date,Close,High,Low,Open,Volume
LMT,2006-01-02,63.63,63.75,63.23,63.27,0
LMT,2006-01-03,63.55,63.77,62.52,63.3,2379500
LMT,2006-01-04,64.48,64.75,63.63,63.64,2455400
LMT,2006-01-05,64.52,64.58,63.9,64.25,1656800
LMT,2006-01-06,65.47,65.64,64.35,64.4,2396200
LMT,2006-01-09,65.9,65.9,65.4,65.45,2275600
LMT,2006-01-10,65.94,65.94,65.0,65.15,1592200
LMT,2006-01-11,66.26,66.35,65.61,65.94,1754100
LMT,2006-01-12,66.12,66.49,65.45,65.96,2004600
LMT,2006-01-13,65.79,66.01,65.01,65.25,2085400
LMT,2006-01-16,65.79,66.01,65.01,65.25,0
LMT,2006-01-17,65.72,65.96,65.21,65.25,1655300
LMT,2006-01-18,65.36,65.73,65.17,65.73,1630800
LMT,2006-01-19,65.49,65.6,65.0,65.25,1529000
LMT,2006-01-20,64.88,65.63,64.76,65.49,1592900
LMT,2006-01-23,65.4,65.83,65.15,65.35,1875200
LMT,2006-01-24,65.7,66.14,65.5,65.65,1838800
LMT,2006-01-25,65.01,65.87,64.94,65.7,1651000
LMT,2006-01-26,66.99,67.92,66.65,66.99,3960100
LMT,2006-01-27,66.18,66.99,66.0,66.91,2485400
LMT,2006-01-30,66.66,66.67,65.96,66.33,2671800
LMT,2006-01-31,67.65,68.0,66.2,66.2,3537000
LMT,2006-02-01,67.97,68.33,67.61,67.71,2991800
LMT,2006-02-02,68.12,68.25,67.67,67.87,2048900
LMT,2006-02-03,68.92,68.94,67.93,68.0,2482100
LMT,2006-02-06,70.02,70.2,68.4,68.48,4057400
LMT,2006-02-07,69.72,70.0,69.5,69.8,2508700
LMT,2006-02-08,70.06,70.06,69.7,69.7,1852700
LMT,2006-02-09,70.62,70.87,69.6,70.62,2039699
LMT,2006-02-10,71.37,71.41,70.32,70.37,2601100
LMT,2006-02-13,71.62,71.88,70.56,70.9,2034800
LMT,2006-02-14,72.67,73.0,71.48,71.56,4029700
LMT,2006-02-15,71.83,72.48,71.36,72.34,3072200
LMT,2006-02-16,71.92,71.98,71.42,71.42,1487100
LMT,2006-02-17,72.84,72.98,71.42,71.58,2607600
LMT,2006-02-20,72.84,72.98,71.42,71.58,0
LMT,2006-02-21,72.98,73.26,71.61,72.5,2942200
LMT,2006-02-22,73.98,73.99,72.88,72.98,2506600
LMT,2006-02-23,73.49,73.81,73.11,73.5,2117900
LMT,2006-02-24,74.58,74.97,73.46,73.49,2371300
LMT,2006-02-27,74.06,74.66,74.05,74.05,2086700
LMT,2006-02-28,72.87,73.76,72.24,73.63,2997500
LMT,2006-03-01,73.33,73.65,72.63,72.68,1567000
LMT,2006-03-02,73.31,73.843,72.78,73.1,2196600
LMT,2006-03-03,73.5,74.373,72.98,73.29,2056299
LMT,2006-03-06,72.69,73.7,72.52,73.7,1627000
LMT,2006-03-07,73.12,73.43,72.25,72.38,1962700
LMT,2006-03-08,73.42,73.5,73.08,73.28,1976700
LMT,2006-03-09,73.59,74.94,73.14,73.43,2022300
LMT,2006-03-10,74.33,74.63,73.23,73.58,2170200
LMT,2006-03-13,73.52,74.95,73.5,74.33,2127900
LMT,2006-03-14,74.07,74.37,73.17,73.52,1857300
LMT,2006-03-15,74.22,74.64,73.82,74.21,1932800
LMT,2006-03-16,75.85,76.03,74.4,74.47,3801700
LMT,2006-03-17,75.95,76.29,75.63,75.95,2775700
LMT,2006-03-20,76.73,76.9799,76.01,76.19,2152800
LMT,2006-03-21,76.3,77.78,76.16,76.84,2713300
LMT,2006-03-22,76.5,76.56,75.75,76.3,2832500
LMT,2006-03-23,75.97,76.5,75.6,76.5,1252600
LMT,2006-03-24,75.99,76.32,75.06,75.7,1956700
LMT,2006-03-27,76.04,76.04,75.5,75.5,1625400
LMT,2006-03-28,75.58,76.2,75.45,75.93,1619100
LMT,2006-03-29,75.5,75.98,75.34,75.57,1476400
LMT,2006-03-30,75.23,75.79,75.0,75.3,1564200
LMT,2006-03-31,75.13,75.54,74.99,75.03,2143900
LMT,2006-04-03,74.35,75.38,74.25,75.38,1746300
LMT,2006-04-04,75.0,75.18,73.1,74.15,2110200
LMT,2006-04-05,74.88,75.1,74.48,74.97,1997800
LMT,2006-04-06,74.48,74.79,74.02,74.52,1316400
LMT,2006-04-07,73.81,75.1,73.35,74.75,1619700
LMT,2006-04-10,73.94,74.14,73.46,73.78,1150600
LMT,2006-04-11,73.12,73.93,72.6,73.84,1740200
LMT,2006-04-12,72.82,73.4,72.41,73.17,1744200
LMT,2006-04-13,72.83,73.1,72.5,72.95,1034600
LMT,2006-04-14,72.83,73.1,72.5,72.95,0
LMT,2006-04-17,73.57,73.61,73.0,73.18,1040500
LMT,2006-04-18,75.15,75.45,74.0,74.0,2316100
LMT,2006-04-19,75.98,75.99,75.0,75.34,1258900
LMT,2006-04-20,76.8,77.02,75.77,75.93,1797800
LMT,2006-04-21,77.04,77.04,76.23,76.99,1302900
LMT,2006-04-24,77.59,77.95,76.75,77.0,2195500
LMT,2006-04-25,76.2,77.62,75.27,77.59,2303800
LMT,2006-04-26,75.57,76.18,74.5701,75.95,2898500
LMT,2006-04-27,75.67,76.0,74.65,75.1,2329300
LMT,2006-04-28,75.9,76.3,75.0,75.52,2012600
LMT,2006-05-01,76.98,76.99,75.67,76.0,1917000
LMT,2006-05-02,76.91,77.09,76.51,76.71,1658700
LMT,2006-05-03,75.94,76.91,75.88,76.91,1469800
LMT,2006-05-04,75.69,76.38,75.68,76.1,1396100
LMT,2006-05-05,76.39,77.0,76.17,76.35,1552800
LMT,2006-05-08,76.37,77.04,76.17,76.39,1457000
LMT,2006-05-09,75.84,76.5,75.51,76.37,1336000
LMT,2006-05-10,76.68,77.01,76.0,76.0,1254300
LMT,2006-05-11,76.23,76.83,76.06,76.4,1249400
LMT,2006-05-12,74.62,76.1,74.58,75.91,1642700
LMT,2006-05-15,75.44,75.578,74.7,74.87,1557400
LMT,2006-05-16,75.75,75.98,75.24,75.48,1388100
LMT,2006-05-17,73.32,75.1,73.32,74.92,1974500
LMT,2006-05-18,73.06,73.86,72.92,73.4,1615500
LMT,2006-05-19,74.33,74.61,73.06,73.25,1913500
LMT,2006-05-22,74.02,74.4,73.45,73.69,2242100
LMT,2006-05-23,72.74,74.15,72.74,74.02,1691900
LMT,2006-05-24,72.21,72.75,71.74,72.7,2717100
LMT,2006-05-25,72.68,72.9,72.34,72.5,1307400
LMT,2006-05-26,72.33,72.65,71.76,72.62,2212600
LMT,2006-05-29,72.33,72.65,71.76,72.62,0
LMT,2006-05-30,72.62,73.25,71.75,71.82,1739500
LMT,2006-05-31,72.49,72.79,72.0,72.77,1633400
LMT,2006-06-01,73.23,73.41,72.15,72.15,1453100
LMT,2006-06-02,73.12,73.48,72.6099,73.4,895800
LMT,2006-06-05,72.68,73.12,72.36,73.12,1453300
LMT,2006-06-06,70.95,73.04,70.75,73.0,2342700
LMT,2006-06-07,71.0,71.57,70.51,70.85,1462300
LMT,2006-06-08,72.62,72.76,70.58,71.38,2562700
LMT,2006-06-09,72.06,73.27,72.05,72.35,1631000
LMT,2006-06-12,70.8,72.18,70.8,72.0,1255500
LMT,2006-06-13,70.22,71.24,70.08,70.93,2141000
LMT,2006-06-14,70.32,70.32,69.93,69.93,2740200
LMT,2006-06-15,71.56,71.8,69.99,70.0,1563400
LMT,2006-06-16,71.32,71.68,70.92,71.2,1874200
LMT,2006-06-19,70.95,71.6,70.65,71.43,937700
LMT,2006-06-20,70.97,71.51,70.75,70.75,1352200
LMT,2006-06-21,71.46,71.75,70.8,70.88,1344100
LMT,2006-06-22,71.14,71.52,70.89,71.49,807900
LMT,2006-06-23,71.31,71.81,70.77,70.8,1224100
LMT,2006-06-26,71.29,71.56,70.96,71.5,860000
LMT,2006-06-27,70.42,71.68,70.39,71.37,1453200
LMT,2006-06-28,70.44,70.85,70.29,70.43,1329200
LMT,2006-06-29,71.34,71.5,70.5,70.75,1689600
LMT,2006-06-30,71.74,72.0,71.57,71.65,1642600
LMT,2006-07-03,72.5,72.56,72.01,72.1,885000
LMT,2006-07-04,72.5,72.56,72.01,72.1,0
LMT,2006-07-05,72.92,73.18,72.42,72.86,2573400
LMT,2006-07-06,73.5,73.69,72.741,72.92,2090399
LMT,2006-07-07,73.22,73.85,72.92,73.35,1126700
LMT,2006-07-10,74.44,74.79,73.3,73.42,1655900
LMT,2006-07-11,75.3,75.5,74.12,74.35,1600000
LMT,2006-07-12,74.9,75.75,74.41,75.35,1602300
LMT,2006-07-13,74.73,75.22,74.35,74.9,2535900
LMT,2006-07-14,75.3,75.3,73.3,74.36,2483400
LMT,2006-07-17,75.41,75.98,75.0,75.3,2589600
LMT,2006-07-18,74.54,75.6,73.52,75.6,1660300
LMT,2006-07-19,75.37,75.95,74.83,74.9,1852200
LMT,2006-07-20,75.75,76.43,75.05,75.05,1990400
LMT,2006-07-21,75.63,76.81,75.51,76.1,2001599
LMT,2006-07-24,76.78,76.89,75.93,76.05,1532000
LMT,2006-07-25,78.47,78.6,76.79,78.01,3599300
LMT,2006-07-26,78.28,78.95,77.99,78.53,2877300
