Symbol,Date,Close,High,Low,Open,Volume
LNC,2006-01-02,53.03,53.17,52.64,53.17,0
LNC,2006-01-03,53.53,53.58,52.49,53.27,743300
LNC,2006-01-04,53.9,54.08,53.73,53.75,981200
LNC,2006-01-05,54.12,54.33,53.55,53.85,1146800
LNC,2006-01-06,54.3,54.32,53.42,53.7,916200
LNC,2006-01-09,54.13,54.77,53.97,54.25,728000
LNC,2006-01-10,54.44,54.49,53.76,53.93,638900
LNC,2006-01-11,54.41,54.5,54.16,54.44,489500
LNC,2006-01-12,54.5,54.66,54.16,54.42,845400
LNC,2006-01-13,54.33,54.96,54.27,54.85,645400
LNC,2006-01-16,54.33,54.96,54.27,54.85,0
LNC,2006-01-17,53.61,54.02,53.57,53.9,532700
LNC,2006-01-18,53.43,53.74,53.06,53.61,539500
LNC,2006-01-19,53.56,53.66,53.24,53.35,933800
LNC,2006-01-20,52.77,53.56,52.7,53.56,1057700
LNC,2006-01-23,52.69,53.35,52.44,52.67,677800
LNC,2006-01-24,52.63,53.09,52.57,52.7,616000
LNC,2006-01-25,52.2,52.77,52.0,52.64,751200
LNC,2006-01-26,52.92,53.39,52.47,52.55,628400
LNC,2006-01-27,52.94,53.51,52.63,53.05,692300
LNC,2006-01-30,53.6,53.93,52.42,53.04,1266200
LNC,2006-01-31,54.53,54.54,53.25,53.7,1858500
LNC,2006-02-01,53.77,54.59,53.61,54.54,1566400
LNC,2006-02-02,53.17,54.01,53.04,53.8,759500
LNC,2006-02-03,52.86,53.26,52.606,53.17,551400
LNC,2006-02-06,52.67,53.08,52.45,52.8,676100
LNC,2006-02-07,52.66,52.86,52.45,52.66,876100
LNC,2006-02-08,52.79,53.0,52.52,53.0,569700
LNC,2006-02-09,54.01,54.42,52.87,53.0,1251000
LNC,2006-02-10,54.67,54.85,53.48,53.8,1254100
LNC,2006-02-13,54.36,54.86,53.78,54.77,879300
LNC,2006-02-14,56.19,56.78,54.54,55.75,2240700
LNC,2006-02-15,55.73,56.25,55.07,56.25,1797000
LNC,2006-02-16,56.09,56.13,55.31,55.67,1237400
LNC,2006-02-17,55.83,56.22,55.71,56.07,743500
LNC,2006-02-20,55.83,56.22,55.71,56.07,0
LNC,2006-02-21,56.77,57.05,56.0,56.95,1406100
LNC,2006-02-22,57.51,57.63,56.78,56.78,960300
LNC,2006-02-23,57.45,57.66,57.1,57.51,1307200
LNC,2006-02-24,57.58,57.75,57.34,57.47,1050000
LNC,2006-02-27,57.83,57.97,57.44,57.52,1550200
LNC,2006-02-28,56.77,57.71,56.73,57.66,1596400
LNC,2006-03-01,56.44,56.99,56.25,56.83,1974000
LNC,2006-03-02,55.81,56.39,55.44,56.35,2031699
LNC,2006-03-03,55.64,55.98,55.09,55.48,1429800
LNC,2006-03-06,55.22,55.85,55.07,55.8,1731600
LNC,2006-03-07,55.35,55.49,54.8,55.02,1418400
LNC,2006-03-08,54.75,55.45,54.37,55.45,2301200
LNC,2006-03-09,54.14,55.1,54.11,54.78,1038800
LNC,2006-03-10,54.6,54.93,53.92,54.24,1086100
LNC,2006-03-13,54.5,55.12,54.43,54.82,1460700
LNC,2006-03-14,55.33,55.74,54.47,54.66,1699900
LNC,2006-03-15,55.75,56.09,55.38,55.6,1817200
LNC,2006-03-16,55.77,55.92,55.42,55.75,1367100
LNC,2006-03-17,55.78,56.25,55.63,56.16,1498400
LNC,2006-03-20,56.74,56.8,55.59,55.78,1666200
LNC,2006-03-21,55.93,56.8,55.59,56.76,1531800
LNC,2006-03-22,55.92,56.14,55.68,55.85,1271000
LNC,2006-03-23,55.6,55.75,55.33,55.73,1239700
LNC,2006-03-24,55.46,55.55,55.06,55.53,1379200
LNC,2006-03-27,55.28,55.62,54.93,55.47,2222200
LNC,2006-03-28,53.8,55.28,53.75,55.28,3212200
LNC,2006-03-29,54.68,54.82,53.53,53.81,2569100
LNC,2006-03-30,53.81,54.78,53.81,54.69,2065200
LNC,2006-03-31,54.59,54.71,53.69,53.81,3296700
LNC,2006-04-03,55.07,55.81,54.42,54.59,2678100
LNC,2006-04-04,56.47,56.56,54.74,55.07,2533600
LNC,2006-04-05,57.71,57.8688,56.45,56.49,2965800
LNC,2006-04-06,57.26,58.21,57.02,57.65,1975400
LNC,2006-04-07,56.81,57.94,56.44,57.26,2220700
LNC,2006-04-10,57.05,57.48,56.71,56.81,2170700
LNC,2006-04-11,55.77,56.99,55.55,56.55,1341700
LNC,2006-04-12,56.16,56.29,55.74,56.07,1504200
LNC,2006-04-13,56.3,56.38,55.52,55.95,1312800
LNC,2006-04-14,56.3,56.38,55.52,55.95,0
LNC,2006-04-17,55.14,55.99,55.01,55.97,2084900
LNC,2006-04-18,56.4,56.41,55.17,55.17,3077500
LNC,2006-04-19,57.18,57.34,56.35,56.5,2299100
LNC,2006-04-20,57.08,57.2,56.26,56.75,1741300
LNC,2006-04-21,57.39,57.57,57.1,57.44,1403300
LNC,2006-04-24,56.85,57.45,56.68,57.36,1232500
LNC,2006-04-25,56.74,57.11,56.4,56.83,1306300
LNC,2006-04-26,56.92,57.42,56.75,56.84,2278800
LNC,2006-04-27,57.51,58.13,56.66,56.72,1865600
LNC,2006-04-28,58.08,58.92,57.51,57.78,2260100
LNC,2006-05-01,57.29,58.47,57.0,58.18,3001400
LNC,2006-05-02,57.69,57.85,56.53,57.29,2421600
LNC,2006-05-03,58.35,60.52,58.01,58.3,3527200
LNC,2006-05-04,58.03,58.42,57.12,58.02,1803100
LNC,2006-05-05,58.79,58.86,57.86,58.25,2121400
LNC,2006-05-08,59.06,59.39,58.31,59.17,2020800
LNC,2006-05-09,58.32,59.2,58.14,59.11,1676100
LNC,2006-05-10,58.6,58.72,57.95,58.05,1446300
LNC,2006-05-11,57.47,58.73,57.44,58.58,1626000
LNC,2006-05-12,57.24,57.71,57.03,57.57,1695500
LNC,2006-05-15,58.18,58.25,57.2,57.5,1624500
LNC,2006-05-16,57.57,58.56,57.57,58.44,1913000
LNC,2006-05-17,56.35,57.58,56.28,57.57,2100300
LNC,2006-05-18,55.94,56.71,55.47,55.47,1564400
LNC,2006-05-19,56.45,56.8,55.87,56.19,1722900
LNC,2006-05-22,56.59,56.84,55.86,56.37,1524900
LNC,2006-05-23,56.56,57.98,56.56,57.98,2201200
LNC,2006-05-24,55.72,56.62,55.07,56.53,2265200
LNC,2006-05-25,56.1,56.17,55.53,56.02,1318500
LNC,2006-05-26,56.51,56.83,56.32,56.55,852100
LNC,2006-05-29,56.51,56.83,56.32,56.55,0
LNC,2006-05-30,55.58,56.32,55.51,56.31,1242900
LNC,2006-05-31,56.18,56.21,55.56,55.72,1608200
LNC,2006-06-01,56.74,56.79,56.0,56.38,1436900
LNC,2006-06-02,57.35,57.66,57.13,57.65,2487300
LNC,2006-06-05,56.75,57.46,56.66,57.35,2388100
LNC,2006-06-06,56.89,57.26,56.35,57.26,1571600
LNC,2006-06-07,56.68,57.34,56.61,57.07,1793700
LNC,2006-06-08,57.25,57.33,56.33,56.8,2447900
LNC,2006-06-09,57.04,57.36,56.62,57.15,1529400
LNC,2006-06-12,56.2,57.52,56.11,57.31,1650000
LNC,2006-06-13,54.9,56.1,54.81,55.88,2292400
LNC,2006-06-14,55.02,55.02,54.3,54.84,1736900
LNC,2006-06-15,56.3,56.41,55.15,55.15,1969100
LNC,2006-06-16,55.95,56.32,55.4,56.16,1685800
LNC,2006-06-19,55.39,56.41,55.02,56.26,1393700
LNC,2006-06-20,55.79,55.8,55.4,55.54,1229900
LNC,2006-06-21,55.67,56.05,55.61,55.77,1419500
LNC,2006-06-22,55.32,55.77,55.15,55.69,871400
LNC,2006-06-23,54.99,55.49,54.74,55.11,1370800
LNC,2006-06-26,55.39,55.56,54.95,55.1,1289500
LNC,2006-06-27,55.33,55.71,55.1,55.55,1086500
LNC,2006-06-28,55.62,55.75,55.09,55.69,877500
LNC,2006-06-29,56.33,56.61,55.54,55.6,1399100
LNC,2006-06-30,56.44,57.05,56.27,56.9,2168100
LNC,2006-07-03,56.63,56.9,56.27,56.9,662300
LNC,2006-07-04,56.63,56.9,56.27,56.9,0
LNC,2006-07-05,56.05,56.72,55.51,56.64,1063300
LNC,2006-07-06,55.96,56.0,55.49,55.63,1181200
LNC,2006-07-07,55.78,56.08,55.5,56.08,1262900
LNC,2006-07-10,56.28,56.52,55.97,56.1,842200
LNC,2006-07-11,56.05,56.72,55.46,56.42,1288300
LNC,2006-07-12,55.61,56.31,55.2,56.18,1473300
LNC,2006-07-13,54.85,55.58,54.65,55.58,1837700
LNC,2006-07-14,55.0,55.0,54.32,55.0,1179600
LNC,2006-07-17,54.46,54.95,54.38,54.79,680800
LNC,2006-07-18,54.54,54.64,53.94,54.4,839400
LNC,2006-07-19,55.8,56.06,54.54,54.54,1559600
LNC,2006-07-20,56.45,56.78,55.9,56.0,1220500
LNC,2006-07-21,56.15,56.78,55.94,56.78,1438600
LNC,2006-07-24,56.45,56.71,56.18,56.24,999100
LNC,2006-07-25,56.74,56.81,56.08,56.45,718100
LNC,2006-07-26,56.08,56.9,56.01,56.9,1099900
LNC,2006-07-27,56.12,56.51,55.99,56.21,1061000
LNC,2006-07-28,57.01,57.17,56.48,56.62,1249200
LNC,2006-07-31,56.68,57.03,56.51,57.0,1065000
LNC,2006-08-01,56.49,56.78,56.29,56.68,1464100
LNC,2006-08-02,57.06,57.06,56.47,56.65,1464900
LNC,2006-08-03,56.89,57.4446,56.82,57.06,1229200
LNC,2006-08-04,56.68,57.507,56.48,57.04,1379300
LNC,2006-08-07,56.83,57.13,56.68,56.85,993900
LNC,2006-08-08,56.64,57.69,56.57,57.29,1476700
LNC,2006-08-09,56.8,57.31,56.48,56.88,1922800
LNC,2006-08-10,57.34,57.45,56.72,56.77,1262700
