Symbol,Date,Close,High,Low,Open,Volume
LUV,2006-01-02,16.43,16.52,16.35,16.5,0
LUV,2006-01-03,16.43,16.51,16.08,16.37,4133700
LUV,2006-01-04,16.94,17.0,16.36,16.36,6288400
LUV,2006-01-05,16.99,17.0,16.69,16.89,3312900
LUV,2006-01-06,17.1,17.22,16.958,17.0,4288300
LUV,2006-01-09,17.13,17.26,16.92,16.98,3978100
LUV,2006-01-10,17.05,17.1,16.87,17.0,1859900
LUV,2006-01-11,16.75,17.08,16.62,17.0,2706000
LUV,2006-01-12,16.36,16.7,16.31,16.4,4383500
LUV,2006-01-13,16.37,16.61,16.26,16.48,2551900
LUV,2006-01-16,16.37,16.61,16.26,16.48,0
LUV,2006-01-17,15.87,16.14,15.51,16.14,5879500
LUV,2006-01-18,16.17,16.82,15.81,15.95,6520900
LUV,2006-01-19,16.16,16.64,16.0,16.63,5153800
LUV,2006-01-20,16.21,16.59,16.14,16.44,6004000
LUV,2006-01-23,16.24,16.54,16.19,16.4,3566500
LUV,2006-01-24,16.37,16.47,16.08,16.25,3707300
LUV,2006-01-25,16.4,16.45,16.18,16.44,3047100
LUV,2006-01-26,16.3,16.49,16.18,16.44,4161300
LUV,2006-01-27,16.32,16.35,16.15,16.19,3227400
LUV,2006-01-30,16.41,16.49,16.15,16.2,3119300
LUV,2006-01-31,16.46,16.5,16.3,16.41,4371100
LUV,2006-02-01,16.23,16.4,16.1,16.34,5324200
LUV,2006-02-02,16.52,16.74,16.2,16.28,7703800
LUV,2006-02-03,16.43,16.57,16.19,16.52,3210600
LUV,2006-02-06,16.54,16.65,16.29,16.34,2299700
LUV,2006-02-07,16.15,16.49,16.097,16.3,5111300
LUV,2006-02-08,16.34,16.62,16.03,16.03,3666000
LUV,2006-02-09,16.51,16.57,16.26,16.3,2737500
LUV,2006-02-10,16.42,16.59,16.38,16.42,2443700
LUV,2006-02-13,16.45,16.5,16.26,16.35,2420200
LUV,2006-02-14,16.81,16.85,16.37,16.43,3297200
LUV,2006-02-15,16.83,16.89,16.56,16.7,3538300
LUV,2006-02-16,16.82,16.82,16.68,16.7,1994700
LUV,2006-02-17,16.81,16.84,16.62,16.75,2063300
LUV,2006-02-20,16.81,16.84,16.62,16.75,0
LUV,2006-02-21,16.69,16.8,16.54,16.68,2622700
LUV,2006-02-22,16.83,16.87,16.69,16.7,2808700
LUV,2006-02-23,16.82,16.93,16.72,16.74,3095200
LUV,2006-02-24,16.63,16.79,16.45,16.78,3492000
LUV,2006-02-27,16.85,16.89,16.6,16.6,3081900
LUV,2006-02-28,16.77,16.79,16.6,16.71,4318300
LUV,2006-03-01,17.03,17.09,16.7,16.7,4979500
LUV,2006-03-02,16.84,17.02,16.81,16.99,3819000
LUV,2006-03-03,17.0,17.02,16.75,16.77,2753700
LUV,2006-03-06,16.77,16.94,16.69,16.94,2502300
LUV,2006-03-07,17.01,17.1,16.77,16.77,3340900
LUV,2006-03-08,17.01,17.07,16.78,17.0,3610900
LUV,2006-03-09,17.03,17.17,16.99,17.0,2624900
LUV,2006-03-10,17.13,17.25,17.03,17.09,3304000
LUV,2006-03-13,17.14,17.2,17.02,17.11,3580000
LUV,2006-03-14,17.47,17.5,17.09,17.09,4202500
LUV,2006-03-15,17.5,17.52,17.3,17.45,4247900
LUV,2006-03-16,17.46,17.67,17.36,17.5,3204600
LUV,2006-03-17,17.6,17.7,17.36,17.51,4366000
LUV,2006-03-20,17.72,17.77,17.4,17.43,3918400
LUV,2006-03-21,17.61,17.9,17.59,17.65,4903900
LUV,2006-03-22,17.77,17.77,17.53,17.59,3520500
LUV,2006-03-23,17.62,17.74,17.5,17.72,2980900
LUV,2006-03-24,17.65,17.75,17.57,17.57,1960700
LUV,2006-03-27,17.47,17.68,17.44,17.57,2197700
LUV,2006-03-28,17.54,17.7,17.4,17.47,3545300
LUV,2006-03-29,17.97,17.979,17.41,17.51,5141600
LUV,2006-03-30,17.81,18.0,17.76,17.97,4572300
LUV,2006-03-31,17.99,18.1,17.82,17.86,4135399
LUV,2006-04-03,17.95,18.2,17.84,17.99,5166000
LUV,2006-04-04,17.92,18.0,17.85,17.95,2303300
LUV,2006-04-05,17.97,18.03,17.84,17.92,4731800
LUV,2006-04-06,17.7,17.99,17.69,17.97,3744400
LUV,2006-04-07,17.69,17.85,17.63,17.8,3330200
LUV,2006-04-10,17.49,17.69,17.46,17.65,3355600
LUV,2006-04-11,17.27,17.48,17.16,17.44,3955600
LUV,2006-04-12,17.52,17.64,17.23,17.23,3098500
LUV,2006-04-13,17.67,17.75,17.46,17.46,2443500
LUV,2006-04-14,17.67,17.75,17.46,17.46,0
LUV,2006-04-17,16.96,17.62,16.55,17.6,5231200
LUV,2006-04-18,17.48,17.75,16.47,16.47,6685200
LUV,2006-04-19,17.36,17.58,17.2,17.4,5300700
LUV,2006-04-20,16.48,17.4,16.46,17.34,6335700
LUV,2006-04-21,16.0,16.58,15.9,16.51,7539000
LUV,2006-04-24,16.58,16.63,15.95,16.0,6049300
LUV,2006-04-25,16.24,16.56,16.2,16.55,5728300
LUV,2006-04-26,16.21,16.36,16.11,16.3,4051800
LUV,2006-04-27,16.42,16.55,16.13,16.17,5161500
LUV,2006-04-28,16.22,16.45,16.07,16.44,3773800
LUV,2006-05-01,16.41,16.46,16.05,16.26,4272100
LUV,2006-05-02,16.41,16.71,16.34,16.59,4070100
LUV,2006-05-03,16.51,16.54,16.4,16.45,2689100
LUV,2006-05-04,16.86,16.92,16.57,16.58,2891400
LUV,2006-05-05,16.61,16.9,16.5,16.9,3420500
LUV,2006-05-08,16.34,16.81,16.33,16.74,2892700
LUV,2006-05-09,16.56,16.61,16.36,16.38,2270300
LUV,2006-05-10,16.44,16.48,16.35,16.37,2196500
