Symbol,Date,Close,High,Low,Open,Volume
MAR,2006-01-02,31.221,31.5893,31.221,31.5846,0
MAR,2006-01-03,31.4727,31.5054,30.9832,31.2909,2889143
MAR,2006-01-04,31.8177,31.9296,31.5427,31.5893,3604511
MAR,2006-01-05,31.7385,32.0648,31.524,31.8177,3047017
MAR,2006-01-06,31.9482,32.0741,31.813,31.855,1279082
MAR,2006-01-09,32.3025,32.503,31.7151,31.7151,2252498
MAR,2006-01-10,32.2046,32.2979,31.8783,32.0508,2245204
MAR,2006-01-11,32.6242,32.6335,32.1207,32.1907,1988230
MAR,2006-01-12,32.3165,32.531,32.2093,32.4471,1671408
MAR,2006-01-13,32.4238,32.5403,32.3025,32.4051,1282514
MAR,2006-01-16,32.4238,32.5403,32.3025,32.4051,0
MAR,2006-01-17,32.172,32.4005,32.0601,32.2513,2808275
MAR,2006-01-18,31.7758,32.517,31.7758,32.172,3333808
MAR,2006-01-19,31.9809,32.1021,31.5133,31.841,2135379
MAR,2006-01-20,31.0392,31.9855,31.0298,31.9809,3213901
MAR,2006-01-23,31.0438,31.2256,30.8979,31.0532,1879905
MAR,2006-01-24,31.221,31.4214,31.0811,31.1464,2075961
MAR,2006-01-25,31.3189,31.4354,31.179,31.3375,1818343
MAR,2006-01-26,31.7618,31.9156,31.4681,31.538,1627650
MAR,2006-01-27,32.1907,32.2699,31.7618,31.8177,1568018
MAR,2006-01-30,31.3469,32.2839,31.2956,32.2839,2670993
MAR,2006-01-31,31.0671,31.7944,30.9646,31.4914,3850117
MAR,2006-02-01,31.6872,31.6872,30.9739,30.9739,2576183
MAR,2006-02-02,31.0718,31.4681,30.876,31.4681,2116932
MAR,2006-02-03,30.7921,31.1231,30.7222,30.9553,2054511
MAR,2006-02-06,31.1417,31.165,30.8201,30.9506,2805272
MAR,2006-02-07,31.0392,31.4448,30.4331,30.7222,1700795
MAR,2006-02-08,30.8201,31.0019,30.1301,30.1301,2234694
MAR,2006-02-09,31.5333,31.883,31.4634,31.7478,3254227
MAR,2006-02-10,32.3725,32.6149,32.0928,32.1207,5485275
MAR,2006-02-13,32.1207,32.2606,32.0042,32.1674,2268156
MAR,2006-02-14,32.0415,32.1674,31.7245,32.158,2817284
MAR,2006-02-15,32.5077,32.5963,31.8177,31.827,2256573
MAR,2006-02-16,32.4005,32.531,32.2653,32.2839,2611361
MAR,2006-02-17,32.2979,32.4704,32.1907,32.2606,1403494
MAR,2006-02-20,32.2979,32.4704,32.1907,32.2606,0
MAR,2006-02-21,31.6219,32.2979,31.6079,32.2979,2206379
MAR,2006-02-22,31.8503,32.1021,31.6172,31.6266,1631296
MAR,2006-02-23,32.0508,32.0881,31.6779,31.6779,1814482
MAR,2006-02-24,31.9529,32.1627,31.9203,32.0741,1670765
MAR,2006-02-27,32.2839,32.2932,31.883,31.9343,1563728
MAR,2006-02-28,31.8876,32.2886,31.8876,32.1674,2480300
MAR,2006-03-01,32.0788,32.2839,31.9389,32.0042,1572522
MAR,2006-03-02,31.8783,32.1067,31.8177,32.0088,2501536
MAR,2006-03-03,31.7245,31.9109,31.6452,31.7618,1400705
MAR,2006-03-06,31.8923,32.2746,31.7851,31.8643,1908863
MAR,2006-03-07,31.6452,31.9156,31.538,31.7758,1808261
MAR,2006-03-08,31.9296,31.9669,31.5566,31.6499,1238541
MAR,2006-03-09,31.8643,32.1394,31.841,31.8457,1343433
MAR,2006-03-10,31.6685,32.0042,31.6592,31.7944,2293253
MAR,2006-03-13,31.552,31.841,31.5333,31.7245,1925380
MAR,2006-03-14,31.51,31.6685,31.4214,31.51,2249494
MAR,2006-03-15,31.5054,31.6499,31.4354,31.4914,1875186
MAR,2006-03-16,31.7291,31.8503,31.51,31.6219,2266440
MAR,2006-03-17,32.2839,32.2839,31.8037,31.9436,2244561
MAR,2006-03-20,32.1907,32.3958,32.0275,32.228,1454760
MAR,2006-03-21,32.3865,32.5403,32.1114,32.2839,2145675
MAR,2006-03-22,32.4191,32.5683,32.1907,32.1907,1602767
MAR,2006-03-23,32.3072,32.3865,32.1338,32.1767,2310842
MAR,2006-03-24,32.0741,32.9552,31.6592,32.9552,1933746
MAR,2006-03-27,32.1021,32.2419,31.9343,32.0275,1496588
MAR,2006-03-28,31.9762,32.2233,31.8876,32.0275,1657680
MAR,2006-03-29,32.2699,32.4005,31.9576,31.9576,1363596
MAR,2006-03-30,32.3165,32.3958,32.1254,32.1347,1495516
MAR,2006-03-31,31.9809,32.3305,31.9809,32.2932,1987586
MAR,2006-04-03,32.6335,32.806,31.9669,32.0042,4233864
MAR,2006-04-04,32.9599,32.9925,32.4191,32.6382,2290036
MAR,2006-04-05,33.496,33.6126,32.7548,32.7967,4110095
MAR,2006-04-06,33.7105,33.7711,33.3328,33.4913,1856310
MAR,2006-04-07,33.7477,34.0461,33.5659,33.6359,3683019
MAR,2006-04-10,33.3142,33.6638,33.1697,33.6638,2314489
MAR,2006-04-11,32.7408,33.538,32.7408,33.3981,2409728
MAR,2006-04-12,32.7175,32.8993,32.5823,32.7175,2434182
MAR,2006-04-13,32.6708,33.0205,32.5916,32.7734,1474065
MAR,2006-04-14,32.6708,33.0205,32.5916,32.7734,0
MAR,2006-04-17,33.3795,33.4168,32.8666,32.8713,2433967
MAR,2006-04-18,33.9109,34.0927,33.454,33.4727,3571049
MAR,2006-04-19,34.0648,34.144,33.8037,34.0042,2430106
MAR,2006-04-20,34.1533,34.2792,33.6732,33.6732,2462711
MAR,2006-04-21,34.2046,34.3491,33.8457,34.2652,2018475
MAR,2006-04-24,33.9995,34.2419,33.9529,34.0648,2247135
MAR,2006-04-25,33.7244,34.1254,33.496,34.116,1768578
MAR,2006-04-26,33.869,33.869,33.3795,33.7291,1852235
MAR,2006-04-27,34.3585,34.7734,33.8457,33.869,2797121
MAR,2006-04-28,34.0648,34.5916,33.9855,34.2419,1717527
MAR,2006-05-01,34.2139,34.3305,34.0275,34.0321,1893848
MAR,2006-05-02,34.0508,34.461,33.9389,34.3538,2175705
MAR,2006-05-03,34.4284,34.4983,33.9575,33.9575,1756566
MAR,2006-05-04,34.8713,34.9226,34.3165,34.3352,2307196
MAR,2006-05-05,35.109,35.2256,34.834,34.9412,1872398
MAR,2006-05-08,35.6079,35.6079,34.6149,35.109,2389994
MAR,2006-05-09,35.7384,35.785,35.4167,35.4773,1877760
MAR,2006-05-10,35.5939,35.6964,35.4354,35.6172,2017831
MAR,2006-05-11,35.2256,35.6638,35.0624,35.5053,2423671
MAR,2006-05-12,34.9226,35.1184,34.7594,34.9878,2192008
MAR,2006-05-15,35.0065,35.0438,34.7174,34.9226,2255715
MAR,2006-05-16,35.199,35.199,34.9692,34.9692,1688354
MAR,2006-05-17,33.9715,34.7641,33.9296,34.6149,3378639
MAR,2006-05-18,33.6918,34.2606,33.6918,33.9669,2337655
MAR,2006-05-19,34.2326,34.3864,33.9436,34.1254,3662856
MAR,2006-05-22,33.7711,34.144,33.5473,33.841,2520627
MAR,2006-05-23,33.4168,34.1627,33.4168,33.8923,2553446
MAR,2006-05-24,33.5706,33.8736,33.151,33.4214,3254442
MAR,2006-05-25,33.869,34.0042,33.6638,33.7944,2086687
MAR,2006-05-26,34.0974,34.3724,33.8223,33.9855,1606628
MAR,2006-05-29,34.0974,34.3724,33.8223,33.9855,0
MAR,2006-05-30,33.4214,34.1067,33.4121,34.0974,2396000
MAR,2006-05-31,33.7198,34.0881,33.5007,33.5007,1766219
MAR,2006-06-01,34.7874,34.8573,33.7384,33.7384,2387206
MAR,2006-06-02,34.5356,34.9412,34.3911,34.7874,2874557
MAR,2006-06-05,34.0787,34.4144,34.0321,34.3212,1809334
MAR,2006-06-06,33.6592,34.0508,33.3561,34.0321,3315146
MAR,2006-06-07,34.0368,34.2419,33.7105,33.7524,2687081
MAR,2006-06-08,34.0368,34.0368,33.5939,34.0368,5240956
MAR,2006-06-09,33.9622,34.158,33.6638,33.6638,2029629
MAR,2006-06-12,33.6312,34.2186,33.6219,34.0787,2609753
MAR,2006-06-13,33.0997,33.9762,32.7921,33.3795,3033396
MAR,2006-06-14,32.7081,33.4447,32.3632,33.1091,4304113
MAR,2006-06-15,33.5846,33.6778,32.4377,32.7081,2481694
MAR,2006-06-16,33.538,33.7244,33.4447,33.5473,1939323
MAR,2006-06-19,33.5659,33.9016,33.51,33.6592,1567911
MAR,2006-06-20,33.7431,34.0135,33.3608,33.4913,1709697
MAR,2006-06-21,34.0601,34.0974,33.6126,33.7431,1512569
MAR,2006-06-22,33.5659,34.3118,33.482,34.3118,1536379
MAR,2006-06-23,33.827,34.0415,33.4261,33.4354,1499806
MAR,2006-06-26,33.8457,34.0321,33.6312,33.7524,1249802
MAR,2006-06-27,33.7058,33.9762,33.5659,33.6592,1393948
MAR,2006-06-28,34.0974,34.144,33.7151,33.7151,1326058
MAR,2006-06-29,35.1696,35.2349,34.2466,34.2466,2597097
MAR,2006-06-30,35.5426,35.841,35.3561,35.4307,1910901
MAR,2006-07-03,35.496,35.6079,35.3468,35.5426,1076698
MAR,2006-07-04,35.496,35.6079,35.3468,35.5426,0
MAR,2006-07-05,35.0111,35.2629,34.778,35.2629,2098806
MAR,2006-07-06,35.0671,35.3748,34.9365,34.9925,2584012
MAR,2006-07-07,34.8433,35.2163,34.7407,34.8992,3291229
MAR,2006-07-10,34.9832,35.151,34.9086,34.9738,1912081
MAR,2006-07-11,34.9645,35.2442,34.5543,34.9272,2669492
MAR,2006-07-12,34.8433,35.151,34.6009,35.0111,2675605
MAR,2006-07-13,33.7058,35.7664,33.5659,35.6265,7404757
MAR,2006-07-14,32.8666,33.855,32.6335,33.8457,5885324
MAR,2006-07-17,34.1533,34.2186,32.4657,32.6802,4435818
MAR,2006-07-18,33.7897,34.3491,33.4354,33.8736,2550764
MAR,2006-07-19,34.4237,34.5449,33.9762,34.0974,2216461
MAR,2006-07-20,33.9948,34.5916,33.9855,34.517,1956483
MAR,2006-07-21,33.0904,34.2186,33.0438,34.2186,2988243
MAR,2006-07-24,34.2932,34.3678,33.3795,33.3795,2132697
MAR,2006-07-25,35.0111,35.1323,33.8363,34.2932,2497353
MAR,2006-07-26,34.0321,34.7687,34.0321,34.7594,4328138
MAR,2006-07-27,32.4657,34.3118,32.4377,34.0415,7459241
MAR,2006-07-28,32.9412,33.165,32.2513,32.5963,4531487
MAR,2006-07-31,32.8014,33.2676,32.6522,32.82,1680525
MAR,2006-08-01,32.7827,32.8387,32.4471,32.8107,2248744
MAR,2006-08-02,33.4913,33.51,32.82,32.82,1804186
MAR,2006-08-03,34.1254,34.1254,33.4913,33.4913,3377674
MAR,2006-08-04,33.5659,34.6568,33.5566,34.4051,3182369
MAR,2006-08-07,33.5566,33.8457,33.2396,33.5566,1857812
MAR,2006-08-08,32.7734,33.5659,32.7454,33.5566,1616710
MAR,2006-08-09,32.5963,33.165,32.559,32.9972,2690942
MAR,2006-08-10,32.9692,33.0438,31.9809,32.3538,3226128
