Symbol,Date,Close,High,Low,Open,Volume
MAS,2006-01-02,26.5429,26.622,26.3494,26.3582,0
MAS,2006-01-03,27.4396,27.4396,26.5516,26.8857,3629121
MAS,2006-01-04,27.0176,27.2374,26.8242,27.1847,2338279
MAS,2006-01-05,26.8945,27.2462,26.8418,26.9912,2467488
MAS,2006-01-06,26.7275,27.0792,26.3758,27.0352,2494558
MAS,2006-01-09,26.7978,26.9033,26.578,26.6923,3448614
MAS,2006-01-10,26.9121,26.9209,26.5956,26.7714,3074635
MAS,2006-01-11,27.1231,27.299,26.9297,27.0352,2765261
MAS,2006-01-12,26.7539,27.1143,26.6659,26.9824,1914595
MAS,2006-01-13,26.5956,26.8769,26.4637,26.7451,1181764
MAS,2006-01-16,26.5956,26.8769,26.4637,26.7451,0
MAS,2006-01-17,26.6571,26.7627,26.4549,26.5516,2635142
MAS,2006-01-18,26.8418,26.9121,26.5516,26.5956,2910621
MAS,2006-01-19,26.4989,26.9385,26.367,26.7978,2744901
MAS,2006-01-20,25.8307,26.6747,25.7076,26.6747,3889359
MAS,2006-01-23,26.0153,26.112,25.8395,25.9362,2130930
MAS,2006-01-24,26.1736,26.2615,26.0241,26.0505,4325441
MAS,2006-01-25,26.1648,26.2738,25.8659,26.2,2658914
MAS,2006-01-26,25.8307,26.1736,25.7164,26.1648,3623320
MAS,2006-01-27,26.0417,26.1208,25.4966,25.8307,2200653
MAS,2006-01-30,26.1736,26.2439,25.8922,25.9802,2282091
MAS,2006-01-31,26.0681,26.411,26.0241,26.1824,3221247
MAS,2006-02-01,25.8922,26.3055,25.8043,25.9186,3933149
MAS,2006-02-02,25.8747,26.0417,25.5669,25.8483,3511172
MAS,2006-02-03,26.0329,26.112,25.6461,25.6725,2669605
MAS,2006-02-06,26.1648,26.3582,25.945,25.9802,3100455
MAS,2006-02-07,25.9538,26.2088,25.7516,26.0681,3233645
MAS,2006-02-08,26.0241,26.0945,25.6637,25.8659,3007870
MAS,2006-02-09,26.0945,26.2527,25.9098,26.0417,2831344
MAS,2006-02-10,26.2439,26.2439,25.7481,25.989,1997853
MAS,2006-02-13,26.2967,26.4549,26.0593,26.156,2183023
MAS,2006-02-14,27.0616,27.2286,25.8922,26.3758,4314749
