Symbol,Date,Close,High,Low,Open,Volume
MCD,2006-01-02,33.72,34.29,33.58,34.1,0
MCD,2006-01-03,33.52,34.29,33.2,34.29,9250000
MCD,2006-01-04,33.82,33.85,33.42,33.43,5928500
MCD,2006-01-05,33.86,34.2,33.727,33.82,6174900
MCD,2006-01-06,34.06,34.3,33.81,34.23,5319900
MCD,2006-01-09,34.71,34.74,33.99,34.0,4654600
MCD,2006-01-10,34.74,34.85,34.54,34.61,6863600
MCD,2006-01-11,35.34,35.36,34.8,34.82,8185499
MCD,2006-01-12,34.79,35.32,34.74,35.25,11449000
MCD,2006-01-13,34.47,34.74,34.35,34.65,4750600
MCD,2006-01-16,34.47,34.74,34.35,34.65,0
MCD,2006-01-17,34.59,35.156,34.52,34.72,5480300
MCD,2006-01-18,34.66,35.44,34.4115,34.58,10552500
MCD,2006-01-19,35.2,35.37,35.0,35.3,9083000
MCD,2006-01-20,35.86,35.91,35.09,35.2,11435300
MCD,2006-01-23,35.71,36.09,35.267,35.86,6902300
MCD,2006-01-24,35.85,36.31,35.67,35.94,9653900
MCD,2006-01-25,35.16,36.14,34.55,36.0,21190600
MCD,2006-01-26,34.94,35.7,34.75,35.5,12339900
MCD,2006-01-27,35.05,35.24,34.8,34.94,7146300
MCD,2006-01-30,35.02,35.07,34.83,34.9,3941400
MCD,2006-01-31,35.01,35.25,34.9,35.04,6855000
MCD,2006-02-01,35.67,35.71,34.99,35.01,7159800
MCD,2006-02-02,35.45,35.81,35.17,35.33,5318500
MCD,2006-02-03,35.97,36.08,35.44,35.45,6758300
MCD,2006-02-06,36.13,36.44,35.9,36.0,6597300
MCD,2006-02-07,36.19,36.51,36.06,36.3,4805300
MCD,2006-02-08,36.36,36.75,36.26,36.6,6444300
MCD,2006-02-09,36.3,36.49,36.22,36.31,4889600
MCD,2006-02-10,36.33,36.46,36.11,36.27,5729400
MCD,2006-02-13,36.36,36.59,36.16,36.41,3421100
MCD,2006-02-14,36.37,36.55,36.07,36.36,5370600
MCD,2006-02-15,36.01,36.27,35.75,36.26,7669400
MCD,2006-02-16,36.37,36.39,35.86,35.99,3926300
MCD,2006-02-17,36.06,36.44,36.01,36.37,4584100
MCD,2006-02-20,36.06,36.44,36.01,36.37,0
MCD,2006-02-21,35.66,36.0,35.35,35.88,5182700
MCD,2006-02-22,35.95,36.08,35.72,35.75,4311500
MCD,2006-02-23,35.59,35.99,35.5,35.75,3408200
MCD,2006-02-24,35.34,35.52,35.19,35.49,4707200
MCD,2006-02-27,35.25,35.53,35.11,35.3,4139400
MCD,2006-02-28,34.91,35.47,34.89,35.3,5435100
MCD,2006-03-01,34.93,35.18,34.43,35.0,5733800
MCD,2006-03-02,34.94,34.99,34.69,34.93,4491400
MCD,2006-03-03,34.85,35.06,34.64,34.75,5124900
MCD,2006-03-06,34.67,34.96,34.57,34.61,4135700
MCD,2006-03-07,34.64,34.78,34.43,34.55,7726700
MCD,2006-03-08,34.68,34.9,34.65,34.67,6552800
MCD,2006-03-09,34.53,34.73,34.39,34.62,4963800
MCD,2006-03-10,34.65,35.01,34.54,34.6,3990600
MCD,2006-03-13,34.32,34.7,34.11,34.53,6112700
MCD,2006-03-14,34.26,34.41,34.12,34.17,5522200
MCD,2006-03-15,34.77,34.83,34.19,34.21,5228100
MCD,2006-03-16,35.06,35.14,34.7,34.7,5636600
MCD,2006-03-17,35.1,35.25,35.0,35.24,5981700
MCD,2006-03-20,34.73,35.07,34.67,34.94,3965400
MCD,2006-03-21,34.9,35.14,34.67,34.67,5666600
MCD,2006-03-22,34.8,35.13,34.62,35.03,4210700
MCD,2006-03-23,34.54,34.81,34.36,34.81,4352000
MCD,2006-03-24,34.7,34.86,34.4,34.54,3222700
MCD,2006-03-27,34.55,34.65,34.37,34.42,3272300
MCD,2006-03-28,34.31,34.77,34.28,34.36,4424700
MCD,2006-03-29,34.6,34.65,34.164,34.2,2577500
MCD,2006-03-30,34.55,34.8,34.18,34.41,3956100
MCD,2006-03-31,34.36,34.63,34.26,34.41,3962800
MCD,2006-04-03,34.73,34.91,34.43,34.45,5578700
MCD,2006-04-04,34.66,34.91,34.57,34.88,4278200
MCD,2006-04-05,34.81,34.89,34.43,34.58,5666100
MCD,2006-04-06,34.6,34.91,34.47,34.47,3986000
MCD,2006-04-07,34.88,34.99,34.48,34.63,4711100
MCD,2006-04-10,35.35,35.45,34.95,35.0,6086900
MCD,2006-04-11,35.55,35.57,35.19,35.39,5476700
MCD,2006-04-12,35.19,35.41,34.97,35.37,6311100
MCD,2006-04-13,34.85,35.49,34.7,35.49,10711400
MCD,2006-04-14,34.85,35.49,34.7,35.49,0
MCD,2006-04-17,34.32,34.83,34.05,34.78,6301700
MCD,2006-04-18,34.48,34.68,34.11,34.32,5364900
MCD,2006-04-19,34.55,34.85,34.33,34.33,3408600
MCD,2006-04-20,35.08,35.11,34.55,34.55,4963400
MCD,2006-04-21,34.6,35.0,34.36,34.88,6297100
MCD,2006-04-24,34.26,34.45,34.08,34.35,5447800
MCD,2006-04-25,33.85,34.17,33.81,34.06,7092700
MCD,2006-04-26,34.11,34.13,33.71,33.9,4206700
MCD,2006-04-27,34.62,34.65,33.85,33.85,4845200
MCD,2006-04-28,34.57,34.72,34.3,34.6,4521900
MCD,2006-05-01,34.37,34.75,34.31,34.64,3951800
MCD,2006-05-02,34.41,34.53,34.22,34.4,3959100
MCD,2006-05-03,34.86,34.88,34.32,34.48,4033299
MCD,2006-05-04,34.85,35.08,34.8,34.85,4634200
MCD,2006-05-05,35.21,35.25,34.85,34.88,6355400
MCD,2006-05-08,35.39,35.39,35.2,35.21,3990500
MCD,2006-05-09,35.83,35.93,35.57,35.7,5917200
MCD,2006-05-10,35.96,35.99,35.692,35.76,4798200
MCD,2006-05-11,35.35,35.96,35.22,35.95,4828200
MCD,2006-05-12,34.88,35.52,34.87,35.37,5397100
MCD,2006-05-15,34.97,35.0,34.61,34.88,4047900
MCD,2006-05-16,34.7,35.12,34.67,35.05,3305500
MCD,2006-05-17,34.56,34.76,34.43,34.53,6564500
MCD,2006-05-18,34.44,34.97,34.41,34.83,5228400
MCD,2006-05-19,34.15,34.72,33.97,34.65,6205400
MCD,2006-05-22,34.03,34.14,33.51,34.08,6649700
MCD,2006-05-23,33.53,34.13,33.53,34.03,5189600
MCD,2006-05-24,32.95,33.68,32.79,33.63,9653700
MCD,2006-05-25,33.26,33.28,32.88,33.14,6894300
MCD,2006-05-26,32.92,33.35,32.88,33.35,5132200
MCD,2006-05-29,32.92,33.35,32.88,33.35,0
MCD,2006-05-30,32.72,33.08,32.62,32.8,4436900
MCD,2006-05-31,33.17,33.28,32.72,32.78,5981500
MCD,2006-06-01,33.68,33.74,32.96,32.97,5919300
MCD,2006-06-02,33.51,33.78,33.25,33.55,4277200
MCD,2006-06-05,33.15,33.56,33.08,33.51,4362100
MCD,2006-06-06,33.31,33.55,32.81,33.25,5574500
MCD,2006-06-07,33.32,33.77,33.3,33.5,4906800
MCD,2006-06-08,33.69,33.74,32.98,33.57,6385200
MCD,2006-06-09,33.38,33.88,33.38,33.65,4131599
MCD,2006-06-12,32.93,33.62,32.83,33.5,5314100
MCD,2006-06-13,31.94,33.47,31.73,33.47,7606600
MCD,2006-06-14,32.85,32.96,31.97,32.0,7846400
MCD,2006-06-15,33.35,33.53,32.64,32.91,6401700
MCD,2006-06-16,33.14,33.35,32.94,33.31,5872500
MCD,2006-06-19,32.85,33.25,32.76,33.11,4031300
MCD,2006-06-20,32.96,33.11,32.7,33.0,3534300
MCD,2006-06-21,33.4,33.54,32.85,32.85,6897300
MCD,2006-06-22,32.55,33.4,32.48,33.2,5239700
MCD,2006-06-23,32.6,33.01,32.5,32.55,3717100
