Symbol,Date,Close,High,Low,Open,Volume
MCHP,2006-01-02,32.15,32.4,32.0,32.33,0
MCHP,2006-01-03,32.13,32.29,31.32,32.06,2198775
MCHP,2006-01-04,32.75,32.75,32.05,32.05,1579943
MCHP,2006-01-05,32.94,33.0,32.35,32.39,978139
MCHP,2006-01-06,33.872,33.872,33.09,33.09,1574658
MCHP,2006-01-09,34.33,34.33,33.88,33.88,1528725
MCHP,2006-01-10,34.05,34.11,33.59,33.92,971440
MCHP,2006-01-11,34.58,34.87,34.03,34.2,1407525
MCHP,2006-01-12,34.94,34.94,34.62,34.62,1292305
MCHP,2006-01-13,34.03,34.93,33.65,34.78,1259051
MCHP,2006-01-16,34.03,34.93,33.65,34.78,0
MCHP,2006-01-17,34.09,34.31,33.54,34.11,1229938
MCHP,2006-01-18,34.43,34.46,33.84,33.84,1504671
MCHP,2006-01-19,36.13,36.15,34.41,34.55,3590006
MCHP,2006-01-20,34.98,35.59,34.29,35.5,4319872
MCHP,2006-01-23,35.2,35.4,34.25,34.89,2192938
MCHP,2006-01-24,35.9,35.9,35.15,35.15,3299969
MCHP,2006-01-25,36.08,36.14,35.34,35.88,2537199
MCHP,2006-01-26,37.34,37.39,35.86,36.5,2827277
MCHP,2006-01-27,36.9,38.16,36.4,37.33,2535567
MCHP,2006-01-30,37.76,37.76,37.1,37.1,1956390
MCHP,2006-01-31,37.51,37.68,36.96,37.36,3820739
MCHP,2006-02-01,37.74,37.78,37.01,37.37,2093058
MCHP,2006-02-02,37.0,37.86,36.75,37.38,1616988
MCHP,2006-02-03,36.62,37.54,36.4,37.08,1549720
MCHP,2006-02-06,37.06,37.45,36.41,36.89,1363901
MCHP,2006-02-07,36.77,37.27,36.26,36.94,1605420
MCHP,2006-02-08,36.69,37.0,36.48,36.98,1517843
MCHP,2006-02-09,36.1,36.99,36.08,36.65,1385181
MCHP,2006-02-10,36.13,36.25,35.28,36.06,1264235
MCHP,2006-02-13,35.64,36.35,35.46,35.93,936605
MCHP,2006-02-14,36.12,36.23,35.63,35.65,1278235
MCHP,2006-02-15,36.08,36.6,35.83,36.0,947272
MCHP,2006-02-16,36.6,36.99,36.12,36.17,1134224
MCHP,2006-02-17,36.71,36.84,36.38,36.675,1150136
MCHP,2006-02-20,36.71,36.84,36.38,36.675,0
MCHP,2006-02-21,36.4,36.83,35.91,36.7,1508813
MCHP,2006-02-22,36.62,36.82,35.84,36.34,2167767
MCHP,2006-02-23,35.87,36.61,35.78,36.5,1564807
MCHP,2006-02-24,36.05,36.05,35.53,36.035,1583182
MCHP,2006-02-27,35.57,35.75,35.24,35.74,1497992
MCHP,2006-02-28,35.2,35.65,35.05,35.43,1383437
MCHP,2006-03-01,36.1,36.4,35.24,35.29,1091040
MCHP,2006-03-02,36.51,36.52,35.77,35.85,1290970
MCHP,2006-03-03,37.13,37.13,36.36,36.36,1378857
MCHP,2006-03-06,36.08,36.75,35.84,36.67,845843
MCHP,2006-03-07,35.78,36.4,35.4,36.21,2149459
MCHP,2006-03-08,35.48,35.76,35.11,35.23,1981011
MCHP,2006-03-09,35.25,36.11,35.14,35.45,1908964
MCHP,2006-03-10,34.88,35.35,34.57,35.19,1671691
MCHP,2006-03-13,34.63,34.93,34.56,34.9,1263462
MCHP,2006-03-14,35.5,35.5,34.73,34.73,1706396
MCHP,2006-03-15,35.76,35.79,35.22,35.33,1866210
MCHP,2006-03-16,34.82,36.09,34.8,36.06,1439100
MCHP,2006-03-17,34.61,35.01,34.31,35.0,2536645
MCHP,2006-03-20,35.0,35.06,34.49,34.73,1525506
MCHP,2006-03-21,35.08,36.18,34.58,34.81,2308982
MCHP,2006-03-22,35.0,35.0,34.86,34.89,1621161
MCHP,2006-03-23,35.39,35.39,34.79,34.79,1826423
MCHP,2006-03-24,35.86,35.86,35.07,35.29,1469519
MCHP,2006-03-27,35.45,36.2,35.43,35.99,1391929
MCHP,2006-03-28,35.18,36.18,34.9,35.67,1379758
MCHP,2006-03-29,35.39,35.93,35.19,35.3,1822783
MCHP,2006-03-30,35.87,35.95,35.46,35.54,1273545
MCHP,2006-03-31,36.37,36.37,35.83,35.83,1339989
MCHP,2006-04-03,37.33,37.33,36.395,36.395,1998020
MCHP,2006-04-04,37.08,37.66,37.05,37.12,1432236
MCHP,2006-04-05,37.46,37.78,36.71,37.12,1154423
MCHP,2006-04-06,37.07,37.66,36.86,37.66,1004097
MCHP,2006-04-07,36.52,37.45,36.41,37.3,1268994
MCHP,2006-04-10,36.63,36.85,36.34,36.42,1261587
MCHP,2006-04-11,36.1,36.84,35.91,36.69,1434168
MCHP,2006-04-12,36.55,36.55,36.22,36.33,755932
MCHP,2006-04-13,35.96,36.5,35.87,36.38,1654607
MCHP,2006-04-14,35.96,36.5,35.87,36.38,0
MCHP,2006-04-17,35.33,36.49,35.05,35.79,1311023
MCHP,2006-04-18,36.21,36.41,35.34,35.6,1103355
MCHP,2006-04-19,37.1,37.1,35.81,36.19,1729723
MCHP,2006-04-20,37.68,37.74,36.96,37.01,1666830
MCHP,2006-04-21,36.87,38.0,36.45,37.96,1538678
MCHP,2006-04-24,37.16,37.3701,36.38,37.1,1285736
MCHP,2006-04-25,38.08,38.56,37.31,37.36,2957444
MCHP,2006-04-26,37.3,37.96,37.1,37.2,3348525
MCHP,2006-04-27,37.74,38.33,36.55,36.73,2844921
MCHP,2006-04-28,37.26,38.02,37.19,37.42,1488344
MCHP,2006-05-01,36.56,37.54,36.44,37.16,1205806
MCHP,2006-05-02,37.34,37.47,36.39,36.55,1210059
MCHP,2006-05-03,37.2,37.45,36.92,37.2,1354675
MCHP,2006-05-04,38.15,38.3,37.21,37.28,1558496
MCHP,2006-05-05,37.95,38.38,37.26,37.94,1187133
MCHP,2006-05-08,37.57,38.2,37.56,37.67,918908
MCHP,2006-05-09,36.5,37.62,36.29,37.44,1793863
MCHP,2006-05-10,36.6,36.6,36.02,36.32,1579115
MCHP,2006-05-11,34.95,36.17,34.6,36.0,2576606
MCHP,2006-05-12,34.72,35.43,34.65,34.995,1698487
MCHP,2006-05-15,34.82,34.82,34.15,34.36,1859042
MCHP,2006-05-16,34.27,34.49,33.75,33.93,1338697
MCHP,2006-05-17,33.5,34.43,33.46,34.02,1338035
MCHP,2006-05-18,33.02,33.87,33.01,33.5,1358433
MCHP,2006-05-19,33.88,34.22,33.02,33.22,2199214
MCHP,2006-05-22,34.4,35.11,33.863,35.1,2433241
MCHP,2006-05-23,33.66,35.03,33.66,34.665,2395214
MCHP,2006-05-24,33.88,34.27,32.75,33.55,2649274
MCHP,2006-05-25,34.0,34.16,33.25,33.825,1415393
MCHP,2006-05-26,34.11,34.15,33.51,34.0,1082506
MCHP,2006-05-29,34.11,34.15,33.51,34.0,0
MCHP,2006-05-30,33.35,34.1,33.32,33.96,1778080
MCHP,2006-05-31,34.3,34.48,33.1,33.56,2326004
MCHP,2006-06-01,35.37,35.37,34.03,34.3,2204395
MCHP,2006-06-02,34.83,35.53,34.34,35.415,1546613
MCHP,2006-06-05,34.07,35.09,33.97,34.67,1334178
MCHP,2006-06-06,33.26,34.03,33.01,34.03,2716627
MCHP,2006-06-07,33.13,33.7,32.65,33.23,2924637
MCHP,2006-06-08,32.87,33.28,32.36,32.85,2298900
MCHP,2006-06-09,33.35,33.78,33.0,33.07,2723354
MCHP,2006-06-12,32.53,33.56,32.52,33.3,2322244
MCHP,2006-06-13,31.79,33.09,31.71,32.49,2959184
MCHP,2006-06-14,32.27,32.59,31.64,32.03,1883350
MCHP,2006-06-15,33.18,33.45,32.22,32.24,1790633
MCHP,2006-06-16,32.77,33.22,32.56,33.1,1770604
MCHP,2006-06-19,32.17,32.91,32.0,32.76,1222522
MCHP,2006-06-20,31.82,32.58,31.77,32.2,1387908
MCHP,2006-06-21,32.75,33.04,31.78,31.97,2025478
MCHP,2006-06-22,32.17,33.07,31.92,32.63,1116846
MCHP,2006-06-23,32.47,33.24,32.44,32.54,2102280
MCHP,2006-06-26,32.744,32.744,32.41,32.41,1029477
MCHP,2006-06-27,32.64,32.75,32.09,32.7,2198062
MCHP,2006-06-28,33.07,33.13,32.41,32.84,2034796
MCHP,2006-06-29,33.99,33.99,32.67,33.32,2299421
MCHP,2006-06-30,33.55,34.42,33.47,34.25,1585269
MCHP,2006-07-03,33.78,33.78,33.48,33.48,538169
MCHP,2006-07-04,33.78,33.78,33.48,33.48,0
MCHP,2006-07-05,32.41,33.8,32.34,33.71,2296037
MCHP,2006-07-06,34.35,34.43,33.35,33.6,3825342
MCHP,2006-07-07,34.68,35.25,34.27,34.39,3075493
MCHP,2006-07-10,34.42,35.22,34.11,34.82,2063591
MCHP,2006-07-11,34.94,34.94,34.27,34.27,2740546
MCHP,2006-07-12,33.94,34.9,33.74,34.81,2359278
MCHP,2006-07-13,33.13,33.96,32.96,33.93,2342637
MCHP,2006-07-14,33.18,33.54,32.71,33.0,1717061
MCHP,2006-07-17,32.87,33.76,32.8,33.06,1869524
MCHP,2006-07-18,32.74,33.11,31.75,33.0,2762753
MCHP,2006-07-19,33.21,33.42,32.5,32.75,2493878
MCHP,2006-07-20,32.25,33.24,32.04,33.11,2316118
MCHP,2006-07-21,31.11,31.59,30.63,31.46,3332057
MCHP,2006-07-24,32.18,32.48,31.39,31.45,2056954
MCHP,2006-07-25,32.46,32.63,31.87,32.1,1894691
MCHP,2006-07-26,31.85,32.6,31.44,32.24,2479461
MCHP,2006-07-27,31.96,32.7,31.75,32.0,2008782
MCHP,2006-07-28,32.45,32.61,31.84,32.08,1522025
MCHP,2006-07-31,32.21,32.61,31.93,32.32,1730807
MCHP,2006-08-01,31.29,32.14,30.89,32.0,2579692
MCHP,2006-08-02,31.79,32.13,31.32,31.49,1449608
MCHP,2006-08-03,32.31,32.66,31.59,31.72,1632299
MCHP,2006-08-04,31.96,33.2,31.61,32.66,1472401
MCHP,2006-08-07,31.73,32.25,31.36,32.12,1780479
MCHP,2006-08-08,31.46,32.13,31.11,31.84,1626626
MCHP,2006-08-09,31.5,32.37,31.38,31.71,1631470
MCHP,2006-08-10,32.34,32.34,31.495,31.495,1485669
MCHP,2006-08-11,31.26,32.12,31.14,31.92,1832664
MCHP,2006-08-14,31.88,32.45,31.33,31.79,1139392
MCHP,2006-08-15,32.82,32.91,32.18,32.4,1497393
MCHP,2006-08-16,33.5,33.53,32.86,33.33,2747874
MCHP,2006-08-17,34.01,34.01,33.36,33.52,2095546
MCHP,2006-08-18,33.29,33.47,32.74,33.47,964424
MCHP,2006-08-21,33.1,33.1,32.64,33.0,934411
MCHP,2006-08-22,33.12,33.12,32.41,32.44,3502383
MCHP,2006-08-23,32.48,33.98,32.32,33.25,2508559
MCHP,2006-08-24,32.53,32.66,32.1,32.56,1577183
MCHP,2006-08-25,32.54,32.97,32.31,32.41,956009
MCHP,2006-08-28,33.19,33.19,32.33,32.37,2248432
MCHP,2006-08-29,33.45,33.45,33.11,33.11,2040365
MCHP,2006-08-30,34.08,34.12,33.18,33.28,1913771
MCHP,2006-08-31,34.16,34.26,33.85,34.17,1623205
MCHP,2006-09-01,34.59,34.59,34.16,34.16,2044369
MCHP,2006-09-04,34.59,34.59,34.16,34.16,0
MCHP,2006-09-05,34.54,34.57,33.92,34.1,1662663
MCHP,2006-09-06,33.77,34.36,33.76,34.01,1620187
