Symbol,Date,Close,High,Low,Open,Volume
MCO,2006-01-02,61.42,61.72,61.24,61.58,0
MCO,2006-01-03,63.02,63.02,62.95,62.95,1554100
MCO,2006-01-04,62.89,63.46,62.61,63.1,1253900
MCO,2006-01-05,63.12,63.16,62.65,62.65,841900
MCO,2006-01-06,63.44,63.52,63.08,63.15,851800
MCO,2006-01-09,64.51,64.51,63.4,63.4,1574800
MCO,2006-01-10,65.03,65.08,64.37,64.47,1447800
MCO,2006-01-11,65.65,65.7,64.76,65.02,1598500
MCO,2006-01-12,65.04,65.65,64.95,65.65,981000
MCO,2006-01-13,64.21,65.38,64.06,65.11,1538100
MCO,2006-01-16,64.21,65.38,64.06,65.11,0
MCO,2006-01-17,63.09,63.38,61.941,62.0,1980200
MCO,2006-01-18,63.1135,63.2,62.13,62.95,1634300
MCO,2006-01-19,62.53,62.86,62.09,62.42,1403800
MCO,2006-01-20,61.2,62.34,61.09,62.2,2050500
MCO,2006-01-23,62.94,63.27,61.92,62.75,1772300
MCO,2006-01-24,63.79,64.21,63.06,63.45,1597400
MCO,2006-01-25,63.03,64.0,62.94,63.9,1142600
MCO,2006-01-26,63.45,63.88,63.3,63.3,1256700
MCO,2006-01-27,63.92,64.34,63.3,63.6,802900
MCO,2006-01-30,64.5,64.5,63.93,64.15,815100
MCO,2006-01-31,63.32,64.93,63.31,64.5,1661500
MCO,2006-02-01,63.6,64.05,63.16,63.32,2320300
MCO,2006-02-02,63.95,64.17,63.28,63.6,2211900
MCO,2006-02-03,63.89,65.03,63.0,64.5,1894500
MCO,2006-02-06,64.0,64.26,63.78,64.1,1388200
MCO,2006-02-07,62.03,63.47,61.96,63.25,2002800
MCO,2006-02-08,62.97,63.73,62.45,62.7,1289000
MCO,2006-02-09,63.66,63.95,62.65,62.65,1592800
MCO,2006-02-10,64.1,64.23,63.4,63.67,1728700
MCO,2006-02-13,62.99,63.87,62.82,63.8,814100
MCO,2006-02-14,64.4,64.57,63.31,63.34,1740200
MCO,2006-02-15,65.0,65.07,63.86,64.15,992500
MCO,2006-02-16,65.1,65.11,64.69,64.9,869500
MCO,2006-02-17,65.01,65.12,64.74,65.1,827400
MCO,2006-02-20,65.01,65.12,64.74,65.1,0
MCO,2006-02-21,65.05,65.25,64.76,64.8,1148800
MCO,2006-02-22,67.13,67.22,65.58,65.65,1476900
MCO,2006-02-23,67.26,67.71,66.78,67.14,1080100
MCO,2006-02-24,67.96,68.0,67.11,67.26,992600
MCO,2006-02-27,68.33,68.43,67.9,67.9,1219900
MCO,2006-02-28,67.0,68.35,67.0,68.33,1416500
MCO,2006-03-01,68.39,68.44,67.0,67.1,1448900
MCO,2006-03-02,68.0,68.39,67.5,68.39,1171800
MCO,2006-03-03,67.65,68.13,66.98,67.93,1621500
MCO,2006-03-06,67.58,68.08,67.4,67.5,1116600
MCO,2006-03-07,67.11,67.75,67.06,67.7,843600
MCO,2006-03-08,66.85,67.13,66.14,67.12,1316500
MCO,2006-03-09,66.85,67.3,66.5,66.75,1094900
MCO,2006-03-10,67.55,67.55,66.55,66.7,712800
MCO,2006-03-13,67.54,67.69,67.32,67.5,731400
MCO,2006-03-14,69.15,69.15,67.44,67.54,981200
MCO,2006-03-15,69.87,70.04,68.7901,68.85,1441900
MCO,2006-03-16,69.06,70.13,69.04,70.0,1103700
MCO,2006-03-17,69.85,69.94,68.86,69.3,1334800
MCO,2006-03-20,69.66,70.11,69.56,70.0,1054000
MCO,2006-03-21,68.95,69.75,68.85,69.6,760500
MCO,2006-03-22,69.52,69.96,69.43,69.46,1372700
MCO,2006-03-23,69.72,69.85,69.05,69.65,783300
MCO,2006-03-24,70.57,70.66,69.5,69.5,965800
MCO,2006-03-27,70.69,70.69,70.47,70.57,671200
MCO,2006-03-28,69.59,70.96,69.42,70.55,846600
MCO,2006-03-29,71.16,71.38,69.46,69.6,978300
MCO,2006-03-30,70.85,71.3699,70.5,71.17,805500
MCO,2006-03-31,71.46,71.95,70.71,70.86,1179100
MCO,2006-04-03,72.31,73.29,72.03,72.05,1531300
MCO,2006-04-04,72.45,72.85,72.3,72.65,911000
MCO,2006-04-05,71.23,72.71,71.23,72.7,1428500
MCO,2006-04-06,71.0,71.26,70.68,71.23,1517300
MCO,2006-04-07,70.87,71.25,70.75,70.8,874700
MCO,2006-04-10,70.4,71.012,70.25,71.0,917900
MCO,2006-04-11,69.75,70.35,69.44,70.35,1469500
MCO,2006-04-12,69.66,69.94,69.33,69.85,801000
MCO,2006-04-13,69.7,69.86,69.48,69.7,686000
MCO,2006-04-14,69.7,69.86,69.48,69.7,0
MCO,2006-04-17,70.5,70.62,69.3,69.3,1315600
MCO,2006-04-18,71.14,71.48,70.53,70.53,2222600
MCO,2006-04-19,70.88,71.36,70.31,71.1,890900
MCO,2006-04-20,71.36,71.49,70.88,70.88,908200
MCO,2006-04-21,70.97,71.75,70.49,71.7,673200
MCO,2006-04-24,71.04,71.25,70.55,70.97,838800
MCO,2006-04-25,70.43,71.01,70.38,71.0,910900
MCO,2006-04-26,62.0,69.61,61.25,69.6,10402300
MCO,2006-04-27,62.0,62.75,60.05,62.0,3873600
MCO,2006-04-28,62.01,62.35,61.18,61.58,2295400
MCO,2006-05-01,59.93,61.79,59.9,61.55,3050200
MCO,2006-05-02,59.06,59.84,58.46,59.6,3776500
MCO,2006-05-03,58.75,59.38,58.61,58.97,3662100
MCO,2006-05-04,58.63,59.5,58.51,58.6,2558500
MCO,2006-05-05,58.6,59.04,58.35,58.98,2594500
MCO,2006-05-08,57.59,58.43,57.31,58.25,2344100
MCO,2006-05-09,55.46,57.06,55.19,57.0,4417300
MCO,2006-05-10,56.64,57.01,54.36,54.75,3910700
MCO,2006-05-11,56.18,57.15,55.97,56.9,3032500
MCO,2006-05-12,57.85,58.21,55.88,56.1,4061700
MCO,2006-05-15,58.66,58.75,57.4,57.45,3217400
MCO,2006-05-16,58.66,59.22,58.04,58.67,2602000
MCO,2006-05-17,57.15,58.34,56.54,58.3,2929700
MCO,2006-05-18,55.41,57.28,55.39,56.36,1871400
MCO,2006-05-19,54.44,55.69,54.39,55.41,2581200
MCO,2006-05-22,54.5,54.68,53.31,54.15,3153600
MCO,2006-05-23,54.02,54.85,53.97,54.5,2465700
MCO,2006-05-24,53.66,54.11,53.04,53.75,1914000
MCO,2006-05-25,53.92,54.59,53.47,54.0,1610700
MCO,2006-05-26,53.83,54.78,53.61,54.35,1463300
MCO,2006-05-29,53.83,54.78,53.61,54.35,0
MCO,2006-05-30,52.55,53.46,52.48,53.45,1850900
MCO,2006-05-31,52.3,53.12,51.92,52.62,2590400
MCO,2006-06-01,52.63,52.79,52.31,52.55,1347900
MCO,2006-06-02,52.92,53.44,52.51,52.8,1327100
MCO,2006-06-05,51.83,52.83,51.71,52.8,1482900
MCO,2006-06-06,52.99,53.5,51.9,51.9,3020500
MCO,2006-06-07,51.95,53.6,51.75,53.05,2152100
MCO,2006-06-08,52.4,52.4,51.7,51.7,2249500
MCO,2006-06-09,52.75,53.95,52.75,53.51,2508000
MCO,2006-06-12,51.91,52.84,51.9,52.6,1475700
MCO,2006-06-13,50.43,51.44,50.28,51.3,2256200
MCO,2006-06-14,50.85,50.97,49.77,50.2,2148800
MCO,2006-06-15,52.13,52.3,50.89,51.15,1251900
MCO,2006-06-16,52.73,52.74,52.1,52.23,1882600
MCO,2006-06-19,52.64,52.9,51.98,52.6,1655900
MCO,2006-06-20,52.64,52.96,52.3,52.64,1157600
MCO,2006-06-21,53.07,53.21,52.36,52.53,1522500
MCO,2006-06-22,52.7,53.63,52.44,53.2,2117200
MCO,2006-06-23,53.36,53.8,52.9,52.9,1872100
MCO,2006-06-26,53.04,53.38,52.77,53.15,2454500
MCO,2006-06-27,52.8,53.34,52.37,53.1,1739300
MCO,2006-06-28,53.56,53.65,52.75,53.05,1400800
MCO,2006-06-29,54.01,54.23,53.59,53.75,1864200
MCO,2006-06-30,54.46,55.12,54.15,54.15,2369900
MCO,2006-07-03,55.15,55.26,54.75,55.0,676800
MCO,2006-07-04,55.15,55.26,54.75,55.0,0
MCO,2006-07-05,54.93,55.06,54.04,55.05,1629300
MCO,2006-07-06,54.81,55.11,54.66,54.97,760100
MCO,2006-07-07,53.76,55.06,53.5,54.7,1413200
MCO,2006-07-10,53.77,54.43,53.73,54.02,936700
MCO,2006-07-11,53.09,53.57,52.67,53.57,1050400
MCO,2006-07-12,51.9,53.26,51.72,52.9,1451500
MCO,2006-07-13,50.45,51.45,50.01,51.45,2164000
MCO,2006-07-14,50.33,50.4499,49.76,50.24,1799000
MCO,2006-07-17,50.3,50.6,50.0,50.2,1619400
MCO,2006-07-18,51.05,51.25,50.26,50.55,1507500
MCO,2006-07-19,52.14,52.69,51.4,51.5,1241000
MCO,2006-07-20,51.11,52.2,51.11,51.95,615000
MCO,2006-07-21,50.54,51.52,50.48,51.35,899200
MCO,2006-07-24,51.95,52.08,50.54,50.59,1186700
MCO,2006-07-25,53.0,53.19,51.79,51.8,2696100
MCO,2006-07-26,54.76,55.12,54.24,54.65,3163300
MCO,2006-07-27,54.65,55.16,54.34,55.0,1084700
MCO,2006-07-28,56.08,56.35,54.8,54.8,1238200
MCO,2006-07-31,54.88,56.0,54.81,55.99,1185300
MCO,2006-08-01,54.11,55.01,53.85,55.0,1746300
MCO,2006-08-02,60.11,60.11,55.64,55.7,5257900
MCO,2006-08-03,59.4,60.25,58.8,59.05,2313300
MCO,2006-08-04,59.31,60.4071,58.99,59.94,1207900
MCO,2006-08-07,59.17,59.74,59.0,59.41,938800
MCO,2006-08-08,58.12,59.56,57.9,59.4,1416400
MCO,2006-08-09,57.65,58.71,57.5,58.37,842700
MCO,2006-08-10,57.99,58.16,56.9,57.1,1144200
MCO,2006-08-11,57.2,57.83,57.08,57.72,1114300
MCO,2006-08-14,57.03,58.3,56.93,57.6,1070700
MCO,2006-08-15,59.15,59.66,57.71,57.9,1562600
MCO,2006-08-16,59.48,59.97,59.09,59.58,1171300
MCO,2006-08-17,59.83,60.0,59.31,59.33,719900
MCO,2006-08-18,59.63,59.97,59.38,59.83,688900
MCO,2006-08-21,59.33,59.63,58.8,59.3,494600
MCO,2006-08-22,59.7,59.81,59.18,59.33,729600
MCO,2006-08-23,59.19,60.25,59.03,59.7,440600
MCO,2006-08-24,58.49,59.31,58.42,59.19,735900
MCO,2006-08-25,59.0,59.08,58.08,58.29,617400
MCO,2006-08-28,60.05,60.45,59.0,59.04,1405300
MCO,2006-08-29,60.69,60.74,59.9,60.26,1432200
MCO,2006-08-30,61.63,61.72,60.54,60.9,1305000
MCO,2006-08-31,61.18,61.95,61.02,61.95,1379500
MCO,2006-09-01,62.56,62.96,61.5,61.5,1098600
MCO,2006-09-04,62.56,62.96,61.5,61.5,0
MCO,2006-09-05,62.79,63.21,62.21,62.9,1454400
MCO,2006-09-06,61.37,62.69,61.19,62.69,1020799
MCO,2006-09-07,60.59,61.3,60.5,61.15,1081000
MCO,2006-09-08,61.85,61.96,60.8,60.95,868100
MCO,2006-09-11,62.17,62.53,61.13,61.85,1094700
MCO,2006-09-12,62.17,62.51,61.82,62.17,1290100
MCO,2006-09-13,63.37,63.39,61.9,62.07,915500
MCO,2006-09-14,63.2,63.8,62.93,63.37,838000
MCO,2006-09-15,64.67,64.87,63.35,63.65,2205000
MCO,2006-09-18,63.38,65.16,63.38,64.9,1153200
MCO,2006-09-19,62.73,63.88,62.63,63.4,1041199
MCO,2006-09-20,63.25,63.61,62.95,62.95,610100
MCO,2006-09-21,63.45,63.75,63.12,63.5,775000
MCO,2006-09-22,63.12,63.68,63.0,63.46,507800
MCO,2006-09-25,63.68,63.95,62.78,63.45,778800
MCO,2006-09-26,63.73,64.0201,63.3,63.85,896700
MCO,2006-09-27,63.44,63.8,63.24,63.3,863400
MCO,2006-09-28,62.97,63.56,62.89,63.3,845400
MCO,2006-09-29,65.38,65.84,63.25,63.25,2158800
MCO,2006-10-02,64.25,65.45,63.75,65.38,1203300
MCO,2006-10-03,61.78,64.06,61.29,64.0,2581000
MCO,2006-10-04,62.95,63.05,61.68,61.7,1062000
MCO,2006-10-05,63.0,63.16,62.0,62.8,1011900
MCO,2006-10-06,61.97,62.93,61.8,62.55,816300
MCO,2006-10-09,60.91,61.99,60.6,61.85,1482000
MCO,2006-10-10,61.55,61.7,60.8,60.8,1058900
MCO,2006-10-11,61.42,61.83,60.82,61.4,968500
MCO,2006-10-12,61.6,62.31,61.4,61.4,1214200
MCO,2006-10-13,62.76,62.91,61.74,61.82,1090000
MCO,2006-10-16,63.39,63.8,62.72,63.21,987500
MCO,2006-10-17,62.85,63.46,62.73,63.39,674800
MCO,2006-10-18,63.67,63.84,62.76,63.35,850500
MCO,2006-10-19,65.57,66.67,64.15,64.15,1983200
MCO,2006-10-20,65.17,66.44,64.72,66.0,1238900
MCO,2006-10-23,66.13,66.25,64.64,64.65,946200
MCO,2006-10-24,64.43,65.87,64.32,65.64,1204600
MCO,2006-10-25,65.12,66.11,64.06,66.1,1394600
MCO,2006-10-26,66.45,66.83,65.16,65.16,1275800
MCO,2006-10-27,65.92,66.98,65.88,66.6,764200
MCO,2006-10-30,65.7,66.4,65.42,65.88,867500
MCO,2006-10-31,66.3,67.15,65.88,66.26,1885100
MCO,2006-11-01,65.9,66.33,65.48,66.16,1594700
MCO,2006-11-02,65.55,66.01,65.27,65.9,1004300
MCO,2006-11-03,65.78,66.31,65.58,65.9,907000
MCO,2006-11-06,66.06,66.6,65.85,65.97,749900
MCO,2006-11-07,66.02,66.49,65.71,66.0,813900
MCO,2006-11-08,66.07,66.14,65.65,66.0,1035900
MCO,2006-11-09,66.17,66.84,65.85,66.14,1077400
MCO,2006-11-10,66.24,66.45,65.36,65.9,741700
MCO,2006-11-13,67.97,68.0,66.09,66.24,1256600
MCO,2006-11-14,68.54,68.6,67.24,68.0,1128800
MCO,2006-11-15,68.79,69.65,68.44,68.75,1461600
MCO,2006-11-16,69.3,69.61,68.98,69.15,873400
MCO,2006-11-17,68.88,69.51,68.77,69.11,642700
MCO,2006-11-20,69.74,69.94,68.58,69.03,1304200
MCO,2006-11-21,69.43,70.0,69.34,69.99,776500
MCO,2006-11-22,69.94,70.0,69.48,69.55,563900
MCO,2006-11-23,69.94,70.0,69.48,69.55,0
MCO,2006-11-24,69.73,70.05,69.51,69.85,237500
MCO,2006-11-27,67.76,69.54,67.29,69.45,1460300
MCO,2006-11-28,68.5,68.65,67.25,67.25,1845700
MCO,2006-11-29,69.28,69.38,68.14,68.57,1493200
MCO,2006-11-30,69.48,70.09,68.82,69.44,2019699
MCO,2006-12-01,69.3,70.26,68.81,70.26,1086500
MCO,2006-12-04,70.13,70.23,69.35,69.54,909900
MCO,2006-12-05,70.19,70.35,69.46,70.12,848400
MCO,2006-12-06,71.49,71.7,70.2,70.2,1755400
MCO,2006-12-07,70.01,71.5,69.82,71.47,894300
MCO,2006-12-08,69.46,70.5,69.35,70.1,913100
MCO,2006-12-11,69.65,70.24,69.45,69.46,770500
MCO,2006-12-12,69.58,70.5,69.5,69.75,939600
MCO,2006-12-13,70.28,70.68,69.96,70.1,694100
MCO,2006-12-14,70.12,70.98,69.79,70.39,667300
MCO,2006-12-15,69.82,70.62,69.24,70.23,989800
MCO,2006-12-18,69.69,70.03,68.82,68.82,1122100
MCO,2006-12-19,69.9,69.98,69.5,69.59,911200
