Symbol,Date,Close,High,Low,Open,Volume
MDT,2006-01-02,57.57,57.98,57.45,57.79,0
MDT,2006-01-03,57.85,58.04,57.04,57.87,4498200
MDT,2006-01-04,58.37,58.46,58.05,58.45,3188500
MDT,2006-01-05,57.7,58.39,57.41,58.39,4508900
MDT,2006-01-06,58.92,59.0,57.94,57.95,5200200
MDT,2006-01-09,59.05,59.17,57.54,58.9,4129100
MDT,2006-01-10,58.86,58.91,57.9,58.6,4491500
MDT,2006-01-11,58.54,58.85,58.15,58.8,3620400
MDT,2006-01-12,58.18,59.01,58.05,58.59,2892100
MDT,2006-01-13,58.34,58.45,57.85,58.18,2467700
MDT,2006-01-16,58.34,58.45,57.85,58.18,0
MDT,2006-01-17,58.8,58.93,58.192,58.34,3900300
MDT,2006-01-18,59.53,59.78,58.91,58.95,3462000
MDT,2006-01-19,59.54,59.87,59.35,59.6,3304700
MDT,2006-01-20,58.82,59.54,58.62,59.54,3842100
MDT,2006-01-23,59.04,59.24,58.64,58.85,2630700
MDT,2006-01-24,59.23,59.27,58.85,58.95,2790000
MDT,2006-01-25,57.27,59.23,57.13,58.8,6050800
MDT,2006-01-26,57.15,57.61,57.0,57.36,4145800
MDT,2006-01-27,57.0,58.1,56.5,58.1,3814700
MDT,2006-01-30,56.8,57.1,56.4,57.0,4020500
MDT,2006-01-31,56.47,56.88,56.02,56.88,4649100
MDT,2006-02-01,55.98,56.61,55.7,56.47,4004500
MDT,2006-02-02,55.97,56.3,55.55,55.98,3145300
MDT,2006-02-03,55.34,56.07,55.07,55.55,4307200
MDT,2006-02-06,54.75,55.3,54.55,55.1,4331600
MDT,2006-02-07,54.7,55.09,54.34,54.5,4172900
MDT,2006-02-08,55.47,55.75,54.87,55.0,3769400
MDT,2006-02-09,55.44,56.07,55.37,55.47,3226300
MDT,2006-02-10,55.79,55.79,55.14,55.49,3376300
MDT,2006-02-13,56.0,56.08,55.52,55.7,2928100
MDT,2006-02-14,56.92,56.99,56.25,56.35,3637400
MDT,2006-02-15,57.14,57.28,56.33,56.73,2783600
MDT,2006-02-16,56.47,56.93,56.05,56.9,4021800
MDT,2006-02-17,56.26,56.74,55.7,56.47,3589700
MDT,2006-02-20,56.26,56.74,55.7,56.47,0
MDT,2006-02-21,55.57,56.0,55.45,55.95,4355700
MDT,2006-02-22,54.3,55.55,54.15,55.2,8429800
MDT,2006-02-23,54.27,54.65,53.6,54.35,5124800
MDT,2006-02-24,54.07,54.35,53.63,54.0,3377200
MDT,2006-02-27,54.7,54.95,54.06,54.08,4221800
MDT,2006-02-28,53.95,54.36,53.38,54.35,5588400
MDT,2006-03-01,53.78,54.18,53.46,53.95,5264400
MDT,2006-03-02,53.8,53.9,53.25,53.45,4794300
MDT,2006-03-03,53.53,53.94,53.49,53.78,3222000
MDT,2006-03-06,53.39,53.74,53.17,53.7,3242100
MDT,2006-03-07,53.23,53.44,53.02,53.17,3240500
MDT,2006-03-08,53.3,53.41,52.92,53.1,4109700
MDT,2006-03-09,53.83,53.97,53.47,53.5,4380000
MDT,2006-03-10,53.92,54.22,53.55,53.73,3991500
MDT,2006-03-13,53.31,53.88,53.15,53.86,2790700
MDT,2006-03-14,53.3,53.6,52.81,53.0,3615900
MDT,2006-03-15,53.15,53.6,52.8,53.6,3826800
MDT,2006-03-16,52.96,53.2,52.8,53.05,3739800
MDT,2006-03-17,52.66,52.99,52.47,52.98,5293300
MDT,2006-03-20,53.53,53.7,52.38,52.65,3770600
MDT,2006-03-21,53.11,53.65,53.01,53.54,2779700
MDT,2006-03-22,53.83,53.9,52.5,52.5,2868000
MDT,2006-03-23,53.86,54.52,53.31,54.52,4417500
MDT,2006-03-24,53.23,54.0999,53.2,53.86,4572400
MDT,2006-03-27,51.84,53.01,51.79,53.0,5613100
MDT,2006-03-28,52.02,52.33,51.42,51.8,6192700
MDT,2006-03-29,51.88,52.33,51.5,52.0,5833300
MDT,2006-03-30,51.791,51.791,51.58,51.75,4718600
MDT,2006-03-31,50.75,51.11,50.55,51.1,7599300
MDT,2006-04-03,51.14,51.44,50.92,51.26,6665400
MDT,2006-04-04,51.5,51.71,50.87,51.3,5381300
MDT,2006-04-05,50.58,50.9,50.0,50.5,16995000
MDT,2006-04-06,51.49,51.64,50.75,50.8,7324300
MDT,2006-04-07,50.95,51.55,50.9,51.45,5432100
MDT,2006-04-10,50.93,51.16,50.45,50.66,4026000
MDT,2006-04-11,50.5,51.09,50.34,51.0,5113500
MDT,2006-04-12,51.04,51.71,50.44,50.78,7491200
MDT,2006-04-13,49.93,51.04,49.62,50.57,133076900
MDT,2006-04-14,49.93,51.04,49.62,50.57,0
MDT,2006-04-17,49.56,50.52,49.5,49.93,9781800
MDT,2006-04-18,49.29,49.97,48.95,49.65,13043100
MDT,2006-04-19,49.11,49.55,48.96,49.29,8891400
MDT,2006-04-20,49.45,50.0,49.19,49.19,12774000
MDT,2006-04-21,49.52,50.28,49.28,49.85,6692900
MDT,2006-04-24,49.79,49.92,49.2,49.5,7024600
MDT,2006-04-25,49.05,49.85,48.77,49.8,8546900
MDT,2006-04-26,49.73,49.9,49.22,49.3,8177600
MDT,2006-04-27,49.89,50.73,49.69,50.73,7755100
MDT,2006-04-28,50.12,50.25,49.85,49.9,5417100
MDT,2006-05-01,49.95,50.31,49.8,50.15,5156600
MDT,2006-05-02,49.52,50.06,49.16,50.06,5743100
MDT,2006-05-03,48.49,49.53,48.28,49.53,6688400
MDT,2006-05-04,48.54,48.93,48.2,48.65,6688400
MDT,2006-05-05,48.36,48.82,48.02,48.75,14051300
MDT,2006-05-08,48.05,48.39,47.94,48.37,8078799
MDT,2006-05-09,48.35,48.43,48.0,48.02,10335600
MDT,2006-05-10,48.34,48.49,48.05,48.17,6352600
MDT,2006-05-11,48.75,48.77,48.25,48.33,6098200
MDT,2006-05-12,48.72,48.84,48.35,48.74,7066400
MDT,2006-05-15,49.05,49.12,48.44,48.5,6756700
MDT,2006-05-16,49.38,49.53,49.28,49.4,5290500
MDT,2006-05-17,49.19,49.66,49.12,49.3,7449000
MDT,2006-05-18,49.35,49.55,48.9,49.0,7292900
MDT,2006-05-19,49.3,49.65,49.0,49.5,7608100
MDT,2006-05-22,48.57,49.11,48.51,49.05,7418100
MDT,2006-05-23,47.95,48.65,47.8,48.4,8786300
MDT,2006-05-24,50.17,50.64,48.84,49.48,15261800
MDT,2006-05-25,50.6,51.15,50.17,50.18,9201800
MDT,2006-05-26,50.26,50.87,50.01,50.61,4798400
MDT,2006-05-29,50.26,50.87,50.01,50.61,0
MDT,2006-05-30,50.27,50.62,50.09,50.45,5626300
MDT,2006-05-31,50.49,50.5,49.95,50.37,5324300
MDT,2006-06-01,51.02,51.05,50.5,50.5,4684500
MDT,2006-06-02,51.2,51.4,51.07,51.2,5550700
MDT,2006-06-05,50.71,51.35,50.55,51.0,4185300
MDT,2006-06-06,50.87,51.07,50.52,50.72,4538600
MDT,2006-06-07,51.43,51.83,51.05,51.1,5289100
MDT,2006-06-08,51.33,51.63,50.8,51.4,6519200
MDT,2006-06-09,50.88,51.5,50.74,51.1,4165499
MDT,2006-06-12,50.58,51.07,50.56,50.88,3060600
MDT,2006-06-13,50.65,51.2,50.39,50.45,5908900
MDT,2006-06-14,50.57,51.0,50.35,50.85,4724300
MDT,2006-06-15,50.53,50.58,49.92,50.5,6811700
MDT,2006-06-16,50.25,50.68,50.15,50.37,4869300
MDT,2006-06-19,49.75,50.51,49.66,50.5,3380900
MDT,2006-06-20,49.75,49.9,49.5,49.6,3682300
MDT,2006-06-21,49.38,50.35,49.2,50.35,4608700
MDT,2006-06-22,48.95,49.48,48.81,49.15,7203000
MDT,2006-06-23,48.48,48.93,48.46,48.5,4259900
MDT,2006-06-26,48.28,48.74,48.16,48.6,3484500
MDT,2006-06-27,47.24,48.35,47.14,48.1,9018800
MDT,2006-06-28,46.99,47.5,46.77,47.14,5940100
MDT,2006-06-29,47.0,47.24,46.91,47.15,8137600
MDT,2006-06-30,46.92,47.15,46.58,47.1,10345700
MDT,2006-07-03,46.86,47.15,46.75,47.0,2840400
MDT,2006-07-04,46.86,47.15,46.75,47.0,0
MDT,2006-07-05,47.05,47.18,46.41,46.5,7252000
MDT,2006-07-06,47.43,47.57,47.12,47.25,5513800
MDT,2006-07-07,47.59,47.74,47.21,47.41,4983700
MDT,2006-07-10,47.7,47.95,46.94,47.25,4697900
MDT,2006-07-11,47.98,48.13,47.57,47.57,4224400
MDT,2006-07-12,47.73,48.0864,47.64,47.8,6196100
MDT,2006-07-13,47.5,47.92,47.43,47.73,5548600
MDT,2006-07-14,47.05,47.73,46.74,47.45,6297200
MDT,2006-07-17,47.5,47.71,46.99,47.0,3585200
MDT,2006-07-18,47.28,47.68,46.72,47.51,3432300
MDT,2006-07-19,47.82,48.1,47.35,47.45,5890200
MDT,2006-07-20,47.95,48.23,47.5775,47.7,2522300
MDT,2006-07-21,47.81,48.22,47.54,48.0,3399100
MDT,2006-07-24,47.7,48.15,47.62,47.9,4197400
MDT,2006-07-25,49.32,49.64,47.32,47.4,8520800
MDT,2006-07-26,49.9,50.1,49.09,49.5,6485200
MDT,2006-07-27,49.81,50.09,49.38,50.08,4251300
MDT,2006-07-28,50.5,50.72,49.9,50.12,4722000
MDT,2006-07-31,50.52,50.66,49.91,50.3,6188800
MDT,2006-08-01,50.47,50.47,49.94,50.2,4578000
MDT,2006-08-02,50.93,52.75,50.8,52.75,12130100
MDT,2006-08-03,44.32,45.89,44.2,45.01,47811000
MDT,2006-08-04,43.62,44.85,43.48,44.5,12963000
MDT,2006-08-07,43.8,43.85,43.55,43.6,5408900
MDT,2006-08-08,42.88,44.05,42.83,44.0,8539000
MDT,2006-08-09,43.55,43.9,43.23,43.5,7422900
MDT,2006-08-10,43.4,43.75,43.1599,43.25,5419200
MDT,2006-08-11,43.06,43.33,42.96,43.1,4433400
MDT,2006-08-14,42.47,43.25,42.37,42.87,8899300
MDT,2006-08-15,43.25,43.37,42.44,42.5,7845600
MDT,2006-08-16,43.3,43.55,43.16,43.4,6706900
MDT,2006-08-17,44.5,45.45,43.1,43.11,15585900
MDT,2006-08-18,45.53,45.75,44.5,44.58,8535500
MDT,2006-08-21,45.57,45.83,44.9,45.0,6253700
MDT,2006-08-22,45.36,45.6,44.97,45.25,5608200
MDT,2006-08-23,45.31,46.25,44.61,45.95,11636200
MDT,2006-08-24,46.2,46.49,44.41,44.41,5457800
MDT,2006-08-25,46.14,46.49,45.67,46.32,2845500
MDT,2006-08-28,45.94,46.46,45.89,46.1,4728700
MDT,2006-08-29,45.98,46.39,45.7,46.39,4405800
MDT,2006-08-30,46.55,46.75,46.07,46.22,5769000
MDT,2006-08-31,46.9,47.02,46.55,47.0,4344500
MDT,2006-09-01,46.91,47.1,46.64,47.1,3446200
MDT,2006-09-04,46.91,47.1,46.64,47.1,0
MDT,2006-09-05,46.53,47.2,46.42,47.1,3246600
MDT,2006-09-06,46.8,46.93,46.38,46.55,3923600
MDT,2006-09-07,46.74,46.9,46.5,46.8,3905400
MDT,2006-09-08,46.66,46.96,44.1,44.1,3257900
MDT,2006-09-11,46.85,48.49,44.86,48.49,3376600
MDT,2006-09-12,47.18,47.18,46.19,46.85,5107000
MDT,2006-09-13,46.36,47.15,46.3,47.14,5677400
MDT,2006-09-14,46.41,46.62,46.352,46.36,6424000
MDT,2006-09-15,46.2,46.58,46.01,46.47,10302000
MDT,2006-09-18,46.52,46.53,45.5,45.5,4381200
MDT,2006-09-19,46.49,46.9,46.37,46.52,4245900
MDT,2006-09-20,47.53,47.84,46.6,46.75,6602000
MDT,2006-09-21,47.23,47.75,47.02,47.65,5282300
MDT,2006-09-22,46.6,46.91,46.17,46.9,7011000
MDT,2006-09-25,46.47,47.05,46.06,47.0,5059400
MDT,2006-09-26,46.28,46.55,45.93,46.2,5522300
MDT,2006-09-27,45.97,46.27,45.88,46.03,5733700
MDT,2006-09-28,46.35,46.36,45.3,45.88,7301300
MDT,2006-09-29,46.44,46.68,46.03,46.1,6367200
MDT,2006-10-02,46.7,47.18,46.5,46.5,5472200
MDT,2006-10-03,47.25,47.6,46.82,46.92,7460300
MDT,2006-10-04,48.92,49.0,47.2,47.35,10097500
MDT,2006-10-05,49.18,49.63,48.17,48.5,8374599
MDT,2006-10-06,49.29,49.48,49.02,49.18,4370900
MDT,2006-10-09,49.29,49.4,49.05,49.2,2593100
MDT,2006-10-10,49.44,49.47,49.0,49.31,4083599
MDT,2006-10-11,49.09,49.49,49.0,49.44,5299800
MDT,2006-10-12,49.02,49.1,48.5,49.09,5284900
MDT,2006-10-13,48.62,49.1,48.55,49.0,3993300
MDT,2006-10-16,48.63,49.15,48.51,48.79,3043900
MDT,2006-10-17,48.65,48.78,48.46,48.63,3991800
MDT,2006-10-18,48.1,48.86,47.91,48.65,6601800
MDT,2006-10-19,48.08,48.12,47.59,47.8,5276200
MDT,2006-10-20,48.44,48.83,47.953,48.3,5289000
MDT,2006-10-23,48.52,48.68,48.1,48.22,4129200
MDT,2006-10-24,49.02,49.38,48.73,48.95,7739200
MDT,2006-10-25,48.99,49.25,48.64,49.22,4555700
MDT,2006-10-26,48.76,48.98,48.6,48.92,3541300
MDT,2006-10-27,48.67,48.9,48.57,48.65,3113600
MDT,2006-10-30,48.7,49.16,48.62,48.79,2725900
MDT,2006-10-31,48.68,48.81,48.42,48.63,3812000
MDT,2006-11-01,48.66,48.91,48.5,48.72,4548600
MDT,2006-11-02,48.92,48.93,48.44,48.44,3650700
MDT,2006-11-03,49.01,49.2,48.86,49.0,4548800
MDT,2006-11-06,49.59,49.62,49.0,49.04,4475400
MDT,2006-11-07,49.51,50.08,49.5,49.84,3706300
MDT,2006-11-08,49.45,49.54,49.05,49.37,3966600
MDT,2006-11-09,49.02,49.85,48.88,49.36,5679900
MDT,2006-11-10,48.96,49.25,48.84,48.97,2838900
MDT,2006-11-13,48.9,49.35,48.86,49.01,2330600
MDT,2006-11-14,48.96,49.23,48.26,48.51,5091200
MDT,2006-11-15,48.33,49.23,48.2,48.97,6476200
MDT,2006-11-16,48.81,49.09,48.21,48.21,7122500
MDT,2006-11-17,48.71,48.83,48.05,48.83,8620500
MDT,2006-11-20,48.95,49.23,48.63,48.85,5670200
MDT,2006-11-21,53.55,53.86,52.29,52.5,26647200
MDT,2006-11-22,53.87,54.18,52.95,53.0,7054200
MDT,2006-11-23,53.87,54.18,52.95,53.0,0
MDT,2006-11-24,53.45,53.57,53.26,53.47,1449300
MDT,2006-11-27,52.82,53.08,52.19,53.03,7068400
MDT,2006-11-28,52.65,52.99,52.46,52.51,5767800
MDT,2006-11-29,52.73,52.96,52.28,52.56,3769200
MDT,2006-11-30,52.13,52.82,52.07,52.68,4881300
MDT,2006-12-01,52.16,52.58,51.4,51.72,5805900
MDT,2006-12-04,53.35,53.51,52.11,52.33,5970500
MDT,2006-12-05,53.1,53.55,52.81,53.0,5423600
MDT,2006-12-06,53.58,53.72,53.0,53.1,3678800
MDT,2006-12-07,53.53,53.87,53.24,53.58,6718600
MDT,2006-12-08,53.43,53.7,53.06,53.25,2999600
MDT,2006-12-11,53.92,54.22,53.45,53.49,4414100
MDT,2006-12-12,54.16,54.39,53.31,53.75,4154300
MDT,2006-12-13,54.11,54.48,53.9,54.28,4018000
MDT,2006-12-14,53.94,54.4,53.84,54.1,3979100
MDT,2006-12-15,54.3,54.49,53.45,53.45,4147999
MDT,2006-12-18,54.13,54.35,53.75,54.0,2908300
MDT,2006-12-19,54.38,54.66,53.96,54.14,3335100
MDT,2006-12-20,54.31,54.53,53.69,53.69,2956900
MDT,2006-12-21,53.7,54.53,53.65,54.26,2552500
MDT,2006-12-22,53.22,53.79,53.22,53.73,2114900
