Symbol,Date,Close,High,Low,Open,Volume
MKC,2006-01-02,30.92,30.92,30.65,30.75,0
MKC,2006-01-03,31.21,31.24,30.65,31.19,718900
MKC,2006-01-04,32.11,32.11,31.3,31.36,1043900
MKC,2006-01-05,31.94,32.05,31.84,32.0,764000
MKC,2006-01-06,31.6,32.15,31.46,32.0,1186800
MKC,2006-01-09,31.25,31.65,31.22,31.5,1063200
MKC,2006-01-10,30.75,31.14,30.59,31.08,851900
MKC,2006-01-11,30.27,30.87,30.25,30.75,901200
MKC,2006-01-12,30.69,30.76,30.16,30.19,484300
MKC,2006-01-13,30.85,31.23,30.75,30.76,363100
MKC,2006-01-16,30.85,31.23,30.75,30.76,0
MKC,2006-01-17,30.68,30.96,30.66,30.88,263800
MKC,2006-01-18,30.66,31.2,30.46,30.49,444500
MKC,2006-01-19,30.9,30.98,30.52,30.7,249000
MKC,2006-01-20,30.49,30.87,30.49,30.7,365900
MKC,2006-01-23,31.25,31.88,30.8,31.75,619400
MKC,2006-01-24,31.44,31.53,31.03,31.35,905700
MKC,2006-01-25,31.0,31.7,30.81,31.5,938200
MKC,2006-01-26,30.9,31.75,30.77,31.2,549000
MKC,2006-01-27,31.16,31.23,30.87,31.08,291800
MKC,2006-01-30,30.69,31.14,30.63,31.1,415100
MKC,2006-01-31,30.21,30.6,30.18,30.58,917000
MKC,2006-02-01,30.42,30.65,30.09,30.09,490600
MKC,2006-02-02,30.48,30.59,30.31,30.33,281500
MKC,2006-02-03,30.61,30.72,30.27,30.27,397300
MKC,2006-02-06,30.73,30.93,30.52,30.52,497100
MKC,2006-02-07,30.76,30.81,30.46,30.5,648000
MKC,2006-02-08,31.33,31.34,30.64,30.75,643400
MKC,2006-02-09,31.6,31.82,31.26,31.32,776300
MKC,2006-02-10,31.91,31.91,31.47,31.55,521400
MKC,2006-02-13,31.68,31.906,31.55,31.81,423100
MKC,2006-02-14,31.82,31.98,31.5,31.65,706900
MKC,2006-02-15,32.13,32.2,31.62,31.7,330900
MKC,2006-02-16,32.55,32.55,32.01,32.11,290300
MKC,2006-02-17,32.9,33.1,32.36,32.65,625000
MKC,2006-02-20,32.9,33.1,32.36,32.65,0
MKC,2006-02-21,32.9,33.23,32.79,32.85,966300
MKC,2006-02-22,32.85,33.34,32.8,32.87,768200
MKC,2006-02-23,33.3,33.57,32.85,32.85,925500
MKC,2006-02-24,33.37,33.46,33.2,33.2,465100
MKC,2006-02-27,33.25,33.42,33.11,33.31,358300
MKC,2006-02-28,32.83,33.2,32.74,33.09,776500
MKC,2006-03-01,32.8,33.0,32.6,32.85,325500
MKC,2006-03-02,32.77,32.94,32.56,32.7,401500
MKC,2006-03-03,32.85,33.06,32.57,32.7,325600
MKC,2006-03-06,32.72,32.93,32.59,32.85,312000
MKC,2006-03-07,32.79,32.93,31.89,32.66,380300
MKC,2006-03-08,33.18,33.31,32.72,32.79,382900
MKC,2006-03-09,33.42,33.5,33.13,33.13,371400
MKC,2006-03-10,33.75,33.8,33.32,33.47,510000
MKC,2006-03-13,33.89,34.05,33.65,33.71,519700
MKC,2006-03-14,34.05,34.06,33.74,33.8,334700
MKC,2006-03-15,33.95,34.04,33.9,34.02,386900
MKC,2006-03-16,34.27,34.28,33.85,33.93,612500
MKC,2006-03-17,34.37,34.42,33.97,34.42,536200
MKC,2006-03-20,34.06,34.25,33.87,34.2,602200
MKC,2006-03-21,34.91,35.03,33.0,33.18,1221700
MKC,2006-03-22,34.82,34.94,34.5,34.85,887100
MKC,2006-03-23,35.0,35.02,34.62,34.64,616600
MKC,2006-03-24,35.04,35.05,34.82,35.0,455300
MKC,2006-03-27,34.24,34.93,34.01,34.9,614600
MKC,2006-03-28,33.9,34.19,33.88,34.14,489400
MKC,2006-03-29,34.17,34.26,33.67,33.76,385900
MKC,2006-03-30,33.7,34.03,33.66,33.92,364800
MKC,2006-03-31,33.86,34.0,33.63,33.77,382200
MKC,2006-04-03,33.86,34.11,33.57,33.8,574200
MKC,2006-04-04,34.2,34.23,33.87,33.92,400400
MKC,2006-04-05,33.98,34.22,33.77,34.09,401300
MKC,2006-04-06,33.68,33.99,33.57,33.99,225600
MKC,2006-04-07,33.84,33.93,33.55,33.73,404300
MKC,2006-04-10,34.09,34.19,33.82,33.95,419400
MKC,2006-04-11,33.81,34.23,33.66,34.23,533300
MKC,2006-04-12,33.7,33.94,33.62,33.9,272500
MKC,2006-04-13,33.56,33.71,33.48,33.65,333300
MKC,2006-04-14,33.56,33.71,33.48,33.65,0
MKC,2006-04-17,33.4,33.53,33.21,33.5,353300
MKC,2006-04-18,33.23,33.47,33.23,33.4,538600
MKC,2006-04-19,33.55,33.67,33.22,33.3,471000
MKC,2006-04-20,33.99,34.06,33.42,33.55,396800
MKC,2006-04-21,34.31,34.4,34.1,34.21,587300
MKC,2006-04-24,34.28,34.39,34.15,34.31,371600
MKC,2006-04-25,34.58,34.65,34.15,34.33,459700
MKC,2006-04-26,34.75,34.82,34.56,34.58,335800
MKC,2006-04-27,35.01,35.08,34.53,34.79,432700
MKC,2006-04-28,34.83,35.04,34.62,35.03,336500
MKC,2006-05-01,34.7,35.06,34.66,34.68,407700
MKC,2006-05-02,35.16,35.24,34.5,34.65,312300
MKC,2006-05-03,34.44,35.41,34.39,35.3,641700
MKC,2006-05-04,34.63,34.84,34.41,34.41,311600
MKC,2006-05-05,35.02,35.11,34.59,34.77,446900
MKC,2006-05-08,35.11,35.37,34.85,34.94,342600
MKC,2006-05-09,35.25,35.31,34.98,35.16,259400
MKC,2006-05-10,35.16,35.49,34.84,35.31,297100
MKC,2006-05-11,34.71,35.12,34.54,35.12,278100
MKC,2006-05-12,34.62,34.7,34.2,34.59,458000
MKC,2006-05-15,35.04,35.14,34.32,34.45,397000
MKC,2006-05-16,35.35,35.42,34.945,35.02,430900
MKC,2006-05-17,34.84,35.37,34.77,35.19,375300
MKC,2006-05-18,34.7,34.93,34.49,34.8,262200
MKC,2006-05-19,35.02,35.1,34.43,34.79,637300
MKC,2006-05-22,34.83,35.22,34.76,34.92,447800
MKC,2006-05-23,34.6,35.05,34.57,34.9,599900
MKC,2006-05-24,34.72,34.9,34.48,34.58,613600
MKC,2006-05-25,34.92,34.96,34.57,34.85,973000
MKC,2006-05-26,34.95,35.02,34.78,34.9,649500
MKC,2006-05-29,34.95,35.02,34.78,34.9,0
MKC,2006-05-30,34.7,35.2,34.68,35.05,610300
MKC,2006-05-31,34.45,34.83,34.31,34.76,749500
MKC,2006-06-01,34.3,34.5,34.12,34.35,906400
MKC,2006-06-02,34.14,34.3,33.95,34.28,747000
MKC,2006-06-05,33.77,34.35,33.75,34.09,501100
MKC,2006-06-06,33.7,34.1,33.48,33.77,603700
MKC,2006-06-07,33.66,33.97,33.6,33.75,377500
MKC,2006-06-08,33.2,33.77,32.39,33.77,1188900
MKC,2006-06-09,33.23,33.41,33.12,33.12,616900
MKC,2006-06-12,33.25,33.76,33.19,33.41,495800
MKC,2006-06-13,32.83,33.33,32.82,33.21,607600
MKC,2006-06-14,32.84,32.99,32.6,32.78,697800
MKC,2006-06-15,32.99,33.0,32.72,32.91,562500
MKC,2006-06-16,32.97,33.07,32.93,32.99,895200
MKC,2006-06-19,32.7,33.1,32.62,33.04,463400
MKC,2006-06-20,32.75,32.9,32.65,32.74,898600
MKC,2006-06-21,32.62,32.84,32.54,32.74,592800
MKC,2006-06-22,32.54,32.67,32.35,32.63,556500
MKC,2006-06-23,32.55,32.64,32.22,32.45,978000
MKC,2006-06-26,32.84,32.85,32.46,32.52,1173900
MKC,2006-06-27,32.67,32.84,32.48,32.79,718100
MKC,2006-06-28,33.55,33.71,32.99,33.25,1845800
MKC,2006-06-29,33.59,33.7,33.39,33.5,876900
MKC,2006-06-30,33.55,33.69,33.34,33.69,1099000
MKC,2006-07-03,33.81,33.96,33.61,33.65,273700
MKC,2006-07-04,33.81,33.96,33.61,33.65,0
MKC,2006-07-05,33.56,33.93,33.4,33.73,785400
