Symbol,Date,Close,High,Low,Open,Volume
MMC,2006-01-02,31.76,31.93,31.23,31.75,0
MMC,2006-01-03,31.88,32.239,31.47,32.0,3008400
MMC,2006-01-04,31.9,32.04,31.82,31.93,3625300
MMC,2006-01-05,32.0,32.04,31.6,31.62,2293800
MMC,2006-01-06,32.39,32.41,31.95,32.22,2596800
MMC,2006-01-09,32.55,32.55,32.29,32.29,2402000
MMC,2006-01-10,32.17,32.41,31.88,32.35,3282600
MMC,2006-01-11,32.73,32.73,32.27,32.29,2585200
MMC,2006-01-12,32.01,32.61,31.94,32.53,2738000
MMC,2006-01-13,32.09,32.39,31.9,32.16,1658200
MMC,2006-01-16,32.09,32.39,31.9,32.16,0
MMC,2006-01-17,31.86,32.01,31.61,31.95,1439000
MMC,2006-01-18,31.62,31.83,31.42,31.57,1693700
MMC,2006-01-19,31.12,31.53,30.99,31.44,2705600
MMC,2006-01-20,30.65,31.2,30.5,31.12,2605900
MMC,2006-01-23,30.92,31.3,30.0,30.65,2855800
MMC,2006-01-24,30.96,31.25,30.91,30.93,1386400
MMC,2006-01-25,30.85,31.14,30.55,31.1,2029900
MMC,2006-01-26,30.85,31.31,30.84,31.01,2105100
MMC,2006-01-27,30.88,31.11,30.61,30.85,2260900
MMC,2006-01-30,30.6,31.0,30.58,30.9,1841900
MMC,2006-01-31,30.39,30.76,30.02,30.67,3528400
MMC,2006-02-01,30.12,30.5,29.94,30.45,2483400
MMC,2006-02-02,30.0,30.26,29.69,30.02,2623500
MMC,2006-02-03,30.28,30.52,29.75,29.75,2003000
MMC,2006-02-06,30.2,30.31,30.05,30.25,2397800
MMC,2006-02-07,29.85,30.27,29.83,30.04,1364300
MMC,2006-02-08,31.04,31.08,29.8,29.8,2513900
MMC,2006-02-09,31.15,31.28,30.75,31.04,2853700
MMC,2006-02-10,31.52,31.57,30.85,31.17,3062500
MMC,2006-02-13,31.22,31.45,30.98,31.2,2249000
MMC,2006-02-14,29.71,30.94,29.05,30.0,10343500
MMC,2006-02-15,29.47,29.75,29.17,29.71,5135600
MMC,2006-02-16,30.29,30.48,29.4,29.48,3518600
MMC,2006-02-17,29.8,30.24,29.78,30.2,2945400
MMC,2006-02-20,29.8,30.24,29.78,30.2,0
MMC,2006-02-21,29.49,29.92,29.47,29.91,1928800
MMC,2006-02-22,29.85,29.95,29.59,29.62,2068499
MMC,2006-02-23,29.82,29.94,29.72,29.85,1697300
MMC,2006-02-24,30.0,30.2,29.76,29.77,1668600
MMC,2006-02-27,30.81,30.9,29.87,29.87,4784600
MMC,2006-02-28,30.91,30.98,30.61,30.81,3016000
MMC,2006-03-01,30.9,30.99,30.49,30.85,2667000
MMC,2006-03-02,31.29,31.39,30.75,30.75,3151000
MMC,2006-03-03,31.25,31.5,30.8,31.1,3379200
MMC,2006-03-06,30.91,31.14,30.8,31.1,1411700
MMC,2006-03-07,30.81,30.83,30.51,30.74,3766100
MMC,2006-03-08,30.95,30.96,30.52,30.63,2100500
MMC,2006-03-09,30.65,30.95,30.56,30.9,1481100
MMC,2006-03-10,30.44,30.86,30.39,30.85,2769300
MMC,2006-03-13,30.25,30.5,30.2,30.45,2385500
MMC,2006-03-14,30.26,30.3,30.13,30.2,2656700
MMC,2006-03-15,30.03,30.15,29.71,30.12,3097300
MMC,2006-03-16,30.04,30.26,29.88,30.05,2603600
MMC,2006-03-17,30.05,30.23,29.94,30.16,2094900
MMC,2006-03-20,30.55,30.74,29.94,30.05,2396900
MMC,2006-03-21,30.71,30.94,30.56,30.65,2405300
MMC,2006-03-22,30.6,30.7,30.31,30.59,1996600
MMC,2006-03-23,30.14,30.77,30.09,30.7,2656700
MMC,2006-03-24,30.03,30.1,29.74,30.03,2332400
MMC,2006-03-27,30.15,30.36,30.05,30.05,1824900
MMC,2006-03-28,29.49,30.15,29.43,30.09,4145100
MMC,2006-03-29,29.4,29.67,29.38,29.4,2594600
MMC,2006-03-30,29.31,29.43,28.94,29.3,3279300
MMC,2006-03-31,29.36,29.535,29.17,29.31,1665200
MMC,2006-04-03,29.44,29.58,29.17,29.4,2732600
MMC,2006-04-04,29.5,29.63,29.31,29.38,2953700
MMC,2006-04-05,29.5,29.57,29.26,29.4,3062100
MMC,2006-04-06,29.35,29.51,28.95,29.27,2402200
MMC,2006-04-07,29.28,29.48,29.01,29.35,1992100
MMC,2006-04-10,29.3,29.47,29.15,29.3,1830100
MMC,2006-04-11,29.15,29.71,29.0,29.3,2407000
MMC,2006-04-12,28.8,29.12,28.65,29.1,1694700
MMC,2006-04-13,29.01,29.16,28.53,28.65,1830700
MMC,2006-04-14,29.01,29.16,28.53,28.65,0
MMC,2006-04-17,29.71,29.73,29.08,29.25,3046400
MMC,2006-04-18,30.1,30.25,29.64,29.75,8015000
MMC,2006-04-19,30.3,30.4,29.93,29.98,1729400
MMC,2006-04-20,30.31,30.66,30.24,30.27,2250200
MMC,2006-04-21,30.96,31.07,30.38,30.54,5398500
MMC,2006-04-24,30.68,31.06,30.53,30.87,2595100
MMC,2006-04-25,30.28,31.29,30.23,31.29,2501700
MMC,2006-04-26,30.69,30.75,30.39,30.4,2712700
MMC,2006-04-27,30.79,31.0,30.338,30.5,4060900
MMC,2006-04-28,30.67,30.86,30.51,30.6,2834200
MMC,2006-05-01,30.65,31.0,30.48,30.67,2772600
MMC,2006-05-02,30.2,30.86,30.1,30.62,3927900
MMC,2006-05-03,30.09,30.72,29.05,29.05,6012300
MMC,2006-05-04,30.25,30.49,30.15,30.23,2642300
MMC,2006-05-05,30.01,30.4,29.94,30.25,4397100
MMC,2006-05-08,29.56,30.16,29.53,30.02,2680000
MMC,2006-05-09,29.8,30.02,29.6,29.66,2055699
MMC,2006-05-10,29.79,29.9,29.61,29.75,1883800
MMC,2006-05-11,29.24,29.74,29.09,29.65,1748300
MMC,2006-05-12,28.9,29.28,28.87,29.24,1901600
MMC,2006-05-15,28.96,29.07,28.71,28.75,2281600
MMC,2006-05-16,28.86,29.13,28.83,29.0,3081300
MMC,2006-05-17,28.4,28.75,28.36,28.7,2354200
MMC,2006-05-18,28.4,28.81,28.35,28.4,3869400
MMC,2006-05-19,28.54,28.64,28.12,28.25,3026000
MMC,2006-05-22,28.2,28.51,28.11,28.36,1958500
MMC,2006-05-23,28.01,28.44,27.99,28.21,1906600
MMC,2006-05-24,28.0,28.14,27.72,27.92,2828400
MMC,2006-05-25,28.45,28.57,28.03,28.39,2804200
MMC,2006-05-26,28.27,28.6,28.11,28.6,2207300
MMC,2006-05-29,28.27,28.6,28.11,28.6,0
MMC,2006-05-30,27.89,28.17,27.81,28.15,2378600
MMC,2006-05-31,28.03,28.17,27.82,28.0,2046300
MMC,2006-06-01,28.23,28.31,27.93,28.11,1884500
MMC,2006-06-02,28.31,28.42,28.15,28.35,2450300
MMC,2006-06-05,28.22,28.31,28.03,28.18,2970800
MMC,2006-06-06,28.2,28.37,27.9652,28.3,3414300
MMC,2006-06-07,28.15,28.39,28.06,28.35,3224300
MMC,2006-06-08,27.92,28.09,27.45,27.94,2243500
MMC,2006-06-09,27.84,28.0,27.66,27.9,1882500
MMC,2006-06-12,27.69,27.96,27.62,27.9,1283300
MMC,2006-06-13,27.59,27.85,27.5,27.68,2338500
MMC,2006-06-14,27.67,27.68,27.35,27.5,2744400
MMC,2006-06-15,27.98,28.1,27.56,27.68,1916800
MMC,2006-06-16,27.54,27.97,27.5,27.86,2314200
MMC,2006-06-19,27.35,27.71,27.3,27.56,1738000
MMC,2006-06-20,27.41,27.64,27.3,27.36,1554700
MMC,2006-06-21,27.09,27.45,26.99,27.38,1930200
MMC,2006-06-22,26.83,27.1,26.76,27.02,2450200
MMC,2006-06-23,26.6,26.78,26.52,26.66,1756400
MMC,2006-06-26,26.4,26.69,26.31,26.6,2800600
MMC,2006-06-27,25.92,26.48,25.9,26.4,9402500
MMC,2006-06-28,26.96,27.01,26.06,26.1,4641900
MMC,2006-06-29,27.09,27.18,26.86,27.1,3645900
MMC,2006-06-30,26.89,27.1,26.89,27.06,2284100
MMC,2006-07-03,26.93,27.0,26.8,26.95,803800
MMC,2006-07-04,26.93,27.0,26.8,26.95,0
MMC,2006-07-05,26.43,26.73,26.35,26.68,1716500
MMC,2006-07-06,26.67,26.72,26.35,26.36,1197200
MMC,2006-07-07,26.66,26.77,26.46,26.6,2333300
MMC,2006-07-10,26.46,26.8,26.45,26.61,1463600
MMC,2006-07-11,26.22,26.33,26.09,26.31,1477400
MMC,2006-07-12,26.01,26.39,25.89,26.12,1614700
MMC,2006-07-13,25.99,26.1,25.88,25.95,1520700
MMC,2006-07-14,25.95,26.03,25.71,25.95,2089000
MMC,2006-07-17,25.69,26.04,25.69,25.88,1717400
MMC,2006-07-18,25.52,25.87,25.33,25.7,1672900
MMC,2006-07-19,26.17,26.24,25.53,25.53,1739400
MMC,2006-07-20,25.57,26.22,25.57,26.12,2181900
MMC,2006-07-21,25.87,25.97,25.61,25.85,1783000
MMC,2006-07-24,26.27,26.34,25.69,25.85,1624300
MMC,2006-07-25,25.7,26.37,25.69,26.36,3547600
MMC,2006-07-26,27.05,27.39,25.81,25.81,6133200
MMC,2006-07-27,26.93,27.34,26.83,27.22,2355100
MMC,2006-07-28,27.56,28.06,26.8,26.93,4605400
MMC,2006-07-31,27.03,27.34,26.52,27.34,3394000
MMC,2006-08-01,26.81,27.0,26.55,26.85,1761500
MMC,2006-08-02,26.89,27.056,26.61,26.72,2579800
MMC,2006-08-03,26.02,26.138,24.0,24.25,18647600
MMC,2006-08-04,25.0,25.94,24.72,25.82,10483000
MMC,2006-08-07,25.07,25.09,24.64,24.83,4924200
MMC,2006-08-08,25.33,25.5,25.0296,25.14,3226900
MMC,2006-08-09,24.77,25.59,24.67,25.4,2398300
MMC,2006-08-10,24.95,25.03,24.67,24.8,1622400
MMC,2006-08-11,24.99,24.99,24.79,24.85,2182700
MMC,2006-08-14,25.18,25.28,25.11,25.2,1838400
MMC,2006-08-15,25.41,25.47,25.22,25.43,1956800
MMC,2006-08-16,25.54,25.65,25.31,25.65,2081100
MMC,2006-08-17,25.71,25.77,25.34,25.6,963700
MMC,2006-08-18,25.6,25.78,25.51,25.72,1471300
MMC,2006-08-21,25.53,25.64,25.47,25.6,631700
MMC,2006-08-22,25.51,25.72,25.45,25.57,1992300
MMC,2006-08-23,25.65,25.68,25.34,25.6,1452000
MMC,2006-08-24,25.85,26.01,25.7,25.7,1265500
MMC,2006-08-25,25.65,26.0,25.63,25.75,1003200
MMC,2006-08-28,25.99,26.09,25.57,25.65,1504200
MMC,2006-08-29,25.8,26.12,25.65,26.02,2255400
MMC,2006-08-30,26.36,26.48,25.88,25.93,1940400
MMC,2006-08-31,26.16,26.42,26.03,26.24,1600700
MMC,2006-09-01,26.3,26.47,26.15,26.34,770000
MMC,2006-09-04,26.3,26.47,26.15,26.34,0
MMC,2006-09-05,26.25,26.44,26.1,26.31,1510400
MMC,2006-09-06,26.23,26.48,26.18,26.21,1954100
MMC,2006-09-07,26.04,26.26,25.85,26.22,1518600
MMC,2006-09-08,26.24,26.33,26.01,26.2,841800
MMC,2006-09-11,26.3,26.38,25.97,26.22,1216500
MMC,2006-09-12,27.12,27.16,26.4,26.43,2292400
MMC,2006-09-13,27.36,27.45,27.0,27.12,1614700
MMC,2006-09-14,27.2,27.36,27.1,27.24,1160200
MMC,2006-09-15,27.69,28.0,27.44,27.47,3279400
MMC,2006-09-18,27.81,27.87,27.59,27.81,1993300
MMC,2006-09-19,29.0,29.49,27.51,27.81,4068800
MMC,2006-09-20,28.12,28.9324,27.93,28.75,5342900
MMC,2006-09-21,27.91,28.32,27.89,28.14,2308000
MMC,2006-09-22,28.35,28.65,28.04,28.08,2743100
MMC,2006-09-25,28.43,28.74,28.03,28.57,1865700
MMC,2006-09-26,28.58,28.73,28.19,28.56,1507800
MMC,2006-09-27,28.35,28.8,28.25,28.54,1510300
MMC,2006-09-28,28.3,28.64,28.17,28.5,1882800
MMC,2006-09-29,28.15,28.44,28.06,28.2,1566800
MMC,2006-10-02,27.63,28.11,27.53,27.97,1961500
MMC,2006-10-03,27.74,27.9,27.51,27.75,2111300
MMC,2006-10-04,27.8,28.0,27.58,27.8,2231500
MMC,2006-10-05,27.75,27.94,27.68,27.68,1662600
MMC,2006-10-06,27.98,28.06,27.65,27.73,3453800
MMC,2006-10-09,27.75,27.94,27.45,27.83,1541600
MMC,2006-10-10,27.8,27.92,27.63,27.83,1680500
MMC,2006-10-11,27.64,27.67,27.27,27.66,3426600
MMC,2006-10-12,27.48,27.77,27.37,27.69,3748400
MMC,2006-10-13,27.34,27.76,27.32,27.6,3393100
MMC,2006-10-16,28.4,28.43,27.96,28.1,5583200
MMC,2006-10-17,28.29,28.41,28.02,28.4,2512000
MMC,2006-10-18,28.49,28.5,28.13,28.39,1782200
MMC,2006-10-19,28.38,28.43,28.14,28.28,1350800
