Symbol,Date,Close,High,Low,Open,Volume
MMM,2006-01-02,77.5,78.3,77.45,78.11,0
MMM,2006-01-03,79.11,79.35,77.24,77.76,3117200
MMM,2006-01-04,78.71,79.49,78.25,79.49,2486500
MMM,2006-01-05,77.99,78.65,77.56,78.41,2451000
MMM,2006-01-06,78.63,78.9,77.64,78.64,2416100
MMM,2006-01-09,79.02,79.83,78.461,78.5,1845400
MMM,2006-01-10,78.53,79.01,78.08,79.0,1910400
MMM,2006-01-11,78.37,78.66,77.84,78.44,1866600
MMM,2006-01-12,77.7,78.23,77.2,78.2,2096800
MMM,2006-01-13,77.5,78.2,76.95,76.95,1878600
MMM,2006-01-16,77.5,78.2,76.95,76.95,0
MMM,2006-01-17,77.09,77.62,77.0,77.1,2069200
MMM,2006-01-18,77.18,77.28,76.52,77.0,1833200
MMM,2006-01-19,76.91,77.37,76.7,77.19,1800600
MMM,2006-01-20,75.24,76.91,75.18,76.91,3284200
MMM,2006-01-23,75.7,76.23,74.81,75.5,2800000
MMM,2006-01-24,74.2,75.6,73.72,74.01,5498200
MMM,2006-01-25,73.0,73.83,72.75,73.25,7287400
MMM,2006-01-26,72.7,73.43,72.02,73.22,5014200
MMM,2006-01-27,72.65,73.25,72.4,72.45,3774900
MMM,2006-01-30,72.65,73.34,72.42,72.9,3409700
MMM,2006-01-31,72.75,73.25,71.96,72.4,4566500
MMM,2006-02-01,73.19,73.4,72.01,72.3,3817200
MMM,2006-02-02,72.15,73.68,72.05,73.16,3155500
MMM,2006-02-03,71.1,72.09,71.0,71.75,3170600
MMM,2006-02-06,71.17,71.3,70.99,71.0,2248500
MMM,2006-02-07,70.65,71.29,70.57,71.16,3078100
MMM,2006-02-08,71.0,71.28,70.3,70.65,2846100
MMM,2006-02-09,72.12,72.88,71.25,71.36,3798100
MMM,2006-02-10,72.61,72.99,71.5,72.29,2891200
MMM,2006-02-13,72.91,73.42,72.64,72.69,2310200
MMM,2006-02-14,73.7,74.12,73.41,73.5,3852000
MMM,2006-02-15,73.13,74.18,73.09,73.71,2651500
MMM,2006-02-16,73.05,73.35,72.5,73.2,2757000
MMM,2006-02-17,73.77,74.15,73.08,73.15,2207300
MMM,2006-02-20,73.77,74.15,73.08,73.15,0
MMM,2006-02-21,73.2,74.1,72.85,73.67,3498700
MMM,2006-02-22,72.98,73.74,72.98,73.19,2620800
MMM,2006-02-23,73.65,74.08,73.0,73.1,2694200
MMM,2006-02-24,73.91,74.16,73.13,73.94,1913700
MMM,2006-02-27,73.69,74.66,73.69,74.0,2728100
MMM,2006-02-28,73.59,74.08,73.12,73.7,2565900
MMM,2006-03-01,73.67,74.19,73.51,74.19,2036800
MMM,2006-03-02,73.05,73.8,72.99,73.64,2626500
MMM,2006-03-03,72.88,73.29,72.66,73.05,2782800
MMM,2006-03-06,71.95,72.8,71.54,72.46,3503800
MMM,2006-03-07,72.27,72.34,71.33,71.8,2259500
MMM,2006-03-08,72.38,73.07,72.05,72.51,2320700
MMM,2006-03-09,71.8,72.76,71.77,72.53,1989500
MMM,2006-03-10,72.32,72.8,71.88,71.9,1832300
MMM,2006-03-13,72.09,72.52,71.88,72.5,1995500
MMM,2006-03-14,73.53,73.75,72.18,72.18,2560000
MMM,2006-03-15,74.0,74.24,73.01,73.28,2652900
