Symbol,Date,Close,High,Low,Open,Volume
MO,2006-01-02,17.3007,17.4512,17.3007,17.384,0
MO,2006-01-03,17.3609,17.4651,17.2034,17.4003,38087977
MO,2006-01-04,17.5438,17.5438,17.4235,17.4235,28479713
MO,2006-01-05,17.4419,17.6364,17.4257,17.5577,29328377
MO,2006-01-06,17.6202,17.6202,17.5855,17.6179,24314994
MO,2006-01-09,17.6966,17.6966,17.5971,17.5971,31885168
MO,2006-01-10,17.6851,17.6851,17.6156,17.6665,25065619
MO,2006-01-11,17.7777,17.7777,17.6665,17.6665,24684692
MO,2006-01-12,17.6781,17.9143,17.6225,17.7476,32066562
MO,2006-01-13,17.6989,17.8402,17.6364,17.7823,20122203
MO,2006-01-16,17.6989,17.8402,17.6364,17.7823,0
MO,2006-01-17,17.5508,17.6596,17.5044,17.6202,18663709
MO,2006-01-18,17.5609,17.6465,17.4752,17.5531,22136885
MO,2006-01-19,17.4952,17.6248,17.4234,17.5878,32521342
MO,2006-01-20,17.3284,17.4952,17.3284,17.4952,51089643
MO,2006-01-23,17.3007,17.4072,17.2361,17.3308,27020787
MO,2006-01-24,17.1826,17.3123,17.1062,17.3076,22747664
MO,2006-01-25,17.0992,17.2822,17.0807,17.2034,36784100
MO,2006-01-26,17.0761,17.2891,17.0321,17.2474,24135328
MO,2006-01-27,17.303,17.3818,16.949,17.0923,24045205
MO,2006-01-30,17.1131,17.4003,17.0923,17.2822,30464681
MO,2006-01-31,16.7438,17.0123,16.7438,16.782,54356733
MO,2006-02-01,17.0182,17.0182,16.7983,16.7983,38577309
MO,2006-02-02,16.6778,17.0066,16.6477,16.9603,41548282
MO,2006-02-03,16.6014,16.7867,16.3352,16.5783,34653153
MO,2006-02-06,16.5273,16.664,16.4301,16.532,25236648
MO,2006-02-07,16.451,16.6131,16.4417,16.5297,24559336
MO,2006-02-08,16.5204,16.657,16.393,16.393,36337525
MO,2006-02-09,16.6292,16.7751,16.5551,16.5922,33039611
MO,2006-02-10,16.6408,16.8006,16.4996,16.6593,20811068
MO,2006-02-13,16.4972,16.6408,16.4533,16.5783,18283645
MO,2006-02-14,16.8307,16.8307,16.6014,16.6014,28881371
MO,2006-02-15,17.0062,17.0062,16.833,16.833,32715693
MO,2006-02-16,16.9487,17.0553,16.8515,16.9603,33057318
MO,2006-02-17,16.8723,17.0877,16.8446,16.9719,26507269
MO,2006-02-20,16.8723,17.0877,16.8446,16.9719,0
MO,2006-02-21,16.7172,16.8909,16.7079,16.8283,25670266
MO,2006-02-22,17.0182,17.0182,16.8214,16.8214,25131699
MO,2006-02-23,16.9904,17.083,16.8862,16.9951,21826874
MO,2006-02-24,16.7751,17.0761,16.7751,17.0761,28347122
MO,2006-02-27,16.8885,16.8885,16.8376,16.8561,24336157
MO,2006-02-28,16.6477,16.7427,16.613,16.7404,39853545
MO,2006-03-01,16.6825,16.7867,16.6477,16.7172,28157090
MO,2006-03-02,16.5806,16.6709,16.5088,16.6454,29343493
MO,2006-03-03,16.7704,16.7704,16.5088,16.5088,22553313
MO,2006-03-06,16.5551,16.7519,16.5366,16.6964,26127206
MO,2006-03-07,16.6223,16.7288,16.5482,16.5551,26587169
MO,2006-03-08,16.8607,16.8607,16.6246,16.6246,27150786
