Symbol,Date,Close,High,Low,Open,Volume
MRK,2006-01-02,31.81,32.35,31.76,32.35,0
MRK,2006-01-03,32.75,32.87,31.81,32.52,11477200
MRK,2006-01-04,33.13,33.2,32.75,32.75,12395300
MRK,2006-01-05,33.18,33.39,32.5,32.92,15331300
MRK,2006-01-06,33.12,33.36,32.87,33.09,9169200
MRK,2006-01-09,33.66,33.66,32.75,33.22,14356500
MRK,2006-01-10,33.33,33.45,33.13,33.45,8473600
MRK,2006-01-11,33.46,33.59,33.31,33.49,9507800
MRK,2006-01-12,33.48,33.58,33.35,33.56,7125000
MRK,2006-01-13,33.47,33.72,33.35,33.53,6674600
MRK,2006-01-16,33.47,33.72,33.35,33.53,0
MRK,2006-01-17,33.21,33.65,33.01,33.11,10250900
MRK,2006-01-18,33.03,33.42,32.95,33.12,9140200
MRK,2006-01-19,33.32,33.63,33.22,33.36,9303600
MRK,2006-01-20,33.25,33.43,33.01,33.32,10050600
MRK,2006-01-23,32.83,33.21,32.76,33.14,7758400
MRK,2006-01-24,32.78,33.01,32.61,32.73,7633800
MRK,2006-01-25,33.19,33.24,32.55,32.7,8046099
MRK,2006-01-26,33.95,34.05,33.32,33.34,11013400
MRK,2006-01-27,34.7,34.85,33.71,33.8,10395900
MRK,2006-01-30,34.46,34.65,34.06,34.41,9393700
MRK,2006-01-31,34.5,34.88,34.39,34.87,14742600
MRK,2006-02-01,34.66,34.74,34.2,34.27,8693400
MRK,2006-02-02,33.82,34.73,33.7,34.55,10295800
MRK,2006-02-03,34.39,34.64,33.82,34.5,10363600
MRK,2006-02-06,33.83,34.29,33.74,34.24,6240600
MRK,2006-02-07,33.69,34.4,33.56,33.7,6680000
MRK,2006-02-08,34.29,34.48,33.64,33.9,9203600
MRK,2006-02-09,34.34,34.7,34.3,34.48,8546400
MRK,2006-02-10,34.31,34.4,33.66,33.7,7178500
MRK,2006-02-13,34.31,34.69,34.13,34.32,5723700
MRK,2006-02-14,34.67,34.72,34.35,34.51,6626600
MRK,2006-02-15,35.29,35.3,34.58,34.58,12428300
MRK,2006-02-16,35.98,36.08,34.98,35.0,11978900
MRK,2006-02-17,36.05,36.06,34.85,35.98,11198400
MRK,2006-02-20,36.05,36.06,34.85,35.98,0
MRK,2006-02-21,35.59,36.65,35.47,36.52,9763000
MRK,2006-02-22,35.92,36.25,35.5,35.81,11862100
MRK,2006-02-23,35.41,35.7,35.29,35.55,10268000
MRK,2006-02-24,35.1,35.54,35.0,35.54,6258500
MRK,2006-02-27,35.36,35.59,35.02,35.02,8074400
MRK,2006-02-28,34.86,35.29,34.86,35.09,8340199
MRK,2006-03-01,34.96,35.36,34.71,35.05,7634200
MRK,2006-03-02,35.12,35.26,34.71,34.75,8439600
MRK,2006-03-03,35.19,35.42,34.75,34.94,5890100
MRK,2006-03-06,34.96,35.35,34.8,35.11,7569700
MRK,2006-03-07,34.9,35.0,34.68,34.96,5324300
MRK,2006-03-08,34.68,34.85,34.34,34.6,5316800
MRK,2006-03-09,34.51,34.65,34.39,34.57,5018500
MRK,2006-03-10,34.76,34.96,34.5,34.75,5912800
MRK,2006-03-13,35.2,35.35,34.75,34.78,8152699
MRK,2006-03-14,35.1,35.46,34.95,35.1,5848000
MRK,2006-03-15,35.16,35.27,34.88,35.0,4488400
MRK,2006-03-16,35.28,35.51,34.96,35.0,6047200
MRK,2006-03-17,35.64,35.69,35.35,35.47,8740200
MRK,2006-03-20,35.66,35.93,35.42,35.54,5647800
MRK,2006-03-21,35.89,36.18,35.64,35.86,7384800
MRK,2006-03-22,36.23,36.32,35.55,35.55,5948400
MRK,2006-03-23,36.2,36.5,35.91,36.1,5499100
MRK,2006-03-24,36.05,36.32,36.0,36.12,5086800
MRK,2006-03-27,36.02,36.25,35.8,35.91,5771500
MRK,2006-03-28,35.65,36.15,35.51,36.04,6283800
MRK,2006-03-29,35.8,36.08,35.56,35.73,5081700
MRK,2006-03-30,35.61,36.14,35.22,35.72,6831200
MRK,2006-03-31,35.23,35.92,35.03,35.77,8707300
MRK,2006-04-03,35.41,35.61,35.31,35.47,10009200
MRK,2006-04-04,35.48,35.9,35.41,35.75,9057000
MRK,2006-04-05,35.99,36.09,35.36,35.38,8645900
MRK,2006-04-06,34.84,35.04,34.26,34.62,20972000
MRK,2006-04-07,34.47,34.79,34.3,34.5,10894200
MRK,2006-04-10,34.42,34.79,34.35,34.41,7529200
MRK,2006-04-11,34.06,35.1,33.79,34.42,13396300
MRK,2006-04-12,33.85,34.03,33.62,33.9,7779000
MRK,2006-04-13,33.94,34.0,33.65,33.65,5527300
MRK,2006-04-14,33.94,34.0,33.65,33.65,0
MRK,2006-04-17,33.8,33.94,33.55,33.9,5329000
MRK,2006-04-18,34.48,34.49,33.72,33.75,8940800
MRK,2006-04-19,34.4,34.78,34.22,34.45,6323500
MRK,2006-04-20,35.0,35.26,34.52,34.62,7831200
MRK,2006-04-21,34.74,35.19,34.25,35.19,11313700
MRK,2006-04-24,34.37,34.74,34.12,34.32,6545600
MRK,2006-04-25,34.24,34.39,33.9,34.29,5452000
MRK,2006-04-26,34.32,34.8,34.21,34.3,6548700
MRK,2006-04-27,34.6,34.94,34.0,34.0,6016600
MRK,2006-04-28,34.42,34.7,34.18,34.42,7002300
MRK,2006-05-01,34.24,34.85,34.05,34.67,6701700
MRK,2006-05-02,34.48,34.56,33.99,34.24,6088700
MRK,2006-05-03,34.15,34.68,34.06,34.5,7415900
MRK,2006-05-04,34.31,34.4,34.08,34.08,6194800
MRK,2006-05-05,34.48,34.55,34.04,34.44,6944500
MRK,2006-05-08,34.45,34.79,34.25,34.77,6300100
MRK,2006-05-09,34.43,34.94,34.33,34.45,8140400
MRK,2006-05-10,34.67,35.0,34.3,34.44,7639900
MRK,2006-05-11,34.51,34.89,34.41,34.61,6931800
MRK,2006-05-12,34.29,34.83,34.18,34.48,8282500
MRK,2006-05-15,34.69,35.28,34.29,34.53,10171800
MRK,2006-05-16,35.12,35.4,34.8,34.85,8848600
