Symbol,Date,Close,High,Low,Open,Volume
MS,2006-01-02,47.1008,47.3333,46.7107,47.2751,0
MS,2006-01-03,48.4041,48.5535,47.1008,47.4578,6354408
MS,2006-01-04,48.4373,49.2093,48.4373,48.7278,9292188
MS,2006-01-05,48.5701,48.6365,48.1634,48.6033,6534262
MS,2006-01-06,48.6199,48.8524,48.1883,48.786,8146445
MS,2006-01-09,49.1346,49.2176,48.6648,48.6697,4985805
MS,2006-01-10,49.1595,49.1595,48.6282,48.8524,5215652
MS,2006-01-11,49.45,49.7074,48.8441,49.1014,6635694
MS,2006-01-12,49.367,49.6244,49.201,49.4999,4597908
MS,2006-01-13,49.2923,49.5331,49.0267,49.45,4122312
MS,2006-01-16,49.2923,49.5331,49.0267,49.45,0
MS,2006-01-17,48.8192,49.3587,48.7112,49.3504,3160037
MS,2006-01-18,48.5203,48.8939,48.1883,48.6033,3198345
MS,2006-01-19,49.2674,49.7904,48.7361,48.7694,4582127
MS,2006-01-20,48.0222,49.4334,47.657,49.2259,6559078
MS,2006-01-23,48.5452,48.7195,47.8977,47.8977,4535145
MS,2006-01-24,48.7195,49.3504,48.6614,48.8275,4572490
MS,2006-01-25,49.118,49.3255,48.6033,48.9769,4822093
MS,2006-01-26,49.7821,50.2221,49.3836,50.2138,6814343
MS,2006-01-27,50.4545,50.6371,49.6327,49.807,4435641
MS,2006-01-30,50.3632,51.3427,50.3383,51.0107,4744634
MS,2006-01-31,51.0107,51.3925,50.2138,50.2221,6179372
MS,2006-02-01,51.3261,51.434,50.5458,50.7201,4142068
MS,2006-02-02,50.8612,51.5834,50.5126,51.1767,4101592
MS,2006-02-03,51.0024,51.5917,50.1058,50.3051,4634047
MS,2006-02-06,51.2431,51.3925,50.828,50.8529,3021864
MS,2006-02-07,50.247,51.0854,50.0311,50.9277,4511173
MS,2006-02-08,50.8612,50.936,50.4711,50.7616,3273154
MS,2006-02-09,51.3842,51.3842,50.7865,50.8612,3269420
MS,2006-02-10,50.0643,50.7533,49.2923,50.6371,5399361
MS,2006-02-13,49.6493,50.2885,49.3006,49.973,4944124
MS,2006-02-14,49.8651,50.1889,49.1512,49.6493,4467444
MS,2006-02-15,50.5209,50.6869,49.5165,49.8568,3536370
MS,2006-02-16,50.8861,50.9277,50.2221,50.496,3171843
MS,2006-02-17,50.4794,50.9277,50.2304,50.8446,3946915
MS,2006-02-20,50.4794,50.9277,50.2304,50.8446,0
MS,2006-02-21,50.4462,50.8695,50.2304,50.5541,3172325
MS,2006-02-22,51.1186,51.2846,50.5873,50.5956,4213865
MS,2006-02-23,50.5126,51.0522,50.496,51.0522,3501676
MS,2006-02-24,50.496,50.9526,50.2221,50.3466,3470355
MS,2006-02-27,50.4213,50.7616,50.247,50.5541,3407232
MS,2006-02-28,49.5248,50.4296,49.2176,50.056,4876302
MS,2006-03-01,49.9149,50.139,49.5497,49.558,2967052
MS,2006-03-02,49.6327,49.8734,49.5082,49.641,2894292
MS,2006-03-03,49.5746,50.0145,49.2425,49.4334,3133896
MS,2006-03-06,49.7406,50.1141,49.2674,49.6825,3384223
MS,2006-03-07,49.5248,49.7074,49.0682,49.4833,3702371
MS,2006-03-08,49.035,49.5663,48.5618,49.5165,4344329
MS,2006-03-09,48.6946,49.3504,48.4871,48.952,3412893
MS,2006-03-10,49.0765,49.5829,48.6863,48.6863,4915935
MS,2006-03-13,48.8026,49.558,48.6448,49.1844,4927018
MS,2006-03-14,49.8319,50.5126,49.4085,49.6327,8131026
MS,2006-03-15,49.5082,50.3964,49.45,49.9315,5916758
MS,2006-03-16,49.7572,50.33,49.6659,50.2055,7479189
MS,2006-03-17,50.0228,50.2636,49.8485,50.0062,6874696
MS,2006-03-20,50.1141,50.5043,49.9398,50.0643,5053265
MS,2006-03-21,50.1473,50.5707,49.7074,50.1972,6863372
MS,2006-03-22,51.4174,51.517,50.2221,50.33,10266629
MS,2006-03-23,51.1103,51.517,50.8529,51.517,5142048
MS,2006-03-24,51.0273,51.7827,50.8446,51.0522,4522858
MS,2006-03-27,51.5668,51.7246,51.0107,51.0107,4231694
MS,2006-03-28,51.517,52.48,50.9775,51.6748,7544361
MS,2006-03-29,52.2143,52.4136,51.4755,51.5087,4527677
MS,2006-03-30,52.812,53.0777,51.874,51.874,6658100
MS,2006-03-31,52.1479,53.3184,52.0566,52.5879,6022045
MS,2006-04-03,52.5049,53.1109,51.9238,52.1479,5676792
MS,2006-04-04,53.3516,53.5259,52.1562,52.3472,4603208
MS,2006-04-05,53.3848,53.9576,53.169,53.5176,6113116
MS,2006-04-06,53.5425,53.8082,52.9863,53.4429,4602726
MS,2006-04-07,52.9365,53.858,52.729,53.3848,4024133
MS,2006-04-10,53.2852,53.9576,52.7124,52.9282,4036541
MS,2006-04-11,52.0732,53.252,51.8408,53.0694,4540566
MS,2006-04-12,52.3638,52.5298,52.0732,52.0898,2857670
MS,2006-04-13,52.2807,52.4966,52.0483,52.4634,3036199
MS,2006-04-14,52.2807,52.4966,52.0483,52.4634,0
MS,2006-04-17,52.8037,53.0694,52.2973,52.2973,3900054
MS,2006-04-18,54.4889,54.6134,53.3101,53.3101,7961411
MS,2006-04-19,54.0904,54.5719,53.8746,54.5387,3427952
MS,2006-04-20,53.941,54.522,53.941,54.0406,2931274
