Symbol,Date,Close,High,Low,Open,Volume
MSCI,2007-11-15,24.97,39.95,21.03,23.0,11770500
MSCI,2007-11-16,24.96,25.98,23.5,25.3,1242850
MSCI,2007-11-19,25.75,25.75,24.53,24.71,469500
MSCI,2007-11-20,27.32,29.209,25.26,25.42,522200
MSCI,2007-11-21,26.65,27.13,25.94,27.0,167500
MSCI,2007-11-22,26.65,27.13,25.94,27.0,0
MSCI,2007-11-23,27.4,28.33,26.82,27.3,100700
MSCI,2007-11-26,27.8,29.49,27.53,27.99,438300
MSCI,2007-11-27,26.98,28.75,26.28,28.23,305800
MSCI,2007-11-28,27.3,27.62,26.68,27.12,273600
MSCI,2007-11-29,27.3,27.99,26.6,26.61,110563
MSCI,2007-11-30,27.65,28.7,27.1,27.6,524000
MSCI,2007-12-03,27.97,28.2,27.4,27.7,83600
MSCI,2007-12-04,29.35,29.75,27.24,27.71,387400
MSCI,2007-12-05,29.28,32.68,28.89,32.68,207200
MSCI,2007-12-06,28.91,29.42,28.44,29.0,97700
MSCI,2007-12-07,28.88,29.1,28.5,29.06,82500
MSCI,2007-12-10,29.0,29.95,28.59,28.59,177803
MSCI,2007-12-11,29.0,29.4,28.25,28.99,236200
MSCI,2007-12-12,28.48,29.36,28.3,29.36,64699
MSCI,2007-12-13,28.94,29.0,27.93,27.93,77925
MSCI,2007-12-14,28.72,28.94,28.33,28.83,118200
MSCI,2007-12-17,27.98,29.06,27.67,27.94,128601
MSCI,2007-12-18,28.5,28.8,28.0,28.0,132400
MSCI,2007-12-19,28.95,29.35,28.56,28.56,197600
MSCI,2007-12-20,28.89,29.01,28.89,28.95,197800
MSCI,2007-12-21,33.72,34.33,29.4,29.5,498600
MSCI,2007-12-24,33.92,34.4,32.55,33.6,142000
MSCI,2007-12-25,33.92,34.4,32.55,33.6,0
MSCI,2007-12-26,34.35,36.0,33.8,33.92,228300
MSCI,2007-12-27,36.55,37.1875,33.8,34.35,194600
MSCI,2007-12-28,37.32,38.27,36.0,36.45,165900
MSCI,2007-12-31,38.4,38.4,36.0,37.45,136200
MSCI,2008-01-01,38.4,38.4,36.0,37.45,0
MSCI,2008-01-02,33.85,37.95,33.115,37.82,442900
MSCI,2008-01-03,30.79,33.85,30.56,33.85,395900
MSCI,2008-01-04,30.15,31.0,28.11,28.75,354079
MSCI,2008-01-07,28.14,29.75,27.75,29.75,383000
MSCI,2008-01-08,26.63,28.15,26.01,28.0,183900
MSCI,2008-01-09,27.76,29.75,24.7401,27.3,383400
MSCI,2008-01-10,29.64,31.4,26.8,29.3,531428
MSCI,2008-01-11,30.43,32.77,29.21,29.42,121900
MSCI,2008-01-14,30.5,30.5,29.75,30.1,198300
MSCI,2008-01-15,30.71,30.93,29.72,30.5,74200
MSCI,2008-01-16,29.3,30.76,28.5,30.76,123681
MSCI,2008-01-17,28.99,29.45,28.6525,29.45,122305
MSCI,2008-01-18,29.32,29.75,29.0,29.71,238900
MSCI,2008-01-21,29.32,29.75,29.0,29.71,0
MSCI,2008-01-22,28.9,29.2,27.33,28.15,193000
MSCI,2008-01-23,31.16,32.47,28.38,28.98,193100
MSCI,2008-01-24,32.17,33.0,30.24,30.78,305000
MSCI,2008-01-25,31.78,32.58,31.13,32.4,148700
MSCI,2008-01-28,33.06,34.0,30.03,31.3,222500
MSCI,2008-01-29,32.78,33.46,32.35,32.665,142507
MSCI,2008-01-30,32.7,33.0,31.0,32.77,83000
MSCI,2008-01-31,32.97,33.0,32.1,32.5,25800
MSCI,2008-02-01,34.6,35.97,32.4,32.97,73800
MSCI,2008-02-04,33.48,34.9,33.0,34.6,69200
MSCI,2008-02-05,32.87,33.48,31.98,33.48,109100
MSCI,2008-02-06,31.37,32.72,31.09,32.7,20800
MSCI,2008-02-07,29.71,32.0,29.52,31.4,24400
MSCI,2008-02-08,31.33,31.33,30.14,30.15,25800
MSCI,2008-02-11,31.43,31.95,31.0,31.35,86886
MSCI,2008-02-12,31.3,31.94,30.43,31.25,147300
MSCI,2008-02-13,33.83,33.87,31.2,31.2,25500
MSCI,2008-02-14,33.28,33.8,32.15,33.59,35400
MSCI,2008-02-15,31.74,33.32,30.33,33.28,86100
MSCI,2008-02-18,31.74,33.32,30.33,33.28,0
MSCI,2008-02-19,32.1,32.44,30.357,31.7,183500
MSCI,2008-02-20,32.21,34.34,30.94,31.84,162050
MSCI,2008-02-21,33.6,33.99,31.6,32.3,152597
MSCI,2008-02-22,33.73,34.15,32.48,33.5,36600
MSCI,2008-02-25,33.09,34.17,32.85,33.75,158500
MSCI,2008-02-26,33.92,35.36,32.62,33.34,56500
MSCI,2008-02-27,32.0,34.29,31.32,33.75,185247
MSCI,2008-02-28,31.09,32.55,29.18,32.55,344092
MSCI,2008-02-29,29.73,32.36,29.33,32.36,216825
MSCI,2008-03-03,29.07,30.35,28.29,29.5,56200
MSCI,2008-03-04,29.36,29.87,27.19,27.82,177400
MSCI,2008-03-05,31.65,32.1,29.72,29.92,215400
MSCI,2008-03-06,29.86,31.84,29.56,31.64,164791
MSCI,2008-03-07,28.26,30.21,26.47,29.76,268800
MSCI,2008-03-10,27.01,28.39,26.84,28.39,85800
MSCI,2008-03-11,30.29,30.34,27.25,27.49,166300
MSCI,2008-03-12,29.83,31.0,29.6,30.06,194800
MSCI,2008-03-13,29.94,30.36,28.76,29.6,176700
MSCI,2008-03-14,26.86,29.94,26.25,29.94,306100
MSCI,2008-03-17,23.57,26.54,23.29,26.0,367900
MSCI,2008-03-18,27.0,27.54,23.73,24.51,563830
MSCI,2008-03-19,26.69,27.75,25.9,27.11,275617
MSCI,2008-03-20,28.21,28.21,25.9,26.44,171400
MSCI,2008-03-21,28.21,28.21,25.9,26.44,0
MSCI,2008-03-24,30.07,30.91,28.22,28.36,219512
MSCI,2008-03-25,30.39,30.9,28.62,29.74,163400
MSCI,2008-03-26,29.41,30.79,29.4,30.49,242400
MSCI,2008-03-27,29.7,30.85,29.33,29.7,173700
MSCI,2008-03-28,31.25,31.5,29.38,29.6,137600
