Symbol,Date,Close,High,Low,Open,Volume
MSFT,2006-01-02,26.15,26.31,26.1,26.15,0
MSFT,2006-01-03,26.84,27.001,26.1,26.25,79623286
MSFT,2006-01-04,27.08,27.08,26.77,26.77,57975660
MSFT,2006-01-05,26.99,27.13,26.91,26.96,47918273
MSFT,2006-01-06,26.91,27.0,26.49,26.89,92528446
MSFT,2006-01-09,26.86,27.07,26.76,26.93,54915601
MSFT,2006-01-10,27.0,27.02,26.59,26.65,64266461
MSFT,2006-01-11,27.29,27.39,26.9,27.01,70030035
MSFT,2006-01-12,27.14,27.26,26.97,27.25,44770575
MSFT,2006-01-13,27.19,27.25,27.01,27.03,41140533
MSFT,2006-01-16,27.19,27.25,27.01,27.03,0
MSFT,2006-01-17,26.99,27.19,26.9,26.9,57082225
MSFT,2006-01-18,26.83,26.98,26.7,26.74,51460312
MSFT,2006-01-19,27.02,27.24,26.85,26.87,60225828
MSFT,2006-01-20,26.41,27.01,26.26,27.01,78766681
MSFT,2006-01-23,26.35,26.53,26.3,26.41,46556528
MSFT,2006-01-24,26.27,26.45,26.22,26.34,61423473
MSFT,2006-01-25,26.39,26.57,26.23,26.41,58758431
MSFT,2006-01-26,26.5,26.72,26.31,26.56,65693817
MSFT,2006-01-27,27.79,27.95,27.19,27.23,132849989
MSFT,2006-01-30,28.0,28.18,27.78,27.82,100498559
MSFT,2006-01-31,28.15,28.38,27.87,27.91,93339112
MSFT,2006-02-01,28.04,28.07,27.76,27.96,68096224
MSFT,2006-02-02,27.68,27.99,27.55,27.97,53410183
MSFT,2006-02-03,27.54,27.7,27.34,27.48,74771454
MSFT,2006-02-06,27.19,27.54,27.09,27.51,60258961
MSFT,2006-02-07,26.94,27.15,26.81,26.95,65874331
MSFT,2006-02-08,26.91,27.08,26.71,27.01,51763926
MSFT,2006-02-09,26.66,27.03,26.65,26.96,51392938
MSFT,2006-02-10,26.89,26.89,26.62,26.62,52127000
MSFT,2006-02-13,26.39,26.7,26.34,26.63,46434757
MSFT,2006-02-14,26.65,26.68,26.35,26.41,56450693
