Symbol,Date,Close,High,Low,Open,Volume
MTB,2006-01-02,109.05,109.76,108.61,109.76,0
MTB,2006-01-03,110.99,111.06,108.07,109.05,339000
MTB,2006-01-04,111.27,111.86,110.79,110.99,303300
MTB,2006-01-05,111.65,111.67,110.92,111.0,175100
MTB,2006-01-06,112.03,112.34,111.01,112.12,162000
MTB,2006-01-09,113.52,113.89,111.51,111.7,392400
MTB,2006-01-10,113.96,113.96,112.37,112.75,300100
MTB,2006-01-11,111.77,115.0,111.52,114.99,504600
MTB,2006-01-12,109.77,111.2,109.49,111.17,464000
MTB,2006-01-13,110.12,113.76,109.35,110.63,396700
MTB,2006-01-16,110.12,113.76,109.35,110.63,0
MTB,2006-01-17,108.93,109.57,108.2,109.5,309300
MTB,2006-01-18,109.1,109.69,108.16,109.0,359600
MTB,2006-01-19,108.8,109.3,108.25,109.3,239000
MTB,2006-01-20,106.5,109.27,106.4,109.27,337500
MTB,2006-01-23,107.03,107.66,106.32,106.36,268300
MTB,2006-01-24,107.88,108.49,107.37,107.58,183900
MTB,2006-01-25,108.22,108.38,107.14,108.21,387600
MTB,2006-01-26,109.54,110.17,108.98,110.17,221800
MTB,2006-01-27,109.25,109.7,108.56,109.18,165900
MTB,2006-01-30,108.26,109.06,108.13,109.06,186200
MTB,2006-01-31,108.3,108.57,107.52,107.85,216000
MTB,2006-02-01,108.23,108.33,107.45,107.8,223300
MTB,2006-02-02,107.77,108.53,107.5,107.98,240100
MTB,2006-02-03,106.82,107.33,106.49,107.04,397700
MTB,2006-02-06,106.45,106.99,106.19,106.45,334500
MTB,2006-02-07,106.52,107.14,105.74,106.46,238800
MTB,2006-02-08,107.06,107.161,105.72,106.27,290900
MTB,2006-02-09,107.39,108.1,106.24,106.75,191600
MTB,2006-02-10,108.2,108.35,106.59,107.2,198800
MTB,2006-02-13,107.69,108.17,107.2,107.9,185400
MTB,2006-02-14,109.42,109.67,107.75,108.0,293800
MTB,2006-02-15,110.18,110.28,108.58,109.9,391800
MTB,2006-02-16,111.25,111.25,109.41,109.85,362600
MTB,2006-02-17,111.82,112.04,110.59,111.6,357200
MTB,2006-02-20,111.82,112.04,110.59,111.6,0
MTB,2006-02-21,111.26,112.08,110.84,111.55,161200
MTB,2006-02-22,113.32,113.46,111.35,111.55,225900
MTB,2006-02-23,113.18,113.78,112.1,112.7,190800
MTB,2006-02-24,113.31,113.52,112.3,112.71,194400
MTB,2006-02-27,113.5,114.05,113.15,113.15,197800
MTB,2006-02-28,112.4,113.22,111.84,112.8,305200
MTB,2006-03-01,113.07,113.08,112.4,112.93,164100
MTB,2006-03-02,112.39,112.73,111.69,112.7,173500
MTB,2006-03-03,112.52,113.27,111.7,112.39,207500
MTB,2006-03-06,111.45,112.4,111.12,112.39,161700
MTB,2006-03-07,112.45,112.67,110.75,110.99,223900
MTB,2006-03-08,112.33,112.74,111.5,112.3,148700
MTB,2006-03-09,111.41,112.81,111.25,112.32,179300
MTB,2006-03-10,112.31,112.59,111.25,111.4,183500
MTB,2006-03-13,113.08,113.48,112.5,112.5,225500
MTB,2006-03-14,114.24,114.61,112.94,113.09,277200
MTB,2006-03-15,115.66,115.73,114.13,114.5,345200
MTB,2006-03-16,116.05,116.26,115.31,115.66,227700
MTB,2006-03-17,117.19,117.27,116.15,116.65,392100
MTB,2006-03-20,117.29,117.39,116.65,117.0,202500
MTB,2006-03-21,115.48,117.29,115.36,117.29,359400
MTB,2006-03-22,115.9,116.03,115.1,115.48,236700
MTB,2006-03-23,115.79,116.01,115.06,115.65,185500
MTB,2006-03-24,115.94,116.25,115.24,115.8,131400
MTB,2006-03-27,115.76,115.96,115.21,115.95,103100
MTB,2006-03-28,114.55,115.91,114.36,115.76,173400
MTB,2006-03-29,114.41,115.06,113.65,115.05,313300
MTB,2006-03-30,113.74,114.6,113.27,114.2,247300
MTB,2006-03-31,114.14,114.9,113.61,114.24,263000
MTB,2006-04-03,114.48,115.61,114.15,114.15,211000
MTB,2006-04-04,114.5,115.12,113.92,114.3,512599
MTB,2006-04-05,114.48,114.89,113.85,114.75,451000
MTB,2006-04-06,114.19,114.62,113.76,114.48,203100
MTB,2006-04-07,113.7,114.9,113.35,114.4,213000
MTB,2006-04-10,114.2,114.97,113.88,113.95,148600
MTB,2006-04-11,113.34,114.53,113.15,114.5,195800
MTB,2006-04-12,113.37,113.85,112.9,113.35,145900
MTB,2006-04-13,114.07,114.28,113.11,113.2,275800
MTB,2006-04-14,114.07,114.28,113.11,113.2,0
MTB,2006-04-17,114.62,115.32,113.85,113.85,236000
MTB,2006-04-18,115.44,115.57,113.73,115.22,371000
MTB,2006-04-19,114.5,115.1,114.23,115.0,271700
MTB,2006-04-20,115.07,115.43,113.99,114.5,254800
MTB,2006-04-21,114.3,115.8,114.17,115.8,282400
MTB,2006-04-24,114.48,114.74,113.53,114.5,167200
MTB,2006-04-25,113.96,114.74,113.5,114.68,203600
MTB,2006-04-26,114.43,114.75,113.88,114.3,201500
MTB,2006-04-27,117.0,117.45,113.77,114.25,393300
MTB,2006-04-28,119.4,119.93,117.2,117.45,468900
MTB,2006-05-01,116.71,119.42,116.6,119.4,328900
MTB,2006-05-02,116.72,117.13,116.33,116.95,142200
MTB,2006-05-03,116.5,116.94,115.75,116.72,153100
MTB,2006-05-04,116.87,117.95,116.82,116.93,222400
MTB,2006-05-05,118.92,119.06,117.55,117.6,200400
MTB,2006-05-08,118.18,119.64,118.07,119.22,163200
MTB,2006-05-09,118.77,119.05,117.7,117.7,148100
MTB,2006-05-10,118.9,119.2,118.09,118.37,120800
MTB,2006-05-11,117.02,118.9,116.52,118.9,179000
MTB,2006-05-12,116.55,117.7,116.45,117.4,234400
MTB,2006-05-15,118.0,118.07,116.43,116.65,161100
MTB,2006-05-16,116.71,117.96,116.65,117.65,167800
MTB,2006-05-17,114.57,116.25,114.28,116.0,383600
MTB,2006-05-18,113.88,115.11,113.88,115.0,242900
MTB,2006-05-19,115.33,116.2,114.6,114.75,405500
MTB,2006-05-22,115.79,116.5,115.0,115.33,284700
MTB,2006-05-23,114.63,116.18,114.62,115.8,184300
MTB,2006-05-24,115.18,115.92,114.0,114.5,256299
MTB,2006-05-25,116.28,116.4,115.25,115.48,234100
MTB,2006-05-26,116.42,116.7,115.75,116.4,111600
MTB,2006-05-29,116.42,116.7,115.75,116.4,0
MTB,2006-05-30,114.4,115.36,114.4,115.35,211800
MTB,2006-05-31,115.1,115.71,113.95,114.8,294400
MTB,2006-06-01,116.92,116.95,115.1,115.1,144000
MTB,2006-06-02,116.89,117.79,116.03,116.82,207500
MTB,2006-06-05,114.73,116.55,114.55,116.55,187600
MTB,2006-06-06,115.15,115.38,113.96,115.2,276400
MTB,2006-06-07,116.55,117.48,115.1,115.3,242700
MTB,2006-06-08,118.28,118.6,116.05,116.55,374200
MTB,2006-06-09,118.31,119.21,117.85,118.28,250000
MTB,2006-06-12,117.97,119.01,117.79,118.31,262000
MTB,2006-06-13,115.77,118.18,115.3,117.97,458200
