Symbol,Date,Close,High,Low,Open,Volume
MTD,2006-01-02,55.2,55.65,54.62,55.55,0
MTD,2006-01-03,55.62,55.69,54.78,55.35,142500
MTD,2006-01-04,56.07,56.07,55.58,55.72,118600
MTD,2006-01-05,55.97,56.24,55.87,55.97,132800
MTD,2006-01-06,55.95,56.1,55.85,56.0,148600
MTD,2006-01-09,56.4,56.56,55.9,56.05,140300
MTD,2006-01-10,56.31,56.65,56.13,56.4,144200
MTD,2006-01-11,56.55,56.64,56.19,56.31,117300
MTD,2006-01-12,56.19,56.61,56.0,56.5,242000
MTD,2006-01-13,56.45,56.45,56.0,56.1,251600
MTD,2006-01-16,56.45,56.45,56.0,56.1,0
MTD,2006-01-17,56.27,56.59,55.82,56.25,281400
MTD,2006-01-18,57.87,58.1,56.25,56.25,322400
MTD,2006-01-19,57.58,58.05,57.33,57.62,182100
MTD,2006-01-20,57.25,57.71,57.03,57.65,147500
MTD,2006-01-23,56.82,57.33,56.61,57.23,130399
MTD,2006-01-24,57.89,57.89,56.87,56.87,126000
MTD,2006-01-25,57.82,57.94,57.5,57.9,171200
MTD,2006-01-26,58.19,58.37,57.84,57.9,172500
MTD,2006-01-27,58.66,58.92,58.12,58.18,196400
MTD,2006-01-30,58.86,58.92,58.58,58.67,179300
MTD,2006-01-31,57.89,58.8,57.89,58.75,217200
MTD,2006-02-01,59.31,59.42,57.79,57.79,223900
MTD,2006-02-02,58.08,59.22,57.89,59.22,207900
MTD,2006-02-03,58.74,58.79,57.95,58.08,195400
MTD,2006-02-06,59.03,59.21,58.34,58.7,271400
MTD,2006-02-07,60.45,62.31,60.32,60.99,620500
MTD,2006-02-08,59.63,60.29,58.87,60.29,382300
MTD,2006-02-09,60.15,60.15,59.67,59.73,197600
MTD,2006-02-10,61.9,64.45,61.45,63.4,1010600
MTD,2006-02-13,61.37,61.9,61.02,61.9,225900
MTD,2006-02-14,61.59,61.79,60.76,61.17,289800
MTD,2006-02-15,61.64,62.1,61.49,61.5,266600
MTD,2006-02-16,61.48,61.82,61.08,61.57,653000
MTD,2006-02-17,61.7,61.91,61.1,61.24,564000
MTD,2006-02-20,61.7,61.91,61.1,61.24,0
MTD,2006-02-21,60.67,61.74,60.63,61.45,189800
MTD,2006-02-22,60.85,61.25,60.69,60.69,471400
MTD,2006-02-23,60.65,61.0,60.41,60.78,441200
MTD,2006-02-24,60.68,61.0,60.58,60.6,305300
MTD,2006-02-27,60.98,61.3,60.75,60.75,302400
MTD,2006-02-28,60.56,61.13,60.27,60.83,232700
MTD,2006-03-01,60.7,60.91,60.42,60.66,275200
MTD,2006-03-02,60.52,60.81,60.36,60.67,206300
MTD,2006-03-03,61.0,61.48,60.53,60.53,400100
MTD,2006-03-06,59.86,60.96,59.05,60.95,290300
MTD,2006-03-07,60.2,60.4,59.55,59.87,443200
MTD,2006-03-08,60.17,60.45,59.81,60.1,362600
MTD,2006-03-09,59.67,60.79,59.65,60.15,291700
MTD,2006-03-10,59.9,60.12,59.55,59.66,196600
MTD,2006-03-13,60.25,60.5,59.86,59.88,293400
MTD,2006-03-14,60.78,61.1,60.28,60.28,183600
MTD,2006-03-15,60.29,61.17,60.29,60.76,293900
MTD,2006-03-16,60.53,60.94,60.45,60.45,206300
MTD,2006-03-17,60.08,60.51,59.83,60.5,273200
MTD,2006-03-20,60.11,60.53,59.87,60.15,506000
MTD,2006-03-21,59.59,60.48,59.5,60.11,319700
MTD,2006-03-22,59.98,60.48,59.4,59.52,377200
MTD,2006-03-23,60.2,60.49,59.94,60.0,247600
MTD,2006-03-24,60.28,60.57,60.12,60.2,258700
MTD,2006-03-27,60.27,61.0,60.24,60.33,187700
MTD,2006-03-28,59.98,60.35,59.92,60.19,132700
MTD,2006-03-29,60.7,60.82,59.97,59.97,309500
MTD,2006-03-30,60.48,61.05,60.2,60.65,151500
MTD,2006-03-31,60.34,60.7,59.96,60.4,386900
MTD,2006-04-03,60.58,61.19,60.48,60.48,183800
MTD,2006-04-04,60.88,61.22,60.6,60.6,200100
MTD,2006-04-05,61.37,61.47,60.95,60.95,239100
MTD,2006-04-06,61.47,61.84,61.23,61.38,238800
MTD,2006-04-07,61.85,61.88,61.5,61.5,371700
MTD,2006-04-10,61.56,61.85,61.5,61.83,386200
MTD,2006-04-11,61.4,61.77,61.3,61.6,264900
MTD,2006-04-12,61.55,61.94,61.37,61.45,192000
MTD,2006-04-13,61.86,62.05,61.56,61.6,158200
MTD,2006-04-14,61.86,62.05,61.56,61.6,0
MTD,2006-04-17,62.17,62.31,61.72,61.9,129000
MTD,2006-04-18,63.2,63.3,61.95,62.2,157000
MTD,2006-04-19,63.36,63.36,62.69,63.18,130000
MTD,2006-04-20,63.26,63.63,62.98,63.26,240600
MTD,2006-04-21,62.51,63.38,62.21,63.32,424400
MTD,2006-04-24,64.49,64.76,62.65,63.1,409600
MTD,2006-04-25,64.46,65.17,63.91,64.51,390000
MTD,2006-04-26,65.04,65.78,64.64,64.64,422800
