Symbol,Date,Close,High,Low,Open,Volume
MU,2006-01-02,13.31,13.34,13.12,13.2,0
MU,2006-01-03,13.51,13.6,13.34,13.48,9674900
MU,2006-01-04,14.05,14.14,13.64,13.75,12779100
MU,2006-01-05,14.18,14.2,13.9,14.02,11203600
MU,2006-01-06,14.47,14.6,14.23,14.41,10413500
MU,2006-01-09,14.7,14.81,14.43,14.45,6799700
MU,2006-01-10,14.57,14.58,14.28,14.5,7301000
MU,2006-01-11,14.75,14.81,14.54,14.69,8208200
MU,2006-01-12,14.57,14.82,14.36,14.8,8501300
MU,2006-01-13,14.51,14.66,14.3,14.66,7184900
MU,2006-01-16,14.51,14.66,14.3,14.66,0
MU,2006-01-17,13.97,14.31,13.91,14.15,15350000
MU,2006-01-18,14.06,14.1,13.682,13.73,10616800
MU,2006-01-19,14.33,14.4,14.07,14.21,7596200
MU,2006-01-20,14.01,14.34,13.77,14.34,13396300
MU,2006-01-23,14.18,14.3,14.02,14.04,7475100
MU,2006-01-24,14.1,14.51,14.1,14.18,9945200
MU,2006-01-25,14.11,14.21,14.0,14.13,6609900
MU,2006-01-26,14.35,14.49,14.14,14.23,7283700
MU,2006-01-27,14.7,14.74,14.36,14.4,9344600
MU,2006-01-30,14.93,14.96,14.66,14.67,6304400
MU,2006-01-31,14.68,14.89,14.65,14.83,5303600
MU,2006-02-01,15.02,15.02,14.5,14.58,9221800
MU,2006-02-02,14.95,15.35,14.83,15.0,12559400
MU,2006-02-03,14.89,15.03,14.61,14.76,10143100
MU,2006-02-06,16.01,16.14,15.3,15.36,19632200
MU,2006-02-07,16.36,16.46,15.95,16.01,20002500
MU,2006-02-08,16.51,16.51,16.35,16.39,17788700
MU,2006-02-09,16.5,16.5,16.25,16.25,12002400
MU,2006-02-10,16.4,16.52,15.85,16.26,10740700
MU,2006-02-13,16.19,16.36,16.04,16.35,7041000
MU,2006-02-14,16.63,16.77,16.09,16.19,12801400
MU,2006-02-15,16.78,16.79,16.35,16.55,12067300
MU,2006-02-16,16.99,17.07,16.8,16.85,11467100
MU,2006-02-17,16.65,17.15,16.59,17.15,8201100
MU,2006-02-20,16.65,17.15,16.59,17.15,0
MU,2006-02-21,16.08,16.59,15.92,16.58,10500000
MU,2006-02-22,16.31,16.37,15.79,16.08,10873100
MU,2006-02-23,15.75,16.34,15.71,16.32,13781600
MU,2006-02-24,15.88,16.05,15.62,15.75,9101000
MU,2006-02-27,15.65,15.82,15.36,15.82,13707400
MU,2006-02-28,15.51,15.81,15.42,15.65,10082400
MU,2006-03-01,16.09,16.09,15.61,15.61,14006700
MU,2006-03-02,15.85,16.08,15.52,15.77,9221900
MU,2006-03-03,15.89,16.23,15.62,15.76,8336700
MU,2006-03-06,15.6,16.2,15.48,16.08,6432700
