Symbol,Date,Close,High,Low,Open,Volume
MYL,2006-01-02,19.96,20.12,19.82,20.04,0
MYL,2006-01-03,20.0,20.35,19.81,20.1,1139000
MYL,2006-01-04,19.92,20.4,19.88,20.0,1811500
MYL,2006-01-05,20.72,20.99,20.0,20.0,2595000
MYL,2006-01-06,20.65,20.99,20.54,20.87,1290600
MYL,2006-01-09,20.77,20.99,20.69,20.85,1282600
MYL,2006-01-10,20.86,21.2,20.76,20.78,1669600
MYL,2006-01-11,20.5,20.83,20.03,20.83,1858300
MYL,2006-01-12,20.84,21.55,20.47,21.55,3078100
MYL,2006-01-13,20.56,20.93,20.24,20.88,1928300
MYL,2006-01-16,20.56,20.93,20.24,20.88,0
MYL,2006-01-17,20.32,20.56,20.2,20.42,777700
MYL,2006-01-18,20.26,20.4,20.05,20.32,1741100
MYL,2006-01-19,20.28,20.35,20.15,20.26,1234900
MYL,2006-01-20,20.03,20.29,19.9,20.26,1818100
MYL,2006-01-23,19.97,20.29,19.91,20.0,1113800
MYL,2006-01-24,19.83,20.15,19.8,19.97,1401700
MYL,2006-01-25,19.4,19.81,19.32,19.8,1827300
MYL,2006-01-26,19.7,19.84,19.45,19.47,1438000
MYL,2006-01-27,19.85,19.98,19.69,19.7,1056200
MYL,2006-01-30,19.81,20.1,19.75,19.84,1045199
MYL,2006-01-31,19.7,19.9,19.38,19.81,1921400
MYL,2006-02-01,19.87,20.02,19.6,19.6,1592900
MYL,2006-02-02,19.3,19.87,19.05,19.8,2417600
MYL,2006-02-03,21.32,21.86,20.75,20.75,10070800
MYL,2006-02-06,21.56,21.69,21.339,21.5,2177800
MYL,2006-02-07,21.79,21.97,21.03,21.03,2190000
MYL,2006-02-08,21.92,22.049,21.59,21.95,2025000
MYL,2006-02-09,21.79,22.08,21.63,21.9,1494000
MYL,2006-02-10,21.55,21.99,21.25,21.84,2190300
MYL,2006-02-13,22.05,22.06,21.44,21.47,1674300
MYL,2006-02-14,22.12,22.4,21.94,22.02,1938700
MYL,2006-02-15,22.56,22.72,21.98,22.12,1552300
MYL,2006-02-16,22.7,22.71,22.35,22.43,968800
MYL,2006-02-17,22.58,22.85,22.5,22.63,1465800
MYL,2006-02-20,22.58,22.85,22.5,22.63,0
MYL,2006-02-21,23.0,23.08,22.6,22.63,2180000
MYL,2006-02-22,22.94,23.04,22.61,22.82,1077000
MYL,2006-02-23,23.23,23.49,23.16,23.49,1377000
MYL,2006-02-24,23.21,23.28,22.96,23.15,716900
