Symbol,Date,Close,High,Low,Open,Volume
NBL,2006-01-02,20.15,20.345,19.775,19.925,0
NBL,2006-01-03,20.7,20.7845,20.275,20.35,3485800
NBL,2006-01-04,20.985,21.1,20.265,20.375,3190000
NBL,2006-01-05,20.32,20.925,20.18,20.775,2754200
NBL,2006-01-06,21.365,21.425,20.5115,20.625,5434600
NBL,2006-01-09,21.15,21.415,20.8,21.365,3020000
NBL,2006-01-10,21.24,21.71,21.0305,21.05,3195000
NBL,2006-01-11,21.41,21.5,20.9,21.075,3319400
NBL,2006-01-12,21.145,21.935,21.11,21.575,2534200
NBL,2006-01-13,21.59,21.625,20.9,20.905,2185600
NBL,2006-01-16,21.59,21.625,20.9,20.905,0
NBL,2006-01-17,21.685,22.125,21.575,21.95,3140800
NBL,2006-01-18,21.145,21.69,20.715,21.635,2595600
NBL,2006-01-19,21.845,21.915,21.0,21.175,2877600
NBL,2006-01-20,22.09,22.45,21.67,22.4,2691600
NBL,2006-01-23,22.385,22.47,21.88,21.965,2849200
NBL,2006-01-24,22.65,22.935,22.275,22.3,4529200
NBL,2006-01-25,21.985,22.7635,21.74,22.75,3909200
NBL,2006-01-26,21.91,22.125,21.205,22.05,3130800
NBL,2006-01-27,22.2,22.425,21.855,22.25,3129600
NBL,2006-01-30,22.885,23.0,22.505,22.54,2324000
NBL,2006-01-31,23.14,23.265,22.83,22.855,2206600
NBL,2006-02-01,22.55,23.455,22.485,23.105,2584200
NBL,2006-02-02,22.435,22.72,22.075,22.415,3073000
NBL,2006-02-03,22.25,22.485,21.955,22.375,1901200
NBL,2006-02-06,22.365,22.715,22.1,22.5,2100200
NBL,2006-02-07,21.35,22.27,21.325,22.25,4397600
NBL,2006-02-08,21.395,21.61,20.71,21.25,3438600
NBL,2006-02-09,21.96,21.96,20.63,21.55,4035199
NBL,2006-02-10,21.17,21.345,20.155,20.68,4906600
NBL,2006-02-13,20.495,21.2,20.385,21.05,2699800
NBL,2006-02-14,20.34,20.535,19.725,20.105,3397000
NBL,2006-02-15,20.235,20.825,20.11,20.465,2536600
NBL,2006-02-16,21.065,21.2,20.525,20.6,2382600
NBL,2006-02-17,21.02,21.4,20.775,21.14,3152600
NBL,2006-02-20,21.02,21.4,20.775,21.14,0
NBL,2006-02-21,21.345,21.68,21.07,21.5,2411400
NBL,2006-02-22,20.815,21.08,20.66,21.0,1895000
NBL,2006-02-23,20.975,21.42,20.65,21.0,2293200
NBL,2006-02-24,21.74,21.825,21.15,21.23,3041600
NBL,2006-02-27,21.21,21.65,21.135,21.49,2132800
NBL,2006-02-28,21.02,21.395,20.835,21.105,3331200
NBL,2006-03-01,20.81,21.14,20.745,21.115,3229600
NBL,2006-03-02,21.025,21.25,20.735,20.8,2076200
NBL,2006-03-03,20.715,21.115,20.68,20.75,2980800
NBL,2006-03-06,20.105,20.555,20.085,20.49,2142600
NBL,2006-03-07,19.525,19.995,19.375,19.995,2801600
NBL,2006-03-08,19.69,19.885,19.16,19.3,2504200
NBL,2006-03-09,19.59,19.96,19.37,19.805,2248800
NBL,2006-03-10,19.545,19.845,19.265,19.4,1956800
NBL,2006-03-13,20.14,20.3,19.87,19.95,3084000
NBL,2006-03-14,20.535,20.63,20.02,20.15,2605400
NBL,2006-03-15,20.59,20.725,20.245,20.335,1938200
NBL,2006-03-16,21.05,21.11,20.46,20.59,2340200
NBL,2006-03-17,20.955,21.29,20.895,21.26,2543800
NBL,2006-03-20,20.535,21.005,20.44,20.75,2227000
NBL,2006-03-21,20.305,20.69,20.135,20.135,2141600
NBL,2006-03-22,20.72,20.94,20.205,20.205,2370600
NBL,2006-03-23,21.19,21.28,20.73,20.795,1939000
NBL,2006-03-24,21.44,21.45,20.96,21.175,2645400
NBL,2006-03-27,21.58,21.61,21.08,21.3,2463400
