Symbol,Date,Close,High,Low,Open,Volume
NEE,2006-01-02,41.56,41.7768,41.3,41.64,0
NEE,2006-01-03,42.06,42.07,41.39,41.86,1838700
NEE,2006-01-04,42.06,42.15,41.45,42.1,2344700
NEE,2006-01-05,42.17,42.17,41.83,41.85,2070700
NEE,2006-01-06,42.22,42.39,41.92,42.14,1532200
NEE,2006-01-09,42.04,42.24,41.87,42.1,1292100
NEE,2006-01-10,41.99,42.15,41.78,41.78,1817600
NEE,2006-01-11,41.71,42.11,41.58,42.07,1537700
NEE,2006-01-12,41.54,42.07,41.51,41.71,1755700
NEE,2006-01-13,41.69,41.8,41.43,41.72,1288000
NEE,2006-01-16,41.69,41.8,41.43,41.72,0
NEE,2006-01-17,41.94,42.0,41.32,41.57,1512000
NEE,2006-01-18,42.1,42.63,41.84,42.01,2792700
NEE,2006-01-19,43.24,43.25,42.4,42.61,1939400
NEE,2006-01-20,42.76,43.42,42.68,43.2,2108800
NEE,2006-01-23,42.05,42.88,42.03,42.76,1712500
NEE,2006-01-24,41.88,42.3,41.67,42.28,2396200
NEE,2006-01-25,41.25,42.2,41.03,41.9,2008200
NEE,2006-01-26,40.8,41.65,40.59,41.57,2489600
NEE,2006-01-27,41.66,41.96,41.4,41.5,2564100
NEE,2006-01-30,41.64,41.93,41.57,41.82,1864400
NEE,2006-01-31,41.79,42.3,41.4,42.0,3560800
NEE,2006-02-01,41.49,41.95,41.21,41.767,2266700
NEE,2006-02-02,40.62,41.5,40.6,41.468,1905600
NEE,2006-02-03,40.34,40.7,39.33,40.15,1946400
NEE,2006-02-06,40.91,40.99,40.52,40.79,1699300
NEE,2006-02-07,41.28,41.29,40.64,41.0,4451300
NEE,2006-02-08,41.83,41.9,41.47,41.7,4277900
NEE,2006-02-09,42.2,42.21,41.75,41.95,2978900
NEE,2006-02-10,41.86,42.5,41.65,42.25,2095600
NEE,2006-02-13,41.66,41.99,41.56,41.95,1480200
NEE,2006-02-14,41.47,41.9,41.14,41.78,1898900
NEE,2006-02-15,41.59,41.94,41.29,41.5,1274100
NEE,2006-02-16,41.76,41.76,41.4,41.568,2741300
NEE,2006-02-17,41.96,42.14,41.71,41.93,1262600
NEE,2006-02-20,41.96,42.14,41.71,41.93,0
NEE,2006-02-21,41.72,42.3,41.72,42.1,1869000
NEE,2006-02-22,41.98,42.02,41.75,41.83,1579400
NEE,2006-02-23,41.79,42.2,41.69,42.02,1377100
NEE,2006-02-24,41.78,42.06,41.59,41.768,1292300
NEE,2006-02-27,42.26,42.31,41.94,42.03,1686100
NEE,2006-02-28,41.93,42.26,41.78,42.21,2801600
NEE,2006-03-01,41.61,41.96,41.41,41.93,1754600
NEE,2006-03-02,41.34,41.6,41.09,41.6,1889700
NEE,2006-03-03,40.52,40.99,40.52,40.56,3123100
NEE,2006-03-06,39.66,40.5,39.55,40.48,2252600
NEE,2006-03-07,39.67,39.99,39.34,39.7,1929900
NEE,2006-03-08,39.6,39.92,38.92,39.5,1566000
NEE,2006-03-09,39.02,39.81,39.0,39.74,1991500
NEE,2006-03-10,39.22,39.4,38.85,39.25,2627600
NEE,2006-03-13,40.12,40.21,39.22,39.42,2716300
NEE,2006-03-14,40.39,40.4,39.67,40.32,2053799
NEE,2006-03-15,40.69,40.82,40.21,40.39,1865400
NEE,2006-03-16,41.26,41.43,40.89,40.99,3032100
NEE,2006-03-17,40.62,41.28,40.45,41.26,4462800
NEE,2006-03-20,40.7,41.35,40.48,41.29,3126700
NEE,2006-03-21,40.02,40.85,39.97,40.7,3693100
NEE,2006-03-22,40.66,40.72,39.88,40.1,1989800
NEE,2006-03-23,40.5,40.66,40.19,40.66,2509100
NEE,2006-03-24,40.7,40.87,40.47,40.7,2124300
NEE,2006-03-27,40.47,40.68,40.4,40.51,2480800
NEE,2006-03-28,40.42,40.62,40.23,40.54,2357500
NEE,2006-03-29,40.52,40.79,40.32,40.42,2867100
NEE,2006-03-30,40.26,40.64,40.13,40.52,4000000
NEE,2006-03-31,40.14,40.7,40.0,40.59,4321900
NEE,2006-04-03,40.23,40.84,40.14,40.14,2434100
NEE,2006-04-04,40.65,40.75,40.12,40.16,2286500
NEE,2006-04-05,40.65,40.96,40.2,40.96,3024900
NEE,2006-04-06,40.13,40.5,40.12,40.47,4400900
NEE,2006-04-07,40.12,40.3,39.7,40.08,5579900
NEE,2006-04-10,40.02,40.5,39.89,39.96,2765900
NEE,2006-04-11,39.36,40.24,39.08,40.14,4116600
NEE,2006-04-12,39.26,39.55,39.11,39.3,3878500
NEE,2006-04-13,38.94,39.2,38.75,39.16,2050600
NEE,2006-04-14,38.94,39.2,38.75,39.16,0
NEE,2006-04-17,38.57,38.98,38.4,38.97,2502900
NEE,2006-04-18,39.14,39.19,38.34,38.45,4334900
NEE,2006-04-19,39.28,39.32,38.9,38.9,2384600
NEE,2006-04-20,39.81,40.05,39.1,39.36,4607600
NEE,2006-04-21,39.34,40.05,39.2,40.05,3102300
NEE,2006-04-24,39.29,39.42,38.85,39.28,2408400
NEE,2006-04-25,38.85,39.27,38.81,39.2,2146600
NEE,2006-04-26,38.51,39.15,38.46,38.95,1895600
NEE,2006-04-27,39.41,39.62,38.32,38.41,2539500
