Symbol,Date,Close,High,Low,Open,Volume
NEM,2006-01-02,53.4,53.93,53.22,53.4,0
NEM,2006-01-03,57.14,57.17,54.1,54.1,11295900
NEM,2006-01-04,58.04,58.11,56.67,56.8,9748500
NEM,2006-01-05,56.66,57.26,56.1,57.25,8339600
NEM,2006-01-06,57.7,58.4,57.36,57.5,6977400
NEM,2006-01-09,58.51,58.95,56.66,57.66,8596500
NEM,2006-01-10,58.25,58.76,57.41,57.97,7236300
NEM,2006-01-11,58.49,59.22,58.04,58.48,6066000
NEM,2006-01-12,57.96,58.98,57.85,58.21,5399900
NEM,2006-01-13,59.87,59.87,58.05,58.47,6404400
NEM,2006-01-16,59.87,59.87,58.05,58.47,0
NEM,2006-01-17,59.09,60.34,58.85,59.4,8449300
NEM,2006-01-18,57.48,58.8,57.24,58.46,8101800
NEM,2006-01-19,58.05,58.49,56.88,58.2,10663700
NEM,2006-01-20,56.59,58.79,56.39,58.57,9514300
NEM,2006-01-23,57.21,57.21,55.55,56.95,7707600
NEM,2006-01-24,56.97,57.18,55.78,56.46,6637300
NEM,2006-01-25,58.1,58.54,57.31,58.31,6811100
NEM,2006-01-26,58.74,58.82,57.11,57.64,5937400
NEM,2006-01-27,59.2,59.7,58.18,58.74,6719600
NEM,2006-01-30,60.91,61.08,59.36,59.55,6641200
NEM,2006-01-31,61.8,62.72,61.1,61.23,10264700
NEM,2006-02-01,61.95,62.26,60.45,61.71,6181500
NEM,2006-02-02,61.21,62.55,60.56,62.43,6335300
NEM,2006-02-03,59.62,61.59,59.19,60.78,6070700
NEM,2006-02-06,60.48,60.98,59.77,59.78,4674600
NEM,2006-02-07,56.27,59.4,55.65,59.21,10744400
NEM,2006-02-08,56.9,56.9,55.7,56.42,8649500
NEM,2006-02-09,57.62,57.62,56.53,57.19,8028600
NEM,2006-02-10,54.8,56.18,54.44,56.18,7603100
NEM,2006-02-13,54.09,55.26,53.21,54.5,7430600
NEM,2006-02-14,55.16,55.59,53.88,54.45,6884100
NEM,2006-02-15,54.82,56.36,54.14,54.92,7619000
NEM,2006-02-16,56.2,56.46,54.41,54.42,6776500
NEM,2006-02-17,56.21,57.36,55.85,56.75,6315100
NEM,2006-02-20,56.21,57.36,55.85,56.75,0
NEM,2006-02-21,56.83,57.56,56.39,56.47,5563500
NEM,2006-02-22,57.48,57.69,56.1,56.75,4762000
NEM,2006-02-23,56.56,57.75,56.55,56.56,5552800
NEM,2006-02-24,58.1,58.14,56.89,57.22,4821000
NEM,2006-02-27,54.78,57.44,54.42,56.9,9021100
NEM,2006-02-28,52.92,54.78,52.35,54.78,12446500
NEM,2006-03-01,53.85,53.85,52.97,53.28,6931600
NEM,2006-03-02,54.15,54.87,52.63,52.97,9338100
NEM,2006-03-03,53.27,54.25,53.06,53.9,4774500
NEM,2006-03-06,50.83,53.02,50.2,53.01,11012700
NEM,2006-03-07,49.82,51.15,49.2,50.86,9937600
NEM,2006-03-08,49.57,49.82,48.13,48.9,12346400
NEM,2006-03-09,47.79,50.5,47.67,50.07,9099400
NEM,2006-03-10,48.61,48.67,46.6,47.12,10772500
NEM,2006-03-13,48.78,49.15,47.72,49.05,6652900
NEM,2006-03-14,49.68,50.03,48.6,48.6,7159500
NEM,2006-03-15,50.1,50.39,49.56,50.39,7031900
NEM,2006-03-16,50.0,50.65,49.66,50.15,5920100
NEM,2006-03-17,49.86,50.29,49.52,50.0,6431800
NEM,2006-03-20,49.22,50.1,49.12,49.73,4693100
NEM,2006-03-21,48.17,49.15,47.75,48.6,7585400
NEM,2006-03-22,48.1,49.0,48.0,48.0,4158500
NEM,2006-03-23,49.24,49.3,47.71,48.11,5452400
NEM,2006-03-24,49.46,50.82,49.26,49.5,8153600
NEM,2006-03-27,50.52,51.49,49.89,50.0,9300400
NEM,2006-03-28,50.03,51.25,49.87,51.17,7233800
NEM,2006-03-29,51.49,51.49,50.06,50.15,5342100
NEM,2006-03-30,52.93,54.25,52.72,52.72,10119800
NEM,2006-03-31,51.89,52.95,51.61,52.5,6874800
NEM,2006-04-03,51.13,52.92,51.02,52.31,6746800
NEM,2006-04-04,51.75,51.84,50.64,51.09,5220400
NEM,2006-04-05,53.23,53.54,51.74,52.29,6795200
NEM,2006-04-06,54.05,54.48,53.08,53.94,8243399
NEM,2006-04-07,52.74,53.7,52.38,53.48,7656600
NEM,2006-04-10,52.9,54.35,52.76,54.15,7197400
NEM,2006-04-11,51.46,53.8,51.39,53.19,7489300
NEM,2006-04-12,52.95,53.23,51.8,51.8,6130100
NEM,2006-04-13,52.87,53.35,51.89,52.87,5573200
NEM,2006-04-14,52.87,53.35,51.89,52.87,0
NEM,2006-04-17,56.07,56.08,54.15,54.47,10184100
NEM,2006-04-18,56.91,57.35,55.8,56.15,9098600
NEM,2006-04-19,58.72,58.72,57.02,57.02,9219000
NEM,2006-04-20,55.42,58.16,55.21,58.15,12111400
NEM,2006-04-21,57.55,57.72,55.76,56.63,9210900
NEM,2006-04-24,56.67,57.55,56.31,57.55,5938300
NEM,2006-04-25,56.9,58.2,56.66,57.45,5533800
NEM,2006-04-26,58.11,58.37,57.05,57.15,5754800
NEM,2006-04-27,56.72,58.49,56.56,57.2,8695300
NEM,2006-04-28,58.36,58.93,57.25,57.25,8274599
NEM,2006-05-01,57.95,59.33,57.86,59.22,5922800
NEM,2006-05-02,57.68,58.82,55.82,58.01,9677100
NEM,2006-05-03,56.08,58.25,55.0,58.03,11802900
NEM,2006-05-04,56.64,56.95,55.62,56.33,7200700
NEM,2006-05-05,56.43,56.9481,55.55,56.65,6892900
NEM,2006-05-08,55.73,56.24,54.78,56.1,4885300
NEM,2006-05-09,57.93,58.22,56.44,57.26,7744100
NEM,2006-05-10,58.3,58.76,57.48,57.75,9211100
NEM,2006-05-11,58.13,59.7,58.0,59.19,11548400
NEM,2006-05-12,56.31,58.75,55.87,58.19,10332200
NEM,2006-05-15,54.31,55.13,53.5,54.13,10862600
NEM,2006-05-16,53.48,55.09,52.71,54.84,8951800
NEM,2006-05-17,52.01,54.5,51.72,53.8,11041300
NEM,2006-05-18,50.97,52.73,50.85,52.26,7178400
NEM,2006-05-19,51.07,51.22,49.34,50.96,11044700
NEM,2006-05-22,50.84,51.0,48.85,49.82,11238900
NEM,2006-05-23,51.17,52.94,50.95,51.49,9965200
NEM,2006-05-24,49.53,50.83,48.39,50.32,11453300
NEM,2006-05-25,52.08,52.08,49.83,50.65,7643400
NEM,2006-05-26,52.3,52.67,51.69,52.25,6133500
NEM,2006-05-29,52.3,52.67,51.69,52.25,0
NEM,2006-05-30,51.4,53.3749,51.35,52.9,6628100
NEM,2006-05-31,52.15,52.89,51.56,52.28,6721700
NEM,2006-06-01,51.67,52.02,50.14,51.01,8677600
NEM,2006-06-02,53.3,53.54,51.99,52.49,7463200
NEM,2006-06-05,52.58,54.8,52.42,54.15,7692600
NEM,2006-06-06,51.38,52.17,51.03,51.95,7958000
NEM,2006-06-07,50.34,51.92,50.31,50.62,9205000
NEM,2006-06-08,49.77,49.99,47.93,49.8,10975100
NEM,2006-06-09,49.31,50.81,49.1,50.3,7028800
NEM,2006-06-12,48.52,50.24,48.45,49.49,6208100
NEM,2006-06-13,47.72,48.77,47.34,47.65,11800000
NEM,2006-06-14,48.59,49.75,47.81,47.96,10479800
NEM,2006-06-15,50.51,50.76,49.56,49.66,7931500
NEM,2006-06-16,50.06,50.45,49.71,50.26,6727200
NEM,2006-06-19,49.16,50.24,48.8,49.64,6576700
NEM,2006-06-20,49.5,50.2,49.06,49.24,5657900
NEM,2006-06-21,50.52,50.94,49.42,49.42,6605800
NEM,2006-06-22,49.51,50.36,49.5,50.35,5881700
NEM,2006-06-23,49.88,50.2,49.02,49.19,4613100
NEM,2006-06-26,50.34,50.45,49.8,50.35,3507700
NEM,2006-06-27,49.31,51.15,49.18,50.52,5747900
NEM,2006-06-28,49.23,49.87,48.6,49.62,4475700
NEM,2006-06-29,52.19,52.5,49.61,49.65,8806000
NEM,2006-06-30,52.93,53.67,52.75,53.29,6578500
NEM,2006-07-03,55.52,55.52,54.47,54.47,5564300
NEM,2006-07-04,55.52,55.52,54.47,54.47,0
NEM,2006-07-05,55.09,55.85,54.37,55.85,7207100
NEM,2006-07-06,55.08,55.48,54.5,55.1,5324400
NEM,2006-07-07,54.43,55.35,54.28,55.0,5046600
NEM,2006-07-10,54.44,54.84,53.66,54.06,3795500
NEM,2006-07-11,55.5,56.13,54.58,54.71,6499400
