Symbol,Date,Close,High,Low,Open,Volume
NFX,2006-01-02,50.07,50.36,49.3,49.6,0
NFX,2006-01-03,52.12,52.39,50.71,51.0,1582700
NFX,2006-01-04,53.47,53.57,51.21,51.8,1620400
NFX,2006-01-05,50.3,53.48,50.14,53.47,1707500
NFX,2006-01-06,51.0,51.86,50.74,50.75,1341200
NFX,2006-01-09,51.25,51.53,50.75,51.0,749900
NFX,2006-01-10,51.26,51.93,51.04,51.04,921200
NFX,2006-01-11,50.65,51.55,50.35,51.27,1047500
NFX,2006-01-12,50.29,51.53,50.16,51.05,1141900
NFX,2006-01-13,51.05,51.32,49.97,49.97,818500
NFX,2006-01-16,51.05,51.32,49.97,49.97,0
NFX,2006-01-17,51.2,51.8,50.56,51.56,1925200
NFX,2006-01-18,50.15,51.2,49.22,51.2,1326800
NFX,2006-01-19,51.74,51.8,49.72,50.15,1064800
NFX,2006-01-20,51.68,54.5,51.52,52.2,2679000
NFX,2006-01-23,52.03,52.249,50.97,51.67,831100
NFX,2006-01-24,51.7,52.48,51.5,51.65,702700
NFX,2006-01-25,49.85,52.05,49.49,51.8,979400
NFX,2006-01-26,49.35,51.0,48.42,51.0,1523700
NFX,2006-01-27,49.82,50.25,49.41,50.0,887100
NFX,2006-01-30,51.55,51.95,50.5,50.7,915600
NFX,2006-01-31,52.4,52.42,50.87,51.55,1012899
NFX,2006-02-01,51.55,53.07,51.41,52.4,1019400
NFX,2006-02-02,50.59,51.68,49.83,50.8,892400
NFX,2006-02-03,50.35,50.84,49.77,50.55,733200
NFX,2006-02-06,50.63,51.22,49.85,50.9,828600
NFX,2006-02-07,47.17,50.36,47.1,50.35,1275900
NFX,2006-02-08,47.15,47.78,45.7,47.75,1475800
NFX,2006-02-09,46.85,46.85,44.07,46.0,2737500
NFX,2006-02-10,42.54,44.44,42.02,43.75,2430900
NFX,2006-02-13,40.91,42.63,40.7,42.45,2118100
NFX,2006-02-14,41.13,41.56,38.86,40.49,2959100
NFX,2006-02-15,40.52,41.93,40.31,41.5,1862700
NFX,2006-02-16,42.56,42.81,41.17,41.6,1326000
NFX,2006-02-17,42.62,44.1,42.56,44.1,1873600
NFX,2006-02-20,42.62,44.1,42.56,44.1,0
NFX,2006-02-21,42.54,43.51,42.23,43.14,1639800
NFX,2006-02-22,40.87,41.48,40.45,41.48,1454600
NFX,2006-02-23,41.1,41.4,40.35,40.93,2013000
NFX,2006-02-24,41.24,42.25,41.07,42.0,1298100
NFX,2006-02-27,39.35,41.0,39.24,41.0,1625000
NFX,2006-02-28,38.65,39.38,38.18,39.36,3016800
NFX,2006-03-01,38.88,39.27,38.52,38.86,1830000
NFX,2006-03-02,39.42,39.8,38.91,39.1,3477400
NFX,2006-03-03,40.29,40.7,38.8,38.8,2060000
NFX,2006-03-06,38.08,39.75,37.91,39.54,1643800
NFX,2006-03-07,36.39,37.98,35.97,37.83,2091000
NFX,2006-03-08,36.3,36.49,35.07,35.52,2094100
