Symbol,Date,Close,High,Low,Open,Volume
NKTR,2006-01-02,16.46,16.55,16.02,16.11,0
NKTR,2006-01-03,16.44,16.61,16.03,16.56,1038073
NKTR,2006-01-04,16.82,16.85,16.3,16.48,2093347
NKTR,2006-01-05,17.65,17.76,16.75,16.85,3063863
NKTR,2006-01-06,18.05,18.16,17.76,17.8,1954192
NKTR,2006-01-09,18.66,18.7,18.05,18.12,2728864
NKTR,2006-01-10,18.78,18.88,18.45,18.72,1526157
NKTR,2006-01-11,18.29,18.85,18.1,18.765,1310212
NKTR,2006-01-12,18.11,18.6,18.02,18.24,599635
NKTR,2006-01-13,20.0,20.59,19.04,19.09,10853823
NKTR,2006-01-16,20.0,20.59,19.04,19.09,0
NKTR,2006-01-17,19.59,20.05,19.25,19.98,2108159
NKTR,2006-01-18,19.32,19.57,18.95,19.4,1552671
NKTR,2006-01-19,19.37,19.69,19.124,19.48,844273
NKTR,2006-01-20,19.25,19.64,18.88,19.291,1472544
NKTR,2006-01-23,19.25,19.5,19.08,19.4,1223145
NKTR,2006-01-24,19.59,19.59,19.31,19.59,1492873
NKTR,2006-01-25,19.3,20.0,18.85,19.55,2295704
NKTR,2006-01-26,20.62,20.81,19.0,19.45,5034761
NKTR,2006-01-27,20.75,22.25,20.42,20.65,12831377
NKTR,2006-01-30,19.89,20.15,19.0,20.1,9460387
NKTR,2006-01-31,19.77,20.5,19.46,19.87,2553500
NKTR,2006-02-01,19.74,19.85,19.39,19.46,1454834
NKTR,2006-02-02,19.49,19.65,19.04,19.57,1674885
NKTR,2006-02-03,19.48,19.71,19.25,19.42,1004091
NKTR,2006-02-06,19.74,19.83,19.49,19.67,1082651
NKTR,2006-02-07,19.84,20.1,19.54,19.66,1098723
NKTR,2006-02-08,19.74,20.1,19.5,19.7,1436633
NKTR,2006-02-09,19.76,20.06,19.64,19.83,1153278
NKTR,2006-02-10,20.25,20.4,19.04,19.65,2826150
NKTR,2006-02-13,20.68,21.01,20.301,20.35,3061251
NKTR,2006-02-14,20.6,21.0,20.07,21.0,1579482
NKTR,2006-02-15,21.41,21.41,20.31,20.54,2244080
NKTR,2006-02-16,21.72,21.85,21.32,21.4,2702012
NKTR,2006-02-17,21.26,21.8,21.25,21.63,1070167
NKTR,2006-02-20,21.26,21.8,21.25,21.63,0
NKTR,2006-02-21,20.98,21.64,20.7,21.33,1159872
NKTR,2006-02-22,21.76,21.86,21.01,21.1,1410222
NKTR,2006-02-23,21.5,21.86,21.38,21.8,1504592
NKTR,2006-02-24,21.38,21.5,21.0,21.45,1078418
NKTR,2006-02-27,21.65,21.93,21.01,21.5,1128861
NKTR,2006-02-28,20.91,21.66,20.79,21.56,1086962
NKTR,2006-03-01,20.53,20.65,19.91,20.46,2194838
NKTR,2006-03-02,20.55,20.55,20.24,20.48,1326042
NKTR,2006-03-03,20.37,20.73,19.94,20.08,1022821
NKTR,2006-03-06,19.98,20.52,19.83,20.33,2000354
NKTR,2006-03-07,19.93,20.16,19.74,19.85,1048616
NKTR,2006-03-08,20.32,20.43,19.82,19.82,1468296
NKTR,2006-03-09,20.06,20.53,20.0,20.3,985358
NKTR,2006-03-10,19.9,20.13,19.8,20.02,1229092
NKTR,2006-03-13,20.05,20.5,19.94,19.94,1393559
NKTR,2006-03-14,19.52,20.35,19.44,20.05,2056038
NKTR,2006-03-15,19.29,19.69,19.18,19.6,1382666
NKTR,2006-03-16,19.48,19.48,19.12,19.24,1298821
NKTR,2006-03-17,19.1,19.36,19.0,19.25,1686394
NKTR,2006-03-20,19.33,19.56,19.02,19.1,1160211
NKTR,2006-03-21,19.45,19.72,19.21,19.36,874691
NKTR,2006-03-22,19.65,19.72,19.1,19.45,1209926
NKTR,2006-03-23,19.37,19.72,19.17,19.65,736288
NKTR,2006-03-24,19.68,19.7,19.2,19.25,678264
NKTR,2006-03-27,19.69,19.8,19.45,19.7,566862
NKTR,2006-03-28,19.54,19.7458,19.44,19.59,868292
NKTR,2006-03-29,20.48,20.61,19.57,19.63,2340582
NKTR,2006-03-30,20.42,20.75,20.35,20.5,1067403
NKTR,2006-03-31,20.38,20.62,20.09,20.5,1007970
NKTR,2006-04-03,20.16,20.57,20.13,20.44,1255820
NKTR,2006-04-04,20.65,20.84,20.03,20.16,995545
NKTR,2006-04-05,20.51,20.71,20.3,20.7,1103858
NKTR,2006-04-06,20.12,20.85,20.0,20.51,1146819
NKTR,2006-04-07,19.72,20.55,19.6,20.17,1371794
NKTR,2006-04-10,20.07,20.07,20.0,20.07,1576951
NKTR,2006-04-11,19.84,20.1,19.51,20.09,849444
NKTR,2006-04-12,20.47,20.48,19.71,19.711,1139279
NKTR,2006-04-13,21.01,21.21,20.42,20.47,1200785
NKTR,2006-04-14,21.01,21.21,20.42,20.47,0
NKTR,2006-04-17,20.88,21.05,20.67,21.0,1543587
NKTR,2006-04-18,21.08,21.08,20.63,20.63,1451707
NKTR,2006-04-19,21.21,21.25,20.41,20.54,968530
NKTR,2006-04-20,21.4,21.5,21.02,21.18,983556
NKTR,2006-04-21,21.22,21.59,21.03,21.38,1253414
NKTR,2006-04-24,21.21,21.25,20.8,21.14,872455
NKTR,2006-04-25,21.0,21.29,20.84,21.2,1500064
NKTR,2006-04-26,20.68,21.14,20.47,20.98,1184374
NKTR,2006-04-27,20.69,21.03,20.4,20.56,1264486
NKTR,2006-04-28,21.74,21.74,21.44,21.44,4685136
NKTR,2006-05-01,21.57,22.0,21.5,21.73,1725931
NKTR,2006-05-02,21.3,21.95,20.94,21.6,2398499
NKTR,2006-05-03,21.39,21.68,21.16,21.37,1361017
NKTR,2006-05-04,21.86,22.1,21.43,21.44,1617223
NKTR,2006-05-05,22.75,22.96,21.97,22.07,1948549
NKTR,2006-05-08,22.67,23.2001,22.46,22.75,2551901
NKTR,2006-05-09,22.78,22.78,22.42,22.7,2102373
NKTR,2006-05-10,22.3,22.5,21.9,22.3,1147330
NKTR,2006-05-11,21.49,22.47,20.85,22.41,2299332
NKTR,2006-05-12,20.47,21.33,20.26,21.25,2751735
NKTR,2006-05-15,20.17,20.58,19.81,20.35,1911681
NKTR,2006-05-16,20.0,20.64,19.94,20.34,1701309
NKTR,2006-05-17,19.83,20.1,19.45,19.919,1291211
NKTR,2006-05-18,19.48,20.116,18.94,19.91,1573831
NKTR,2006-05-19,19.7,19.85,19.03,19.47,2546862
NKTR,2006-05-22,19.15,19.95,19.1,19.71,1723702
NKTR,2006-05-23,19.09,19.52,19.09,19.28,772313
NKTR,2006-05-24,19.05,19.44,18.36,19.07,1726737
NKTR,2006-05-25,18.97,19.29,18.78,19.199,1056850
NKTR,2006-05-26,19.77,19.96,19.24,19.24,1531639
NKTR,2006-05-29,19.77,19.96,19.24,19.24,0
NKTR,2006-05-30,19.6,19.92,19.36,19.78,1202371
NKTR,2006-05-31,19.99,20.05,19.51,19.73,1671722
NKTR,2006-06-01,20.61,20.61,19.96,20.01,1211373
NKTR,2006-06-02,21.02,21.06,20.64,20.69,1576584
NKTR,2006-06-05,20.21,21.22,20.01,21.08,1620272
NKTR,2006-06-06,19.97,20.77,19.73,20.04,1917787
NKTR,2006-06-07,20.16,20.86,19.77,19.94,1658896
NKTR,2006-06-08,20.07,20.28,19.44,19.98,1676451
NKTR,2006-06-09,19.71,20.77,19.69,19.97,1487514
NKTR,2006-06-12,18.81,20.2,18.76,20.14,2529566
NKTR,2006-06-13,18.15,19.13,18.01,18.99,2641863
NKTR,2006-06-14,18.21,18.33,17.85,18.07,1780789
NKTR,2006-06-15,18.89,18.89,18.31,18.31,1647285
NKTR,2006-06-16,18.04,18.78,17.86,18.71,3106972
NKTR,2006-06-19,17.42,18.11,17.29,18.11,2245204
NKTR,2006-06-20,16.99,17.37,16.86,17.3,2126921
NKTR,2006-06-21,16.99,17.1799,16.55,16.99,1543344
NKTR,2006-06-22,17.04,17.42,16.8139,17.31,1729318
NKTR,2006-06-23,17.28,17.55,16.71,17.148,911635
NKTR,2006-06-26,17.77,17.86,17.33,17.49,1488889
NKTR,2006-06-27,17.05,17.89,16.95,17.8,2343298
NKTR,2006-06-28,17.34,17.5,16.94,17.15,2503246
NKTR,2006-06-29,17.88,17.95,17.34,17.47,1573487
NKTR,2006-06-30,18.34,18.61,17.673,18.0,1645451
NKTR,2006-07-03,18.53,18.55,17.96,18.35,870973
NKTR,2006-07-04,18.53,18.55,17.96,18.35,0
NKTR,2006-07-05,17.92,18.45,17.8701,18.42,1012899
NKTR,2006-07-06,17.57,17.9,17.46,17.86,1109485
NKTR,2006-07-07,17.19,17.43,17.06,17.41,1436236
NKTR,2006-07-10,17.03,17.25,16.99,17.18,722067
NKTR,2006-07-11,17.44,17.62,16.95,17.02,1277892
NKTR,2006-07-12,17.06,17.85,16.98,17.5,1198909
NKTR,2006-07-13,16.88,17.05,16.76,17.0,1364524
NKTR,2006-07-14,16.65,16.94,16.55,16.8,1831032
NKTR,2006-07-17,16.13,16.99,15.86,16.58,2330118
NKTR,2006-07-18,15.5,16.43,15.23,16.21,4334198
NKTR,2006-07-19,15.94,16.24,15.22,15.5,2373515
NKTR,2006-07-20,16.69,17.14,15.57,15.91,5044890
NKTR,2006-07-21,16.3,16.7,16.04,16.65,1680860
NKTR,2006-07-24,16.87,17.0,16.33,16.4,1617234
NKTR,2006-07-25,16.76,17.08,16.56,16.95,1567798
NKTR,2006-07-26,16.67,16.99,16.33,16.78,1669221
NKTR,2006-07-27,16.47,16.89,16.21,16.79,1109315
NKTR,2006-07-28,16.5,16.64,16.25,16.55,840398
NKTR,2006-07-31,16.3,16.6,16.0,16.46,1510192
NKTR,2006-08-01,16.14,16.3,15.94,16.15,1256991
NKTR,2006-08-02,16.05,16.12,15.72,15.99,1682797
NKTR,2006-08-03,16.54,16.82,15.75,15.94,1684704
NKTR,2006-08-04,16.29,17.09,16.15,16.78,1163107
NKTR,2006-08-07,16.1,16.3,16.03,16.17,1133263
NKTR,2006-08-08,16.01,16.47,15.81,16.11,1400642
NKTR,2006-08-09,16.55,16.55,16.05,16.05,1396578
NKTR,2006-08-10,16.75,16.75,16.3,16.3,1813593
NKTR,2006-08-11,16.17,16.54,16.15,16.48,693752
NKTR,2006-08-14,16.06,16.4,16.05,16.21,805534
NKTR,2006-08-15,16.39,16.49,16.1,16.23,760588
NKTR,2006-08-16,16.36,16.72,16.19,16.51,1780498
NKTR,2006-08-17,16.8,17.02,16.17,16.37,1697898
NKTR,2006-08-18,17.33,17.51,16.8,17.26,2912221
NKTR,2006-08-21,17.16,17.49,16.97,17.37,1323273
NKTR,2006-08-22,17.45,17.45,17.2,17.2,893907
NKTR,2006-08-23,16.87,17.39,16.77,17.2,805499
NKTR,2006-08-24,17.08,17.25,16.91,16.96,977041
NKTR,2006-08-25,17.44,17.53,17.0,17.12,1037377
NKTR,2006-08-28,17.63,17.79,17.41,17.48,1190519
NKTR,2006-08-29,17.88,17.93,17.43,17.57,824643
NKTR,2006-08-30,17.81,18.11,17.72,17.95,684067
NKTR,2006-08-31,17.52,17.89,17.29,17.85,1239670
NKTR,2006-09-01,17.39,17.72,17.35,17.64,1353656
NKTR,2006-09-04,17.39,17.72,17.35,17.64,0
NKTR,2006-09-05,16.72,17.26,16.67,17.25,1679368
NKTR,2006-09-06,16.36,16.65,16.19,16.59,1750181
NKTR,2006-09-07,15.97,16.33,15.86,16.27,1288616
NKTR,2006-09-08,16.1,16.1,15.89,16.1,959450
NKTR,2006-09-11,15.75,15.98,15.41,15.85,1618950
NKTR,2006-09-12,15.68,15.85,15.47,15.84,2001542
NKTR,2006-09-13,15.67,15.75,15.48,15.63,1458252
NKTR,2006-09-14,15.17,15.89,15.15,15.75,3528266
NKTR,2006-09-15,14.81,15.29,14.44,15.28,4477530
NKTR,2006-09-18,13.96,15.02,13.66,14.9,6995424
NKTR,2006-09-19,14.31,14.54,13.85,14.15,4701193
NKTR,2006-09-20,14.36,14.43,14.09,14.32,1916434
NKTR,2006-09-21,13.37,14.41,13.28,14.41,5408928
NKTR,2006-09-22,13.1,13.44,12.71,13.37,4100647
NKTR,2006-09-25,13.33,13.4,13.01,13.1,1736693
NKTR,2006-09-26,13.33,13.39,13.1,13.35,1819109
NKTR,2006-09-27,13.98,13.98,13.26,13.26,3210441
NKTR,2006-09-28,14.29,14.55,14.14,14.16,3361429
NKTR,2006-09-29,14.41,14.56,14.3,14.3,2023281
NKTR,2006-10-02,14.29,14.48,14.23,14.36,1403032
NKTR,2006-10-03,14.08,14.4,13.59,14.22,2421970
NKTR,2006-10-04,14.56,14.57,14.01,14.04,1468216
NKTR,2006-10-05,14.77,14.98,14.42,14.56,1308945
NKTR,2006-10-06,14.83,14.83,14.73,14.78,832050
NKTR,2006-10-09,14.92,14.96,14.57,14.64,914855
NKTR,2006-10-10,14.5,14.99,14.28,14.99,1314764
NKTR,2006-10-11,14.77,14.82,14.3,14.44,1260693
NKTR,2006-10-12,15.27,15.27,14.69,14.87,2208637
NKTR,2006-10-13,15.42,15.44,15.06,15.27,1295037
NKTR,2006-10-16,15.14,15.47,15.0,15.43,1664136
NKTR,2006-10-17,15.82,15.91,15.02,15.02,2752216
NKTR,2006-10-18,15.98,15.98,15.72,15.91,2361320
NKTR,2006-10-19,15.35,15.65,15.159,15.35,2778013
NKTR,2006-10-20,15.2,15.43,15.14,15.43,1529177
NKTR,2006-10-23,15.17,15.27,15.02,15.18,1650737
NKTR,2006-10-24,14.5,15.2,14.47,15.2,2207027
NKTR,2006-10-25,15.13,15.13,14.5,14.5,2053783
NKTR,2006-10-26,15.03,15.25,14.84,15.17,1472907
NKTR,2006-10-27,14.61,14.84,14.1,14.5,3361791
NKTR,2006-10-30,14.19,15.13,14.06,15.01,3238640
NKTR,2006-10-31,14.43,14.63,13.932,14.11,1958400
NKTR,2006-11-01,13.96,14.44,13.84,14.39,1784067
NKTR,2006-11-02,13.99,14.1,13.67,13.82,1489635
NKTR,2006-11-03,14.38,14.75,14.21,14.71,2113092
NKTR,2006-11-06,14.63,14.67,14.35,14.35,1039828
NKTR,2006-11-07,15.05,15.18,14.63,14.65,1722460
NKTR,2006-11-08,15.28,15.34,14.9,14.97,1531210
NKTR,2006-11-09,15.03,15.41,14.88,15.3,1666558
NKTR,2006-11-10,15.0,15.1,14.83,14.96,895243
NKTR,2006-11-13,15.06,15.1,14.89,14.89,951680
NKTR,2006-11-14,15.3,15.33,14.91,15.1,1061704
NKTR,2006-11-15,15.6,15.72,15.27,15.37,1703930
