Symbol,Date,Close,High,Low,Open,Volume
NSC,2006-01-02,44.83,45.16,44.53,44.9,0
NSC,2006-01-03,43.45,45.0,42.58,45.0,4053099
NSC,2006-01-04,43.55,44.14,43.46,43.64,2469500
NSC,2006-01-05,42.85,43.49,42.73,43.48,2299500
NSC,2006-01-06,42.16,42.59,41.22,42.15,6404900
NSC,2006-01-09,42.39,42.92,42.0,42.0,3573500
NSC,2006-01-10,44.23,44.23,42.1,42.1,3134500
NSC,2006-01-11,42.5,42.77,42.34,42.45,2408600
NSC,2006-01-12,42.42,42.62,42.16,42.34,1927800
NSC,2006-01-13,42.48,42.67,42.29,42.3,1348500
NSC,2006-01-16,42.48,42.67,42.29,42.3,0
NSC,2006-01-17,42.41,42.65,42.04,42.05,2357900
NSC,2006-01-18,43.0,43.34,42.24,42.42,2355300
NSC,2006-01-19,44.6,44.71,43.37,43.45,2846000
NSC,2006-01-20,44.27,44.8,43.81,44.8,2819500
NSC,2006-01-23,45.45,45.58,44.79,44.9,3106100
NSC,2006-01-24,45.8,46.6,45.6,45.97,4243300
NSC,2006-01-25,47.64,48.32,47.01,47.75,5004700
NSC,2006-01-26,49.85,49.9,47.84,48.0,4569500
NSC,2006-01-27,49.48,49.88,48.97,49.88,3460700
NSC,2006-01-30,49.65,49.93,49.24,49.43,2486300
NSC,2006-01-31,49.84,49.94,49.27,49.6,3563800
NSC,2006-02-01,49.55,49.9,48.6,49.87,2603500
NSC,2006-02-02,48.79,49.47,48.26,49.35,2471000
NSC,2006-02-03,49.24,49.57,48.61,48.78,1952200
NSC,2006-02-06,49.75,50.17,49.03,49.19,3114300
NSC,2006-02-07,48.95,49.77,48.75,49.75,1672200
NSC,2006-02-08,49.0,49.0,48.3,49.0,2837900
NSC,2006-02-09,48.38,48.67,48.15,48.28,2048800
NSC,2006-02-10,49.0,49.08,47.77,48.38,1844700
NSC,2006-02-13,48.27,49.3,48.09,49.29,1936300
NSC,2006-02-14,49.64,50.0,48.38,48.38,2724100
NSC,2006-02-15,50.77,50.79,49.06,49.14,2940300
NSC,2006-02-16,50.0,51.0,49.76,51.0,2470400
NSC,2006-02-17,49.35,49.87,49.06,49.82,1887100
NSC,2006-02-20,49.35,49.87,49.06,49.82,0
NSC,2006-02-21,50.2,50.25,49.51,49.99,2252900
NSC,2006-02-22,50.8,50.98,50.21,50.44,3092700
NSC,2006-02-23,50.3,51.0,50.25,50.99,1634700
NSC,2006-02-24,49.96,50.43,49.78,49.98,1281000
NSC,2006-02-27,51.32,51.4,50.2,50.44,1729100
NSC,2006-02-28,51.18,51.3,50.5,51.0,2714000
NSC,2006-03-01,52.08,52.2,51.18,51.18,2260100
NSC,2006-03-02,51.61,52.3,51.48,52.09,2204700
NSC,2006-03-03,52.12,52.37,51.2,51.51,1827800
NSC,2006-03-06,51.72,52.11,51.27,52.02,2218900
NSC,2006-03-07,50.14,51.53,49.54,51.35,2539500
NSC,2006-03-08,48.96,50.0,48.12,49.5,2830800
NSC,2006-03-09,49.35,49.99,49.02,49.07,1700500
NSC,2006-03-10,50.83,50.83,49.36,49.45,2168300
NSC,2006-03-13,51.21,51.59,50.97,51.22,1802000
NSC,2006-03-14,51.49,51.78,50.85,51.34,1597500
NSC,2006-03-15,53.92,54.0,52.65,53.25,3586000
NSC,2006-03-16,53.65,54.28,53.38,54.27,2162400
NSC,2006-03-17,53.94,54.36,53.2,54.0,2281500
NSC,2006-03-20,53.99,54.64,53.4151,53.95,1223600
