Symbol,Date,Close,High,Low,Open,Volume
NTAP,2006-01-02,27.0,27.42,26.98,27.23,0
NTAP,2006-01-03,27.91,28.12,27.13,27.2,3561138
NTAP,2006-01-04,28.3,28.3,28.04,28.04,4213454
NTAP,2006-01-05,28.21,28.32,27.84,28.0,3869517
NTAP,2006-01-06,28.98,29.1,28.38,29.03,6374645
NTAP,2006-01-09,29.04,29.32,28.77,28.97,3669342
NTAP,2006-01-10,28.63,28.95,28.53,28.89,3050543
NTAP,2006-01-11,30.44,30.44,28.6,28.65,9032158
NTAP,2006-01-12,32.67,34.49,30.19,30.21,25322460
NTAP,2006-01-13,32.12,32.34,31.62,31.85,6439799
NTAP,2006-01-16,32.12,32.34,31.62,31.85,0
NTAP,2006-01-17,31.73,32.1,31.41,31.62,3715624
NTAP,2006-01-18,31.37,31.65,30.77,31.56,6599179
NTAP,2006-01-19,32.58,32.62,31.48,31.51,5954169
NTAP,2006-01-20,31.14,32.84,31.14,32.43,3931715
NTAP,2006-01-23,30.96,32.771,30.67,31.04,4908605
NTAP,2006-01-24,30.39,31.1,30.17,30.92,4828695
NTAP,2006-01-25,30.36,31.64,30.29,31.24,4200453
NTAP,2006-01-26,30.48,30.89,30.37,30.66,2593645
NTAP,2006-01-27,31.63,31.98,30.56,30.6,4303351
NTAP,2006-01-30,31.9,32.17,31.1,31.62,4874815
NTAP,2006-01-31,31.2,32.13,31.11,31.95,3268860
NTAP,2006-02-01,31.39,31.8,30.93,31.0,2613723
NTAP,2006-02-02,31.42,31.42,30.81,31.25,2170459
NTAP,2006-02-03,31.14,31.41,30.57,30.6,3287100
NTAP,2006-02-06,30.83,30.98,30.65,30.76,1904737
NTAP,2006-02-07,30.85,31.25,30.59,30.81,2495110
NTAP,2006-02-08,31.37,31.59,30.97,31.13,2664278
NTAP,2006-02-09,31.4,32.18,31.29,31.29,3637858
NTAP,2006-02-10,31.33,31.48,30.73,31.35,2671932
NTAP,2006-02-13,31.43,31.76,31.08,31.33,2010519
NTAP,2006-02-14,31.4,31.68,30.9,31.67,2098412
NTAP,2006-02-15,31.16,31.88,30.2,31.27,8190923
NTAP,2006-02-16,33.58,34.49,32.97,34.02,15077435
NTAP,2006-02-17,33.04,33.42,32.85,33.335,4909769
NTAP,2006-02-20,33.04,33.42,32.85,33.335,0
NTAP,2006-02-21,32.93,33.39,32.45,33.03,3332483
NTAP,2006-02-22,33.45,34.01,32.6,32.99,3915666
NTAP,2006-02-23,32.54,33.38,32.5,33.27,2719952
NTAP,2006-02-24,32.57,32.8,32.05,32.47,3072021
NTAP,2006-02-27,33.5,33.66,32.49,32.66,3378977
NTAP,2006-02-28,33.16,33.96,32.89,33.39,3586438
NTAP,2006-03-01,34.19,34.27,33.09,33.13,3497240
NTAP,2006-03-02,34.22,35.0,33.8,34.0,4458077
NTAP,2006-03-03,33.86,34.9,33.78,33.86,2755863
NTAP,2006-03-06,33.67,34.58,33.48,33.85,2826392
NTAP,2006-03-07,33.31,33.63,33.21,33.42,2597649
NTAP,2006-03-08,33.73,33.73,33.2,33.2,2452005
NTAP,2006-03-09,33.14,34.06,33.12,33.65,3010739
NTAP,2006-03-10,33.18,33.57,32.7,33.22,2081384
NTAP,2006-03-13,33.08,33.79,32.55,33.14,3156610
NTAP,2006-03-14,33.89,33.94,32.87,32.93,3517375
NTAP,2006-03-15,34.5,34.5,34.115,34.115,4139380
NTAP,2006-03-16,34.5,35.0001,34.46,34.49,3855950
NTAP,2006-03-17,35.05,35.67,34.5,34.81,6240695
NTAP,2006-03-20,34.92,35.43,34.8499,35.11,2458228
NTAP,2006-03-21,34.54,35.67,34.5,34.81,3702806
NTAP,2006-03-22,34.85,35.01,34.28,34.46,2754031
NTAP,2006-03-23,35.12,35.43,34.9,35.29,4810924
NTAP,2006-03-24,34.98,35.25,34.65,35.1,2224553
NTAP,2006-03-27,35.05,35.45,34.65,34.81,2532402
NTAP,2006-03-28,34.85,35.38,34.65,35.0,3012828
NTAP,2006-03-29,36.02,36.02,35.02,35.02,4190359
NTAP,2006-03-30,36.19,36.94,35.55,35.76,6321001
NTAP,2006-03-31,36.03,36.96,36.0,36.8,3739402
NTAP,2006-04-03,36.07,36.75,35.97,36.42,3490010
NTAP,2006-04-04,36.0,36.33,35.8,36.03,2782036
NTAP,2006-04-05,37.07,37.35,35.88,36.1,7100280
NTAP,2006-04-06,37.23,37.645,36.94,37.0,3539909
NTAP,2006-04-07,36.7,37.54,36.55,37.295,5947552
NTAP,2006-04-10,36.52,37.1,36.45,36.85,2424138
NTAP,2006-04-11,36.43,36.98,36.17,36.68,1855118
NTAP,2006-04-12,35.93,36.23,35.75,36.14,3100324
NTAP,2006-04-13,37.25,37.64,35.88,35.88,4148319
NTAP,2006-04-14,37.25,37.64,35.88,35.88,0
NTAP,2006-04-17,36.77,37.58,36.38,37.5,2961578
NTAP,2006-04-18,37.76,38.12,36.9,36.97,3787370
NTAP,2006-04-19,37.79,38.07,37.3,37.75,2672809
NTAP,2006-04-20,37.76,38.5,37.69,37.89,2153882
NTAP,2006-04-21,36.91,38.12,36.5,37.825,4656042
NTAP,2006-04-24,37.19,37.28,36.38,36.91,2274049
NTAP,2006-04-25,36.96,37.36,36.06,37.18,2643490
NTAP,2006-04-26,37.06,37.26,36.56,36.93,2319706
NTAP,2006-04-27,37.25,37.98,36.59,37.01,3544944
NTAP,2006-04-28,37.07,37.35,36.72,37.21,1969892
NTAP,2006-05-01,36.36,37.67,36.14,37.22,3669196
NTAP,2006-05-02,35.74,36.61,35.69,36.52,3751122
NTAP,2006-05-03,35.97,36.33,35.41,35.73,2843118
NTAP,2006-05-04,37.0,37.1,35.9,35.9,4983209
NTAP,2006-05-05,37.58,37.64,36.96,37.03,3252654
NTAP,2006-05-08,37.18,37.6,36.85,37.53,2839338
NTAP,2006-05-09,37.35,37.35,37.02,37.28,1653870
NTAP,2006-05-10,36.19,37.09,35.77,36.97,2789576
NTAP,2006-05-11,34.86,36.15,34.52,35.95,4591404
NTAP,2006-05-12,33.78,34.78,33.4,34.75,6682482
NTAP,2006-05-15,33.31,33.85,32.85,33.55,4129907
NTAP,2006-05-16,32.58,33.69,32.44,33.211,3898847
NTAP,2006-05-17,32.77,32.94,32.14,32.36,5180509
NTAP,2006-05-18,32.9,33.31,32.71,32.99,4056860
NTAP,2006-05-19,33.79,34.16,33.0,33.34,7409866
NTAP,2006-05-22,33.94,34.97,33.52,33.61,8366206
NTAP,2006-05-23,33.53,34.6199,33.41,34.52,5777402
NTAP,2006-05-24,33.48,34.27,32.63,33.39,7450307
NTAP,2006-05-25,33.36,33.51,31.26,32.78,13338707
NTAP,2006-05-26,33.84,34.02,33.12,33.41,5363373
NTAP,2006-05-29,33.84,34.02,33.12,33.41,0
NTAP,2006-05-30,32.33,33.65,32.31,33.58,3122271
NTAP,2006-05-31,32.0,32.84,31.98,32.44,5829766
NTAP,2006-06-01,32.53,32.53,31.9,31.9,4179291
NTAP,2006-06-02,32.35,32.9,32.09,32.9,3688192
NTAP,2006-06-05,31.69,32.38,31.62,32.23,3267142
NTAP,2006-06-06,31.17,31.8,30.94,31.79,4216443
NTAP,2006-06-07,31.29,31.6,31.15,31.29,3348920
NTAP,2006-06-08,31.05,31.68,30.19,31.11,6980493
NTAP,2006-06-09,31.79,32.42,31.02,31.03,5671636
NTAP,2006-06-12,31.3,31.98,31.11,31.84,2931449
NTAP,2006-06-13,32.41,32.41,31.34,31.34,6560325
NTAP,2006-06-14,33.17,33.24,32.18,32.25,5397793
NTAP,2006-06-15,34.69,34.75,33.36,33.5,6084905
NTAP,2006-06-16,34.53,34.98,34.13,34.63,5057473
NTAP,2006-06-19,34.17,34.7,33.79,34.68,2929124
NTAP,2006-06-20,34.14,34.53,34.04,34.4,2315856
NTAP,2006-06-21,34.86,35.6,33.99,34.05,3425602
NTAP,2006-06-22,34.97,35.07,34.48,34.79,3059034
NTAP,2006-06-23,34.86,35.44,34.78,34.83,3368423
NTAP,2006-06-26,34.61,35.06,34.55,34.98,2388708
NTAP,2006-06-27,33.93,35.0,33.8,34.6,3475142
NTAP,2006-06-28,33.86,33.98,33.35,33.83,3242706
NTAP,2006-06-29,35.34,35.39,33.85,34.1,3472620
NTAP,2006-06-30,35.3,35.91,35.21,35.48,2883103
NTAP,2006-07-03,35.12,35.76,35.05,35.52,1159802
NTAP,2006-07-04,35.12,35.76,35.05,35.52,0
NTAP,2006-07-05,34.18,34.93,34.14,34.88,3694777
NTAP,2006-07-06,34.64,34.8,34.07,34.3,2467471
NTAP,2006-07-07,33.16,34.56,32.98,34.31,5298556
NTAP,2006-07-10,31.47,33.36,31.34,33.2,6013871
NTAP,2006-07-11,30.73,31.52,30.31,31.41,8455300
NTAP,2006-07-12,28.6,30.03,27.26,29.99,18076890
NTAP,2006-07-13,27.94,29.27,27.71,28.18,11777606
NTAP,2006-07-14,26.92,27.93,26.54,27.685,8089501
NTAP,2006-07-17,27.09,27.26,25.85,26.11,7364275
NTAP,2006-07-18,28.13,28.78,27.16,28.68,11988006
NTAP,2006-07-19,29.52,29.52,28.18,28.18,7265949
NTAP,2006-07-20,29.74,31.1,29.62,30.25,9283396
NTAP,2006-07-21,28.83,29.89,28.66,29.52,5961124
NTAP,2006-07-24,29.93,30.55,28.86,28.9,4641278
NTAP,2006-07-25,30.31,30.53,29.68,30.1,3420529
NTAP,2006-07-26,30.14,30.9,29.78,30.32,3018356
NTAP,2006-07-27,29.19,30.25,29.13,30.21,3226282
NTAP,2006-07-28,29.83,29.97,29.2,29.2,2534118
NTAP,2006-07-31,29.65,30.01,29.37,29.93,2783383
NTAP,2006-08-01,29.31,29.6,28.65,29.51,3778138
NTAP,2006-08-02,29.86,30.14,29.07,29.16,3495083
NTAP,2006-08-03,30.15,30.57,29.5,29.7,2890642
NTAP,2006-08-04,30.09,30.81,29.6,30.45,3183793
NTAP,2006-08-07,29.33,30.09,29.27,30.02,2520509
NTAP,2006-08-08,28.99,29.64,28.69,29.55,3550467
NTAP,2006-08-09,29.0,29.95,28.88,29.5,2637195
NTAP,2006-08-10,29.47,29.47,29.04,29.04,1870032
NTAP,2006-08-11,29.33,29.49,28.68,29.0,2613612
NTAP,2006-08-14,29.97,30.46,29.69,29.7,3254011
NTAP,2006-08-15,31.7,31.74,30.56,30.85,4037407
NTAP,2006-08-16,32.7,32.7,32.0,32.0,7407873
NTAP,2006-08-17,32.34,32.87,31.78,32.2,6321270
NTAP,2006-08-18,33.91,34.09,32.28,32.29,5418923
NTAP,2006-08-21,33.24,33.89,32.99,33.7,2436245
NTAP,2006-08-22,34.25,34.71,33.1,33.1,4280810
NTAP,2006-08-23,33.99,34.74,33.79,34.35,3932208
NTAP,2006-08-24,34.03,34.5,33.49,34.21,2539340
NTAP,2006-08-25,33.87,34.5,33.56,33.9,2472390
NTAP,2006-08-28,34.2,34.45,33.74,33.77,2002287
NTAP,2006-08-29,34.38,34.46,33.84,34.08,3485850
NTAP,2006-08-30,34.7,34.7,34.35,34.39,2575825
NTAP,2006-08-31,34.24,34.81,34.19,34.4,3466063
NTAP,2006-09-01,34.38,34.74,34.37,34.51,2507592
NTAP,2006-09-04,34.38,34.74,34.37,34.51,0
NTAP,2006-09-05,34.41,34.52,33.97,34.3,3118460
NTAP,2006-09-06,34.3,34.3,33.77,34.2,3630454
NTAP,2006-09-07,33.28,34.24,33.21,33.63,3235678
NTAP,2006-09-08,34.22,34.22,33.2,33.2,2899019
NTAP,2006-09-11,33.68,33.89,33.13,33.57,3363544
NTAP,2006-09-12,33.94,34.16,33.1,33.53,3942832
NTAP,2006-09-13,33.66,34.24,33.43,33.81,4500326
NTAP,2006-09-14,34.25,34.52,33.4,33.4,3146793
NTAP,2006-09-15,33.77,34.64,33.67,34.4,5936242
NTAP,2006-09-18,35.05,35.24,33.54,33.65,4768543
NTAP,2006-09-19,36.0,36.58,35.18,35.2,6710729
NTAP,2006-09-20,36.63,37.01,36.09,36.18,4719934
NTAP,2006-09-21,36.26,37.18,36.08,36.66,4748131
NTAP,2006-09-22,35.98,36.31,35.4,36.15,3328017
NTAP,2006-09-25,36.89,37.159,35.69,36.1,3089677
NTAP,2006-09-26,37.01,37.23,36.45,36.75,3347972
NTAP,2006-09-27,36.65,37.5,36.39,36.89,2656971
NTAP,2006-09-28,37.47,37.47,36.55,36.82,2688168
NTAP,2006-09-29,37.01,37.46,36.94,37.32,2677724
NTAP,2006-10-02,36.85,37.84,36.8,36.84,3685448
NTAP,2006-10-03,37.4,37.53,36.47,36.85,2459111
NTAP,2006-10-04,38.16,38.2,37.15,37.2,2771776
NTAP,2006-10-05,37.63,38.16,37.5,38.0,2544210
NTAP,2006-10-06,36.88,37.35,36.57,37.19,3501113
NTAP,2006-10-09,37.88,37.88,36.75,36.75,3066694
NTAP,2006-10-10,38.23,38.43,37.69,37.84,3079387
NTAP,2006-10-11,38.75,38.75,37.98,37.98,3004346
NTAP,2006-10-12,38.7,38.7,38.41,38.51,3939191
NTAP,2006-10-13,39.57,39.59,38.15,38.2,3515549
NTAP,2006-10-16,39.63,39.73,39.01,39.03,2568187
NTAP,2006-10-17,38.33,39.45,37.88,39.35,3955846
NTAP,2006-10-18,37.84,38.18,37.54,37.85,3869616
NTAP,2006-10-19,37.68,38.2,37.32,37.55,2921471
NTAP,2006-10-20,37.49,37.89,37.37,37.81,3300446
NTAP,2006-10-23,37.39,38.3,37.0,37.35,2861980
NTAP,2006-10-24,36.7,37.53,36.34,37.46,3216708
NTAP,2006-10-25,37.06,37.06,36.79,36.79,2156525
NTAP,2006-10-26,37.81,37.81,36.79,36.79,2585848
NTAP,2006-10-27,35.78,37.49,35.7639,37.44,3767801
NTAP,2006-10-30,36.96,37.14,35.51,35.66,3298407
NTAP,2006-10-31,36.5,37.12,36.3,37.1,2609619
NTAP,2006-11-01,36.01,36.8,35.74,36.59,1851606
NTAP,2006-11-02,35.54,36.14,35.45,36.05,2321684
NTAP,2006-11-03,36.0,36.11,35.44,35.61,3211567
NTAP,2006-11-06,36.44,36.99,36.06,36.22,2107918
NTAP,2006-11-07,36.71,37.26,36.2,36.41,2658332
NTAP,2006-11-08,36.62,36.93,36.33,36.71,2039540
NTAP,2006-11-09,36.17,37.2,36.04,36.91,4068878
NTAP,2006-11-10,36.9,36.97,36.03,36.11,3434398
NTAP,2006-11-13,37.52,37.75,36.94,37.065,2789794
NTAP,2006-11-14,38.03,38.39,37.41,37.43,4697185
NTAP,2006-11-15,38.0,38.5,37.68,38.285,6139475
NTAP,2006-11-16,39.96,40.34,37.83,37.96,9533824
NTAP,2006-11-17,39.96,40.05,39.4,39.76,4209357
NTAP,2006-11-20,39.98,40.34,39.24,39.33,4082644
NTAP,2006-11-21,40.99,41.09,40.05,40.05,5885526
NTAP,2006-11-22,41.28,41.31,40.53,41.12,2869653
NTAP,2006-11-23,41.28,41.31,40.53,41.12,0
NTAP,2006-11-24,40.96,41.34,40.59,40.59,943394
NTAP,2006-11-27,39.43,40.89,39.17,40.62,4170644
NTAP,2006-11-28,39.69,39.8099,38.84,39.195,3611262
NTAP,2006-11-29,39.8,39.91,39.31,39.75,2575203
NTAP,2006-11-30,39.28,40.0,38.95,39.75,3228921
NTAP,2006-12-01,38.52,39.34,38.26,39.1,2962198
NTAP,2006-12-04,39.39,39.85,38.64,38.8321,3559427
NTAP,2006-12-05,39.54,39.63,38.87,39.34,2549057
NTAP,2006-12-06,38.92,39.508,38.7,39.39,3082217
NTAP,2006-12-07,39.33,39.75,38.92,39.16,3580733
NTAP,2006-12-08,39.49,39.99,38.89,39.03,3346590
NTAP,2006-12-11,39.39,39.9,39.11,39.51,2289310
NTAP,2006-12-12,39.58,39.88,39.11,39.52,3312696
NTAP,2006-12-13,39.05,39.9,38.78,39.9,2475313
NTAP,2006-12-14,40.06,40.5,39.08,39.1,4634400
NTAP,2006-12-15,41.0,41.31,40.1,40.5,7063407
NTAP,2006-12-18,40.65,41.56,40.57,40.97,4071501
NTAP,2006-12-19,40.85,40.85,40.284,40.284,3467499
NTAP,2006-12-20,40.24,40.99,40.24,40.65,2751731
NTAP,2006-12-21,40.09,40.81,39.73,40.39,2231189
