Symbol,Date,Close,High,Low,Open,Volume
NTRS,2006-01-02,51.82,52.0,51.41,51.72,0
NTRS,2006-01-03,52.31,52.46,50.7,52.05,1720307
NTRS,2006-01-04,52.78,52.78,52.24,52.24,953046
NTRS,2006-01-05,52.31,52.38,52.018,52.34,845339
NTRS,2006-01-06,52.95,53.13,52.1,52.5,900450
NTRS,2006-01-09,53.04,53.04,52.7,52.76,1327123
NTRS,2006-01-10,52.34,52.7,51.97,52.56,1177448
NTRS,2006-01-11,52.8,52.8,52.56,52.56,1518788
NTRS,2006-01-12,52.23,52.67,52.17,52.52,1230650
NTRS,2006-01-13,52.45,52.89,52.14,52.47,631227
NTRS,2006-01-16,52.45,52.89,52.14,52.47,0
NTRS,2006-01-17,52.54,52.56,51.91,52.2,1126537
NTRS,2006-01-18,52.09,52.09,51.13,51.14,2568185
NTRS,2006-01-19,49.6,51.33,49.55,51.01,3068256
NTRS,2006-01-20,49.42,49.82,49.12,49.79,2746536
NTRS,2006-01-23,49.48,49.88,49.18,49.33,1024234
NTRS,2006-01-24,49.61,50.12,49.48,49.81,1175714
NTRS,2006-01-25,50.594,50.594,50.12,50.12,1231810
NTRS,2006-01-26,51.89,52.0,50.46,50.79,2111432
NTRS,2006-01-27,51.93,52.57,51.88,51.97,1181450
NTRS,2006-01-30,52.31,52.9,51.89,52.07,1262523
NTRS,2006-01-31,52.79,52.79,52.21,52.28,1474866
NTRS,2006-02-01,51.95,52.13,51.74,51.9,1263235
NTRS,2006-02-02,51.49,52.0,51.35,51.8,1003243
NTRS,2006-02-03,51.76,52.12,51.11,51.22,820261
NTRS,2006-02-06,52.08,52.29,51.6,51.73,855576
NTRS,2006-02-07,51.75,52.32,51.68,52.01,1216928
NTRS,2006-02-08,52.61,52.69,51.62,51.68,1567874
NTRS,2006-02-09,52.41,53.23,52.41,52.85,1196871
NTRS,2006-02-10,52.98,52.98,52.39,52.39,1100586
NTRS,2006-02-13,52.39,52.83,52.05,52.71,812026
NTRS,2006-02-14,53.0,53.0,52.39,52.39,1194296
NTRS,2006-02-15,52.19,52.62,51.72,52.28,1546271
NTRS,2006-02-16,52.75,52.76,52.07,52.25,977159
NTRS,2006-02-17,52.9,52.9,52.29,52.81,1083687
NTRS,2006-02-20,52.9,52.9,52.29,52.81,0
NTRS,2006-02-21,51.96,52.4,51.79,52.25,1229375
NTRS,2006-02-22,53.81,54.1,52.1,52.15,1324462
NTRS,2006-02-23,53.42,54.0,53.28,53.56,693696
NTRS,2006-02-24,53.11,53.65,53.06,53.65,778850
NTRS,2006-02-27,53.25,53.57,52.99,53.57,621670
NTRS,2006-02-28,52.72,53.18,52.43,52.85,1173966
NTRS,2006-03-01,53.28,53.28,52.62,52.62,920448
NTRS,2006-03-02,53.3,53.42,52.37,53.03,792994
NTRS,2006-03-03,53.04,53.55,52.87,53.11,1096990
NTRS,2006-03-06,52.8,53.23,52.55,52.95,621043
NTRS,2006-03-07,53.12,53.22,52.55,52.61,932412
NTRS,2006-03-08,53.27,53.27,52.87,53.13,759139
NTRS,2006-03-09,52.56,53.36,52.53,53.0,790451
NTRS,2006-03-10,53.17,53.94,52.6,52.9,1031099
NTRS,2006-03-13,53.25,53.84,53.0,53.13,393801
NTRS,2006-03-14,53.8,53.99,52.64,53.14,921919
NTRS,2006-03-15,53.42,53.85,53.03,53.7,560428
NTRS,2006-03-16,53.79,53.79,53.15,53.6,730026
NTRS,2006-03-17,53.49,53.62,53.2,53.57,950322
NTRS,2006-03-20,53.36,53.7,53.03,53.7,528927
NTRS,2006-03-21,53.34,53.82,53.21,53.5,778684
NTRS,2006-03-22,53.31,53.49,52.8,53.29,556657
NTRS,2006-03-23,52.99,53.34,52.56,53.34,637300
NTRS,2006-03-24,53.18,53.3,52.67,53.08,516931
NTRS,2006-03-27,53.06,53.29,52.6,53.29,845820
NTRS,2006-03-28,53.6,53.6,52.74,52.85,993786
NTRS,2006-03-29,52.67,52.87,51.98,52.84,1371679
NTRS,2006-03-30,52.63,52.89,52.43,52.57,726340
NTRS,2006-03-31,52.5,52.83,52.06,52.75,1087075
NTRS,2006-04-03,52.29,52.95,52.21,52.54,965648
NTRS,2006-04-04,52.3,52.37,51.52,51.66,1289022
NTRS,2006-04-05,52.68,52.88,52.18,52.18,645858
NTRS,2006-04-06,52.55,52.78,52.3,52.6,456872
NTRS,2006-04-07,52.3,52.9,51.83,52.9,981416
NTRS,2006-04-10,52.8,52.94,52.23,52.23,948086
NTRS,2006-04-11,52.65,53.1,52.58,52.8,1496279
NTRS,2006-04-12,52.28,52.79,52.18,52.79,963530
NTRS,2006-04-13,52.74,52.8,52.02,52.34,693521
NTRS,2006-04-14,52.74,52.8,52.02,52.34,0
NTRS,2006-04-17,52.76,52.92,52.1,52.81,1407292
NTRS,2006-04-18,57.26,57.66,54.92,55.0,4805220
NTRS,2006-04-19,57.43,57.76,56.74,56.87,1799695
NTRS,2006-04-20,57.36,57.54,56.8,57.32,1493558
NTRS,2006-04-21,57.64,57.76,57.242,57.67,1264450
NTRS,2006-04-24,57.75,57.9,57.26,57.4,1365284
NTRS,2006-04-25,57.96,58.36,57.41,57.9,1107391
NTRS,2006-04-26,58.57,59.15,58.37,58.6,1722549
NTRS,2006-04-27,59.38,59.6,58.25,58.38,1569735
NTRS,2006-04-28,58.89,59.54,58.353,59.27,1355804
NTRS,2006-05-01,58.21,59.29,58.04,58.8,1104383
NTRS,2006-05-02,58.41,58.54,57.86,58.13,955535
NTRS,2006-05-03,58.56,58.56,58.35,58.5,925186
NTRS,2006-05-04,58.93,59.21,58.45,58.59,554462
NTRS,2006-05-05,59.72,59.9,58.96,59.25,680270
NTRS,2006-05-08,59.74,60.44,59.6,59.84,866256
NTRS,2006-05-09,59.39,59.76,59.36,59.56,598524
NTRS,2006-05-10,58.6,59.33,58.1,59.05,1554341
NTRS,2006-05-11,57.75,58.8,57.58,58.78,1174423
NTRS,2006-05-12,57.38,57.97,57.31,57.81,1096654
NTRS,2006-05-15,57.75,58.3,57.26,57.31,1333880
NTRS,2006-05-16,57.0,57.94,56.95,57.79,1127270
NTRS,2006-05-17,55.69,56.81,55.64,56.77,1431751
NTRS,2006-05-18,56.22,56.22,55.36,55.89,992869
NTRS,2006-05-19,56.52,56.96,55.59,55.85,1511608
NTRS,2006-05-22,56.51,56.84,55.89,56.12,1027933
NTRS,2006-05-23,56.28,57.18,56.22,56.77,1036087
NTRS,2006-05-24,56.19,57.13,55.866,56.07,1121091
NTRS,2006-05-25,56.4,56.74,56.11,56.57,706542
NTRS,2006-05-26,56.65,56.87,55.94,56.62,715963
NTRS,2006-05-29,56.65,56.87,55.94,56.62,0
NTRS,2006-05-30,55.13,56.5,55.12,56.41,761349
NTRS,2006-05-31,55.92,55.92,55.14,55.14,1008232
NTRS,2006-06-01,57.0,57.0,55.92,55.92,735074
NTRS,2006-06-02,57.45,57.58,56.81,57.27,830823
NTRS,2006-06-05,56.05,57.4,56.03,57.15,741123
NTRS,2006-06-06,55.75,56.3,55.27,56.25,965002
NTRS,2006-06-07,55.84,56.5,55.53,55.66,959542
NTRS,2006-06-08,56.0,56.0,55.77,55.77,1050351
NTRS,2006-06-09,55.51,56.21,55.44,55.98,711011
NTRS,2006-06-12,54.55,55.75,54.54,55.75,902761
NTRS,2006-06-13,53.73,54.94,53.53,54.7,1098283
NTRS,2006-06-14,53.91,54.33,53.1,53.57,964051
NTRS,2006-06-15,55.39,55.39,54.18,54.18,1212069
NTRS,2006-06-16,54.9,55.72,54.89,55.3,771737
NTRS,2006-06-19,54.19,55.32,54.01,54.78,739284
NTRS,2006-06-20,53.88,54.37,53.8,54.13,919529
NTRS,2006-06-21,54.38,54.72,53.77,54.03,1424544
NTRS,2006-06-22,54.19,54.48,53.95,54.44,607178
NTRS,2006-06-23,53.67,54.48,53.38,54.17,529051
