Symbol,Date,Close,High,Low,Open,Volume
NUE,2006-01-02,33.36,33.68,33.15,33.675,0
NUE,2006-01-03,34.68,34.9,33.635,34.0,5412400
NUE,2006-01-04,35.225,35.52,34.51,34.775,3755800
NUE,2006-01-05,34.965,35.04,34.51,34.8,3373200
NUE,2006-01-06,35.975,36.35,35.05,35.375,3636000
NUE,2006-01-09,36.22,36.55,35.515,35.8,2934400
NUE,2006-01-10,36.045,36.36,35.25,35.35,4356600
NUE,2006-01-11,35.92,36.575,35.905,36.2,3553200
NUE,2006-01-12,34.995,35.825,34.95,35.575,4339600
NUE,2006-01-13,34.735,35.3,34.675,34.85,2637800
NUE,2006-01-16,34.735,35.3,34.675,34.85,0
NUE,2006-01-17,35.275,35.405,34.775,34.825,2537400
NUE,2006-01-18,34.78,35.05,34.225,34.975,3398600
NUE,2006-01-19,35.25,35.655,34.345,34.345,3240000
NUE,2006-01-20,35.02,35.515,34.425,35.15,4640400
NUE,2006-01-23,36.2,36.25,35.095,35.1,3846600
NUE,2006-01-24,37.915,38.31,36.625,36.625,7316600
NUE,2006-01-25,38.67,38.685,37.575,37.925,6010000
NUE,2006-01-26,40.21,40.38,38.7,38.94,8372600
NUE,2006-01-27,42.75,42.75,40.965,42.375,12429000
NUE,2006-01-30,42.3,43.625,42.275,42.75,9325400
NUE,2006-01-31,42.115,42.62,41.55,41.725,7699200
NUE,2006-02-01,41.72,42.165,41.275,41.875,4955200
NUE,2006-02-02,40.62,42.585,40.5155,41.7,5138800
NUE,2006-02-03,41.315,42.025,40.45,40.62,4692800
NUE,2006-02-06,43.905,44.19,41.865,42.0,8844600
NUE,2006-02-07,41.05,43.41,40.905,43.075,7498000
NUE,2006-02-08,40.035,41.35,39.825,41.25,8730200
NUE,2006-02-09,39.575,41.12,39.49,40.55,6538800
NUE,2006-02-10,40.215,40.57,38.9,39.69,6760200
NUE,2006-02-13,39.68,40.375,39.44,40.215,4275400
NUE,2006-02-14,41.345,41.54,39.675,39.675,4637400
NUE,2006-02-15,40.455,41.345,39.8,41.345,5780400
NUE,2006-02-16,41.875,41.895,40.606,40.7,5212800
NUE,2006-02-17,41.225,41.89,41.06,41.875,3122600
NUE,2006-02-20,41.225,41.89,41.06,41.875,0
NUE,2006-02-21,42.06,42.345,41.215,41.325,3560000
NUE,2006-02-22,42.695,42.95,41.275,42.09,3407800
NUE,2006-02-23,43.165,44.375,42.52,43.395,5562800
NUE,2006-02-24,43.35,44.02,42.905,42.9275,3126400
NUE,2006-02-27,43.485,43.89,43.075,43.725,4164799
NUE,2006-02-28,43.025,43.445,42.355,43.2,3968800
NUE,2006-03-01,43.755,43.975,42.85,43.15,3522400
NUE,2006-03-02,44.475,44.55,43.2,43.75,2791800
NUE,2006-03-03,43.875,44.85,43.565,44.6,5119000
NUE,2006-03-06,45.025,46.095,44.355,44.7,7288800
NUE,2006-03-07,43.935,44.93,43.68,44.9,4983600
NUE,2006-03-08,44.425,44.575,42.98,43.685,6651800
NUE,2006-03-09,45.05,45.995,45.005,45.245,6224200
NUE,2006-03-10,47.54,47.57,45.805,46.25,8446400
NUE,2006-03-13,46.375,48.025,45.955,48.0,7882600
NUE,2006-03-14,47.9,47.925,45.935,46.0,5291600
NUE,2006-03-15,48.61,48.67,47.744,47.98,4486000
NUE,2006-03-16,48.435,49.25,48.025,48.775,3756800
NUE,2006-03-17,49.32,49.975,48.45,48.75,5741800
NUE,2006-03-20,49.5,50.53,48.835,49.985,5353200
NUE,2006-03-21,48.805,50.025,48.71,49.5,5553600
NUE,2006-03-22,49.63,50.0,48.875,48.91,4284000
NUE,2006-03-23,50.8,51.1,49.75,49.875,4428600
NUE,2006-03-24,51.16,51.25,50.275,50.51,3495600
NUE,2006-03-27,52.16,52.25,50.945,51.55,3868000
NUE,2006-03-28,51.885,53.285,51.645,52.16,5607200
NUE,2006-03-29,52.905,53.205,52.11,52.2,4283600
NUE,2006-03-30,53.325,54.901,53.005,54.901,6141800
NUE,2006-03-31,52.395,53.18,52.175,52.95,6797000
NUE,2006-04-03,54.02,54.655,52.725,52.75,6030400
NUE,2006-04-04,53.96,54.585,53.465,53.6,4666800
NUE,2006-04-05,55.35,55.625,53.83,53.96,4781600
NUE,2006-04-06,55.43,56.005,54.91,55.3,4600200
NUE,2006-04-07,54.17,55.455,53.735,55.43,4412000
NUE,2006-04-10,54.3,54.725,53.355,54.045,5135800
NUE,2006-04-11,53.165,54.925,53.05,54.5,4692400
NUE,2006-04-12,53.605,54.05,52.805,53.245,4901400
NUE,2006-04-13,54.775,54.845,52.825,53.35,4122400
NUE,2006-04-14,54.775,54.845,52.825,53.35,0
NUE,2006-04-17,56.205,56.26,55.055,55.255,4828000
NUE,2006-04-18,58.435,58.465,56.605,56.8,5738400
NUE,2006-04-19,59.39,59.585,57.595,58.4,5172400
NUE,2006-04-20,56.065,58.225,55.755,57.85,7667400
NUE,2006-04-21,56.75,57.45,56.065,56.515,5464600
NUE,2006-04-24,56.475,57.115,55.79,56.65,5684600
NUE,2006-04-25,55.975,57.225,55.61,56.925,4432400
NUE,2006-04-26,55.775,56.96,55.545,56.49,3448200
NUE,2006-04-27,53.36,55.525,53.085,55.525,6212800
NUE,2006-04-28,54.41,54.93,53.5,53.5,4106000
NUE,2006-05-01,57.435,58.09,55.0,55.0,6955200
NUE,2006-05-02,58.035,58.42,56.9,57.725,4492200
NUE,2006-05-03,58.61,58.67,56.775,58.495,4206200
NUE,2006-05-04,59.65,59.765,58.125,59.0,3639400
NUE,2006-05-05,58.525,60.3,58.35,59.525,3628400
NUE,2006-05-08,59.62,59.795,58.56,59.275,3155600
NUE,2006-05-09,58.45,59.695,58.275,59.62,4101800
NUE,2006-05-10,59.475,59.495,57.865,58.475,4706600
NUE,2006-05-11,56.545,59.975,56.285,59.875,6083000
NUE,2006-05-12,55.75,57.53,55.275,56.55,6553800
NUE,2006-05-15,55.33,56.505,54.335,54.95,6425200
NUE,2006-05-16,55.505,56.1188,53.89,55.87,6313200
NUE,2006-05-17,52.7,56.395,52.175,55.005,8301200
NUE,2006-05-18,52.4,54.245,52.2,53.0,6484200
NUE,2006-05-19,52.475,53.54,50.895,52.4,7731200
NUE,2006-05-22,50.125,52.475,48.315,52.325,11964800
NUE,2006-05-23,51.16,53.125,51.1,51.4,8322200
NUE,2006-05-24,52.275,53.4,50.705,51.16,10408400
NUE,2006-05-25,54.46,54.57,52.4,52.4,6998200
NUE,2006-05-26,56.18,56.595,54.03,54.6,5954800
NUE,2006-05-29,56.18,56.595,54.03,54.6,0
NUE,2006-05-30,53.08,56.0,53.08,56.0,7624400
NUE,2006-05-31,52.635,54.74,52.25,53.65,10760800
NUE,2006-06-01,53.38,53.59,50.99,52.26,6857400
NUE,2006-06-02,53.9,55.0,52.91,55.0,5974300
NUE,2006-06-05,50.41,53.64,50.08,53.05,6080800
NUE,2006-06-06,51.4,51.6,49.15,50.27,7377900
NUE,2006-06-07,47.92,51.77,47.73,51.4,6795700
NUE,2006-06-08,48.9,49.2,44.8,46.92,8431700
NUE,2006-06-09,49.26,50.75,48.57,49.25,6685400
NUE,2006-06-12,47.21,50.249,46.91,49.96,6529000
NUE,2006-06-13,46.22,48.55,45.59,47.32,6817900
NUE,2006-06-14,47.81,47.94,46.3,46.3,5483400
NUE,2006-06-15,50.94,51.24,48.7,48.8,6111300
NUE,2006-06-16,50.55,50.95,49.61,50.84,5079600
NUE,2006-06-19,48.62,51.56,48.18,51.5,5314500
NUE,2006-06-20,49.18,50.5,48.68,49.42,4690400
NUE,2006-06-21,50.77,51.64,48.7,48.7,5241700
NUE,2006-06-22,49.73,50.738,49.39,50.55,4292900
NUE,2006-06-23,51.37,51.76,49.6,49.98,4744100
NUE,2006-06-26,51.91,52.19,51.02,51.8,3680100
NUE,2006-06-27,51.99,52.99,51.45,52.35,5097000
NUE,2006-06-28,52.93,53.2,51.52,51.75,3643000
NUE,2006-06-29,54.86,54.95,52.71,53.4,5570600
NUE,2006-06-30,54.25,55.26,54.0,55.25,4333200
NUE,2006-07-03,55.94,55.94,54.91,55.5,2356900
NUE,2006-07-04,55.94,55.94,54.91,55.5,0
NUE,2006-07-05,54.01,55.37,53.1101,55.2,3673800
NUE,2006-07-06,53.42,54.71,53.03,54.21,3347000
NUE,2006-07-07,54.19,55.04,52.85,53.01,3157500
NUE,2006-07-10,54.97,55.22,53.06,54.6,3438300
NUE,2006-07-11,54.5,55.25,53.34,54.65,4072600
NUE,2006-07-12,54.21,55.46,53.98,54.35,2569700
NUE,2006-07-13,49.78,54.0,49.65,53.78,7194200
NUE,2006-07-14,50.38,50.8,49.06,50.75,5285800
NUE,2006-07-17,48.62,50.28,48.21,49.68,4159200
NUE,2006-07-18,49.78,50.0,48.55,49.0,4565000
NUE,2006-07-19,52.7,53.18,49.97,50.0,5031200
NUE,2006-07-20,50.14,54.74,49.6,53.95,7163000
NUE,2006-07-21,48.45,50.65,47.2,50.65,8128299
NUE,2006-07-24,50.228,50.228,49.22,49.22,6407200
NUE,2006-07-25,51.3,51.55,49.95,50.4,4579400
NUE,2006-07-26,51.6,51.98,50.01,51.52,4044400
NUE,2006-07-27,51.15,53.32,51.02,52.3,4352000
NUE,2006-07-28,52.55,52.63,50.3,51.0,3981600
NUE,2006-07-31,53.17,53.85,51.55,51.55,3933500
NUE,2006-08-01,51.57,53.0,51.01,53.0,3125600
NUE,2006-08-02,53.47,54.13,51.42,51.85,4953200
NUE,2006-08-03,52.86,53.8,51.61,51.85,3200500
NUE,2006-08-04,51.22,54.0,50.55,54.0,5459000
NUE,2006-08-07,52.2,52.83,51.05,51.6,3195700
NUE,2006-08-08,51.78,53.15,51.08,52.45,4951100
NUE,2006-08-09,51.82,53.1,50.94,52.4,3986500
NUE,2006-08-10,51.27,51.78,50.31,51.02,4022700
NUE,2006-08-11,48.77,50.95,48.57,50.8,4922000
NUE,2006-08-14,48.85,49.66,48.14,49.5,3646800
NUE,2006-08-15,50.51,50.87,49.02,49.7,3612000
NUE,2006-08-16,52.28,52.55,50.71,50.79,4060500
NUE,2006-08-17,50.78,52.33,50.47,52.28,3664300
NUE,2006-08-18,51.58,51.58,50.59,51.0,2460100
NUE,2006-08-21,51.35,51.89,50.84,51.33,2563100
NUE,2006-08-22,51.81,51.96,51.1,51.1,2914800
NUE,2006-08-23,50.28,52.0,50.1,51.6,3366300
NUE,2006-08-24,49.75,50.45,49.0,50.2,3618200
NUE,2006-08-25,49.55,50.45,49.4,49.6,2315900
NUE,2006-08-28,49.89,50.1,48.46,48.7,3174500
NUE,2006-08-29,50.0,51.0,49.015,51.0,2808100
NUE,2006-08-30,48.64,50.2336,48.64,50.0,3226500
NUE,2006-08-31,48.87,49.25,48.54,49.09,3690900
NUE,2006-09-01,49.68,50.14,48.46,49.06,2582000
NUE,2006-09-04,49.68,50.14,48.46,49.06,0
NUE,2006-09-05,51.74,52.37,49.1916,49.25,5676100
NUE,2006-09-06,50.35,51.31,50.01,50.97,4095100
NUE,2006-09-07,49.76,50.67,49.03,49.5,4805600
NUE,2006-09-08,49.67,50.3,48.88,49.6,3214200
NUE,2006-09-11,46.37,49.45,46.2,49.42,7351400
NUE,2006-09-12,46.4,47.33,46.05,47.14,5320000
NUE,2006-09-13,47.72,47.97,46.5,46.5,3808600
NUE,2006-09-14,46.66,48.04,46.2,47.71,3445200
NUE,2006-09-15,46.76,47.5,46.3,47.22,3432100
NUE,2006-09-18,48.77,49.41,46.67,46.68,4734600
NUE,2006-09-19,48.14,49.0,47.61,48.61,4255700
NUE,2006-09-20,48.74,49.27,48.02,48.42,3807400
NUE,2006-09-21,47.67,49.47,46.81,48.68,5840500
NUE,2006-09-22,46.97,48.25,46.39,48.1,4361800
NUE,2006-09-25,47.17,47.17,45.12,46.0,6829200
NUE,2006-09-26,49.47,49.79,46.501,47.2,5964400
NUE,2006-09-27,49.14,49.8,47.271,48.05,5269600
NUE,2006-09-28,49.58,49.82,48.09,48.34,4687900
NUE,2006-09-29,49.49,50.439,48.651,48.651,2608200
NUE,2006-10-02,49.93,50.5,49.2,49.8,3107100
NUE,2006-10-03,48.35,49.28,48.2,49.03,4074700
NUE,2006-10-04,48.75,49.14,47.5,48.35,4700700
NUE,2006-10-05,51.98,52.55,49.25,49.25,7166600
NUE,2006-10-06,51.12,51.69,50.29,50.55,5192400
NUE,2006-10-09,52.67,54.27,51.64,51.95,6358500
NUE,2006-10-10,53.13,53.18,52.0,52.0,4445600
NUE,2006-10-11,52.59,53.45,52.16,52.8,4430000
NUE,2006-10-12,54.01,54.11,52.57,52.58,3632500
NUE,2006-10-13,54.78,56.23,53.41,53.46,5470400
NUE,2006-10-16,55.88,56.57,55.04,55.2,4066799
NUE,2006-10-17,54.85,55.51,53.78,55.45,3204500
NUE,2006-10-18,54.3,55.95,53.63,55.4,4397200
NUE,2006-10-19,54.7,55.42,52.65,53.29,6074100
NUE,2006-10-20,54.05,54.59,53.49,54.56,3837100
NUE,2006-10-23,55.11,55.12,53.5,53.88,3913100
NUE,2006-10-24,61.58,61.61,54.67,54.9,10667600
NUE,2006-10-25,59.16,61.7,58.72,60.85,6470400
NUE,2006-10-26,59.63,60.44,58.49,59.95,3451400
NUE,2006-10-27,58.36,60.26,58.2,59.49,3336000
NUE,2006-10-30,57.73,58.87,57.39,58.22,3075000
NUE,2006-10-31,58.41,58.85,57.2,57.8,3435200
NUE,2006-11-01,57.32,59.37,57.22,57.51,3884800
NUE,2006-11-02,57.42,57.78,56.17,57.06,3336600
NUE,2006-11-03,57.5,58.5,57.36,57.86,3177100
NUE,2006-11-06,59.58,60.62,58.22,58.75,3797700
NUE,2006-11-07,58.52,60.53,58.42,59.65,4231500
NUE,2006-11-08,57.7,59.21,57.41,58.0,3682200
NUE,2006-11-09,60.11,61.21,57.86,58.2,5251600
NUE,2006-11-10,58.71,60.71,58.23,59.77,2990700
NUE,2006-11-13,58.93,59.6,57.12,58.34,3844200
NUE,2006-11-14,58.31,59.5,57.31,59.05,3656700
NUE,2006-11-15,58.15,59.1,57.51,58.37,4263900
NUE,2006-11-16,55.19,58.35,55.06,58.35,4989500
NUE,2006-11-17,57.11,58.55,55.5,55.5,5783800
NUE,2006-11-20,57.47,59.79,57.16,59.0,6261200
NUE,2006-11-21,59.7,59.76,57.81,58.5,3732200
NUE,2006-11-22,59.35,59.91,58.53,59.65,2238500
NUE,2006-11-23,59.35,59.91,58.53,59.65,0
NUE,2006-11-24,58.83,59.37,58.4,58.43,981700
NUE,2006-11-27,58.63,59.74,58.3,58.84,4031300
NUE,2006-11-28,57.72,58.68,57.26,58.11,3714100
NUE,2006-11-29,60.01,60.5,58.1,58.2,4221700
NUE,2006-11-30,59.85,60.43,58.72,59.96,3600200
NUE,2006-12-01,58.64,59.65,57.79,59.25,4060600
NUE,2006-12-04,63.39,64.23,58.701,59.45,8520500
NUE,2006-12-05,63.56,64.45,62.21,64.0,6010700
NUE,2006-12-06,64.01,64.92,62.47,63.56,4445800
NUE,2006-12-07,65.84,67.55,64.4,64.5,6096200
NUE,2006-12-08,65.55,66.21,64.2,65.63,3419500
NUE,2006-12-11,64.35,65.86,64.12,65.81,3612000
NUE,2006-12-12,59.6,60.9,58.2,60.75,12963100
NUE,2006-12-13,59.77,60.46,58.5,58.9,6908300
NUE,2006-12-14,58.33,60.3,58.13,60.0,5681600
NUE,2006-12-15,59.28,59.68,58.0,58.12,4936600
NUE,2006-12-18,57.09,58.94,56.68,58.58,5871200
NUE,2006-12-19,57.51,58.06,55.39,55.39,3743500
NUE,2006-12-20,55.96,58.1,55.86,57.02,3816200
NUE,2006-12-21,55.65,56.8,55.11,56.0,2720100
NUE,2006-12-22,55.17,56.07,54.84,55.37,2095700
NUE,2006-12-25,55.17,56.07,54.84,55.37,0
NUE,2006-12-26,55.54,55.8,54.99,55.17,1708300
NUE,2006-12-27,55.69,55.88,54.88,54.9,1917900
NUE,2006-12-28,55.28,56.3,55.1,55.75,1750800
NUE,2006-12-29,54.66,55.25,54.6,54.94,1415700
NUE,2007-01-01,54.66,55.25,54.6,54.94,0
NUE,2007-01-02,54.66,55.25,54.6,54.94,0
NUE,2007-01-03,54.5,55.25,53.2,54.66,4557700
NUE,2007-01-04,55.08,55.08,54.3,54.3,3401900
