Symbol,Date,Close,High,Low,Open,Volume
NVDA,2006-01-02,12.1867,12.3567,12.1367,12.3533,0
NVDA,2006-01-03,12.74,12.8333,12.2167,12.2567,11820012
NVDA,2006-01-04,13.1333,13.1167,12.7033,12.8367,12751908
NVDA,2006-01-05,13.3933,13.4167,13.0767,13.1,15532059
NVDA,2006-01-06,13.6133,13.6633,13.0167,13.5467,15252318
NVDA,2006-01-09,13.9933,14.0667,13.5767,13.6067,13823946
NVDA,2006-01-10,13.9967,13.9967,13.75,13.9267,8449341
NVDA,2006-01-11,14.5033,14.5833,13.9867,14.01,15485070
NVDA,2006-01-12,14.2967,14.7233,14.1933,14.5,12120225
NVDA,2006-01-13,14.17,14.38,13.97,14.2633,10497948
NVDA,2006-01-16,14.17,14.38,13.97,14.2633,0
NVDA,2006-01-17,14.16,14.1667,13.79,13.9767,7714635
NVDA,2006-01-18,14.2333,14.28,13.6,13.73,11450241
NVDA,2006-01-19,15.0233,15.22,14.3967,14.4233,22850733
NVDA,2006-01-20,14.6033,15.22,14.6,15.0467,11471649
NVDA,2006-01-23,14.6867,14.81,14.5167,14.72,8109102
NVDA,2006-01-24,14.76,15.0667,14.68,14.72,9283932
NVDA,2006-01-25,14.63,14.93,14.4533,14.8333,9991710
NVDA,2006-01-26,15.13,15.1433,14.75,14.8433,11112360
NVDA,2006-01-27,15.4167,15.5867,15.2,15.3266,9551421
NVDA,2006-01-30,15.2433,15.5,15.1733,15.4833,7755288
NVDA,2006-01-31,14.9867,15.25,14.87,15.1667,9450993
NVDA,2006-02-01,14.9967,15.0567,14.66,14.7167,11094561
NVDA,2006-02-02,14.54,15.1433,14.5167,15.1333,11494767
NVDA,2006-02-03,14.6733,14.8533,14.4,14.445,12209397
NVDA,2006-02-06,15.0867,15.1033,14.57,14.6333,9035031
NVDA,2006-02-07,14.55,15.1166,14.5433,15.1166,9563091
NVDA,2006-02-08,14.97,14.97,14.5933,14.5933,9786948
NVDA,2006-02-09,14.7167,15.25,14.6233,15.0167,10927287
NVDA,2006-02-10,14.6333,14.8367,14.29,14.77,10213578
NVDA,2006-02-13,14.6833,14.7867,14.4867,14.5867,7018713
NVDA,2006-02-14,14.71,14.7633,14.5167,14.6833,8047212
NVDA,2006-02-15,14.9933,15.0333,14.6433,14.68,12012519
NVDA,2006-02-16,15.7333,15.7667,15.17,15.2733,25759449
NVDA,2006-02-17,15.8233,16.9067,15.7933,16.89,58143942
NVDA,2006-02-20,15.8233,16.9067,15.7933,16.89,0
NVDA,2006-02-21,15.4867,15.8167,15.35,15.79,16917216
NVDA,2006-02-22,15.46,15.5833,14.9,15.2667,23398905
NVDA,2006-02-23,15.2233,15.5167,15.18,15.4133,9401409
NVDA,2006-02-24,15.22,15.4733,15.14,15.29,10410186
NVDA,2006-02-27,15.8333,15.9333,15.1767,15.3367,16395548
NVDA,2006-02-28,15.71,15.9,15.5567,15.7667,13529088
NVDA,2006-03-01,16.3067,16.4,15.6667,15.7667,17607645
NVDA,2006-03-02,16.33,16.5603,16.12,16.29,13590420
NVDA,2006-03-03,16.3867,16.67,16.15,16.18,14788413
NVDA,2006-03-06,16.3533,16.8167,16.2733,16.7067,12941664
NVDA,2006-03-07,16.0733,16.4833,15.75,16.3567,15039858
NVDA,2006-03-08,15.9933,16.16,15.42,16.0767,16431414
NVDA,2006-03-09,16.0767,16.4567,16.0667,16.1867,13447728
NVDA,2006-03-10,15.7967,16.2633,15.6533,16.0583,12986712
NVDA,2006-03-13,15.9867,16.0633,15.8367,15.9567,9302667
NVDA,2006-03-14,16.43,16.4967,15.94,16.0,15695847
NVDA,2006-03-15,16.6933,16.7167,16.4,16.4633,12572646
NVDA,2006-03-16,16.1267,16.7433,16.07,16.7233,14210934
NVDA,2006-03-17,16.2567,16.3,15.81,16.05,14997828
NVDA,2006-03-20,16.1333,16.4033,16.1167,16.4,7303458
NVDA,2006-03-21,16.93,17.2333,16.4867,16.5067,30542946
NVDA,2006-03-22,16.4433,16.58,16.0733,16.5,28945734
NVDA,2006-03-23,16.75,16.8167,16.3133,16.5,16551293
NVDA,2006-03-24,17.3167,17.3467,16.7657,16.7933,17017170
NVDA,2006-03-27,17.7833,17.7967,17.2733,17.3317,16077089
NVDA,2006-03-28,18.0567,18.2933,17.6667,17.7033,19528323
NVDA,2006-03-29,19.0267,19.06,17.9833,18.1333,23790141
NVDA,2006-03-30,19.1567,19.26,18.7033,19.0467,25987794
NVDA,2006-03-31,19.0867,19.41,18.97,19.1433,20673201
NVDA,2006-04-03,19.3,19.5667,18.9467,19.1883,23935005
NVDA,2006-04-04,20.2033,20.2333,19.3067,19.3367,30016965
NVDA,2006-04-05,20.3667,20.4667,19.7367,20.1667,27671814
NVDA,2006-04-06,20.4067,20.56,20.0333,20.3133,19533315
NVDA,2006-04-07,20.3533,20.5,19.9533,20.32,17071857
NVDA,2006-04-10,20.0,20.4267,19.8467,20.3067,15780133
NVDA,2006-04-11,19.5133,20.0667,19.3933,20.0667,17524554
NVDA,2006-04-12,20.3,20.4067,19.5333,19.64,13818642
NVDA,2006-04-13,19.7333,20.0933,19.6533,19.8667,18346851
NVDA,2006-04-14,19.7333,20.0933,19.6533,19.8667,0
NVDA,2006-04-17,19.7867,20.28,19.6267,19.7,11064996
NVDA,2006-04-18,19.32,19.44,18.7933,19.4333,28477008
NVDA,2006-04-19,19.44,19.6533,18.9333,19.2,12912441
NVDA,2006-04-20,19.4133,19.76,18.9467,19.2667,13678113
NVDA,2006-04-21,18.7133,19.5533,18.4867,19.4733,19028829
NVDA,2006-04-24,19.2867,19.4733,18.5,18.8333,16927099
NVDA,2006-04-25,19.2733,19.32,18.7333,19.0667,17916922
NVDA,2006-04-26,19.14,19.64,18.9333,19.3467,8210292
NVDA,2006-04-27,19.4467,19.6267,18.6533,19.0667,11390767
NVDA,2006-04-28,19.48,19.7267,19.2933,19.4567,7068717
NVDA,2006-05-01,20.6,20.98,19.6133,19.6133,22258141
NVDA,2006-05-02,20.5733,21.0,20.22,20.7533,13189413
NVDA,2006-05-03,20.7073,20.9333,20.32,20.34,9176485
NVDA,2006-05-04,20.5733,20.8,20.1933,20.3,12519727
NVDA,2006-05-05,20.8533,20.9267,20.3933,20.68,8333377
NVDA,2006-05-08,20.76,21.2533,20.5667,20.8,12323914
NVDA,2006-05-09,20.1267,20.84,20.1,20.7333,13887561
NVDA,2006-05-10,19.68,20.12,19.48,19.8867,18586101
NVDA,2006-05-11,18.98,20.0667,18.8267,19.88,23205640
NVDA,2006-05-12,17.5533,18.62,17.16,18.5233,39177954
NVDA,2006-05-15,17.8067,17.96,17.3667,17.5167,13399773
NVDA,2006-05-16,17.34,17.9133,17.2267,17.9067,12439443
NVDA,2006-05-17,16.64,17.38,16.3333,17.28,19601581
NVDA,2006-05-18,15.8867,16.9333,15.8667,16.7733,16169267
NVDA,2006-05-19,16.22,16.6,15.8733,16.0333,22827025
NVDA,2006-05-22,16.0,16.1667,15.56,16.1333,17996601
NVDA,2006-05-23,15.8267,16.7133,15.76,16.0,13309944
NVDA,2006-05-24,16.0333,16.5067,15.6067,15.9667,14350617
NVDA,2006-05-25,15.9467,16.5733,15.86,16.3333,10557130
NVDA,2006-05-26,15.98,16.1133,15.8133,16.0067,7307398
NVDA,2006-05-29,15.98,16.1133,15.8133,16.0067,0
NVDA,2006-05-30,15.3133,16.0133,15.3067,16.0067,10986166
NVDA,2006-05-31,15.32,15.6667,15.2267,15.52,14106375
