Symbol,Date,Close,High,Low,Open,Volume
NWL,2006-01-02,23.78,23.93,23.66,23.86,0
NWL,2006-01-03,23.85,24.36,23.39,24.36,1391400
NWL,2006-01-04,24.06,24.09,23.7,23.81,1038100
NWL,2006-01-05,24.15,24.21,23.92,24.1,1086200
NWL,2006-01-06,24.01,24.24,23.9,24.0,1706200
NWL,2006-01-09,24.28,24.3,23.88,24.0,1277900
NWL,2006-01-10,23.96,24.241,23.95,24.05,1540700
NWL,2006-01-11,23.95,24.07,23.87,23.96,872900
NWL,2006-01-12,23.69,23.95,23.67,23.85,660000
NWL,2006-01-13,23.9,24.01,23.73,23.73,957300
NWL,2006-01-16,23.9,24.01,23.73,23.73,0
NWL,2006-01-17,23.61,23.73,23.35,23.58,891600
NWL,2006-01-18,23.71,23.8,23.47,23.61,1864300
NWL,2006-01-19,24.3,24.5,23.9,24.0,4072400
NWL,2006-01-20,23.95,24.58,23.92,24.45,1669500
NWL,2006-01-23,23.99,24.14,23.9,23.96,736900
NWL,2006-01-24,23.88,24.14,23.88,24.01,1078300
NWL,2006-01-25,24.22,24.37,23.8,24.03,1348500
NWL,2006-01-26,23.78,24.33,23.77,24.3,2521600
NWL,2006-01-27,23.51,23.88,23.5,23.76,2521300
NWL,2006-01-30,23.26,23.51,23.25,23.45,1469900
NWL,2006-01-31,23.64,23.78,23.26,23.3,2138200
NWL,2006-02-01,23.93,24.05,23.58,23.66,1702800
NWL,2006-02-02,23.95,24.01,23.69,23.8,1321200
NWL,2006-02-03,23.55,23.92,23.45,23.8,673200
NWL,2006-02-06,23.73,23.8,23.49,23.66,674400
NWL,2006-02-07,23.67,23.77,22.65,23.77,1222100
NWL,2006-02-08,23.99,24.05,23.82,23.9,993800
NWL,2006-02-09,23.72,24.0,23.7,24.0,954600
NWL,2006-02-10,23.97,24.0,23.6,23.72,1125900
NWL,2006-02-13,23.62,23.99,23.55,23.98,705700
NWL,2006-02-14,23.86,23.86,23.47,23.6,1116600
NWL,2006-02-15,24.01,24.02,23.7,23.95,1357900
NWL,2006-02-16,24.3,24.3,23.9,23.92,1423300
NWL,2006-02-17,24.39,24.95,24.15,24.15,3063200
NWL,2006-02-20,24.39,24.95,24.15,24.15,0
NWL,2006-02-21,24.51,24.89,24.46,24.76,2063000
NWL,2006-02-22,24.55,24.86,24.42,24.68,3810900
NWL,2006-02-23,24.51,24.73,24.5,24.56,873900
NWL,2006-02-24,24.38,24.6,24.25,24.51,691600
NWL,2006-02-27,24.8,24.8,24.44,24.45,1034500
NWL,2006-02-28,24.87,24.97,24.59,24.8,2406900
NWL,2006-03-01,24.91,24.95,24.79,24.84,1225700
NWL,2006-03-02,24.97,25.0,24.68,24.75,1165400
NWL,2006-03-03,24.89,25.0,24.87,24.97,1033300
NWL,2006-03-06,24.97,24.97,24.67,24.86,1158500
NWL,2006-03-07,24.76,25.0,24.71,24.95,1208600
NWL,2006-03-08,24.75,24.84,24.55,24.7,820600
NWL,2006-03-09,25.01,25.11,24.6,24.75,1633100
NWL,2006-03-10,25.45,25.57,24.9,25.1,1424600
NWL,2006-03-13,25.64,25.67,25.41,25.45,1362700
