Symbol,Date,Close,High,Low,Open,Volume
O,2006-01-02,21.62,21.79,21.61,21.75,0
O,2006-01-03,22.2,22.2,21.57,21.86,350700
O,2006-01-04,22.15,22.32,22.0,22.21,224800
O,2006-01-05,22.57,22.57,21.95,21.95,286100
O,2006-01-06,22.46,22.8,22.28,22.7,224700
O,2006-01-09,22.95,22.95,22.45,22.46,268900
O,2006-01-10,23.03,23.26,22.75,22.95,261200
O,2006-01-11,23.1,23.18,22.9,23.1,196800
O,2006-01-12,23.15,23.15,23.01,23.1,352600
O,2006-01-13,23.05,23.18,22.95,23.18,323800
O,2006-01-16,23.05,23.18,22.95,23.18,0
O,2006-01-17,23.1,23.1,22.62,22.9,313900
O,2006-01-18,22.97,23.22,22.85,23.1,205100
O,2006-01-19,23.48,23.52,22.95,22.95,226900
O,2006-01-20,23.15,23.56,23.08,23.56,191600
O,2006-01-23,23.09,23.31,22.96,23.16,247600
O,2006-01-24,23.2,23.29,23.07,23.08,224600
O,2006-01-25,23.1,23.36,23.0,23.25,243200
O,2006-01-26,23.11,23.23,23.03,23.19,234700
O,2006-01-27,23.48,23.48,23.12,23.12,220800
O,2006-01-30,23.2,23.35,23.12,23.35,199100
O,2006-01-31,23.29,23.5,23.15,23.2,224300
O,2006-02-01,23.26,23.57,23.21,23.25,267400
O,2006-02-02,23.12,23.34,23.0,23.29,185000
O,2006-02-03,22.75,23.06,22.6,23.0,189900
O,2006-02-06,22.85,23.0,22.65,22.75,178300
O,2006-02-07,22.78,22.92,22.6,22.88,201200
O,2006-02-08,22.71,22.77,22.52,22.77,226000
O,2006-02-09,22.75,22.86,22.604,22.8,153300
O,2006-02-10,22.78,22.88,22.6,22.79,117600
O,2006-02-13,22.77,22.86,22.6,22.78,134400
O,2006-02-14,22.86,22.9,22.54,22.9,231500
O,2006-02-15,22.94,22.95,22.69,22.94,162200
O,2006-02-16,23.07,23.12,22.94,22.97,197400
O,2006-02-17,23.47,23.5,23.01,23.15,406100
O,2006-02-20,23.47,23.5,23.01,23.15,0
O,2006-02-21,23.48,23.59,23.28,23.58,299800
O,2006-02-22,23.79,23.79,23.41,23.56,234000
O,2006-02-23,23.56,23.75,23.42,23.75,238600
O,2006-02-24,23.29,23.5,23.19,23.5,247700
O,2006-02-27,23.15,23.23,22.91,23.17,225600
O,2006-02-28,23.05,23.11,22.75,23.03,207400
O,2006-03-01,23.25,23.25,22.86,23.17,275100
O,2006-03-02,23.25,23.27,23.02,23.25,189700
O,2006-03-03,22.9,23.2,22.77,23.11,264100
O,2006-03-06,23.19,23.19,22.8,22.93,300800
O,2006-03-07,23.15,23.23,22.98,23.1,256000
O,2006-03-08,23.36,23.36,23.0,23.1,285200
O,2006-03-09,23.6,23.64,23.25,23.43,234900
O,2006-03-10,23.86,23.89,23.53,23.72,453400
O,2006-03-13,23.9,24.05,23.62,23.84,365000
O,2006-03-14,24.01,24.04,23.65,24.04,238300
O,2006-03-15,24.45,24.45,24.02,24.07,251400
O,2006-03-16,24.63,24.72,24.38,24.45,389200
O,2006-03-17,24.93,24.93,24.47,24.68,191000
O,2006-03-20,24.42,24.86,24.27,24.73,246400
O,2006-03-21,24.05,24.49,24.03,24.44,171400
O,2006-03-22,24.24,24.24,23.89,24.03,147200
O,2006-03-23,24.39,24.39,24.05,24.14,248000
O,2006-03-24,24.0,24.22,23.9,24.2,2114200
O,2006-03-27,24.12,24.13,24.0,24.0,824300
O,2006-03-28,24.17,24.2,24.0,24.03,447200
O,2006-03-29,24.24,24.25,24.1,24.17,446600
O,2006-03-30,24.01,24.11,23.95,23.96,777100
O,2006-03-31,24.21,24.24,23.89,24.01,654100
O,2006-04-03,23.58,24.06,23.53,23.85,367900
O,2006-04-04,23.3,23.6,23.2,23.5,549400
O,2006-04-05,23.24,23.38,22.5,23.23,689900
O,2006-04-06,23.27,23.43,23.05,23.24,350100
O,2006-04-07,22.85,23.34,22.85,23.05,233400
O,2006-04-10,22.49,22.91,22.47,22.75,260500
O,2006-04-11,22.35,22.59,22.34,22.5,223300
O,2006-04-12,22.34,22.46,22.15,22.24,277300
O,2006-04-13,22.09,22.35,22.01,22.35,240100
O,2006-04-14,22.09,22.35,22.01,22.35,0
O,2006-04-17,21.92,22.3,21.86,22.1,254100
O,2006-04-18,22.59,22.64,22.0,22.0,306600
O,2006-04-19,22.8,22.81,22.47,22.58,225000
O,2006-04-20,22.81,22.95,22.56,22.86,269400
O,2006-04-21,22.8,22.9,22.6,22.9,226000
O,2006-04-24,22.63,22.8,22.51,22.8,211200
O,2006-04-25,22.64,22.68,22.48,22.54,332900
O,2006-04-26,22.55,22.7,22.52,22.64,307800
O,2006-04-27,22.59,22.75,22.1,22.44,301700
O,2006-04-28,22.67,22.82,22.36,22.49,218100
O,2006-05-01,22.22,22.81,22.21,22.76,315200
O,2006-05-02,22.22,22.45,22.0,22.3,255900
O,2006-05-03,22.3,22.36,22.02,22.23,215500
O,2006-05-04,22.32,22.5,22.14,22.25,366600
O,2006-05-05,22.58,22.69,22.33,22.43,299900
O,2006-05-08,22.64,22.66,22.25,22.25,250300
O,2006-05-09,22.89,23.18,22.58,22.74,404200
O,2006-05-10,22.81,23.09,22.76,22.88,253500
O,2006-05-11,22.26,22.92,22.26,22.88,226700
O,2006-05-12,21.96,22.34,21.89,22.28,350800
O,2006-05-15,22.38,22.38,21.9,22.04,313000
O,2006-05-16,22.26,22.66,22.26,22.63,238100
O,2006-05-17,21.91,22.45,21.91,22.19,249300
O,2006-05-18,21.98,22.37,21.92,22.08,278800
O,2006-05-19,21.9,22.28,21.74,21.99,297000
O,2006-05-22,21.93,22.05,21.77,21.92,240100
O,2006-05-23,21.75,22.18,21.66,21.97,216600
O,2006-05-24,21.78,22.08,21.39,21.75,393700
O,2006-05-25,22.18,22.18,21.76,21.86,462800
O,2006-05-26,22.31,22.42,22.156,22.2,207300
O,2006-05-29,22.31,22.42,22.156,22.2,0
O,2006-05-30,21.81,22.2,21.8,22.16,270000
O,2006-05-31,21.84,21.97,21.53,21.89,372600
O,2006-06-01,22.28,22.28,21.85,21.9,333800
O,2006-06-02,22.46,22.55,22.32,22.4,197500
O,2006-06-05,22.61,22.83,22.32,22.4,330000
O,2006-06-06,22.45,22.71,22.24,22.66,296400
O,2006-06-07,22.6,22.87,22.34,22.36,277200
O,2006-06-08,22.55,22.66,22.14,22.5,272400
O,2006-06-09,22.8,22.83,22.52,22.55,202600
O,2006-06-12,22.36,22.89,22.3,22.89,181000
O,2006-06-13,22.0,22.56,21.97,22.33,344300
O,2006-06-14,21.94,22.23,21.86,22.23,294200
O,2006-06-15,22.1,22.236,21.93,22.04,294400
O,2006-06-16,22.1,22.29,22.01,22.29,208200
O,2006-06-19,21.87,22.2,21.85,22.18,261000
O,2006-06-20,21.87,21.95,21.71,21.82,265500
O,2006-06-21,21.76,21.98,21.7,21.85,311300
O,2006-06-22,21.5,21.84,21.5,21.84,293000
O,2006-06-23,21.3,21.65,21.25,21.53,334600
O,2006-06-26,21.72,21.72,21.38,21.4,313200
O,2006-06-27,21.68,21.95,21.65,21.81,347600
O,2006-06-28,22.17,22.17,21.71,21.75,386800
O,2006-06-29,22.43,22.43,22.04,22.06,353000
O,2006-06-30,21.9,22.72,21.9,22.47,3237200
O,2006-07-03,22.3,22.3,21.9,22.05,558900
O,2006-07-04,22.3,22.3,21.9,22.05,0
O,2006-07-05,22.29,22.43,21.98,22.3,423600
O,2006-07-06,22.29,22.4,22.08,22.26,368800
O,2006-07-07,22.2,22.42,22.03,22.29,537000
O,2006-07-10,22.44,22.53,22.26,22.29,288900
O,2006-07-11,22.52,22.59,22.15,22.46,294100
O,2006-07-12,22.61,22.8,22.49,22.62,445900
O,2006-07-13,22.11,22.59,22.09,22.52,377200
O,2006-07-14,21.98,22.33,21.91,22.27,420200
O,2006-07-17,21.7,22.17,21.65,22.12,586000
O,2006-07-18,22.3,22.34,21.86,21.95,486400
O,2006-07-19,22.81,23.02,22.23,22.24,470800
O,2006-07-20,22.53,22.93,22.5,22.89,400600
O,2006-07-21,22.02,22.55,22.01,22.53,366600
O,2006-07-24,22.56,22.56,22.07,22.22,338300
O,2006-07-25,22.94,22.99,22.52,22.66,476800
O,2006-07-26,23.05,23.15,22.8,22.96,395000
