Symbol,Date,Close,High,Low,Open,Volume
OMC,2006-01-02,42.565,42.755,42.485,42.57,0
OMC,2006-01-03,43.055,43.15,42.5,42.745,2467400
OMC,2006-01-04,43.295,43.525,43.06,43.075,1464800
OMC,2006-01-05,42.52,43.295,42.445,43.235,2450000
OMC,2006-01-06,42.965,42.98,42.505,42.745,1179600
OMC,2006-01-09,42.495,42.9,42.45,42.9,1552000
OMC,2006-01-10,42.275,42.455,42.15,42.305,1132800
OMC,2006-01-11,42.53,42.6,42.27,42.35,1752400
OMC,2006-01-12,42.275,42.485,42.16,42.485,1278400
OMC,2006-01-13,42.475,42.485,42.2,42.35,982200
OMC,2006-01-16,42.475,42.485,42.2,42.35,0
OMC,2006-01-17,42.075,42.43,41.79,42.25,1689000
OMC,2006-01-18,41.875,42.055,41.48,41.99,1908000
OMC,2006-01-19,42.31,42.385,41.42,41.555,1753400
OMC,2006-01-20,41.495,42.74,41.405,42.74,2156400
OMC,2006-01-23,41.53,41.98,41.4,41.51,1340800
OMC,2006-01-24,42.125,42.295,41.645,41.65,1737000
OMC,2006-01-25,41.635,42.14,41.33,42.12,2110600
OMC,2006-01-26,41.525,41.875,41.395,41.76,1886200
OMC,2006-01-27,41.965,42.09,41.4,41.525,1528400
OMC,2006-01-30,41.345,41.865,41.335,41.86,1584800
OMC,2006-01-31,40.895,41.39,40.895,41.31,2274800
OMC,2006-02-01,41.56,41.64,40.835,40.85,1871600
OMC,2006-02-02,41.46,42.015,41.35,41.56,1966200
OMC,2006-02-03,41.7,41.715,41.09,41.17,1850600
OMC,2006-02-06,41.605,41.715,41.085,41.59,2329200
OMC,2006-02-07,41.065,41.66,40.91,41.605,1567800
OMC,2006-02-08,40.91,41.18,40.735,40.85,1394000
OMC,2006-02-09,41.43,41.685,41.015,41.035,1802400
OMC,2006-02-10,41.29,41.42,41.05,41.35,1280000
OMC,2006-02-13,42.285,42.41,41.55,41.565,3103800
OMC,2006-02-14,40.935,41.47,40.7,41.325,4037000
OMC,2006-02-15,41.08,42.135,41.035,41.91,3630600
OMC,2006-02-16,40.715,41.225,40.545,41.15,2992400
OMC,2006-02-17,40.215,40.575,39.9,40.55,4110999
OMC,2006-02-20,40.215,40.575,39.9,40.55,0
OMC,2006-02-21,39.75,40.3,39.7,40.1,2495000
OMC,2006-02-22,40.07,40.485,39.92,39.95,2776800
OMC,2006-02-23,39.485,39.95,39.375,39.95,3468200
OMC,2006-02-24,39.995,40.25,39.56,39.56,4465400
OMC,2006-02-27,40.375,40.685,40.015,40.075,3310200
OMC,2006-02-28,39.91,40.22,39.8,40.04,2479600
OMC,2006-03-01,40.255,40.345,39.86,40.0,2858000
OMC,2006-03-02,40.19,40.345,39.94,40.095,2402600
OMC,2006-03-03,40.25,40.585,39.95,40.105,1404200
OMC,2006-03-06,40.18,40.35,40.045,40.28,2077999
OMC,2006-03-07,40.7,40.77,39.65,40.055,2009599
OMC,2006-03-08,40.67,40.7,40.285,40.41,1949600
OMC,2006-03-09,40.7,40.97,40.495,40.59,1912800
OMC,2006-03-10,40.8,40.88,40.32,40.64,1886000
OMC,2006-03-13,40.41,40.795,40.355,40.75,1541600
OMC,2006-03-14,40.625,40.76,40.425,40.425,1574400
OMC,2006-03-15,40.64,40.83,40.4,40.4,2177800
OMC,2006-03-16,41.325,41.49,40.82,41.0,2413200
OMC,2006-03-17,41.195,41.585,41.095,41.495,1727200
OMC,2006-03-20,40.965,41.451,40.81,41.425,845800
OMC,2006-03-21,41.015,41.32,40.83,40.95,1701200
OMC,2006-03-22,41.67,41.78,41.0,41.105,2507200
OMC,2006-03-23,42.085,42.14,41.435,41.435,2616000
OMC,2006-03-24,42.39,42.535,41.545,42.185,2891200
OMC,2006-03-27,42.285,42.45,42.175,42.31,2386200
OMC,2006-03-28,41.835,42.225,41.65,42.125,1908800
OMC,2006-03-29,41.97,42.14,41.665,41.765,1176200
OMC,2006-03-30,41.45,42.115,41.33,41.845,1578400
OMC,2006-03-31,41.625,41.885,41.26,41.325,1870800
OMC,2006-04-03,41.3,41.805,41.285,41.63,1282200
OMC,2006-04-04,41.765,41.955,40.92,41.285,1345400
OMC,2006-04-05,41.535,41.717,41.26,41.625,1359000
OMC,2006-04-06,42.305,42.33,41.205,41.41,2617400
OMC,2006-04-07,42.525,42.75,42.14,42.215,2505200
OMC,2006-04-10,42.85,42.915,42.395,42.5,1794800
OMC,2006-04-11,42.625,42.9,42.3525,42.8,2550200
OMC,2006-04-12,42.61,42.705,42.385,42.7,1979400
OMC,2006-04-13,42.575,42.575,42.075,42.39,1224600
OMC,2006-04-14,42.575,42.575,42.075,42.39,0
OMC,2006-04-17,42.7,42.74,42.47,42.585,1454800
OMC,2006-04-18,43.0,43.0,42.645,42.645,1603600
