Symbol,Date,Close,High,Low,Open,Volume
OXY,2006-01-02,38.3122,38.8398,37.8758,38.034,0
OXY,2006-01-03,41.2331,41.2475,39.2763,39.5688,10648380
OXY,2006-01-04,40.7439,41.0221,40.5041,40.8638,6827039
OXY,2006-01-05,40.2883,40.6384,39.7655,40.5329,5548741
OXY,2006-01-06,42.1156,42.5617,40.859,40.8878,8976022
OXY,2006-01-09,42.8686,42.8974,42.2068,42.5953,8367418
OXY,2006-01-10,43.5977,44.0821,42.6528,42.6864,8003798
OXY,2006-01-11,43.3914,43.7415,42.5617,43.4538,8627414
OXY,2006-01-12,42.1204,43.7655,42.0149,43.4873,7990037
OXY,2006-01-13,43.0893,43.214,41.7271,42.1204,5892970
OXY,2006-01-16,43.0893,43.214,41.7271,42.1204,0
OXY,2006-01-17,44.2164,44.3411,43.5017,43.9334,5723254
OXY,2006-01-18,43.6984,44.2212,42.7919,44.2212,5561460
OXY,2006-01-19,43.7895,43.9334,42.8782,43.1564,6259300
OXY,2006-01-20,43.6456,44.7008,43.3099,44.1157,8707894
OXY,2006-01-23,43.7895,44.2499,43.2619,43.6504,6679214
OXY,2006-01-24,43.4538,44.0965,43.166,43.4058,6613121
OXY,2006-01-25,42.8495,43.8423,42.1012,43.7415,7823240
OXY,2006-01-26,42.9885,43.2571,42.1108,43.166,7838251
OXY,2006-01-27,43.7463,44.2452,43.2092,43.2092,4916160
OXY,2006-01-30,45.3099,45.5305,44.1013,44.1252,14629638
OXY,2006-01-31,46.8639,46.9982,45.2284,45.3099,10201987
OXY,2006-02-01,45.0653,46.8639,44.8831,46.8639,9115924
OXY,2006-02-02,44.1732,44.9061,43.5641,44.461,8145785
OXY,2006-02-03,43.8615,44.4418,43.4144,44.0293,6131700
OXY,2006-02-06,45.0797,45.5353,44.3267,44.389,6366677
OXY,2006-02-07,43.214,44.6097,42.7343,44.6049,7083491
OXY,2006-02-08,42.955,43.2331,41.9669,43.0221,7869943
OXY,2006-02-09,42.0964,43.7655,41.895,43.0749,7957512
OXY,2006-02-10,41.7271,42.9981,41.3434,42.4466,8108255
OXY,2006-02-13,41.9717,42.6288,41.449,42.4466,7362460
OXY,2006-02-14,41.871,42.4753,41.2715,41.3003,7079946
OXY,2006-02-15,41.2667,42.2547,40.9454,41.9957,10489087
OXY,2006-02-16,42.5329,42.6048,41.4777,41.4777,9722442
OXY,2006-02-17,43.1852,43.3387,42.7679,43.166,7624124
OXY,2006-02-20,43.1852,43.3387,42.7679,43.166,0
OXY,2006-02-21,44.0485,44.6336,43.7272,44.1252,6357503
OXY,2006-02-22,43.3483,43.8854,43.1324,43.8327,6534517
OXY,2006-02-23,43.166,43.9957,42.6096,42.9262,7350576
OXY,2006-02-24,44.3075,44.8831,43.9382,44.1588,7875155
OXY,2006-02-27,43.5545,44.3075,43.5497,44.3075,6557243
OXY,2006-02-28,43.9046,44.2452,43.2667,43.5593,7317425
OXY,2006-03-01,44.4322,44.5809,43.8375,44.0437,6438817
OXY,2006-03-02,45.2188,45.3531,44.3651,44.5089,6485520
OXY,2006-03-03,45.5641,46.0198,44.8447,45.4706,5615043
OXY,2006-03-06,43.9334,45.2763,43.8375,45.0365,7612240
OXY,2006-03-07,43.6648,44.1348,43.3099,43.5353,7351201
OXY,2006-03-08,43.2523,44.0821,42.2164,43.166,8319255
OXY,2006-03-09,43.1564,43.9094,42.8015,43.4058,5056062
OXY,2006-03-10,43.2236,43.5017,42.8063,43.4778,6808066
OXY,2006-03-13,44.2452,44.4178,43.5785,43.6456,4522934
OXY,2006-03-14,44.9502,45.1852,43.8135,44.2452,7063058
OXY,2006-03-15,45.3483,45.5833,44.8591,44.9502,6772830
OXY,2006-03-16,45.6121,45.7512,44.9502,45.3531,6606449
OXY,2006-03-17,45.6025,46.0821,45.3483,46.0677,5953643
OXY,2006-03-20,44.3267,45.7032,44.154,45.4202,6149839
OXY,2006-03-21,44.1348,44.9838,43.9046,44.3267,5533729
OXY,2006-03-22,44.3603,45.2044,43.8375,44.0293,6216558
OXY,2006-03-23,45.1373,45.8231,44.648,44.6528,6569962
OXY,2006-03-24,44.9886,45.6744,44.7583,45.0413,6354375
OXY,2006-03-27,45.1181,45.449,44.6049,44.7488,4909697
OXY,2006-03-28,45.3723,46.0102,45.1037,45.5233,5185747
OXY,2006-03-29,45.8567,45.9382,45.1804,45.3723,4703493
OXY,2006-03-30,45.2092,46.1013,45.1828,45.3243,7400407
OXY,2006-03-31,44.437,44.979,44.1924,44.5617,6593313
OXY,2006-04-03,45.1948,45.8039,44.8063,45.0845,6169230
OXY,2006-04-04,45.8567,45.9574,44.7488,44.8878,5449705
OXY,2006-04-05,46.7632,46.8015,45.4634,45.7608,7882036
OXY,2006-04-06,46.5282,47.2188,46.0677,46.955,4970995
OXY,2006-04-07,45.6265,46.7536,45.3914,46.4754,6287448
OXY,2006-04-10,46.2835,46.9358,46.2212,46.5234,5447620
OXY,2006-04-11,46.0581,47.1804,45.8998,46.9982,7142704
OXY,2006-04-12,46.2068,46.6816,45.9814,46.3555,4841935
OXY,2006-04-13,46.1924,46.6385,45.9142,46.2116,4731431
OXY,2006-04-14,46.1924,46.6385,45.9142,46.2116,0
OXY,2006-04-17,48.5618,48.6385,47.1085,47.4874,10219292
OXY,2006-04-18,49.238,49.3915,48.5665,48.8255,7759648
OXY,2006-04-19,49.1469,49.7752,48.696,49.1517,7369966
OXY,2006-04-20,49.0462,49.214,48.1157,48.4898,7552818
OXY,2006-04-21,51.3244,51.4155,49.0702,49.4634,9007505
OXY,2006-04-24,50.6241,51.0222,49.9047,50.9838,11256983
OXY,2006-04-25,50.1301,51.8472,49.4922,51.3675,9281053
OXY,2006-04-26,48.0438,50.979,47.8087,50.3364,10857085
OXY,2006-04-27,48.6097,49.1373,46.5234,47.7224,10237014
OXY,2006-04-28,49.2764,49.5737,48.8112,49.3291,6944006
OXY,2006-05-01,50.0198,50.4371,49.4011,49.4011,6366051
OXY,2006-05-02,51.0414,51.0414,50.1541,50.3843,5714497
OXY,2006-05-03,50.5618,51.0414,49.9287,51.0414,8170805
OXY,2006-05-04,49.8136,50.9599,49.2284,50.3603,8752930
OXY,2006-05-05,50.1061,50.5714,49.6745,50.0965,6157345
OXY,2006-05-08,49.7416,50.0774,49.0222,50.0726,4757494
OXY,2006-05-09,50.6529,50.6529,49.4443,49.545,5424894
OXY,2006-05-10,51.3819,51.6409,50.1349,50.2548,7377055
OXY,2006-05-11,50.9599,52.0486,50.7824,51.7752,6314552
OXY,2006-05-12,49.0654,50.7201,48.9455,50.6001,7214219
OXY,2006-05-15,47.5545,48.3987,46.8303,47.6169,9911133
OXY,2006-05-16,46.509,46.7632,45.6361,46.5234,14141128
OXY,2006-05-17,44.5377,46.7632,44.1252,46.4514,9983690
OXY,2006-05-18,44.3075,45.1948,44.1828,44.5281,7402492
