Symbol,Date,Close,High,Low,Open,Volume
PAYX,2006-01-02,38.12,38.84,38.12,38.84,0
PAYX,2006-01-03,38.63,38.94,37.49,38.5,3694191
PAYX,2006-01-04,38.96,39.0,38.33,38.46,2447360
PAYX,2006-01-05,38.83,38.99,38.54,38.95,2443421
PAYX,2006-01-06,38.46,39.0,37.95,38.87,3038421
PAYX,2006-01-09,38.02,38.32,37.35,38.27,4845721
PAYX,2006-01-10,37.29,37.99,36.93,37.82,3464893
PAYX,2006-01-11,37.65,37.65,37.14,37.14,2097712
PAYX,2006-01-12,36.8,37.49,36.72,37.48,2871552
PAYX,2006-01-13,36.95,37.2,36.25,36.8,2642556
PAYX,2006-01-16,36.95,37.2,36.25,36.8,0
PAYX,2006-01-17,37.46,37.64,36.98,37.02,2212181
PAYX,2006-01-18,37.79,37.91,37.42,37.47,2145250
PAYX,2006-01-19,38.11,38.32,37.59,37.75,2248737
PAYX,2006-01-20,37.4,38.17,37.28,37.83,2355338
PAYX,2006-01-23,36.99,37.45,36.97,37.22,1616456
PAYX,2006-01-24,37.57,37.94,36.85,37.01,1615576
PAYX,2006-01-25,36.78,37.8,36.72,37.45,2219381
PAYX,2006-01-26,36.41,36.93,36.37,36.9,2069143
PAYX,2006-01-27,37.04,37.68,36.39,36.42,2494142
PAYX,2006-01-30,37.01,37.5,36.78,37.15,2740737
PAYX,2006-01-31,36.35,37.0,36.0,36.99,3482694
PAYX,2006-02-01,37.01,37.07,35.52,35.98,2616881
PAYX,2006-02-02,37.49,37.65,36.88,37.26,2698140
PAYX,2006-02-03,36.45,37.08,36.25,36.99,2248947
PAYX,2006-02-06,36.39,36.51,36.01,36.17,1000982
PAYX,2006-02-07,36.9,37.0,36.3,36.39,1608681
PAYX,2006-02-08,37.75,37.99,36.89,36.98,2239787
PAYX,2006-02-09,37.48,37.93,37.27,37.64,1596459
PAYX,2006-02-10,37.43,37.79,37.25,37.59,1262174
PAYX,2006-02-13,37.21,37.94,37.0,37.55,882542
PAYX,2006-02-14,37.47,37.67,36.9,37.18,1508065
PAYX,2006-02-15,37.81,37.81,37.36,37.36,1890297
PAYX,2006-02-16,38.24,38.24,37.63,37.63,1600949
PAYX,2006-02-17,37.89,38.28,37.77,38.14,1742123
PAYX,2006-02-20,37.89,38.28,37.77,38.14,0
PAYX,2006-02-21,37.18,38.02,37.02,37.91,1750991
PAYX,2006-02-22,37.7,37.83,37.05,37.13,1827957
PAYX,2006-02-23,37.63,38.04,37.52,37.52,1478431
PAYX,2006-02-24,37.68,37.75,37.18,37.57,1656588
PAYX,2006-02-27,39.71,39.96,37.51,37.57,4238688
PAYX,2006-02-28,40.05,40.18,39.35,39.5,4103379
PAYX,2006-03-01,40.23,40.23,39.97,39.97,2575546
PAYX,2006-03-02,40.17,40.49,39.85,39.9,1613521
PAYX,2006-03-03,40.29,41.06,39.5,39.81,2507689
PAYX,2006-03-06,39.76,40.49,39.45,40.23,1523665
PAYX,2006-03-07,39.12,39.8,39.07,39.54,1677029
PAYX,2006-03-08,39.58,39.75,38.97,38.97,1301297
PAYX,2006-03-09,39.31,40.08,39.31,39.61,1426721
PAYX,2006-03-10,39.59,39.7,39.1,39.33,1664170
PAYX,2006-03-13,39.14,39.9,39.05,39.66,1797085
PAYX,2006-03-14,40.36,40.44,39.1,39.19,2227778
PAYX,2006-03-15,40.33,40.48,39.8,40.32,1398392
PAYX,2006-03-16,40.1,40.44,39.83,40.43,1677749
PAYX,2006-03-17,40.34,40.49,39.89,40.31,3597467
PAYX,2006-03-20,41.07,41.5,40.21,40.281,2156295
PAYX,2006-03-21,40.96,41.5,40.79,40.87,2221489
PAYX,2006-03-22,40.5,41.13,40.42,40.86,1691918
PAYX,2006-03-23,40.55,40.55,40.4,40.45,1214078
PAYX,2006-03-24,40.12,40.56,39.878,40.36,1941064
PAYX,2006-03-27,40.27,40.5,39.82,39.99,1270816
PAYX,2006-03-28,40.16,40.85,40.0,40.42,2558844
PAYX,2006-03-29,40.78,41.26,39.34,39.6,5132098
PAYX,2006-03-30,41.17,41.76,40.71,40.71,1987830
PAYX,2006-03-31,41.66,41.72,40.89,41.09,2260211
PAYX,2006-04-03,41.77,42.37,41.65,42.0,2484334
PAYX,2006-04-04,41.68,42.14,41.35,41.84,2287928
PAYX,2006-04-05,41.74,41.77,41.18,41.5,1694363
PAYX,2006-04-06,41.34,41.61,41.03,41.5,1547667
PAYX,2006-04-07,40.82,41.79,40.67,41.37,1817961
PAYX,2006-04-10,40.72,40.89,40.52,40.88,934127
PAYX,2006-04-11,40.97,40.97,40.6,40.96,1617483
PAYX,2006-04-12,40.51,40.71,40.15,40.57,1049488
PAYX,2006-04-13,40.82,41.18,40.15,40.62,1396082
PAYX,2006-04-14,40.82,41.18,40.15,40.62,0
PAYX,2006-04-17,40.47,40.96,40.05,40.96,1278493
PAYX,2006-04-18,41.65,41.87,40.35,40.35,2411811
PAYX,2006-04-19,41.45,41.85,41.02,41.58,1971719
PAYX,2006-04-20,41.51,41.75,41.18,41.45,1625247
PAYX,2006-04-21,40.5,41.69,40.16,41.48,2148340
PAYX,2006-04-24,40.38,40.62,40.26,40.33,1563580
PAYX,2006-04-25,40.19,40.5,39.5,40.39,3264561
PAYX,2006-04-26,39.99,40.35,39.66,40.14,1613581
PAYX,2006-04-27,40.91,41.33,39.36,39.76,2144557
PAYX,2006-04-28,40.39,41.21,40.35,40.84,1286100
PAYX,2006-05-01,40.04,40.77,39.87,40.76,1256237
PAYX,2006-05-02,40.42,40.42,40.26,40.26,1361352
PAYX,2006-05-03,39.63,40.39,39.4,40.12,1249325
PAYX,2006-05-04,39.84,40.06,39.4,39.74,1698155
PAYX,2006-05-05,40.44,40.52,39.68,39.92,1733670
PAYX,2006-05-08,40.08,40.4,39.9,40.33,1521986
PAYX,2006-05-09,40.55,40.55,39.94,39.94,1395761
PAYX,2006-05-10,40.46,40.76,40.22,40.39,1770132
PAYX,2006-05-11,40.22,40.53,40.09,40.27,1089683
PAYX,2006-05-12,39.95,40.42,39.78,40.1,1184517
PAYX,2006-05-15,39.61,40.05,39.25,40.05,1547615
PAYX,2006-05-16,39.36,39.59,38.94,39.52,1553294
PAYX,2006-05-17,38.68,39.36,38.51,39.0,1919903
PAYX,2006-05-18,38.45,38.95,38.28,38.6,2061306
PAYX,2006-05-19,38.814,38.814,38.42,38.42,2734536
PAYX,2006-05-22,38.72,39.01,38.04,38.16,2126374
PAYX,2006-05-23,37.92,38.94,37.84,38.78,2111633
PAYX,2006-05-24,38.33,38.49,37.14,37.7,2070698
PAYX,2006-05-25,38.19,38.36,37.4,38.23,1967855
PAYX,2006-05-26,38.13,38.39,37.51,38.335,1288488
PAYX,2006-05-29,38.13,38.39,37.51,38.335,0
PAYX,2006-05-30,37.48,37.48,36.78,37.26,3159190
PAYX,2006-05-31,36.71,37.09,36.11,36.59,3029315
PAYX,2006-06-01,37.67,37.69,36.71,36.87,3202235
PAYX,2006-06-02,37.45,38.0,37.06,37.98,2667201
PAYX,2006-06-05,38.19,38.96,37.85,38.4,3409042
PAYX,2006-06-06,37.69,38.44,37.45,38.24,2318107
PAYX,2006-06-07,37.35,37.95,37.28,37.74,1846198
PAYX,2006-06-08,37.14,37.3,36.42,37.19,2430883
PAYX,2006-06-09,37.26,38.49,37.14,38.09,2080943
PAYX,2006-06-12,37.48,37.48,37.0,37.11,1292298
PAYX,2006-06-13,36.7,37.36,36.58,37.11,1706531
PAYX,2006-06-14,36.95,36.98,36.46,36.58,1729250
PAYX,2006-06-15,37.59,37.83,36.6,36.94,1914363
PAYX,2006-06-16,38.6,39.08,37.4,37.67,4437337
PAYX,2006-06-19,39.05,39.05,38.73,38.85,2381708
PAYX,2006-06-20,39.41,39.41,38.88,38.88,2197956
PAYX,2006-06-21,39.45,39.8,38.83,38.84,1870468
PAYX,2006-06-22,39.19,39.64,38.97,39.26,1457615
PAYX,2006-06-23,39.46,39.89,38.84,39.01,1372122
PAYX,2006-06-26,39.52,39.75,39.38,39.45,1033417
PAYX,2006-06-27,39.22,39.68,39.01,39.48,1696521
PAYX,2006-06-28,39.68,39.68,39.49,39.49,1796217
PAYX,2006-06-29,39.67,39.69,38.68,39.55,4008658
PAYX,2006-06-30,38.98,39.86,38.9,39.67,2691787
PAYX,2006-07-03,39.02,39.52,38.98,39.52,866912
PAYX,2006-07-04,39.02,39.52,38.98,39.52,0
PAYX,2006-07-05,38.28,38.99,38.17,38.99,1615740
PAYX,2006-07-06,38.52,38.52,38.03,38.17,1678253
PAYX,2006-07-07,37.59,38.0,37.21,37.95,2504197
PAYX,2006-07-10,37.65,38.0,37.46,37.75,932836
PAYX,2006-07-11,37.89,37.89,37.67,37.71,1870919
PAYX,2006-07-12,37.06,37.77,36.65,37.68,1954798
PAYX,2006-07-13,36.87,37.29,36.73,37.05,2070334
PAYX,2006-07-14,36.96,36.96,36.75,36.77,2484802
PAYX,2006-07-17,36.53,36.75,36.33,36.705,2201665
PAYX,2006-07-18,36.32,36.69,36.02,36.41,1450395
PAYX,2006-07-19,36.55,37.16,36.26,36.37,1237406
PAYX,2006-07-20,35.55,36.5,35.42,36.49,2191303
PAYX,2006-07-21,35.3,35.66,35.1,35.29,2250961
PAYX,2006-07-24,35.02,35.39,34.81,35.31,2147612
PAYX,2006-07-25,34.5,35.05,34.39,34.92,2971606
PAYX,2006-07-26,33.88,34.54,33.76,34.36,3610505
PAYX,2006-07-27,33.81,34.28,33.65,34.03,1392156
PAYX,2006-07-28,34.46,34.61,33.79,34.29,1448801
PAYX,2006-07-31,34.18,34.51,33.91,34.49,1547576
PAYX,2006-08-01,33.19,34.07,32.98,33.95,2662640
PAYX,2006-08-02,33.41,33.76,33.05,33.13,3804991
PAYX,2006-08-03,33.62,33.86,33.18,33.23,2629685
PAYX,2006-08-04,34.29,35.48,34.18,34.73,4061636
PAYX,2006-08-07,34.11,34.76,33.99,34.39,2796776
PAYX,2006-08-08,33.79,34.35,33.3,34.35,2125351
PAYX,2006-08-09,33.84,34.8,33.8,33.97,1590447
PAYX,2006-08-10,34.34,34.34,33.88,33.88,1034457
PAYX,2006-08-11,34.04,34.16,33.75,34.04,816830
PAYX,2006-08-14,34.05,34.82,34.0,34.0,1217487
PAYX,2006-08-15,34.84,35.0,34.21,34.73,1662953
PAYX,2006-08-16,35.56,35.57,34.86,35.15,2030922
PAYX,2006-08-17,35.7,35.99,35.26,35.26,1891392
PAYX,2006-08-18,35.74,36.0,35.45,35.86,2416841
PAYX,2006-08-21,35.99,35.99,35.81,35.81,1185863
PAYX,2006-08-22,35.61,36.0,35.43,35.93,1747892
PAYX,2006-08-23,35.2,35.85,35.0,35.79,1728739
PAYX,2006-08-24,35.2,35.555,34.96,35.26,2028406
PAYX,2006-08-25,35.45,35.65,35.01,35.26,889172
PAYX,2006-08-28,36.03,36.14,35.23,35.25,1530658
PAYX,2006-08-29,35.99,36.23,35.73,36.13,1684613
PAYX,2006-08-30,36.32,36.37,35.81,36.15,1311291
PAYX,2006-08-31,35.95,36.36,35.88,36.32,1225651
PAYX,2006-09-01,36.35,36.35,36.19,36.22,1024145
PAYX,2006-09-04,36.35,36.35,36.19,36.22,0
PAYX,2006-09-05,35.92,36.19,35.75,36.04,994578
PAYX,2006-09-06,35.28,35.83,35.09,35.72,1901674
PAYX,2006-09-07,34.92,35.4,34.88,35.31,1632778
PAYX,2006-09-08,35.22,35.47,34.87,34.91,1016175
PAYX,2006-09-11,35.06,35.12,34.73,34.99,1525841
PAYX,2006-09-12,35.18,35.22,34.65,35.04,1467959
PAYX,2006-09-13,35.2,35.25,34.82,35.02,1126734
PAYX,2006-09-14,35.36,35.44,34.9901,35.0,1113934
PAYX,2006-09-15,35.92,35.93,35.23,35.54,4098714
PAYX,2006-09-18,35.9,36.31,35.78,35.95,1418566
PAYX,2006-09-19,36.09,36.29,35.65,36.02,1457567
PAYX,2006-09-20,35.94,36.52,35.76,36.11,1232773
PAYX,2006-09-21,35.76,36.19,35.71,35.9,1045839
PAYX,2006-09-22,35.44,35.84,35.28,35.826,835269
PAYX,2006-09-25,36.32,36.51,35.48,35.48,2219173
PAYX,2006-09-26,37.08,37.17,36.44,36.51,3922726
PAYX,2006-09-27,36.78,37.08,35.33,35.97,5896704
PAYX,2006-09-28,37.29,37.4,36.77,36.77,2333995
PAYX,2006-09-29,36.85,37.48,36.73,37.305,2220857
PAYX,2006-10-02,36.67,37.39,36.51,36.96,2271157
PAYX,2006-10-03,36.94,36.97,36.49,36.92,1709989
PAYX,2006-10-04,37.32,37.5,36.7,36.7,2702812
PAYX,2006-10-05,38.04,38.06,37.11,37.41,3270597
PAYX,2006-10-06,38.21,38.37,37.8,38.04,2567741
PAYX,2006-10-09,38.3,38.4,38.06,38.21,1866957
PAYX,2006-10-10,38.46,38.46,38.1,38.23,2295847
PAYX,2006-10-11,38.76,38.84,38.22,38.4,2334856
PAYX,2006-10-12,38.93,38.93,38.86,38.86,2083718
PAYX,2006-10-13,38.67,38.93,38.33,38.65,1247945
PAYX,2006-10-16,39.21,39.21,38.79,38.79,1590551
PAYX,2006-10-17,38.95,38.95,38.71,38.71,1067019
PAYX,2006-10-18,38.92,39.2,38.44,39.02,1414731
PAYX,2006-10-19,38.7,39.05,38.41,38.56,1106964
PAYX,2006-10-20,38.85,38.85,38.5,38.85,1530658
PAYX,2006-10-23,39.8,40.34,38.82,39.03,4565826
PAYX,2006-10-24,39.65,39.97,39.37,39.69,2109088
PAYX,2006-10-25,39.54,39.69,39.13,39.41,1015748
PAYX,2006-10-26,39.67,39.92,39.36,39.55,1797568
PAYX,2006-10-27,39.45,39.75,39.35,39.58,1409061
PAYX,2006-10-30,39.81,39.81,39.2,39.5,1956173
PAYX,2006-10-31,39.48,39.95,39.0,39.54,1741155
PAYX,2006-11-01,39.08,39.64,38.9,39.64,1356187
PAYX,2006-11-02,38.7,39.14,38.5,39.01,1453438
PAYX,2006-11-03,38.5,38.76,38.23,38.73,1660584
PAYX,2006-11-06,38.94,39.4,38.56,38.69,1108627
PAYX,2006-11-07,39.1,39.67,38.71,38.76,1480605
PAYX,2006-11-08,39.31,39.48,38.97,39.36,1242561
PAYX,2006-11-09,38.55,39.31,38.31,39.25,1474035
PAYX,2006-11-10,38.6,38.77,38.37,38.465,2008811
PAYX,2006-11-13,38.61,38.66,38.25,38.66,1616727
PAYX,2006-11-14,38.99,39.06,38.32,38.4,1961160
PAYX,2006-11-15,39.87,39.87,39.05,39.05,2332256
PAYX,2006-11-16,40.11,40.25,39.73,40.05,1666913
PAYX,2006-11-17,40.46,40.52,40.0,40.11,1828298
PAYX,2006-11-20,40.4,40.57,39.95,40.26,2220642
PAYX,2006-11-21,39.86,40.26,39.63,40.18,2377867
PAYX,2006-11-22,39.85,39.95,39.53,39.65,863002
PAYX,2006-11-23,39.85,39.95,39.53,39.65,0
PAYX,2006-11-24,39.63,39.91,39.55,39.78,514835
PAYX,2006-11-27,39.21,39.55,38.92,39.4,1489444
PAYX,2006-11-28,39.36,39.45,39.02,39.185,1664013
PAYX,2006-11-29,39.37,39.43,38.99,39.3,2045596
PAYX,2006-11-30,39.41,39.64,39.22,39.5,1305460
PAYX,2006-12-01,39.24,39.48,38.72,39.48,1569622
PAYX,2006-12-04,39.68,40.03,39.26,39.38,1645222
PAYX,2006-12-05,39.62,39.76,39.3,39.76,1207982
PAYX,2006-12-06,39.39,39.84,39.1,39.63,1560085
PAYX,2006-12-07,39.11,39.51,39.02,39.42,1380630
PAYX,2006-12-08,39.18,39.57,38.81,39.07,1510642
PAYX,2006-12-11,39.26,39.5,38.9,38.93,1116987
PAYX,2006-12-12,39.0,39.42,38.66,39.34,1989909
PAYX,2006-12-13,39.05,39.34,38.66,39.34,1719668
PAYX,2006-12-14,39.95,40.05,38.99,39.18,2872912
PAYX,2006-12-15,40.76,41.12,39.95,40.07,4612653
PAYX,2006-12-18,40.38,41.21,40.27,40.78,2478666
PAYX,2006-12-19,40.86,41.04,40.14,40.16,2546277
PAYX,2006-12-20,39.92,40.59,39.27,39.95,2706212
PAYX,2006-12-21,40.41,40.88,39.76,40.42,2679957
PAYX,2006-12-22,39.88,40.51,39.88,40.51,2108908
PAYX,2006-12-25,39.88,40.51,39.88,40.51,0
PAYX,2006-12-26,39.81,39.85,39.5,39.83,1210336
PAYX,2006-12-27,39.91,40.27,39.8,40.1,1087696
PAYX,2006-12-28,39.79,40.14,39.63,40.0,933896
PAYX,2006-12-29,39.54,40.0,39.42,39.51,977669
PAYX,2007-01-01,39.54,40.0,39.42,39.51,0
PAYX,2007-01-02,39.54,40.0,39.42,39.51,0
PAYX,2007-01-03,39.31,39.98,38.79,39.69,2652009
PAYX,2007-01-04,40.01,40.19,39.03,39.42,2632911
PAYX,2007-01-05,40.03,40.2,39.78,40.19,1746580
PAYX,2007-01-08,40.1,40.36,39.68,40.23,1594632
PAYX,2007-01-09,40.19,40.65,39.99,40.04,1509736
PAYX,2007-01-10,40.31,40.35,39.74,39.9,1486000
PAYX,2007-01-11,40.72,40.89,40.37,40.55,2457450
PAYX,2007-01-12,40.67,41.0,40.48,40.48,1201509
PAYX,2007-01-15,40.67,41.0,40.48,40.48,0
PAYX,2007-01-16,40.69,40.99,40.29,40.7,1909180
PAYX,2007-01-17,40.8,40.95,40.49,40.74,2133164
PAYX,2007-01-18,40.42,41.0,40.39,41.0,1676508
PAYX,2007-01-19,40.11,40.45,39.96,40.17,1993348
PAYX,2007-01-22,39.6,40.17,39.37,39.93,2796742
PAYX,2007-01-23,39.64,39.93,39.51,39.6,1861109
PAYX,2007-01-24,40.6,40.64,39.68,39.84,2883640
PAYX,2007-01-25,39.7,40.46,39.4,40.28,2637124
PAYX,2007-01-26,39.77,40.09,39.47,39.68,2349719
PAYX,2007-01-29,40.0,40.34,39.69,39.84,2412721
PAYX,2007-01-30,39.7,40.05,39.49,39.89,1913709
PAYX,2007-01-31,40.01,40.31,39.49,39.61,2160928
PAYX,2007-02-01,40.32,40.55,40.03,40.03,2248148
PAYX,2007-02-02,40.44,40.61,40.25,40.25,1239084
PAYX,2007-02-05,40.5,40.75,40.218,40.36,2586420
PAYX,2007-02-06,40.4,40.77,40.05,40.75,2178443
PAYX,2007-02-07,40.63,40.79,40.36,40.54,2500115
PAYX,2007-02-08,40.67,40.94,40.51,40.51,1500403
PAYX,2007-02-09,40.34,40.94,40.13,40.9,2398444
PAYX,2007-02-12,40.5,40.64,40.32,40.52,1929288
PAYX,2007-02-13,40.87,41.15,40.35,40.71,2961438
PAYX,2007-02-14,41.77,41.93,40.89,40.99,3565567
PAYX,2007-02-15,41.65,41.89,41.48,41.61,1848112
PAYX,2007-02-16,41.58,41.76,41.32,41.74,1601691
PAYX,2007-02-19,41.58,41.76,41.32,41.74,0
PAYX,2007-02-20,41.6,41.76,41.03,41.18,2102694
PAYX,2007-02-21,41.63,41.7,41.07,41.6,1688512
PAYX,2007-02-22,41.79,41.8,41.17,41.57,1892563
PAYX,2007-02-23,42.43,42.43,41.92,41.92,3894231
PAYX,2007-02-26,42.29,42.5,41.96,42.45,3123888
PAYX,2007-02-27,41.32,42.28,40.89,41.93,4466110
PAYX,2007-02-28,40.63,41.65,40.52,40.64,4775292
PAYX,2007-03-01,40.01,40.14,39.1,39.73,6238593
PAYX,2007-03-02,39.16,39.7,39.13,39.64,2683366
PAYX,2007-03-05,39.5,39.87,38.93,39.15,4261545
PAYX,2007-03-06,39.84,40.077,39.33,39.42,2802253
PAYX,2007-03-07,39.87,40.01,39.33,39.33,3184065
PAYX,2007-03-08,39.84,40.2,39.75,40.17,2318775
PAYX,2007-03-09,39.48,40.26,39.4,40.26,2225393
PAYX,2007-03-12,39.79,39.89,39.46,39.59,1573689
PAYX,2007-03-13,38.99,39.56,38.69,39.54,3884112
PAYX,2007-03-14,39.58,39.59,38.79,38.93,3457812
PAYX,2007-03-15,40.112,40.112,39.68,39.68,3307180
PAYX,2007-03-16,39.73,40.11,39.51,39.84,2910782
PAYX,2007-03-19,39.91,40.19,39.7,39.74,1611909
PAYX,2007-03-20,39.96,40.18,39.79,39.87,2552523
PAYX,2007-03-21,40.9,40.9,39.85,40.12,2485916
PAYX,2007-03-22,40.87,41.1,40.7,41.0,1377315
PAYX,2007-03-23,40.73,41.01,40.66,40.74,1389123
PAYX,2007-03-26,40.65,40.8,40.26,40.66,1949741
PAYX,2007-03-27,39.7,40.53,39.69,40.46,3072989
PAYX,2007-03-28,39.2,39.87,38.84,39.61,4987054
PAYX,2007-03-29,38.43,39.3,38.36,38.87,6698890
PAYX,2007-03-30,37.87,38.57,37.57,38.25,7814438
PAYX,2007-04-02,37.5,38.34,37.4,38.19,4317835
PAYX,2007-04-03,37.63,37.82,37.42,37.73,8048451
PAYX,2007-04-04,37.91,37.92,37.5,37.63,4822188
PAYX,2007-04-05,37.89,38.08,37.78,38.0,2815630
PAYX,2007-04-06,37.89,38.08,37.78,38.0,0
PAYX,2007-04-09,37.66,37.94,37.58,37.9,3647141
PAYX,2007-04-10,37.73,37.88,37.55,37.57,1956766
PAYX,2007-04-11,36.92,37.7,36.74,37.65,4092317
PAYX,2007-04-12,36.89,37.16,36.74,36.93,2798553
PAYX,2007-04-13,36.75,36.88,36.48,36.85,3903888
PAYX,2007-04-16,37.27,37.32,36.76,36.99,2315143
PAYX,2007-04-17,37.27,37.61,37.17,37.18,2223137
PAYX,2007-04-18,36.83,37.4,36.75,37.2,2894475
PAYX,2007-04-19,36.25,36.7,36.17,36.67,4006700
PAYX,2007-04-20,37.05,37.14,36.26,36.46,4556292
PAYX,2007-04-23,37.0,37.19,36.89,37.11,1914559
PAYX,2007-04-24,36.88,37.11,36.56,37.11,4825815
PAYX,2007-04-25,37.05,37.1,36.75,36.86,3059576
PAYX,2007-04-26,36.37,36.92,36.29,36.92,5606247
PAYX,2007-04-27,37.52,37.54,36.08,36.33,5105687
PAYX,2007-04-30,37.1,37.59,37.01,37.54,4141186
PAYX,2007-05-01,37.55,37.57,37.01,37.02,4146762
PAYX,2007-05-02,37.76,37.85,37.458,37.56,2933040
PAYX,2007-05-03,37.91,37.98,37.55,37.95,2930773
PAYX,2007-05-04,37.8,38.09,37.59,38.09,4026423
PAYX,2007-05-07,38.1,38.33,37.76,37.81,2879591
PAYX,2007-05-08,38.02,38.12,37.82,38.0,3716914
PAYX,2007-05-09,38.57,38.71,37.85,37.91,3565674
PAYX,2007-05-10,38.44,38.8,38.33,38.49,4005197
PAYX,2007-05-11,39.04,39.05,38.39,38.85,4291275
PAYX,2007-05-14,38.64,39.0,38.4,38.94,2596820
PAYX,2007-05-15,38.1,38.82,38.06,38.74,3356013
PAYX,2007-05-16,38.9,39.71,38.72,39.05,6052666
PAYX,2007-05-17,38.82,39.15,38.56,39.15,2825205
PAYX,2007-05-18,39.36,39.39,38.69,38.98,3139119
PAYX,2007-05-21,39.98,40.05,39.22,39.26,4631193
PAYX,2007-05-22,40.09,40.21,39.49,39.83,4184484
PAYX,2007-05-23,40.22,40.47,39.95,40.09,3550193
PAYX,2007-05-24,39.89,40.5,39.81,40.3,2989672
PAYX,2007-05-25,40.07,40.24,39.65,39.89,2011407
PAYX,2007-05-28,40.07,40.24,39.65,39.89,0
PAYX,2007-05-29,40.03,40.32,39.7,39.99,2390742
PAYX,2007-05-30,39.85,40.08,39.08,39.94,5700388
PAYX,2007-05-31,40.4,40.42,39.79,39.85,3295159
PAYX,2007-06-01,40.6,40.84,40.49,40.63,2302670
PAYX,2007-06-04,40.27,40.49,40.14,40.28,2035928
PAYX,2007-06-05,40.23,40.28,39.66,40.12,3968066
PAYX,2007-06-06,39.85,40.23,39.79,40.23,2322264
PAYX,2007-06-07,39.26,39.65,39.13,39.65,3118714
