Symbol,Date,Close,High,Low,Open,Volume
PCG,2006-01-02,37.12,37.29,36.99,37.1,0
PCG,2006-01-03,37.47,37.53,36.65,37.12,1918100
PCG,2006-01-04,37.48,37.55,36.96,37.47,1511100
PCG,2006-01-05,37.31,37.69,37.03,37.43,1280900
PCG,2006-01-06,37.75,37.79,37.41,37.65,1247300
PCG,2006-01-09,37.34,37.68,37.15,37.64,1322200
PCG,2006-01-10,37.2,37.82,37.11,37.24,1997900
PCG,2006-01-11,36.95,37.06,36.8,36.95,1935100
PCG,2006-01-12,37.29,37.46,36.94,36.94,1033700
PCG,2006-01-13,37.3,37.49,36.95,37.38,1838800
PCG,2006-01-16,37.3,37.49,36.95,37.38,0
PCG,2006-01-17,38.01,38.07,37.25,37.3,1920500
PCG,2006-01-18,37.93,38.21,37.81,38.05,1353700
PCG,2006-01-19,37.6,37.92,37.53,37.89,1901200
PCG,2006-01-20,37.2,37.69,37.18,37.6,3081900
PCG,2006-01-23,37.43,37.63,37.31,37.34,1146800
PCG,2006-01-24,38.05,38.09,37.44,37.44,1530700
PCG,2006-01-25,37.58,38.05,37.26,38.05,1653300
PCG,2006-01-26,37.16,37.78,37.14,37.68,1518600
PCG,2006-01-27,37.33,37.534,37.12,37.16,1360500
PCG,2006-01-30,37.42,37.72,37.28,37.38,1101000
PCG,2006-01-31,37.31,37.63,37.15,37.4,1302800
PCG,2006-02-01,37.64,37.77,37.27,37.31,1243000
PCG,2006-02-02,36.87,37.64,36.8,37.64,1299700
PCG,2006-02-03,36.79,36.96,36.51,36.67,1351000
PCG,2006-02-06,37.0,37.11,36.65,36.67,928500
PCG,2006-02-07,37.15,37.26,37.02,37.1,1445900
PCG,2006-02-08,36.45,37.21,36.3,37.2,1926100
PCG,2006-02-09,36.79,37.1,36.41,36.42,1564200
PCG,2006-02-10,36.95,37.16,36.7,36.7,1242000
PCG,2006-02-13,36.75,36.95,36.73,36.82,942400
PCG,2006-02-14,36.35,36.85,36.33,36.72,2003899
PCG,2006-02-15,36.72,36.82,36.25,36.3,1784600
PCG,2006-02-16,37.16,37.18,36.55,36.68,1095800
PCG,2006-02-17,37.65,37.98,37.2,37.2,1877800
PCG,2006-02-20,37.65,37.98,37.2,37.2,0
PCG,2006-02-21,37.74,37.94,37.65,37.65,1607400
PCG,2006-02-22,37.99,38.06,37.67,37.88,1723700
PCG,2006-02-23,37.72,37.94,37.5,37.82,1056200
PCG,2006-02-24,37.97,38.1,37.69,37.83,807800
PCG,2006-02-27,38.47,38.58,38.16,38.2,1372000
PCG,2006-02-28,38.05,38.5,37.84,38.29,2921300
PCG,2006-03-01,38.46,38.5,37.93,38.1,1554900
PCG,2006-03-02,39.04,39.05,38.14,38.3,2097900
PCG,2006-03-03,38.87,39.2,38.65,38.8,1819900
PCG,2006-03-06,38.21,38.89,38.12,38.85,1971100
PCG,2006-03-07,38.16,38.22,37.76,38.05,2317300
PCG,2006-03-08,38.73,38.88,38.01,38.19,2521500
PCG,2006-03-09,39.01,39.07,38.61,38.65,1621200
PCG,2006-03-10,39.31,39.38,38.9,38.94,1834500
PCG,2006-03-13,39.45,39.49,39.18,39.34,2376600
PCG,2006-03-14,39.99,40.0,39.4,39.48,1809800
PCG,2006-03-15,40.26,40.32,39.66,39.83,2135700
PCG,2006-03-16,40.42,40.64,40.29,40.46,2144600
PCG,2006-03-17,40.26,40.68,40.14,40.55,1998000
PCG,2006-03-20,39.75,40.26,39.59,40.26,2078100
PCG,2006-03-21,39.7,40.04,39.6,39.8,1665700
PCG,2006-03-22,39.96,40.06,39.42,39.6,2039300
PCG,2006-03-23,40.33,40.37,39.74,39.87,2977300
PCG,2006-03-24,40.34,40.54,40.06,40.2,2404100
PCG,2006-03-27,40.34,40.47,40.16,40.34,2038800
PCG,2006-03-28,40.16,40.43,40.04,40.2,2203000
PCG,2006-03-29,39.62,40.05,39.6,39.69,2356800
PCG,2006-03-30,39.39,39.7,39.07,39.6,2106500
PCG,2006-03-31,38.9,39.45,38.82,39.36,2169300
PCG,2006-04-03,39.35,39.46,39.0,39.1,2623300
PCG,2006-04-04,40.12,40.21,39.17,39.34,2069000
PCG,2006-04-05,40.78,40.89,39.99,40.0,2323100
PCG,2006-04-06,39.61,40.65,39.42,40.6,5585000
PCG,2006-04-07,39.2,39.52,38.97,39.48,2278000
PCG,2006-04-10,39.57,39.95,39.26,39.3,1377800
PCG,2006-04-11,39.21,39.74,39.06,39.7,1127300
PCG,2006-04-12,39.11,39.37,38.96,39.2,1107800
PCG,2006-04-13,38.61,39.05,38.51,38.9,1814500
PCG,2006-04-14,38.61,39.05,38.51,38.9,0
PCG,2006-04-17,38.81,38.92,38.4,38.62,1531300
PCG,2006-04-18,39.49,39.56,38.67,38.75,1921300
PCG,2006-04-19,39.44,39.69,39.24,39.56,1052400
PCG,2006-04-20,39.39,39.82,39.28,39.3,1885600
PCG,2006-04-21,39.53,39.69,39.24,39.55,1615200
PCG,2006-04-24,39.37,39.6,39.24,39.55,1856300
PCG,2006-04-25,39.06,39.42,38.7,39.38,1572900
PCG,2006-04-26,38.85,39.23,38.69,39.03,1753000
PCG,2006-04-27,39.02,39.53,38.55,38.61,3584500
PCG,2006-04-28,39.84,39.93,39.05,39.3,2220700
