Symbol,Date,Close,High,Low,Open,Volume
PEP,2006-01-02,59.08,59.54,59.02,59.45,0
PEP,2006-01-03,59.76,59.92,58.93,59.92,3950400
PEP,2006-01-04,59.97,59.97,59.55,59.55,3380500
PEP,2006-01-05,59.38,59.88,59.19,59.61,2870900
PEP,2006-01-06,59.6,59.74,59.24,59.6,2956500
PEP,2006-01-09,59.3,59.61,59.2,59.61,4761400
PEP,2006-01-10,59.1,59.39,58.83,59.3,2774700
PEP,2006-01-11,58.86,59.5,58.57,59.28,3159300
PEP,2006-01-12,58.84,58.95,58.43,58.69,2970000
PEP,2006-01-13,58.7,59.14,58.61,59.0,2540700
PEP,2006-01-16,58.7,59.14,58.61,59.0,0
PEP,2006-01-17,58.43,58.64,58.14,58.2,3125800
PEP,2006-01-18,58.69,58.77,58.04,58.4,3050400
PEP,2006-01-19,58.33,58.45,57.92,58.34,3195100
PEP,2006-01-20,57.28,58.28,57.243,58.28,4123100
PEP,2006-01-23,57.5,57.83,57.22,57.26,2851600
PEP,2006-01-24,58.04,58.39,57.55,57.55,4602100
PEP,2006-01-25,57.64,58.19,57.41,58.1,3538900
PEP,2006-01-26,57.4,57.96,57.35,57.64,3485800
PEP,2006-01-27,58.2,58.28,56.0,57.11,7262000
PEP,2006-01-30,57.64,58.3,57.57,58.01,3566600
PEP,2006-01-31,57.18,57.6,56.95,57.31,5029200
PEP,2006-02-01,57.27,57.3,56.8,56.81,4616800
PEP,2006-02-02,57.45,57.612,57.0,57.08,3348500
PEP,2006-02-03,57.34,57.59,57.1,57.15,3318700
PEP,2006-02-06,56.77,57.576,56.77,57.24,3263600
PEP,2006-02-07,56.86,57.28,56.53,56.8,4947600
PEP,2006-02-08,57.28,57.71,56.95,57.7,5287600
PEP,2006-02-09,57.71,58.08,57.06,57.3,5398100
PEP,2006-02-10,57.93,58.15,57.3,57.59,4213900
PEP,2006-02-13,57.6,57.84,57.34,57.83,2832900
PEP,2006-02-14,57.95,58.09,57.32,57.6,3227300
PEP,2006-02-15,57.88,58.05,57.31,57.74,2519200
PEP,2006-02-16,58.7,58.7,57.58,57.65,3384900
PEP,2006-02-17,58.92,59.12,58.54,58.57,4034099
PEP,2006-02-20,58.92,59.12,58.54,58.57,0
PEP,2006-02-21,58.84,59.1,58.72,58.72,4171900
PEP,2006-02-22,59.0,59.17,58.75,58.75,3957400
PEP,2006-02-23,59.66,59.9,58.6,58.76,6061400
