Symbol,Date,Close,High,Low,Open,Volume
PFG,2006-01-02,47.43,47.7,47.36,47.7,0
PFG,2006-01-03,47.73,47.85,47.0,47.49,1274200
PFG,2006-01-04,47.68,47.76,47.32,47.61,1402900
PFG,2006-01-05,47.38,47.64,47.34,47.61,970200
PFG,2006-01-06,47.29,47.6,46.9,47.6,1120400
PFG,2006-01-09,47.76,48.01,47.49,47.5,3956600
PFG,2006-01-10,48.08,48.11,47.57,47.68,1626900
PFG,2006-01-11,48.0,48.2,47.94,48.15,1006200
PFG,2006-01-12,47.64,48.16,47.6,48.0,915900
PFG,2006-01-13,47.61,47.95,47.61,47.76,615300
PFG,2006-01-16,47.61,47.95,47.61,47.76,0
PFG,2006-01-17,47.37,47.64,47.21,47.62,582200
PFG,2006-01-18,47.34,47.41,46.7,47.22,791500
PFG,2006-01-19,46.49,46.87,46.42,46.79,1023800
PFG,2006-01-20,45.97,46.57,45.91,46.5,910600
PFG,2006-01-23,46.33,46.47,46.09,46.09,963900
PFG,2006-01-24,47.42,47.85,47.34,47.5,1951400
PFG,2006-01-25,46.85,47.43,46.75,47.39,1118400
PFG,2006-01-26,47.13,47.73,46.92,47.73,1074900
PFG,2006-01-27,47.2,48.2,46.97,47.07,981100
PFG,2006-01-30,47.73,47.98,47.2,47.21,1012999
PFG,2006-01-31,47.16,47.73,46.96,47.62,944300
PFG,2006-02-01,47.02,47.48,46.77,47.19,891800
PFG,2006-02-02,46.55,47.09,46.52,47.09,664100
PFG,2006-02-03,46.53,47.04,46.2,46.46,645300
PFG,2006-02-06,46.81,46.88,46.301,46.48,850900
PFG,2006-02-07,47.1,47.45,46.9,47.25,1452800
PFG,2006-02-08,47.48,47.48,47.18,47.18,791900
PFG,2006-02-09,47.32,48.25,47.02,48.25,594600
PFG,2006-02-10,47.76,47.89,47.29,47.29,723400
PFG,2006-02-13,47.83,47.87,47.51,47.74,587800
PFG,2006-02-14,48.68,48.94,47.93,47.93,1038899
PFG,2006-02-15,48.31,48.5,47.99,48.44,595300
PFG,2006-02-16,48.25,48.27,47.79,48.21,666400
PFG,2006-02-17,48.01,48.32,47.86,48.29,580400
PFG,2006-02-20,48.01,48.32,47.86,48.29,0
PFG,2006-02-21,48.35,48.4,48.01,48.01,956800
PFG,2006-02-22,48.75,48.99,48.45,48.45,1068800
PFG,2006-02-23,48.6,48.98,48.44,48.71,737800
PFG,2006-02-24,49.24,49.5,49.12,49.35,1192100
PFG,2006-02-27,49.25,49.63,49.19,49.41,1119800
PFG,2006-02-28,48.72,49.07,48.33,49.03,1474000
PFG,2006-03-01,49.0,49.31,48.71,48.72,1134400
PFG,2006-03-02,48.39,49.06,48.34,49.01,987200
PFG,2006-03-03,48.14,48.52,48.1,48.2,555200
PFG,2006-03-06,47.75,48.18,47.66,48.08,569200
PFG,2006-03-07,48.25,48.35,47.72,47.75,578300
PFG,2006-03-08,48.35,48.52,48.16,48.18,722200
PFG,2006-03-09,48.09,48.37,48.05,48.28,629200
PFG,2006-03-10,48.6,48.81,48.01,48.03,632000
PFG,2006-03-13,48.6,48.79,48.42,48.5,560300
PFG,2006-03-14,49.12,49.29,48.54,48.55,608300
PFG,2006-03-15,49.62,49.77,49.09,49.09,696300
PFG,2006-03-16,49.97,50.17,49.75,49.82,647300
PFG,2006-03-17,50.15,50.37,49.85,50.13,803500
PFG,2006-03-20,50.31,50.72,50.11,50.25,542400
PFG,2006-03-21,49.73,50.37,49.73,50.08,1297300
PFG,2006-03-22,49.87,50.1,49.7,49.8,703300
PFG,2006-03-23,49.6,49.91,49.39,49.88,698800
PFG,2006-03-24,49.75,49.76,49.19,49.45,780200
PFG,2006-03-27,49.46,49.91,49.31,49.65,433900
PFG,2006-03-28,49.11,49.48,49.01,49.21,595400
PFG,2006-03-29,49.55,49.65,49.0,49.0,456400
PFG,2006-03-30,49.4,49.91,49.4,49.42,670800
PFG,2006-03-31,48.8,49.61,48.7,49.56,968600
PFG,2006-04-03,49.02,49.6,48.86,49.15,751600
PFG,2006-04-04,49.75,49.87,49.15,49.27,664800
PFG,2006-04-05,49.9,50.05,49.7,49.88,698000
PFG,2006-04-06,49.92,50.07,49.562,49.85,538800
PFG,2006-04-07,49.04,50.18,49.03,49.95,477500
PFG,2006-04-10,49.15,49.53,49.0,49.14,494000
PFG,2006-04-11,48.85,49.28,48.81,49.25,715900
PFG,2006-04-12,49.08,49.39,48.9,48.9,505000
PFG,2006-04-13,48.81,49.13,48.57,49.08,573100
PFG,2006-04-14,48.81,49.13,48.57,49.08,0
PFG,2006-04-17,48.67,48.98,48.51,48.74,387400
PFG,2006-04-18,50.11,50.25,48.74,48.74,1153700
PFG,2006-04-19,50.51,50.51,49.92,50.11,799000
PFG,2006-04-20,50.66,50.81,50.23,50.49,671300
PFG,2006-04-21,50.47,50.86,50.27,50.8,505200
PFG,2006-04-24,50.65,50.76,49.9,50.47,727400
PFG,2006-04-25,50.31,50.81,50.15,50.75,672800
PFG,2006-04-26,51.07,51.16,50.41,50.41,610600
PFG,2006-04-27,51.49,51.75,50.75,50.85,799600
PFG,2006-04-28,51.31,51.8,51.12,51.49,1030300
PFG,2006-05-01,50.72,51.26,50.48,51.1,913100
PFG,2006-05-02,52.22,52.33,50.99,51.4,1610600
PFG,2006-05-03,52.25,52.58,51.955,52.22,910800
PFG,2006-05-04,52.95,52.99,52.3,52.35,588600
PFG,2006-05-05,53.55,53.73,53.25,53.3,583000
PFG,2006-05-08,53.31,53.6,53.25,53.5,460300
PFG,2006-05-09,53.0,53.3799,52.95,53.19,406000
PFG,2006-05-10,53.09,53.18,52.6401,52.7,906000
PFG,2006-05-11,53.98,54.48,53.43,53.45,1626200
PFG,2006-05-12,53.04,53.94,52.92,53.94,976400
PFG,2006-05-15,53.45,53.45,52.95,53.4,897300
PFG,2006-05-16,53.21,53.67,53.1,53.55,496500
PFG,2006-05-17,52.21,53.21,52.19,53.21,882000
PFG,2006-05-18,51.8,52.42,51.33,51.33,817000
PFG,2006-05-19,52.18,52.49,51.6,51.95,799700
PFG,2006-05-22,52.0,52.6,51.82,52.18,1500300
PFG,2006-05-23,52.03,52.39,51.9,52.07,764100
PFG,2006-05-24,52.6,52.71,51.9,52.0,974100
PFG,2006-05-25,53.77,53.77,52.72,52.85,1221100
PFG,2006-05-26,54.45,54.45,53.81,53.92,1436800
PFG,2006-05-29,54.45,54.45,53.81,53.92,0
PFG,2006-05-30,54.2,54.65,53.9,54.45,2478800
PFG,2006-05-31,54.65,54.94,54.2,54.49,5332600
PFG,2006-06-01,54.45,54.56,53.7,54.55,1944300
PFG,2006-06-02,54.93,55.2,54.25,54.41,1546700
PFG,2006-06-05,53.9,54.93,53.8,54.93,892900
PFG,2006-06-06,53.77,54.06,53.26,53.94,1571000
PFG,2006-06-07,53.81,54.23,53.48,53.77,1072300
PFG,2006-06-08,54.22,54.4,53.098,53.9,1027700
PFG,2006-06-09,53.92,54.29,53.71,54.07,774300
PFG,2006-06-12,53.21,54.08,53.21,54.03,881900
PFG,2006-06-13,52.32,53.37,52.23,53.22,1537400
PFG,2006-06-14,52.57,52.63,52.17,52.33,1488400
PFG,2006-06-15,54.17,54.27,53.1,53.1,1299000
PFG,2006-06-16,53.47,53.96,53.31,53.65,1163100
PFG,2006-06-19,52.93,53.86,52.75,53.6,1240300
PFG,2006-06-20,52.9,53.28,52.73,53.1,1046500
PFG,2006-06-21,53.41,53.69,52.8,52.87,946400
PFG,2006-06-22,53.02,53.403,52.78,53.31,740300
PFG,2006-06-23,53.02,53.37,52.44,52.77,1007700
PFG,2006-06-26,54.03,54.03,52.96,53.01,956900
PFG,2006-06-27,54.0,54.16,53.7,53.9,1358800
PFG,2006-06-28,53.89,54.17,53.57,54.01,722800
PFG,2006-06-29,54.99,55.08,53.9,53.9,1476900
PFG,2006-06-30,55.65,55.93,55.18,55.24,1564800
PFG,2006-07-03,56.1,56.21,55.73,55.95,396700
PFG,2006-07-04,56.1,56.21,55.73,55.95,0
PFG,2006-07-05,56.2,56.45,55.5,56.25,930300
PFG,2006-07-06,56.22,56.47,56.07,56.25,944500
PFG,2006-07-07,55.45,56.27,55.26,56.27,881700
PFG,2006-07-10,55.44,55.98,55.32,55.65,878200
PFG,2006-07-11,55.49,55.62,54.67,55.23,812100
PFG,2006-07-12,54.55,55.2,53.61,54.5,1817300
PFG,2006-07-13,53.78,54.6,53.71,54.56,1131500
PFG,2006-07-14,53.41,53.87,53.23,53.78,690000
PFG,2006-07-17,53.62,53.7,53.17,53.42,600700
PFG,2006-07-18,53.6,53.74,52.88,53.65,765700
PFG,2006-07-19,54.21,54.5,53.53,53.65,1511200
PFG,2006-07-20,54.1,54.52,54.1,54.2,637900
PFG,2006-07-21,53.78,54.47,53.78,54.4,863000
PFG,2006-07-24,54.3,54.48,54.0,54.0,675200
PFG,2006-07-25,54.24,54.54,53.81,54.2,926200
PFG,2006-07-26,54.0,54.22,53.88,54.14,858300
PFG,2006-07-27,53.63,54.57,53.63,54.25,615500
PFG,2006-07-28,54.08,54.35,53.75,53.8,702100
PFG,2006-07-31,54.0,54.12,53.63,53.95,1581800
PFG,2006-08-01,52.91,53.25,52.62,52.7,1267700
PFG,2006-08-02,53.3,53.39,52.81,53.0,681700
PFG,2006-08-03,53.22,53.72,53.2,53.3,1130100
PFG,2006-08-04,52.99,54.35,52.87,53.7,1110200
PFG,2006-08-07,52.73,53.07,52.65,53.04,749000
