Symbol,Date,Close,High,Low,Open,Volume
PGR,2006-01-02,29.195,29.55,29.1,29.5125,0
PGR,2006-01-03,28.88,29.1975,28.55,29.195,6388000
PGR,2006-01-04,29.0075,29.105,28.6675,28.99,4488400
PGR,2006-01-05,29.25,29.4925,28.665,29.0375,4615200
PGR,2006-01-06,29.065,29.5,28.925,29.5,2368800
PGR,2006-01-09,29.7075,29.745,29.075,29.1775,3142400
PGR,2006-01-10,29.64,29.765,29.375,29.645,2985600
PGR,2006-01-11,29.515,29.64,29.135,29.64,3487600
PGR,2006-01-12,28.8625,29.5375,28.85,29.36,3654400
PGR,2006-01-13,29.1675,30.0925,28.8075,29.0775,3060800
PGR,2006-01-16,29.1675,30.0925,28.8075,29.0775,0
PGR,2006-01-17,28.6325,29.1475,28.4525,29.105,4618800
PGR,2006-01-18,28.4325,28.865,27.38,28.4625,14143600
PGR,2006-01-19,27.14,27.75,27.09,27.75,10011600
PGR,2006-01-20,27.0325,27.5625,26.89,26.89,8252000
PGR,2006-01-23,27.125,27.33,26.95,26.95,5551200
PGR,2006-01-24,26.515,27.0425,26.45,27.015,6786000
PGR,2006-01-25,26.535,26.725,26.3925,26.515,6274800
PGR,2006-01-26,26.5725,26.8275,26.5,26.7125,5923200
PGR,2006-01-27,26.2675,26.8125,26.2125,26.425,5623200
PGR,2006-01-30,26.5325,26.675,26.0975,26.2125,6506800
PGR,2006-01-31,26.26,26.5,26.23,26.4125,3679600
PGR,2006-02-01,26.1,26.59,26.025,26.15,4602800
PGR,2006-02-02,26.25,26.295,25.8,26.1,4491600
PGR,2006-02-03,26.165,26.3075,25.8825,25.9825,3831200
PGR,2006-02-06,25.81,26.165,25.8075,25.9425,3504800
PGR,2006-02-07,25.875,26.0,25.25,25.5,6312400
PGR,2006-02-08,26.15,26.31,25.75,25.765,5228800
PGR,2006-02-09,25.755,26.22,25.7525,26.15,3483600
PGR,2006-02-10,25.8075,25.9375,25.6875,25.8125,2136000
PGR,2006-02-13,25.5,25.8325,25.4375,25.725,3178000
PGR,2006-02-14,26.12,26.31,25.44,25.5,2752000
PGR,2006-02-15,26.345,26.6925,26.0075,26.25,4811200
PGR,2006-02-16,26.34,26.4375,26.08,26.35,2658400
PGR,2006-02-17,26.4,26.6175,26.2,26.4975,2837600
PGR,2006-02-20,26.4,26.6175,26.2,26.4975,0
PGR,2006-02-21,26.635,26.775,26.4,26.4,2756800
PGR,2006-02-22,27.175,27.22,26.7425,26.755,2656400
PGR,2006-02-23,27.115,27.385,27.095,27.2525,2145200
PGR,2006-02-24,27.0125,27.0875,26.6975,26.8125,2240400
PGR,2006-02-27,26.91,27.0925,26.86,26.8825,1988000
PGR,2006-02-28,26.8625,27.0,26.68,26.9125,2567600
PGR,2006-03-01,26.775,26.7875,26.525,26.7825,3384000
PGR,2006-03-02,25.95,26.4625,25.5625,26.4625,7000800
PGR,2006-03-03,26.2375,26.5075,25.7775,25.7775,4276400
PGR,2006-03-06,25.995,26.1875,25.9125,26.15,2268400
PGR,2006-03-07,26.0,26.135,25.9375,26.0,2483600
PGR,2006-03-08,25.8825,26.125,25.7675,26.0,2168000
PGR,2006-03-09,25.575,25.9225,25.51,25.8425,2364800
PGR,2006-03-10,25.7,25.7475,25.5,25.5,1660800
PGR,2006-03-13,25.72,25.825,25.6325,25.745,1479600
PGR,2006-03-14,26.0075,26.1125,25.55,25.55,2279600
PGR,2006-03-15,26.1275,26.2625,25.8725,25.975,3074000
PGR,2006-03-16,26.475,26.905,26.2125,26.225,4394000
PGR,2006-03-17,26.5425,26.8,26.435,26.6175,3136800
PGR,2006-03-20,26.835,26.985,26.445,26.4775,1921200
PGR,2006-03-21,26.5425,26.9975,26.45,26.7625,2488400
PGR,2006-03-22,26.4125,26.635,26.1375,26.5425,3045200
PGR,2006-03-23,26.295,26.545,26.075,26.3625,3690000
PGR,2006-03-24,25.995,26.25,25.9375,26.24,2459600
PGR,2006-03-27,26.0325,26.12,25.7825,25.9625,2341200
PGR,2006-03-28,25.975,26.2375,25.855,26.035,3277600
PGR,2006-03-29,26.265,26.4275,25.9425,26.155,3027200
PGR,2006-03-30,26.2175,26.5775,26.045,26.2125,3005200
PGR,2006-03-31,26.065,26.425,25.8975,26.25,2532400
PGR,2006-04-03,25.775,26.2375,25.7025,26.1875,3203200
PGR,2006-04-04,25.9225,25.995,25.6275,25.7375,3228400
PGR,2006-04-05,25.9175,26.0875,25.8,25.8875,1622800
PGR,2006-04-06,25.9125,25.9825,25.84,25.875,1889200
PGR,2006-04-07,25.6675,26.015,25.645,26.0,2088800
PGR,2006-04-10,25.5075,25.7,25.4375,25.7,1928000
PGR,2006-04-11,25.5575,25.615,25.25,25.25,2528000
PGR,2006-04-12,26.125,26.7125,26.0825,26.4,4714400
PGR,2006-04-13,26.19,26.3125,25.98,26.15,1951200
PGR,2006-04-14,26.19,26.3125,25.98,26.15,0
PGR,2006-04-17,26.0325,26.25,25.9875,26.15,1572400
PGR,2006-04-18,26.32,26.4,25.965,26.0,1855600
PGR,2006-04-19,26.2275,26.525,26.06,26.39,2164000
PGR,2006-04-20,26.225,26.5225,26.1675,26.2425,1601200
PGR,2006-04-21,26.615,26.7075,25.99,26.35,6390800
PGR,2006-04-24,26.875,27.1775,26.575,27.0375,3985600
PGR,2006-04-25,26.23,26.965,26.2175,26.9625,4257200
PGR,2006-04-26,26.6,26.8215,26.35,26.3575,3269200
PGR,2006-04-27,26.805,27.07,26.445,26.6025,3012000
PGR,2006-04-28,27.1325,27.1875,26.825,26.91,2998000
PGR,2006-05-01,26.8325,27.275,26.7175,27.1,3473200
PGR,2006-05-02,26.7875,26.9925,26.7025,26.825,3195600
PGR,2006-05-03,26.64,26.925,26.405,26.84,3089200
PGR,2006-05-04,26.75,26.935,26.7425,26.775,1744000
PGR,2006-05-05,26.8575,27.05,26.7025,26.75,2227200
PGR,2006-05-08,26.9225,27.06,26.75,26.99,1579600
PGR,2006-05-09,26.775,26.9025,26.665,26.86,2322400
PGR,2006-05-10,26.915,26.9525,26.63,26.7775,1293200
PGR,2006-05-11,26.8875,26.8975,26.7625,26.875,1518400
PGR,2006-05-12,26.8,26.9375,26.71,26.8875,2047200
PGR,2006-05-15,27.085,27.125,26.7962,26.85,1917200
PGR,2006-05-16,27.0125,27.1475,26.935,27.075,2623200
PGR,2006-05-17,27.0,27.0575,26.7,26.8,3150800
PGR,2006-05-18,27.005,27.1575,26.8025,26.8025,2960800
PGR,2006-05-19,27.24,27.32,26.79,27.17,2596900
PGR,2006-05-22,27.25,27.55,26.98,27.19,2338000
PGR,2006-05-23,27.39,27.65,27.05,27.2,2778800
PGR,2006-05-24,27.06,27.57,26.93,27.29,2165200
PGR,2006-05-25,27.23,27.4,27.1,27.22,1842900
PGR,2006-05-26,27.15,27.43,26.9,27.25,2142300
PGR,2006-05-29,27.15,27.43,26.9,27.25,0
PGR,2006-05-30,26.76,27.09,26.73,26.95,1721200
PGR,2006-05-31,27.35,27.35,26.67,26.84,2251200
PGR,2006-06-01,27.67,27.69,27.29,27.34,2511900
PGR,2006-06-02,27.63,27.86,27.4,27.75,1575900
PGR,2006-06-05,26.91,27.49,26.81,27.43,1425600
PGR,2006-06-06,27.13,27.24,26.63,27.01,1696100
PGR,2006-06-07,27.28,27.48,27.1,27.3,1976400
PGR,2006-06-08,27.49,27.52,27.14,27.29,1769200
PGR,2006-06-09,27.17,27.47,27.05,27.37,1307400
PGR,2006-06-12,27.02,27.34,26.97,27.33,1493600
PGR,2006-06-13,26.41,27.18,26.41,27.07,2075500
PGR,2006-06-14,26.39,26.49,26.15,26.29,2252000
PGR,2006-06-15,27.01,27.07,26.26,26.35,2327700
PGR,2006-06-16,26.5,27.01,26.29,26.89,2401900
PGR,2006-06-19,26.33,26.61,26.23,26.5,1788400
PGR,2006-06-20,26.0,26.48,25.95,26.39,2530300
PGR,2006-06-21,26.0,26.26,25.92,26.0,3272700
PGR,2006-06-22,25.92,26.13,25.82,26.0,2246600
PGR,2006-06-23,25.72,25.97,25.72,25.8,1991000
PGR,2006-06-26,25.75,25.87,25.65,25.71,2772100
PGR,2006-06-27,25.72,25.9,25.69,25.75,2548200
PGR,2006-06-28,25.75,25.84,25.64,25.74,2630200
PGR,2006-06-29,25.97,26.06,25.69,25.75,2642800
PGR,2006-06-30,25.71,26.05,25.66,25.97,3595600
PGR,2006-07-03,25.75,25.83,25.61,25.75,930000
PGR,2006-07-04,25.75,25.83,25.61,25.75,0
PGR,2006-07-05,25.55,25.84,25.45,25.75,1689200
PGR,2006-07-06,25.49,25.72,25.33,25.59,2442800
PGR,2006-07-07,25.29,25.49,25.21,25.47,1290700
PGR,2006-07-10,25.28,25.35,25.05,25.29,2057100
PGR,2006-07-11,25.08,25.2,24.84,25.12,2207300
PGR,2006-07-12,25.08,25.3,24.95,25.13,2180700
PGR,2006-07-13,24.52,24.96,24.4,24.85,2379900
PGR,2006-07-14,24.34,24.75,24.18,24.5,1733100
PGR,2006-07-17,24.54,24.68,24.35,24.4,2311100
PGR,2006-07-18,24.52,24.69,24.23,24.53,1407400
PGR,2006-07-19,24.99,25.15,24.5601,24.65,2315900
PGR,2006-07-20,25.04,25.19,24.9,24.97,2686900
PGR,2006-07-21,24.54,24.98,24.52,24.93,2050600
PGR,2006-07-24,25.02,25.11,24.55,24.55,1660600
PGR,2006-07-25,24.77,25.02,24.65,24.86,1792300
PGR,2006-07-26,24.65,24.77,24.55,24.64,2189300
PGR,2006-07-27,24.22,24.99,24.18,24.86,2221000
PGR,2006-07-28,24.5,24.61,24.28,24.3,1134300
PGR,2006-07-31,24.19,24.43,24.15,24.32,1958700
PGR,2006-08-01,23.87,24.34,23.74,24.19,2071600
PGR,2006-08-02,23.65,23.94,23.55,23.75,2422900
PGR,2006-08-03,23.7,23.77,23.44,23.65,2557000
PGR,2006-08-04,23.43,24.01,23.37,23.91,1561800
PGR,2006-08-07,23.0,23.32,22.95,23.31,3149000
PGR,2006-08-08,22.46,23.06,22.31,23.01,4124700
PGR,2006-08-09,22.24,22.57,22.18,22.47,3000700
PGR,2006-08-10,22.63,22.75,22.35,22.4,3444900
PGR,2006-08-11,22.35,22.61,22.33,22.5,1574400
PGR,2006-08-14,22.48,22.69,22.37,22.55,2667300
PGR,2006-08-15,22.73,22.8,22.54,22.7,3278100
PGR,2006-08-16,23.14,23.6,23.07,23.1,3024500
PGR,2006-08-17,23.6,23.7,23.33,23.7,2997900
PGR,2006-08-18,23.58,23.72,23.5,23.6,2026600
PGR,2006-08-21,23.5,23.65,23.29,23.43,1507200
PGR,2006-08-22,23.31,23.5,23.24,23.35,2123100
PGR,2006-08-23,23.53,23.56,23.16,23.31,5007700
PGR,2006-08-24,23.75,23.87,23.5,23.66,2373900
PGR,2006-08-25,23.79,23.97,23.55,23.61,3109400
PGR,2006-08-28,24.14,24.22,23.6,23.67,1975500
PGR,2006-08-29,24.03,24.3,23.71,24.23,2154400
PGR,2006-08-30,24.13,24.33,24.0,24.14,1592600
PGR,2006-08-31,24.59,24.64,24.15,24.25,2504400
PGR,2006-09-01,24.45,24.76,24.42,24.76,1494800
PGR,2006-09-04,24.45,24.76,24.42,24.76,0
PGR,2006-09-05,23.94,24.63,23.92,24.36,2191500
PGR,2006-09-06,23.91,23.94,23.67,23.93,2204900
PGR,2006-09-07,24.0,24.06,23.75,23.86,1814500
PGR,2006-09-08,24.23,24.29,23.87,24.11,1411800
PGR,2006-09-11,24.2,24.29,23.93,24.24,1381700
PGR,2006-09-12,23.86,24.31,23.79,24.25,2337800
PGR,2006-09-13,23.98,24.03,23.62,23.73,1781200
PGR,2006-09-14,24.0,24.33,23.91,24.1,1498500
PGR,2006-09-15,23.86,24.28,23.73,24.12,2708500
PGR,2006-09-18,23.97,24.02,23.53,23.67,2476800
PGR,2006-09-19,24.16,24.25,24.07,24.12,2129600
PGR,2006-09-20,24.36,24.47,24.16,24.26,1686600
PGR,2006-09-21,24.32,24.53,24.13,24.43,1700300
PGR,2006-09-22,24.41,24.52,24.1,24.34,1695200
PGR,2006-09-25,24.76,24.85,24.5,24.6,1939400
PGR,2006-09-26,24.94,25.06,24.81,24.9,2579600
PGR,2006-09-27,24.62,25.08,24.5,24.911,2308400
PGR,2006-09-28,25.0,25.07,24.53,24.54,1553400
PGR,2006-09-29,24.54,25.01,24.46,25.0,1978100
PGR,2006-10-02,24.29,24.561,24.09,24.47,1448500
PGR,2006-10-03,24.85,25.05,24.29,24.29,2131200
PGR,2006-10-04,25.18,25.2,24.73,24.74,1438300
PGR,2006-10-05,25.13,25.3,25.07,25.07,1263200
PGR,2006-10-06,24.98,25.17,24.86,25.09,1204900
PGR,2006-10-09,25.01,25.13,24.9,25.0,1183800
PGR,2006-10-10,24.71,25.11,24.6,24.95,1872800
PGR,2006-10-11,25.04,25.54,24.6,24.75,2652300
PGR,2006-10-12,24.99,25.35,24.84,25.22,2157400
PGR,2006-10-13,24.73,25.35,24.68,25.07,2923500
PGR,2006-10-16,24.53,25.09,24.44,24.73,10977200
PGR,2006-10-17,24.79,24.88,24.34,24.53,4772500
PGR,2006-10-18,25.06,25.34,24.89,25.23,2651500
PGR,2006-10-19,24.68,25.08,24.62,25.0,2667100
PGR,2006-10-20,24.5,24.68,24.0,24.68,2656700
PGR,2006-10-23,24.59,24.63,24.36,24.36,2093200
PGR,2006-10-24,24.05,24.56,23.96,24.42,2990400
PGR,2006-10-25,24.11,24.337,23.93,24.13,2388500
PGR,2006-10-26,24.43,24.59,24.07,24.1,1876100
PGR,2006-10-27,23.98,24.32,23.92,24.3,1901800
PGR,2006-10-30,24.44,24.47,23.98,24.03,2779600
PGR,2006-10-31,24.17,24.6,23.98,24.57,3811600
PGR,2006-11-01,24.0,24.31,23.94,24.31,2341000
PGR,2006-11-02,23.61,23.98,23.55,23.8,3667600
PGR,2006-11-03,23.44,23.7,23.21,23.6,2854800
PGR,2006-11-06,23.35,23.5,23.21,23.41,1900000
PGR,2006-11-07,23.14,23.43,23.1,23.29,2650800
PGR,2006-11-08,22.98,23.35,22.91,23.14,2227900
PGR,2006-11-09,22.76,23.07,22.67,22.95,2459800
PGR,2006-11-10,22.92,23.08,22.75,22.96,2103000
PGR,2006-11-13,22.78,23.07,22.76,22.85,2553800
PGR,2006-11-14,23.15,23.15,22.47,22.73,3031400
PGR,2006-11-15,22.94,23.2,22.9,23.01,4021600
PGR,2006-11-16,23.11,23.2,22.88,22.92,2472800
PGR,2006-11-17,23.03,23.08,22.8,23.01,2820600
PGR,2006-11-20,23.39,23.4,22.8,22.92,2936900
PGR,2006-11-21,22.92,23.39,22.84,23.31,3022300
PGR,2006-11-22,23.02,23.18,22.85,22.86,2007400
PGR,2006-11-23,23.02,23.18,22.85,22.86,0
PGR,2006-11-24,22.91,23.03,22.84,22.87,992200
PGR,2006-11-27,22.66,22.91,22.61,22.8,2477600
PGR,2006-11-28,22.51,22.75,22.42,22.59,3858100
PGR,2006-11-29,22.63,22.69,22.37,22.52,3018400
PGR,2006-11-30,22.55,22.68,22.4,22.58,2369700
PGR,2006-12-01,22.49,22.58,22.3,22.57,2913300
PGR,2006-12-04,22.37,22.6,22.19,22.58,3543500
PGR,2006-12-05,22.51,22.73,22.37,22.46,1786000
PGR,2006-12-06,23.75,23.81,23.07,23.45,8758000
PGR,2006-12-07,23.59,24.01,23.48,23.75,4627500
PGR,2006-12-08,23.64,23.73,23.4,23.53,3294600
PGR,2006-12-11,23.63,23.68,23.56,23.62,4883100
PGR,2006-12-12,23.64,23.74,23.48,23.65,4595800
PGR,2006-12-13,23.66,23.77,23.55,23.65,3754100
PGR,2006-12-14,23.9,24.03,23.64,23.69,2934300
PGR,2006-12-15,24.17,24.33,23.91,23.91,5563700
PGR,2006-12-18,24.42,24.45,24.03,24.08,3704700
PGR,2006-12-19,24.44,24.53,24.11,24.19,4901500
PGR,2006-12-20,24.27,24.64,24.21,24.44,3192300
PGR,2006-12-21,23.95,24.45,23.93,24.27,3494600
PGR,2006-12-22,24.47,24.57,24.04,24.08,3257200
PGR,2006-12-25,24.47,24.57,24.04,24.08,0
PGR,2006-12-26,24.55,24.58,24.25,24.35,1405600
PGR,2006-12-27,24.51,24.73,24.42,24.65,1346900
PGR,2006-12-28,24.33,24.71,24.33,24.46,1572800
PGR,2006-12-29,24.22,24.54,24.1,24.27,2096499
PGR,2007-01-01,24.22,24.54,24.1,24.27,0
PGR,2007-01-02,24.22,24.54,24.1,24.27,0
PGR,2007-01-03,24.21,24.75,24.07,24.5,3839000
PGR,2007-01-04,24.23,24.36,24.05,24.27,3029900
PGR,2007-01-05,23.75,24.16,23.6,24.15,2661500
PGR,2007-01-08,23.91,23.91,23.54,23.78,2356300
PGR,2007-01-09,23.5,24.0,23.44,24.0,2563900
PGR,2007-01-10,23.44,23.6,23.4,23.48,2002500
PGR,2007-01-11,23.2,23.42,23.13,23.38,4182600
PGR,2007-01-12,23.4,23.49,23.05,23.08,3320100
PGR,2007-01-15,23.4,23.49,23.05,23.08,0
PGR,2007-01-16,23.38,23.7,23.35,23.5,2657500
PGR,2007-01-17,23.55,23.85,23.46,23.75,3506300
PGR,2007-01-18,23.49,23.6,23.09,23.48,4005700
PGR,2007-01-19,23.28,23.66,23.17,23.6,3274000
PGR,2007-01-22,23.05,23.3,22.9,23.17,2905100
PGR,2007-01-23,23.28,23.37,22.95,22.99,2547400
PGR,2007-01-24,23.35,23.35,23.15,23.24,2383300
PGR,2007-01-25,23.42,23.48,23.3,23.35,4350700
PGR,2007-01-26,23.43,23.54,23.27,23.41,3276000
PGR,2007-01-29,23.52,23.9,23.42,23.42,3553900
PGR,2007-01-30,23.25,23.59,23.22,23.56,3084400
PGR,2007-01-31,23.19,23.27,22.92,23.16,4066700
PGR,2007-02-01,23.67,23.76,23.24,23.34,4980800
PGR,2007-02-02,23.57,23.69,23.53,23.62,3298700
PGR,2007-02-05,23.63,23.72,23.45,23.49,3324900
PGR,2007-02-06,23.67,23.76,23.6,23.6,3299600
PGR,2007-02-07,23.56,23.75,23.54,23.66,2653900
PGR,2007-02-08,23.49,23.68,23.46,23.59,2571800
PGR,2007-02-09,23.32,23.6,23.23,23.5,1539100
PGR,2007-02-12,23.07,23.45,23.0,23.31,1758791
PGR,2007-02-13,23.25,23.36,23.08,23.34,2173709
PGR,2007-02-14,23.35,23.52,23.18,23.37,3259107
PGR,2007-02-15,23.42,23.51,23.35,23.35,2144000
PGR,2007-02-16,23.28,23.42,23.2,23.32,2163100
PGR,2007-02-19,23.28,23.42,23.2,23.32,0
PGR,2007-02-20,23.08,23.22,23.04,23.07,3241600
PGR,2007-02-21,23.36,23.44,23.01,23.02,3532600
PGR,2007-02-22,23.4,23.52,23.29,23.43,2259600
PGR,2007-02-23,23.28,23.37,23.12,23.34,1986400
PGR,2007-02-26,23.18,23.38,23.14,23.3,3767924
PGR,2007-02-27,22.64,23.28,22.51,23.17,6185800
