Symbol,Date,Close,High,Low,Open,Volume
PH,2006-01-02,43.9733,44.1,43.82,44.0667,0
PH,2006-01-03,44.4333,44.66,43.44,43.9733,1348950
PH,2006-01-04,45.7,45.7,44.4933,44.5,1492350
PH,2006-01-05,45.3067,45.7,44.9733,45.5533,1053150
PH,2006-01-06,47.7933,49.1333,46.0133,47.4667,3820950
PH,2006-01-09,48.1733,48.1867,47.3733,47.7333,1755600
PH,2006-01-10,49.38,49.5067,47.5333,47.5667,1948050
PH,2006-01-11,48.9733,49.4667,48.6267,49.4667,1241700
PH,2006-01-12,48.1267,48.82,47.9933,48.82,1333500
PH,2006-01-13,47.9467,48.2,47.56,47.56,1119150
PH,2006-01-16,47.9467,48.2,47.56,47.56,0
PH,2006-01-17,48.8067,48.8067,47.6667,47.9467,1598100
PH,2006-01-18,48.22,48.7667,47.3267,47.9333,2042100
PH,2006-01-19,49.32,49.92,47.5733,48.3867,1717500
PH,2006-01-20,48.3333,49.5,48.0133,49.4333,1705800
PH,2006-01-23,48.7933,48.98,47.9067,48.2333,1299450
PH,2006-01-24,49.8,49.9067,48.9533,48.9533,937650
PH,2006-01-25,49.3133,50.6133,49.3067,49.9667,1550850
PH,2006-01-26,49.7133,49.9333,49.48,49.8267,747000
PH,2006-01-27,50.6733,50.9466,49.6067,49.8667,980400
PH,2006-01-30,50.8333,50.9467,50.5867,50.7933,698550
PH,2006-01-31,50.5133,50.7267,50.34,50.6667,723300
PH,2006-02-01,51.4333,51.4867,50.3,50.6133,1103550
PH,2006-02-02,50.7467,51.1467,50.2267,50.7667,1565400
PH,2006-02-03,50.8867,51.3667,50.56,50.64,1164000
PH,2006-02-06,51.5133,51.58,50.8267,50.8667,1170450
PH,2006-02-07,51.0,51.46,50.9933,51.3466,1456350
PH,2006-02-08,51.3,51.3467,50.8,51.2,1097400
PH,2006-02-09,51.4667,52.2267,51.3467,51.3467,1171650
PH,2006-02-10,51.56,51.8467,51.0867,51.3,1111800
PH,2006-02-13,51.6267,51.7333,51.4067,51.56,927600
PH,2006-02-14,52.22,52.48,50.8467,51.4,1116900
PH,2006-02-15,52.6267,52.7667,51.7533,52.2867,1173450
PH,2006-02-16,53.0867,53.2667,52.8,52.9333,1165200
PH,2006-02-17,53.28,53.3,52.9333,53.2533,1098750
PH,2006-02-20,53.28,53.3,52.9333,53.2533,0
PH,2006-02-21,53.08,53.42,52.8933,53.28,994500
PH,2006-02-22,53.0667,53.5333,53.0667,53.1467,1453050
PH,2006-02-23,52.7867,53.0133,52.4067,52.8667,944700
PH,2006-02-24,52.94,53.1133,52.6667,53.0333,698250
PH,2006-02-27,52.86,53.2787,52.7133,53.2667,593700
PH,2006-02-28,52.1133,52.72,51.7867,52.6667,1001700
PH,2006-03-01,53.6333,53.8133,52.2,52.2,1280250
PH,2006-03-02,53.22,53.5467,52.8133,53.3333,798000
PH,2006-03-03,53.68,54.0333,52.7333,52.7667,1053750
PH,2006-03-06,52.8,54.1133,52.3467,53.7933,1358250
PH,2006-03-07,53.0,53.58,52.6,53.0667,1018350
PH,2006-03-08,52.6333,52.9133,52.2467,52.7333,801750
PH,2006-03-09,52.2533,52.8667,52.1667,52.64,1101000
PH,2006-03-10,52.6667,53.4267,52.12,52.12,1176000
PH,2006-03-13,52.3733,53.1667,52.1667,53.1,1008899
PH,2006-03-14,53.5,53.8,52.24,52.24,1070250
PH,2006-03-15,54.8067,54.92,53.74,53.76,1543800
PH,2006-03-16,54.88,55.3933,54.6267,54.98,828300
PH,2006-03-17,55.1467,55.5933,54.96,54.9667,1181400
PH,2006-03-20,54.4267,55.1333,54.3867,55.1333,985800
PH,2006-03-21,53.6133,54.4133,53.5267,54.4133,1076550
PH,2006-03-22,54.1667,54.2733,53.6333,53.6333,836250
PH,2006-03-23,53.8333,54.1467,53.2,54.0667,1048800
PH,2006-03-24,53.76,54.5267,53.7133,53.9333,877800
PH,2006-03-27,53.6,53.8667,53.46,53.6667,778350
PH,2006-03-28,53.8667,54.7333,53.7,53.7667,1202250
PH,2006-03-29,54.3867,54.6133,53.68,53.8,879150
PH,2006-03-30,53.88,54.8333,53.8533,54.32,859950
PH,2006-03-31,53.74,54.1667,53.4467,54.0,988800
PH,2006-04-03,54.24,55.1,53.8333,53.8733,833400
PH,2006-04-04,54.8333,54.9867,54.1467,54.3067,885600
PH,2006-04-05,54.92,55.2467,54.7133,54.9667,867150
PH,2006-04-06,52.4533,53.1133,51.5333,52.9,3357150
PH,2006-04-07,52.2667,53.1867,52.1133,52.7333,1815300
PH,2006-04-10,52.7067,52.7533,51.9333,52.2667,1122450
PH,2006-04-11,52.5533,52.88,52.28,52.6667,1300800
PH,2006-04-12,52.9267,53.0467,52.4067,52.5533,889200
PH,2006-04-13,52.6533,53.0733,52.5267,52.8667,802950
PH,2006-04-14,52.6533,53.0733,52.5267,52.8667,0
PH,2006-04-17,52.8467,53.3867,52.42,52.8133,1290300
PH,2006-04-18,55.8867,56.3333,54.0467,54.6,3188400
PH,2006-04-19,56.24,56.4867,55.5067,56.0,1611600
PH,2006-04-20,56.4267,56.94,55.8867,56.3733,1218300
PH,2006-04-21,56.3467,56.72,55.76,56.72,1218600
PH,2006-04-24,55.8,56.3533,55.52,56.2267,795750
PH,2006-04-25,54.7,55.9,54.5333,55.9,1260300
PH,2006-04-26,55.3,55.5867,54.82,54.8467,816750
PH,2006-04-27,54.38,55.2267,54.3467,55.1333,1175100
PH,2006-04-28,54.0333,54.5,53.9267,54.2733,741000
PH,2006-05-01,54.7667,55.2667,54.5333,54.8,1190850
PH,2006-05-02,55.58,56.0,55.0333,55.2,1440000
PH,2006-05-03,56.2333,56.34,55.6,55.6,920550
PH,2006-05-04,56.8933,57.0667,56.4133,56.4533,1050450
PH,2006-05-05,57.34,57.9933,56.72,57.6667,1205250
PH,2006-05-08,56.8333,57.6667,56.7733,57.3533,942450
PH,2006-05-09,57.2533,57.3467,56.7333,56.7733,832650
PH,2006-05-10,56.84,57.4667,56.6733,57.0867,976800
PH,2006-05-11,56.9467,57.7333,56.7667,57.1,937950
PH,2006-05-12,54.8,56.8933,54.72,56.8533,1546050
PH,2006-05-15,54.8,55.2333,54.22,54.7,1521750
PH,2006-05-16,55.0667,55.6867,55.0,55.5333,1042350
PH,2006-05-17,53.2933,54.8599,52.9267,54.48,1381950
PH,2006-05-18,52.34,53.5667,52.34,53.2933,1030650
PH,2006-05-19,52.5333,53.0467,52.0733,52.42,1426500
PH,2006-05-22,51.9867,52.6267,51.4067,52.1467,1056000
PH,2006-05-23,51.8,53.1,51.7467,52.5667,1106700
PH,2006-05-24,51.58,52.1733,50.5467,51.76,978600
