Symbol,Date,Close,High,Low,Open,Volume
PHM,2006-01-02,39.36,39.8,38.97,39.77,0
PHM,2006-01-03,41.24,41.46,39.5,39.5,3419900
PHM,2006-01-04,40.73,41.43,40.53,41.24,1931000
PHM,2006-01-05,41.82,42.29,40.67,40.67,1562100
PHM,2006-01-06,41.62,41.82,40.8,41.35,1972600
PHM,2006-01-09,44.08,44.2,41.61,41.62,3187500
PHM,2006-01-10,43.81,44.48,43.75,44.33,2073500
PHM,2006-01-11,44.65,44.7,43.23,43.71,1809300
PHM,2006-01-12,42.85,44.49,42.78,44.49,1902000
PHM,2006-01-13,42.48,43.3,42.0,42.5,2545200
PHM,2006-01-16,42.48,43.3,42.0,42.5,0
PHM,2006-01-17,41.74,42.32,41.52,42.2,2156500
PHM,2006-01-18,41.92,42.11,41.06,41.74,2457800
PHM,2006-01-19,40.78,41.6,40.5,41.48,1944300
PHM,2006-01-20,40.29,41.22,40.06,41.14,3028600
PHM,2006-01-23,40.01,40.26,39.35,40.02,2720800
PHM,2006-01-24,39.98,40.63,39.79,40.1,2200900
PHM,2006-01-25,39.28,40.03,38.71,39.98,2948300
PHM,2006-01-26,38.81,39.8,38.71,39.38,2720900
PHM,2006-01-27,39.74,40.24,38.91,39.0,2425800
PHM,2006-01-30,39.79,40.31,39.38,39.57,1464500
PHM,2006-01-31,39.9,40.14,39.16,39.79,2696300
PHM,2006-02-01,38.86,39.77,38.28,39.7,2764300
PHM,2006-02-02,37.51,39.93,37.32,39.25,5106600
PHM,2006-02-03,38.36,38.8,36.8,37.51,5588100
PHM,2006-02-06,37.94,38.42,37.6,38.4,3831100
PHM,2006-02-07,37.07,37.68,36.84,37.64,5668100
PHM,2006-02-08,38.25,38.36,36.44,37.08,4218000
PHM,2006-02-09,38.06,38.51,37.9,38.37,2915700
PHM,2006-02-10,37.61,38.06,37.19,38.06,1924200
PHM,2006-02-13,37.5,37.74,37.2,37.55,2181000
PHM,2006-02-14,38.5,38.55,36.83,37.5,2775800
PHM,2006-02-15,38.59,39.16,38.2,38.5,2825100
PHM,2006-02-16,38.37,39.5,38.15,39.05,4135100
PHM,2006-02-17,37.84,38.59,37.74,38.4,2057100
PHM,2006-02-20,37.84,38.59,37.74,38.4,0
PHM,2006-02-21,38.73,39.1,37.3,38.13,4125499
PHM,2006-02-22,40.72,40.95,38.63,38.72,4300700
PHM,2006-02-23,40.09,40.83,40.09,40.5,2348300
PHM,2006-02-24,40.02,40.18,39.66,39.97,1926500
PHM,2006-02-27,39.38,40.02,39.23,40.01,2081900
PHM,2006-02-28,38.41,39.51,38.39,39.38,2107900
