Symbol,Date,Close,High,Low,Open,Volume
PKG,2006-01-02,22.95,23.06,22.79,23.02,0
PKG,2006-01-03,22.87,23.3,22.54,23.05,1099200
PKG,2006-01-04,22.92,23.1,22.85,22.91,475300
PKG,2006-01-05,22.66,23.13,22.54,22.97,821300
PKG,2006-01-06,22.96,23.13,22.77,22.8,846900
PKG,2006-01-09,23.32,23.41,23.0,23.0,1196900
PKG,2006-01-10,23.27,23.43,23.1,23.16,676000
PKG,2006-01-11,23.36,23.63,23.25,23.27,582400
PKG,2006-01-12,23.2,23.43,23.101,23.38,472900
PKG,2006-01-13,22.79,23.3,22.77,23.25,347100
PKG,2006-01-16,22.79,23.3,22.77,23.25,0
PKG,2006-01-17,22.79,22.96,22.64,22.78,336300
PKG,2006-01-18,22.81,22.84,22.51,22.75,277800
PKG,2006-01-19,22.82,22.91,22.71,22.89,266000
PKG,2006-01-20,22.71,22.81,22.48,22.75,519400
PKG,2006-01-23,23.02,23.4,22.84,23.1,823900
PKG,2006-01-24,23.7,23.89,23.3,23.5,2004000
PKG,2006-01-25,23.61,23.98,23.4,23.8,1414600
PKG,2006-01-26,23.6,23.85,23.47,23.7,303300
PKG,2006-01-27,23.9,23.96,23.61,23.7,1065200
PKG,2006-01-30,23.65,23.82,23.45,23.82,826800
PKG,2006-01-31,23.2,23.51,23.1,23.5,724100
PKG,2006-02-01,23.54,23.66,23.0,23.2,652700
PKG,2006-02-02,23.33,23.71,23.21,23.57,353300
PKG,2006-02-03,22.75,23.15,22.51,23.15,718300
PKG,2006-02-06,23.03,23.11,22.61,22.7,488100
PKG,2006-02-07,22.64,23.2,22.51,23.05,830200
PKG,2006-02-08,22.87,22.94,22.56,22.65,472500
PKG,2006-02-09,23.09,23.35,22.86,22.96,258500
PKG,2006-02-10,23.25,23.26,22.77,23.05,262000
PKG,2006-02-13,23.26,23.99,23.04,23.3,274300
PKG,2006-02-14,23.32,23.67,23.05,23.21,482300
PKG,2006-02-15,23.38,23.52,23.12,23.24,250100
PKG,2006-02-16,23.45,23.55,23.29,23.47,232900
PKG,2006-02-17,23.43,23.59,23.35,23.45,277100
PKG,2006-02-20,23.43,23.59,23.35,23.45,0
PKG,2006-02-21,23.28,23.53,23.09,23.53,253000
PKG,2006-02-22,23.11,23.39,23.07,23.25,305700
PKG,2006-02-23,22.93,23.09,22.86,23.03,519499
PKG,2006-02-24,23.03,23.05,22.7,22.89,144400
PKG,2006-02-27,23.0,23.44,22.98,23.1,217700
PKG,2006-02-28,22.81,23.08,22.77,23.0,412100
PKG,2006-03-01,23.19,23.21,22.85,22.85,609900
PKG,2006-03-02,23.25,23.55,23.05,23.18,299500
PKG,2006-03-03,22.99,23.2,22.92,23.15,253300
PKG,2006-03-06,22.78,22.95,22.5,22.75,449900
PKG,2006-03-07,22.61,22.76,22.37,22.69,330100
PKG,2006-03-08,22.71,22.75,22.24,22.61,642700
PKG,2006-03-09,22.99,23.16,22.75,22.75,383000
PKG,2006-03-10,23.2,23.33,22.97,22.98,398800
PKG,2006-03-13,22.93,23.22,22.87,23.0,225800
PKG,2006-03-14,22.67,22.93,22.39,22.93,441700
PKG,2006-03-15,22.88,23.04,22.67,22.69,600400
PKG,2006-03-16,23.04,23.33,22.96,22.98,367100
PKG,2006-03-17,23.0,23.22,22.99,23.04,651800
PKG,2006-03-20,22.88,23.31,22.69,23.03,305500
PKG,2006-03-21,22.58,23.02,22.53,22.69,344700
PKG,2006-03-22,22.78,22.86,22.24,22.58,1009300
PKG,2006-03-23,22.76,22.98,22.7,22.73,394800
PKG,2006-03-24,22.62,22.89,22.58,22.69,277100
PKG,2006-03-27,22.57,22.74,22.51,22.58,451500
PKG,2006-03-28,22.37,22.58,22.25,22.58,512300
PKG,2006-03-29,22.39,22.55,22.27,22.4,421600
PKG,2006-03-30,22.38,22.5,22.16,22.43,368800
PKG,2006-03-31,22.44,22.45,22.18,22.41,322700
PKG,2006-04-03,22.72,23.04,22.45,22.65,496100
PKG,2006-04-04,22.71,22.92,22.5,22.7,358200
PKG,2006-04-05,22.69,22.96,22.47,22.68,540000
PKG,2006-04-06,22.98,22.98,22.62,22.63,286600
PKG,2006-04-07,22.58,23.1,22.57,22.98,242000
PKG,2006-04-10,22.41,22.8,22.4,22.64,421400
PKG,2006-04-11,22.17,22.75,22.16,22.55,340000
PKG,2006-04-12,22.18,22.31,22.15,22.17,264600
PKG,2006-04-13,22.33,22.52,22.02,22.19,399800
PKG,2006-04-14,22.33,22.52,22.02,22.19,0
PKG,2006-04-17,23.12,23.17,22.45,22.45,810400
PKG,2006-04-18,23.51,23.61,22.97,23.13,648300
PKG,2006-04-19,22.81,23.42,22.73,23.08,1302800
PKG,2006-04-20,22.85,22.95,22.56,22.8,548100
PKG,2006-04-21,22.97,23.27,22.82,23.03,515200
PKG,2006-04-24,23.07,23.19,22.89,22.97,616500
PKG,2006-04-25,22.89,23.16,22.72,23.12,652000
PKG,2006-04-26,22.79,23.05,22.73,23.0,347800
PKG,2006-04-27,22.26,22.79,22.21,22.79,494000
PKG,2006-04-28,22.48,22.53,22.03,22.22,380100
PKG,2006-05-01,22.43,22.77,22.2145,22.44,330700
PKG,2006-05-02,22.6,22.65,22.36,22.42,500399
PKG,2006-05-03,22.48,22.76,22.42,22.63,183700
PKG,2006-05-04,22.58,22.77,22.45,22.52,171900
PKG,2006-05-05,22.81,22.88,22.5,22.61,281500
PKG,2006-05-08,22.6,22.78,22.32,22.71,375100
PKG,2006-05-09,22.62,22.73,22.45,22.59,224700
PKG,2006-05-10,22.34,22.64,22.26,22.64,222900
PKG,2006-05-11,22.28,22.51,22.18,22.4,244000
PKG,2006-05-12,21.99,22.25,21.95,22.25,238400
PKG,2006-05-15,21.84,22.01,21.44,21.99,294100
PKG,2006-05-16,21.88,22.18,21.76,22.0,223300
PKG,2006-05-17,21.59,21.85,21.45,21.72,367100
PKG,2006-05-18,21.38,21.8,21.37,21.69,410600
PKG,2006-05-19,21.29,21.56,21.12,21.56,619200
PKG,2006-05-22,21.32,21.56,20.94,21.28,370400
PKG,2006-05-23,20.94,21.58,20.9,21.5,311100
PKG,2006-05-24,20.92,20.97,20.61,20.97,455700
PKG,2006-05-25,21.08,21.24,20.92,21.1,401300
PKG,2006-05-26,21.28,21.4,21.12,21.22,227400
PKG,2006-05-29,21.28,21.4,21.12,21.22,0
PKG,2006-05-30,20.93,21.28,20.89,21.28,292200
PKG,2006-05-31,21.3,21.32,20.75,20.97,330300
PKG,2006-06-01,21.79,21.86,20.8,21.3,556400
PKG,2006-06-02,22.04,22.15,21.68,21.9,337300
PKG,2006-06-05,21.51,22.02,21.43,22.0,303600
PKG,2006-06-06,21.0,21.71,20.95,21.62,443800
PKG,2006-06-07,20.74,21.06,20.68,21.0,352700
PKG,2006-06-08,21.02,21.1,20.28,20.72,455900
PKG,2006-06-09,20.97,21.26,20.95,21.1,269600
PKG,2006-06-12,21.22,21.75,21.1,21.75,1234300
PKG,2006-06-13,20.5,20.99,20.5,20.97,485700
PKG,2006-06-14,20.4,20.7,20.19,20.54,447600
PKG,2006-06-15,21.23,21.47,20.77,20.77,686600
PKG,2006-06-16,21.06,21.44,20.91,21.29,364700
PKG,2006-06-19,21.15,21.3,20.8101,21.07,471500
PKG,2006-06-20,20.96,21.07,20.8,21.07,684900
PKG,2006-06-21,21.58,21.69,20.81,20.9,407800
PKG,2006-06-22,21.6,21.61,21.3,21.53,408300
PKG,2006-06-23,21.65,21.69,21.36,21.49,377100
PKG,2006-06-26,21.51,21.9,21.4,21.74,314400
PKG,2006-06-27,21.37,21.84,21.3,21.56,453000
PKG,2006-06-28,21.39,21.55,21.06,21.49,422000
PKG,2006-06-29,22.03,22.03,21.56,21.56,413100
PKG,2006-06-30,22.02,22.25,21.75,22.08,854500
PKG,2006-07-03,22.41,22.44,21.68,22.03,260600
PKG,2006-07-04,22.41,22.44,21.68,22.03,0
PKG,2006-07-05,22.31,22.48,21.92,22.41,584500
PKG,2006-07-06,22.07,22.45,21.92,22.24,330700
PKG,2006-07-07,21.95,22.22,21.89,22.0,231100
PKG,2006-07-10,22.09,22.22,22.01,22.01,247200
PKG,2006-07-11,21.92,22.1,21.67,22.01,485700
PKG,2006-07-12,21.59,21.98,21.53,21.9,320000
PKG,2006-07-13,21.18,21.74,21.1,21.61,885000
PKG,2006-07-14,21.19,21.35,21.0,21.1,488700
PKG,2006-07-17,21.3,21.52,21.15,21.25,298900
PKG,2006-07-18,21.01,21.85,20.85,21.39,625900
PKG,2006-07-19,23.0,23.32,22.3,22.5,3049400
PKG,2006-07-20,22.8,23.83,22.76,23.13,1380300
PKG,2006-07-21,22.67,22.87,22.34,22.8,924100
PKG,2006-07-24,22.71,22.99,22.69,22.81,610300
PKG,2006-07-25,23.41,23.48,22.72,22.73,862100
PKG,2006-07-26,23.05,23.41,22.97,23.41,1199700
PKG,2006-07-27,22.92,23.41,22.86,23.2,449700
PKG,2006-07-28,23.0,23.14,22.91,22.99,406500
PKG,2006-07-31,22.93,22.94,22.6,22.9,615800
PKG,2006-08-01,22.76,22.84,22.36,22.83,591600
PKG,2006-08-02,22.67,22.98,22.56,22.81,339500
PKG,2006-08-03,22.81,22.92,22.48,22.65,339900
PKG,2006-08-04,22.61,23.08,22.42,23.06,338300
PKG,2006-08-07,22.81,22.83,22.54,22.6,380700
PKG,2006-08-08,22.59,22.87,22.5,22.81,467400
PKG,2006-08-09,22.45,22.83,22.43,22.69,368800
PKG,2006-08-10,22.31,22.58,22.24,22.46,800600
PKG,2006-08-11,22.15,22.48,22.1,22.33,717100
PKG,2006-08-14,22.29,22.68,22.19,22.32,367600
PKG,2006-08-15,22.88,22.93,22.47,22.49,437200
PKG,2006-08-16,22.72,23.07,22.63,22.95,764400
PKG,2006-08-17,22.8,23.18,22.76,22.76,630500
PKG,2006-08-18,22.71,23.02,22.66,22.77,253300
PKG,2006-08-21,22.69,22.77,22.58,22.66,198700
PKG,2006-08-22,22.72,22.79,22.61,22.67,308800
PKG,2006-08-23,22.55,22.86,22.4,22.8,202700
PKG,2006-08-24,22.45,22.7,22.35,22.6,276300
PKG,2006-08-25,22.41,22.6,22.31,22.45,144600
PKG,2006-08-28,22.62,22.65,22.31,22.35,227600
PKG,2006-08-29,22.81,22.83,22.51,22.7,214200
PKG,2006-08-30,22.76,22.9,22.7,22.84,200400
PKG,2006-08-31,23.14,23.24,22.8,22.84,725800
PKG,2006-09-01,23.27,23.35,23.23,23.23,434600
PKG,2006-09-04,23.27,23.35,23.23,23.23,0
PKG,2006-09-05,23.36,23.43,23.2,23.3,496800
PKG,2006-09-06,23.0,23.32,22.8,23.31,529700
PKG,2006-09-07,22.11,22.38,21.86,22.25,1925700
PKG,2006-09-08,22.27,22.41,22.0,22.0,768100
PKG,2006-09-11,22.31,22.43,22.09,22.3,784500
PKG,2006-09-12,22.83,22.88,22.29,22.32,614100
PKG,2006-09-13,22.68,22.77,22.48,22.62,715000
PKG,2006-09-14,22.83,22.87,22.48,22.68,570600
PKG,2006-09-15,23.16,23.16,22.63,23.0,1947300
PKG,2006-09-18,22.89,23.17,22.79,23.16,736600
PKG,2006-09-19,23.0,23.01,22.52,22.93,709200
PKG,2006-09-20,23.09,23.25,22.93,23.01,602500
PKG,2006-09-21,23.01,23.16,22.88,23.07,548000
PKG,2006-09-22,22.9,23.01,22.7,23.01,570300
PKG,2006-09-25,22.97,23.07,22.64,22.98,865600
PKG,2006-09-26,23.17,23.17,22.98,22.98,694500
