Symbol,Date,Close,High,Low,Open,Volume
PKI,2006-01-02,23.56,23.75,23.43,23.72,0
PKI,2006-01-03,23.99,24.12,23.45,23.76,1204000
PKI,2006-01-04,24.01,24.15,23.68,23.94,872000
PKI,2006-01-05,23.89,24.1,23.8,23.94,710400
PKI,2006-01-06,23.65,23.94,23.6,23.94,792800
PKI,2006-01-09,23.74,23.98,23.38,23.46,921900
PKI,2006-01-10,23.69,23.7,23.32,23.66,863100
PKI,2006-01-11,23.96,24.03,23.63,23.63,493400
PKI,2006-01-12,23.29,23.98,23.28,23.98,824600
PKI,2006-01-13,23.49,23.56,23.21,23.39,523900
PKI,2006-01-16,23.49,23.56,23.21,23.39,0
PKI,2006-01-17,23.22,23.35,23.09,23.3,350100
PKI,2006-01-18,22.94,23.13,22.79,23.01,353100
PKI,2006-01-19,23.41,23.59,22.96,22.96,683700
PKI,2006-01-20,22.96,23.38,22.96,23.34,655100
PKI,2006-01-23,22.95,23.01,22.76,22.93,366800
PKI,2006-01-24,23.0,23.25,22.86,23.09,612500
PKI,2006-01-25,22.8,23.14,22.68,23.04,642100
PKI,2006-01-26,23.35,23.49,22.75,22.9,705600
PKI,2006-01-27,21.8,23.26,21.63,23.25,2557900
PKI,2006-01-30,22.78,23.03,21.95,21.95,1408700
PKI,2006-01-31,22.74,22.89,22.27,22.56,1056900
PKI,2006-02-01,23.09,23.17,22.2,22.7,1089800
PKI,2006-02-02,22.52,23.06,22.48,23.06,687400
PKI,2006-02-03,22.64,22.77,22.25,22.41,636900
PKI,2006-02-06,22.94,23.04,22.5,22.64,670600
PKI,2006-02-07,23.0,23.28,22.85,22.97,681200
PKI,2006-02-08,23.56,23.6,22.75,22.98,881900
PKI,2006-02-09,23.37,23.74,23.36,23.52,787800
PKI,2006-02-10,23.25,23.4,22.8,23.25,1939000
PKI,2006-02-13,22.99,23.25,22.55,22.9,889900
PKI,2006-02-14,23.2,23.31,22.921,23.05,1090300
PKI,2006-02-15,23.85,24.0,23.34,23.41,755400
PKI,2006-02-16,24.01,24.04,23.7,23.85,723100
PKI,2006-02-17,23.78,24.14,23.72,24.0,546600
PKI,2006-02-20,23.78,24.14,23.72,24.0,0
PKI,2006-02-21,23.61,23.79,23.43,23.78,528700
PKI,2006-02-22,23.82,23.89,23.41,23.75,896900
PKI,2006-02-23,23.86,24.08,23.56,23.72,435800
PKI,2006-02-24,23.97,23.99,23.66,23.87,259799
PKI,2006-02-27,24.08,24.1,23.94,23.97,489000
PKI,2006-02-28,23.79,24.1,23.72,24.08,721200
PKI,2006-03-01,24.08,24.17,23.8,23.93,997700
PKI,2006-03-02,23.88,23.98,23.74,23.98,809900
PKI,2006-03-03,23.89,23.94,23.6,23.63,626300
PKI,2006-03-06,23.5,23.89,23.36,23.89,641900
PKI,2006-03-07,23.2,23.47,23.2,23.4,306100
PKI,2006-03-08,23.27,23.38,22.8,23.2,644500
PKI,2006-03-09,23.01,23.35,22.92,23.35,451600
PKI,2006-03-10,23.25,23.25,22.9,23.0,482200
PKI,2006-03-13,23.51,23.65,23.35,23.35,702500
PKI,2006-03-14,23.56,23.64,23.26,23.41,429100
PKI,2006-03-15,23.83,23.85,23.47,23.57,366100
PKI,2006-03-16,23.5,23.89,23.31,23.83,971300
PKI,2006-03-17,23.4,23.62,23.32,23.62,808900
PKI,2006-03-20,23.26,23.49,23.24,23.48,1156700
PKI,2006-03-21,23.06,23.21,22.92,23.18,695700
PKI,2006-03-22,23.12,23.17,22.78,23.07,530500
PKI,2006-03-23,23.07,23.12,22.92,23.03,615500
PKI,2006-03-24,23.2,23.22,22.99,23.01,372100
PKI,2006-03-27,23.19,23.22,23.01,23.08,565600
PKI,2006-03-28,23.15,23.24,23.04,23.19,762300
PKI,2006-03-29,23.41,23.44,22.96,23.11,677800
PKI,2006-03-30,23.27,23.6,23.23,23.37,429400
PKI,2006-03-31,23.47,23.53,23.23,23.53,396100
PKI,2006-04-03,23.67,23.86,23.42,23.48,1211600
PKI,2006-04-04,23.4,23.58,23.32,23.55,1253300
PKI,2006-04-05,23.11,23.4,23.03,23.4,887700
PKI,2006-04-06,23.05,23.18,22.97,23.03,911500
PKI,2006-04-07,22.85,23.1,22.68,22.95,711900
