Symbol,Date,Close,High,Low,Open,Volume
PNW,2006-01-02,41.35,41.6,41.05,41.52,0
PNW,2006-01-03,42.45,42.46,41.34,41.6,879000
PNW,2006-01-04,42.57,42.59,42.08,42.39,563000
PNW,2006-01-05,42.36,42.57,42.04,42.45,764800
PNW,2006-01-06,42.82,42.82,42.32,42.52,515599
PNW,2006-01-09,42.37,42.93,42.27,42.92,946600
PNW,2006-01-10,42.35,42.45,42.09,42.22,525300
PNW,2006-01-11,42.02,42.4,41.8,42.39,447100
PNW,2006-01-12,41.74,42.33,41.74,42.23,496900
PNW,2006-01-13,41.72,41.86,41.54,41.62,502499
PNW,2006-01-16,41.72,41.86,41.54,41.62,0
PNW,2006-01-17,42.24,42.31,41.66,41.73,493500
PNW,2006-01-18,42.3,42.6,42.16,42.21,503600
PNW,2006-01-19,43.41,43.44,42.51,42.58,904800
PNW,2006-01-20,43.02,43.92,42.97,43.51,741300
PNW,2006-01-23,43.43,43.48,43.02,43.03,360200
PNW,2006-01-24,43.83,43.92,43.45,43.46,689200
PNW,2006-01-25,43.88,44.14,43.51,44.05,661300
PNW,2006-01-26,43.6,44.14,43.5,44.05,840400
PNW,2006-01-27,43.5,43.89,43.31,43.79,675600
PNW,2006-01-30,42.52,43.15,42.52,43.15,700300
PNW,2006-01-31,42.61,42.65,42.25,42.52,687500
PNW,2006-02-01,42.33,42.65,42.24,42.61,712900
PNW,2006-02-02,41.64,42.21,41.53,42.09,763400
PNW,2006-02-03,41.25,41.659,41.2,41.5,436100
PNW,2006-02-06,41.15,41.4,41.03,41.25,573500
PNW,2006-02-07,41.54,41.69,40.95,41.0,624500
PNW,2006-02-08,41.51,41.55,41.28,41.5,469000
PNW,2006-02-09,41.71,41.96,41.51,41.58,1459400
PNW,2006-02-10,41.75,42.04,41.49,41.71,742200
PNW,2006-02-13,41.71,41.86,41.61,41.75,321100
PNW,2006-02-14,41.29,41.8,41.19,41.8,515499
PNW,2006-02-15,41.17,41.55,40.99,41.19,697900
PNW,2006-02-16,41.23,41.34,41.1,41.17,467300
PNW,2006-02-17,41.71,41.8,41.05,41.05,722700
PNW,2006-02-20,41.71,41.8,41.05,41.05,0
PNW,2006-02-21,41.5,41.98,41.5,41.94,468500
PNW,2006-02-22,41.8,41.81,41.42,41.58,674300
PNW,2006-02-23,41.55,41.83,41.49,41.65,789100
PNW,2006-02-24,41.19,41.64,41.09,41.63,1504400
PNW,2006-02-27,41.29,41.56,41.24,41.3,545700
PNW,2006-02-28,41.05,41.22,40.89,41.08,698800
PNW,2006-03-01,40.74,41.01,40.66,41.0,813400
PNW,2006-03-02,40.17,40.73,40.06,40.69,938300
PNW,2006-03-03,39.97,40.31,39.62,40.05,975100
PNW,2006-03-06,39.16,39.91,38.98,39.91,757800
PNW,2006-03-07,38.99,39.14,38.76,38.91,648500
PNW,2006-03-08,39.7,39.91,38.83,39.02,998600
PNW,2006-03-09,39.48,39.81,39.37,39.71,482800
PNW,2006-03-10,39.64,39.81,39.36,39.46,383500
PNW,2006-03-13,39.45,39.79,39.29,39.55,472900
PNW,2006-03-14,39.67,39.67,39.05,39.35,713200
PNW,2006-03-15,39.76,39.81,39.37,39.64,519100
PNW,2006-03-16,40.24,40.26,39.8,39.83,480400
PNW,2006-03-17,40.1,40.49,40.0,40.49,627300
PNW,2006-03-20,39.81,40.41,39.52,40.2,581400
PNW,2006-03-21,39.85,39.86,39.59,39.81,673400
PNW,2006-03-22,40.08,40.2,39.81,40.0,587900
PNW,2006-03-23,39.96,40.1,39.75,40.04,550600
PNW,2006-03-24,39.9,40.07,39.77,39.97,430300
PNW,2006-03-27,39.91,40.3,39.84,40.29,770100
PNW,2006-03-28,39.77,40.09,39.53,39.98,699200
PNW,2006-03-29,39.97,40.21,39.76,39.95,607500
PNW,2006-03-30,39.33,39.98,39.28,39.98,1099700
PNW,2006-03-31,39.1,39.55,39.02,39.37,1180300
PNW,2006-04-03,39.07,39.34,38.98,39.15,1066000
PNW,2006-04-04,39.95,40.04,39.07,39.23,1079500
PNW,2006-04-05,40.61,40.63,39.85,40.04,669200
PNW,2006-04-06,39.95,40.69,39.85,40.68,606200
PNW,2006-04-07,39.64,40.42,39.39,40.0,474000
PNW,2006-04-10,39.71,39.96,39.46,39.71,458300
PNW,2006-04-11,39.15,39.92,39.02,39.92,988500
PNW,2006-04-12,39.35,39.4,39.16,39.29,511499
PNW,2006-04-13,39.29,39.45,39.06,39.35,456500
PNW,2006-04-14,39.29,39.45,39.06,39.35,0
PNW,2006-04-17,39.45,39.45,39.0801,39.37,530300
PNW,2006-04-18,40.04,40.06,39.39,39.46,392500
PNW,2006-04-19,40.06,40.224,39.9,40.04,357300
PNW,2006-04-20,40.13,40.46,39.99,40.1,516200
PNW,2006-04-21,40.26,40.5,40.08,40.38,338900
PNW,2006-04-24,40.98,41.05,39.92,40.25,1249800
PNW,2006-04-25,40.55,41.06,40.46,40.98,1488800
PNW,2006-04-26,40.34,40.82,40.03,40.56,759700
PNW,2006-04-27,39.82,40.15,39.72,39.85,1067000
PNW,2006-04-28,40.1,40.15,39.59,39.75,945700
PNW,2006-05-01,39.65,40.2,39.42,39.95,742800
PNW,2006-05-02,40.31,40.31,39.62,39.66,919300
PNW,2006-05-03,40.05,40.28,39.99,40.25,452900
PNW,2006-05-04,40.1,40.32,39.93,40.1,553600
PNW,2006-05-05,40.41,40.49,40.1,40.12,609700
PNW,2006-05-08,40.36,40.45,40.15,40.35,325700
PNW,2006-05-09,39.63,40.35,39.51,40.2,697200
PNW,2006-05-10,39.99,40.04,39.63,39.63,371900
PNW,2006-05-11,39.59,39.97,39.42,39.91,444500
PNW,2006-05-12,39.34,39.67,39.27,39.5,462700
PNW,2006-05-15,39.53,39.69,39.2001,39.39,362000
PNW,2006-05-16,39.38,39.59,39.28,39.55,303400
PNW,2006-05-17,39.01,39.4,38.8,39.22,815200
PNW,2006-05-18,39.0,39.44,39.0,39.06,499600
PNW,2006-05-19,39.26,39.71,38.9,39.1,589200
PNW,2006-05-22,39.76,39.97,39.0,39.0,591800
PNW,2006-05-23,38.89,39.89,38.82,39.72,510399
PNW,2006-05-24,38.7,38.97,38.31,38.89,1335400
PNW,2006-05-25,39.07,39.07,38.63,38.74,463300
PNW,2006-05-26,39.1,39.21,38.86,39.2,490100
PNW,2006-05-29,39.1,39.21,38.86,39.2,0
PNW,2006-05-30,38.84,39.18,38.79,39.11,380100
PNW,2006-05-31,39.39,39.66,38.98,38.98,695900
PNW,2006-06-01,39.98,39.98,39.33,39.46,390400
PNW,2006-06-02,40.44,40.44,39.96,39.96,515599
PNW,2006-06-05,40.0,40.31,39.87,40.15,421700
PNW,2006-06-06,39.75,40.033,39.33,40.0,307500
PNW,2006-06-07,39.81,39.99,39.7,39.83,318200
PNW,2006-06-08,40.2,40.44,39.71,39.97,416000
PNW,2006-06-09,40.15,40.29,39.99,40.15,240900
PNW,2006-06-12,40.32,40.5,40.07,40.22,315600
PNW,2006-06-13,39.76,40.53,39.6,40.37,561900
