Symbol,Date,Close,High,Low,Open,Volume
PPG,2006-01-02,28.95,29.0,28.775,28.94,0
PPG,2006-01-03,29.0,29.125,28.435,29.11,2068000
PPG,2006-01-04,29.405,29.43,28.945,29.0,2460600
PPG,2006-01-05,29.495,29.63,29.36,29.425,2336800
PPG,2006-01-06,29.85,29.85,29.555,29.685,2562800
PPG,2006-01-09,30.125,30.125,29.805,29.875,3689600
PPG,2006-01-10,29.84,30.0,29.75,30.0,2101600
PPG,2006-01-11,29.705,29.775,29.451,29.725,1699800
PPG,2006-01-12,29.235,29.74,29.065,29.74,2347400
PPG,2006-01-13,29.235,29.665,29.215,29.615,1827600
PPG,2006-01-16,29.235,29.665,29.215,29.615,0
PPG,2006-01-17,29.05,29.225,29.025,29.025,1876200
PPG,2006-01-18,29.095,29.2,28.705,29.055,1608000
PPG,2006-01-19,29.035,29.475,29.035,29.31,1792000
PPG,2006-01-20,28.51,29.11,28.4,29.11,2539600
PPG,2006-01-23,29.11,29.32,28.495,28.495,2707600
PPG,2006-01-24,29.37,29.5,29.25,29.315,1892600
PPG,2006-01-25,29.515,29.735,29.357,29.495,1463800
PPG,2006-01-26,29.68,29.825,29.5,29.64,2045000
PPG,2006-01-27,29.74,29.91,29.59,29.825,1930600
PPG,2006-01-30,29.63,29.715,29.225,29.69,1756600
PPG,2006-01-31,29.75,29.79,29.52,29.7,2495800
PPG,2006-02-01,29.525,29.625,29.375,29.525,1956600
PPG,2006-02-02,29.0,29.585,28.76,29.575,3470800
PPG,2006-02-03,28.74,29.07,28.7,28.995,1431400
PPG,2006-02-06,28.685,28.8,28.475,28.665,1298200
PPG,2006-02-07,28.46,28.825,28.41,28.715,1369200
PPG,2006-02-08,28.695,28.695,28.385,28.385,1861200
PPG,2006-02-09,28.88,29.27,28.675,28.675,2224200
PPG,2006-02-10,28.945,29.105,28.54,28.76,1315000
PPG,2006-02-13,29.12,29.167,28.665,28.875,2054399
PPG,2006-02-14,30.075,30.195,29.065,29.12,2904400
PPG,2006-02-15,29.815,29.945,29.535,29.69,2001999
PPG,2006-02-16,30.09,30.095,29.55,29.695,2032600
PPG,2006-02-17,30.035,30.165,30.005,30.15,1467600
PPG,2006-02-20,30.035,30.165,30.005,30.15,0
PPG,2006-02-21,29.84,30.13,29.69,30.12,1332800
PPG,2006-02-22,29.85,30.245,29.64,30.0,2697200
PPG,2006-02-23,29.705,29.94,29.605,29.94,2062199
PPG,2006-02-24,29.715,29.9,29.635,29.765,1452800
PPG,2006-02-27,30.125,30.165,29.75,29.75,1957400
PPG,2006-02-28,30.315,30.595,30.0,30.125,4672200
PPG,2006-03-01,31.015,31.205,30.49,30.565,3089800
PPG,2006-03-02,31.1,31.125,30.675,30.8,2251600
PPG,2006-03-03,31.13,31.24,30.755,30.875,2596200
PPG,2006-03-06,31.12,31.225,30.96,31.215,1891600
PPG,2006-03-07,30.89,31.145,30.855,30.985,2335400
PPG,2006-03-08,30.69,30.89,30.34,30.89,2360600
PPG,2006-03-09,30.45,30.735,30.37,30.685,1285200
PPG,2006-03-10,30.66,30.75,30.45,30.575,1478400
PPG,2006-03-13,30.755,30.995,30.695,30.785,1201400
PPG,2006-03-14,31.12,31.14,30.8,30.8,1142000
PPG,2006-03-15,31.7,31.73,31.28,31.28,2093999
PPG,2006-03-16,31.975,32.16,31.7,31.7,2352200
PPG,2006-03-17,31.66,32.0,31.595,31.975,2013399
PPG,2006-03-20,31.64,31.85,31.47,31.635,1081000
PPG,2006-03-21,31.575,31.75,31.415,31.59,2234000
PPG,2006-03-22,31.57,31.695,31.505,31.58,1748600
PPG,2006-03-23,31.465,31.67,31.385,31.575,979000
PPG,2006-03-24,31.57,31.66,31.13,31.435,1548600
PPG,2006-03-27,31.24,31.455,31.165,31.425,1278800
PPG,2006-03-28,31.345,31.465,31.1,31.24,1898800
PPG,2006-03-29,31.645,31.715,31.26,31.345,1048800
PPG,2006-03-30,31.585,31.765,31.37,31.52,1251400
PPG,2006-03-31,31.765,31.765,31.535,31.535,1444800
PPG,2006-04-03,31.91,32.125,31.68,31.68,2239600
PPG,2006-04-04,32.235,32.27,31.655,31.825,2192200
PPG,2006-04-05,32.31,32.37,31.927,32.16,1701400
PPG,2006-04-06,32.18,32.32,31.97,32.3,1097000
PPG,2006-04-07,31.59,32.335,31.555,32.2,1210600
PPG,2006-04-10,31.495,31.76,31.475,31.665,909000
PPG,2006-04-11,31.31,31.81,31.29,31.655,1009600
PPG,2006-04-12,31.645,31.75,31.33,31.41,1098200
PPG,2006-04-13,31.69,31.91,31.48,31.65,801600
PPG,2006-04-14,31.69,31.91,31.48,31.65,0
PPG,2006-04-17,31.74,31.85,31.565,31.64,981400
PPG,2006-04-18,31.55,31.83,31.55,31.74,2891200
PPG,2006-04-19,31.585,31.775,31.36,31.385,2682800
PPG,2006-04-20,32.93,32.94,32.1,32.25,5240200
PPG,2006-04-21,33.3,33.59,33.14,33.19,3658400
PPG,2006-04-24,33.345,33.415,32.785,33.11,2136600
PPG,2006-04-25,33.545,33.625,33.19,33.345,2987200
PPG,2006-04-26,33.685,33.845,33.565,33.615,2647200
PPG,2006-04-27,33.65,34.025,33.335,33.455,2049999
PPG,2006-04-28,33.56,33.77,33.42,33.645,2274800
PPG,2006-05-01,33.595,33.975,33.595,33.775,2024200
PPG,2006-05-02,33.945,34.04,33.49,33.595,1921000
PPG,2006-05-03,34.175,34.25,33.875,33.945,1880000
PPG,2006-05-04,34.035,34.44,33.99,34.175,1911000
PPG,2006-05-05,34.14,34.155,33.985,34.085,2137600
PPG,2006-05-08,34.1,34.2,34.025,34.025,1522600
PPG,2006-05-09,34.155,34.18,33.9,34.0,1038600
PPG,2006-05-10,34.235,34.305,33.965,34.175,1771000
PPG,2006-05-11,34.18,34.38,34.075,34.31,1351400
PPG,2006-05-12,33.65,34.18,33.565,34.175,1794200
PPG,2006-05-15,33.335,33.645,32.98,33.645,1627200
PPG,2006-05-16,33.535,33.635,33.095,33.535,1395600
PPG,2006-05-17,32.9,33.435,32.75,33.285,1989600
PPG,2006-05-18,32.61,33.19,32.265,32.995,1362000
PPG,2006-05-19,32.725,32.965,32.465,32.965,1793000
PPG,2006-05-22,32.16,32.68,31.44,32.675,2441600
PPG,2006-05-23,32.185,32.62,32.13,32.325,1899800
PPG,2006-05-24,32.195,32.375,31.67,32.185,2292400
PPG,2006-05-25,32.3,32.6,32.185,32.44,1337400
PPG,2006-05-26,32.475,32.55,32.235,32.49,978600
PPG,2006-05-29,32.475,32.55,32.235,32.49,0
PPG,2006-05-30,31.975,32.295,31.77,32.25,1413800
PPG,2006-05-31,32.17,32.47,31.875,32.09,1179000
PPG,2006-06-01,32.48,32.48,31.815,32.015,1131800
PPG,2006-06-02,32.605,32.69,32.28,32.605,1034000
PPG,2006-06-05,32.08,32.485,31.93,32.48,1589000
PPG,2006-06-06,32.255,32.75,31.945,32.75,2676600
PPG,2006-06-07,32.01,32.38,30.77,31.0,2065799
PPG,2006-06-08,32.075,32.15,30.78,31.69,3288600
PPG,2006-06-09,31.905,32.065,31.605,31.95,1383400
PPG,2006-06-12,31.71,32.25,31.645,31.955,1598200
PPG,2006-06-13,31.365,31.84,31.19,31.475,2063000
PPG,2006-06-14,31.71,31.71,31.25,31.25,1642600
PPG,2006-06-15,32.575,32.655,31.77,31.8,1854000
PPG,2006-06-16,32.37,32.57,32.145,32.41,1609800
PPG,2006-06-19,31.55,32.445,31.4,32.405,2510000
PPG,2006-06-20,31.51,31.77,31.415,31.55,1534600
PPG,2006-06-21,31.74,31.97,31.465,31.56,1869800
PPG,2006-06-22,31.985,32.02,31.56,31.84,1237000
PPG,2006-06-23,32.11,32.51,31.81,31.86,1358200
PPG,2006-06-26,32.575,32.605,32.21,32.225,952200
PPG,2006-06-27,31.795,32.61,31.715,32.525,1512800
PPG,2006-06-28,31.835,31.885,31.54,31.795,935600
PPG,2006-06-29,32.655,32.67,32.045,32.15,1529000
PPG,2006-06-30,33.0,33.075,32.625,32.8,1746200
PPG,2006-07-03,33.16,33.245,33.03,33.175,529200
