Symbol,Date,Close,High,Low,Open,Volume
PPL,2006-01-02,27.2815,27.3835,27.0773,27.3557,0
PPL,2006-01-03,27.8382,27.9125,27.3557,27.4856,1811106
PPL,2006-01-04,28.0795,28.0888,27.3279,28.0238,1260856
PPL,2006-01-05,27.5598,28.1073,27.4856,27.8475,1788260
PPL,2006-01-06,27.699,27.931,27.6712,27.8382,1224862
PPL,2006-01-09,27.8753,27.8753,27.5784,27.6712,1412159
PPL,2006-01-10,27.7361,27.8661,27.4114,27.7825,793800
PPL,2006-01-11,27.6062,27.8289,27.5506,27.7825,894453
PPL,2006-01-12,27.597,27.7083,27.3928,27.6248,909648
PPL,2006-01-13,27.6062,27.7176,27.4021,27.5598,781299
PPL,2006-01-16,27.6062,27.7176,27.4021,27.5598,0
PPL,2006-01-17,27.8382,27.8382,27.4856,27.5134,1305794
PPL,2006-01-18,27.9125,28.4414,27.7454,27.8011,1748926
PPL,2006-01-19,28.5342,28.6177,28.1537,28.3857,2948033
PPL,2006-01-20,28.5527,28.7847,28.3764,28.4878,1912622
PPL,2006-01-23,28.5991,28.8775,28.5063,28.5156,931201
PPL,2006-01-24,28.5156,28.7058,28.2836,28.5713,1173566
PPL,2006-01-25,28.1166,28.627,27.8939,28.4692,958681
PPL,2006-01-26,27.699,28.3579,27.5691,28.3579,1591049
PPL,2006-01-27,27.8382,28.1073,27.7083,27.7176,832488
PPL,2006-01-30,27.5784,27.8846,27.5506,27.8846,755974
PPL,2006-01-31,27.9589,27.9774,27.3464,27.467,1508501
PPL,2006-02-01,28.8311,29.3693,28.0702,28.1166,3820179
PPL,2006-02-02,28.9332,28.9796,28.3857,28.8404,2202619
PPL,2006-02-03,28.2651,28.7105,28.2094,28.6734,1518092
PPL,2006-02-06,28.4414,28.5249,28.1444,28.2372,1112786
PPL,2006-02-07,27.9496,28.4043,27.8568,28.3671,1391252
PPL,2006-02-08,27.8753,27.9589,27.6619,27.9589,930447
PPL,2006-02-09,28.0238,28.3208,27.7176,27.8939,1238333
PPL,2006-02-10,27.7918,28.3579,27.7269,27.9403,1295772
PPL,2006-02-13,27.7176,27.9589,27.7176,27.9032,605534
PPL,2006-02-14,27.7825,27.8661,27.3186,27.7176,1394808
PPL,2006-02-15,28.0145,28.2001,27.7361,27.7825,1277128
PPL,2006-02-16,28.5342,28.5342,27.9589,27.996,1132830
PPL,2006-02-17,28.6455,28.794,28.4135,28.5806,1029699
PPL,2006-02-20,28.6455,28.794,28.4135,28.5806,0
PPL,2006-02-21,28.7662,28.9796,28.7105,28.8033,1350948
PPL,2006-02-22,29.0538,29.1002,28.7198,28.961,994891
PPL,2006-02-23,28.8311,29.1188,28.8311,29.026,955879
PPL,2006-02-24,29.1188,29.2301,28.7754,28.9425,1229819
PPL,2006-02-27,29.4621,29.5456,29.1559,29.3044,1147702
PPL,2006-02-28,29.5085,29.5642,29.0817,29.3044,3118841
PPL,2006-03-01,29.3044,29.6941,29.2301,29.5271,1664761
PPL,2006-03-02,29.6291,29.6477,28.9518,29.1559,1242751
PPL,2006-03-03,29.4992,29.8426,29.3229,29.4621,1539214
PPL,2006-03-06,28.5991,29.6078,28.4971,29.5549,1689224
PPL,2006-03-07,28.2836,28.5527,28.1352,28.4878,1946675
PPL,2006-03-08,28.395,28.7012,27.5134,28.0516,4021485
PPL,2006-03-09,28.1352,28.5527,28.0702,28.4785,1341033
PPL,2006-03-10,28.562,28.6548,28.0748,28.3115,1158910
PPL,2006-03-13,28.7383,28.859,28.5156,28.627,1028298
PPL,2006-03-14,29.0631,29.1373,28.5657,28.6641,1281331
PPL,2006-03-15,29.0074,29.1466,28.6548,28.9889,1016767
PPL,2006-03-16,29.1373,29.3972,29.0167,29.1559,759962
PPL,2006-03-17,29.0074,29.2301,28.8868,29.0817,1092311
PPL,2006-03-20,28.4692,29.1837,28.4599,29.1281,1321420
PPL,2006-03-21,27.8939,28.5991,27.8939,28.4785,1731360
