Symbol,Date,Close,High,Low,Open,Volume
PRU,2006-01-02,73.19,73.84,72.84,73.66,0
PRU,2006-01-03,75.69,75.69,74.78,74.78,3495200
PRU,2006-01-04,76.41,76.6,75.93,76.07,2579400
PRU,2006-01-05,75.83,76.4,75.71,76.0,1595700
PRU,2006-01-06,75.75,76.56,75.44,76.5,1984200
PRU,2006-01-09,76.47,76.75,75.49,75.5,1373700
PRU,2006-01-10,75.95,76.4,75.39,76.4,2033799
PRU,2006-01-11,76.52,76.67,76.15,76.48,1535500
PRU,2006-01-12,75.49,76.65,75.42,76.53,1297600
PRU,2006-01-13,75.51,76.09,75.28,75.72,1485000
PRU,2006-01-16,75.51,76.09,75.28,75.72,0
PRU,2006-01-17,75.03,75.14,74.61,75.0,1465300
PRU,2006-01-18,74.59,75.04,74.29,75.03,1785600
PRU,2006-01-19,73.9,74.8,73.86,74.67,2469900
PRU,2006-01-20,73.19,74.08,73.1,73.95,3366700
PRU,2006-01-23,74.43,74.69,72.98,73.25,1978700
PRU,2006-01-24,74.9,75.14,74.2,74.2,1519400
PRU,2006-01-25,74.84,75.18,74.61,74.89,2029399
PRU,2006-01-26,76.33,76.75,75.62,75.71,2316200
PRU,2006-01-27,76.0,77.0,75.93,76.5,1359200
PRU,2006-01-30,75.78,76.01,75.28,75.85,1285400
PRU,2006-01-31,75.34,76.12,75.25,75.79,1686400
PRU,2006-02-01,75.93,76.06,75.19,75.34,1682700
PRU,2006-02-02,75.01,75.8,74.8,75.68,1680200
PRU,2006-02-03,74.62,75.15,74.5,74.51,1607400
PRU,2006-02-06,75.25,75.69,74.34,74.84,1445700
PRU,2006-02-07,74.8,75.29,74.6,75.1,1942900
PRU,2006-02-08,75.64,75.64,75.4,75.4,1561700
PRU,2006-02-09,75.31,75.64,74.07,74.1,3459300
PRU,2006-02-10,75.25,75.6,74.77,75.31,1698300
PRU,2006-02-13,74.61,74.93,74.27,74.75,1787700
PRU,2006-02-14,76.15,76.75,74.8,74.86,2339400
PRU,2006-02-15,75.77,76.49,75.35,75.76,2204600
PRU,2006-02-16,76.06,76.12,75.19,75.52,1475400
PRU,2006-02-17,75.32,76.0,75.14,76.0,1594400
PRU,2006-02-20,75.32,76.0,75.14,76.0,0
PRU,2006-02-21,75.54,75.95,75.11,75.2,1435100
PRU,2006-02-22,76.53,76.65,74.6,74.77,2681300
PRU,2006-02-23,76.55,76.78,75.66,75.93,1497900
PRU,2006-02-24,77.42,77.56,76.8,77.1,1904500
PRU,2006-02-27,77.48,77.65,77.1,77.12,1538300
PRU,2006-02-28,77.04,77.48,76.7,77.04,2212900
PRU,2006-03-01,76.07,77.27,75.97,77.05,1769800
PRU,2006-03-02,75.59,76.02,75.42,75.57,1533800
PRU,2006-03-03,74.73,75.4,74.63,75.05,1940900
PRU,2006-03-06,74.73,75.35,74.427,75.0,1392900
PRU,2006-03-07,75.51,75.51,74.25,74.8,1855500
PRU,2006-03-08,75.76,75.96,74.97,75.4,1765100
PRU,2006-03-09,75.62,76.06,75.36,75.55,1137100
PRU,2006-03-10,76.04,76.46,75.3,75.52,1437600
PRU,2006-03-13,75.26,76.28,75.12,75.91,1356500
PRU,2006-03-14,76.42,76.44,75.0,75.0,1438300
PRU,2006-03-15,77.06,77.06,76.01,76.13,1112200
PRU,2006-03-16,76.37,77.06,76.15,77.06,1256000
PRU,2006-03-17,76.54,76.87,75.73,76.86,2424300
PRU,2006-03-20,77.08,77.29,76.66,77.0,1166700
PRU,2006-03-21,76.26,77.12,76.21,77.12,885000
PRU,2006-03-22,76.37,76.6,74.52,74.52,1019099
PRU,2006-03-23,76.42,76.6,75.57,76.22,1191800
PRU,2006-03-24,76.18,76.79,76.02,76.34,890800
PRU,2006-03-27,77.43,77.62,76.48,76.48,2666800
PRU,2006-03-28,77.22,77.81,76.8,77.4,1969300
PRU,2006-03-29,77.3,77.82,76.82,77.23,1532800
PRU,2006-03-30,76.67,77.88,76.66,77.05,1507600
PRU,2006-03-31,75.81,76.84,75.76,76.59,1488000
PRU,2006-04-03,75.61,76.65,75.46,75.84,1306600
PRU,2006-04-04,76.69,76.9,75.48,75.81,1200200
PRU,2006-04-05,76.98,77.25,76.51,76.69,1061600
PRU,2006-04-06,76.82,77.0,76.41,76.45,1335700
PRU,2006-04-07,76.19,77.34,76.01,76.87,960000
PRU,2006-04-10,75.9,76.42,75.81,76.19,909000
PRU,2006-04-11,75.32,76.14,75.06,75.89,1677400
PRU,2006-04-12,74.92,75.56,74.83,75.06,958900
PRU,2006-04-13,74.82,75.0,74.36,74.9,969100
PRU,2006-04-14,74.82,75.0,74.36,74.9,0
PRU,2006-04-17,74.43,75.0,74.27,74.75,1210800
PRU,2006-04-18,75.85,75.96,74.47,74.51,1638000
PRU,2006-04-19,76.33,76.45,75.55,75.8,1470700
PRU,2006-04-20,76.45,76.53,75.82,75.87,1177400
PRU,2006-04-21,76.38,76.8,76.1,76.79,1045500
PRU,2006-04-24,76.21,76.48,75.72,76.38,841600
PRU,2006-04-25,75.98,76.3,75.83,76.21,960700
PRU,2006-04-26,77.5,77.71,76.25,76.28,1423200
PRU,2006-04-27,78.89,78.9,77.17,77.4,2282100
PRU,2006-04-28,78.13,80.3,78.02,78.9,2694200
PRU,2006-05-01,77.66,79.11,77.2,78.2,1700400
PRU,2006-05-02,78.79,78.87,77.77,77.9,1693800
PRU,2006-05-03,78.58,78.85,77.45,78.25,1895700
PRU,2006-05-04,76.99,78.45,76.94,77.52,2383600
PRU,2006-05-05,78.34,78.59,77.12,77.5,1627200
PRU,2006-05-08,77.37,78.17,77.28,78.0,1605400
PRU,2006-05-09,77.15,77.57,77.1,77.38,908200
PRU,2006-05-10,78.75,78.88,76.75,76.75,1579700
PRU,2006-05-11,77.69,79.5,77.54,79.5,1205800
PRU,2006-05-12,76.84,78.2,76.75,77.77,1453900
PRU,2006-05-15,78.54,78.6,76.92,76.92,1795400
PRU,2006-05-16,78.12,79.0,77.0,77.0,924400
PRU,2006-05-17,76.08,77.85,75.95,77.22,2514600
PRU,2006-05-18,75.5,76.76,75.3,75.3,1399800
PRU,2006-05-19,76.73,76.81,75.51,75.74,1632900
PRU,2006-05-22,75.54,76.73,75.21,76.73,1915100
PRU,2006-05-23,75.6,76.49,75.54,76.2,1512300
PRU,2006-05-24,75.75,76.51,75.16,75.85,1927700
PRU,2006-05-25,75.99,76.8,75.77,76.05,1218100
PRU,2006-05-26,75.78,76.18,75.42,75.89,1442100
PRU,2006-05-29,75.78,76.18,75.42,75.89,0
PRU,2006-05-30,75.03,75.36,74.81,75.02,1871500
PRU,2006-05-31,76.15,76.15,74.85,74.85,2497400
PRU,2006-06-01,77.35,77.38,76.1,76.15,1416000
PRU,2006-06-02,77.73,77.73,77.17,77.23,1402700
PRU,2006-06-05,76.52,77.73,76.52,77.72,1330100
PRU,2006-06-06,77.01,77.34,76.04,77.02,1680900
PRU,2006-06-07,76.78,77.62,76.69,77.39,1303400
PRU,2006-06-08,77.44,77.65,76.32,76.9,2377000
PRU,2006-06-09,77.03,77.79,76.91,77.19,1159200
PRU,2006-06-12,76.01,77.17,76.01,77.02,1791900
PRU,2006-06-13,74.9,76.29,74.9,76.05,2232200
PRU,2006-06-14,74.45,75.31,73.61,74.8,2599000
PRU,2006-06-15,76.22,76.41,74.2,74.45,1561400
PRU,2006-06-16,75.62,76.24,75.26,75.66,1427000
PRU,2006-06-19,75.15,76.39,74.9,75.98,1453600
PRU,2006-06-20,75.74,76.13,75.19,75.3,1495600
PRU,2006-06-21,76.35,76.68,75.38,75.6,1547300
PRU,2006-06-22,75.6,76.31,75.18,76.3,1366700
PRU,2006-06-23,75.38,76.19,75.17,75.26,1097400
PRU,2006-06-26,76.8,76.98,75.26,75.28,1510200
PRU,2006-06-27,75.77,76.8,75.77,76.0,1205500
PRU,2006-06-28,76.22,76.36,75.5,75.77,1507000
PRU,2006-06-29,77.92,77.92,76.51,76.73,1527300
PRU,2006-06-30,77.7,78.1,77.69,78.0,1417800
PRU,2006-07-03,79.06,79.07,77.41,77.77,673500
PRU,2006-07-04,79.06,79.07,77.41,77.77,0
PRU,2006-07-05,78.0,78.64,77.25,78.5,1329100
PRU,2006-07-06,78.11,78.5,77.9,77.9,1216600
PRU,2006-07-07,77.56,78.13,77.56,78.12,934300
PRU,2006-07-10,78.45,78.75,77.81,77.81,1214700
PRU,2006-07-11,79.06,79.16,77.92,78.45,1042800
PRU,2006-07-12,78.26,79.07,78.2,79.07,1426500
PRU,2006-07-13,76.86,78.13,76.86,77.76,1941000
PRU,2006-07-14,76.5,76.71,75.88,76.7,1807900
PRU,2006-07-17,77.04,77.14,76.3,76.45,823500
PRU,2006-07-18,76.57,77.14,75.86,76.8,1439400
PRU,2006-07-19,77.36,78.12,76.57,76.57,2351200
PRU,2006-07-20,77.4,78.14,76.81,76.88,1037400
PRU,2006-07-21,77.74,78.03,76.6,76.6,1452600
PRU,2006-07-24,78.73,78.89,77.95,78.1,1649400
PRU,2006-07-25,78.83,79.3,78.36,78.73,1839600
PRU,2006-07-26,77.97,78.67,77.9103,78.35,1964500
PRU,2006-07-27,77.51,78.53,77.5,78.45,1009700
PRU,2006-07-28,78.71,79.07,78.05,78.05,1063300
PRU,2006-07-31,78.64,78.7,78.02,78.4,1275300
PRU,2006-08-01,78.42,78.89,78.03,78.8,1673700
PRU,2006-08-02,78.28,79.25,78.1,78.35,1585000
PRU,2006-08-03,73.66,75.11,73.47,75.0,7555700
PRU,2006-08-04,72.36,74.3,72.18,73.66,3713200
PRU,2006-08-07,72.06,72.5,71.49,71.5,3249300
PRU,2006-08-08,71.91,73.7,71.91,73.7,3052700
PRU,2006-08-09,71.95,72.77,71.76,72.38,2801000
PRU,2006-08-10,72.29,72.35,71.93,72.05,1875600
PRU,2006-08-11,72.5,72.97,71.84,71.84,1779500
PRU,2006-08-14,71.96,73.49,71.95,73.15,2373800
PRU,2006-08-15,72.6,72.85,71.96,72.12,2789400
PRU,2006-08-16,72.42,73.21,72.12,72.99,2050300
PRU,2006-08-17,72.09,72.72,71.47,72.36,2774600
PRU,2006-08-18,72.98,73.08,72.04,72.13,1450200
PRU,2006-08-21,72.89,73.27,72.746,72.99,1189600
PRU,2006-08-22,71.87,72.92,71.55,72.92,1937200
PRU,2006-08-23,71.98,72.17,71.55,71.95,1540700
PRU,2006-08-24,72.8,72.95,72.24,72.7,1869000
PRU,2006-08-25,72.89,73.43,72.53,72.55,1290200
PRU,2006-08-28,73.72,74.03,72.83,72.89,1132400
PRU,2006-08-29,73.75,73.86,73.39,73.57,1438300
PRU,2006-08-30,73.03,73.88,72.89,73.75,1471900
PRU,2006-08-31,73.41,73.8,72.94,73.0,1563300
PRU,2006-09-01,73.15,73.65,72.86,73.65,1053600
PRU,2006-09-04,73.15,73.65,72.86,73.65,0
PRU,2006-09-05,72.83,73.05,72.6,72.89,1412900
PRU,2006-09-06,72.1,72.9,71.68,72.79,1950000
PRU,2006-09-07,71.47,72.05,71.28,72.05,1989200
PRU,2006-09-08,72.0,72.45,71.76,72.45,2633800
PRU,2006-09-11,73.05,73.8,71.7,71.75,2375800
PRU,2006-09-12,73.09,73.55,72.84,73.55,1957000
PRU,2006-09-13,72.8,73.14,72.6,72.9,1869300
PRU,2006-09-14,73.0,73.26,72.82,72.9,1666900
PRU,2006-09-15,73.94,74.3,73.67,73.94,3551600
PRU,2006-09-18,73.89,74.35,73.36,74.35,1892900
PRU,2006-09-19,73.73,74.1,73.4,74.1,1528000
PRU,2006-09-20,74.9,74.96,73.7,73.9,2630200
PRU,2006-09-21,74.57,75.3,74.24,75.0,2406100
PRU,2006-09-22,75.15,75.49,74.57,74.69,2698100
PRU,2006-09-25,76.09,76.63,75.5,75.77,2534200
PRU,2006-09-26,75.34,76.24,75.32,75.6,2619800
PRU,2006-09-27,75.7,75.86,75.05,75.35,2380100
PRU,2006-09-28,76.92,76.93,75.75,76.08,2383400
PRU,2006-09-29,76.25,76.68,76.16,76.5,1488700
PRU,2006-10-02,76.31,76.37,75.72,76.25,1399100
PRU,2006-10-03,76.03,76.49,75.89,75.98,2451200
PRU,2006-10-04,77.16,77.21,75.87,76.0,2385700
PRU,2006-10-05,77.65,77.66,76.72,76.97,1828900
PRU,2006-10-06,77.38,77.52,76.98,77.3,1171000
PRU,2006-10-09,77.27,77.42,76.89,76.95,1506500
PRU,2006-10-10,76.87,77.39,76.5,77.23,1002999
PRU,2006-10-11,77.63,77.63,76.36,76.64,1620400
PRU,2006-10-12,77.29,78.0,77.21,77.5,1885200
PRU,2006-10-13,77.79,78.3,77.05,77.17,1737200
PRU,2006-10-16,77.45,77.92,77.27,77.51,1117300
PRU,2006-10-17,77.55,77.74,76.83,77.15,1663400
PRU,2006-10-18,78.44,78.47,77.74,77.8,1766500
PRU,2006-10-19,77.92,78.4,77.57,78.04,1638700
PRU,2006-10-20,77.26,78.49,77.09,78.08,1711100
PRU,2006-10-23,77.87,78.03,77.09,77.27,960400
PRU,2006-10-24,77.52,77.89,77.21,77.72,1068900
PRU,2006-10-25,78.36,78.45,77.52,77.98,1773000
PRU,2006-10-26,78.62,78.85,78.03,78.5,1347200
PRU,2006-10-27,77.58,78.37,77.49,78.37,1515700
PRU,2006-10-30,77.54,78.23,77.37,77.59,1395400
PRU,2006-10-31,76.93,78.0,76.54,77.55,2039000
PRU,2006-11-01,76.32,77.22,76.17,77.15,2289600
PRU,2006-11-02,78.93,78.97,77.2,78.23,2957800
PRU,2006-11-03,78.51,79.65,78.27,79.31,1949400
PRU,2006-11-06,79.26,79.42,78.41,78.41,1533800
PRU,2006-11-07,79.44,79.52,78.9901,79.0,1186800
PRU,2006-11-08,79.3,79.55,78.71,79.44,1140700
PRU,2006-11-09,78.1,79.3,78.07,79.16,1644600
PRU,2006-11-10,78.03,78.88,77.92,78.2,1533900
PRU,2006-11-13,79.25,79.44,78.22,78.27,1290200
PRU,2006-11-14,79.58,79.75,78.78,79.75,1392900
PRU,2006-11-15,81.0,81.45,79.65,79.65,3280800
PRU,2006-11-16,82.15,82.25,81.31,81.55,1696600
PRU,2006-11-17,81.54,82.08,81.5,81.8,1239100
PRU,2006-11-20,81.45,81.7,81.17,81.2,2354800
PRU,2006-11-21,80.72,81.56,80.68,81.4,1647800
PRU,2006-11-22,80.47,80.72,79.91,80.02,1214300
PRU,2006-11-23,80.47,80.72,79.91,80.02,0
PRU,2006-11-24,80.29,80.6,80.01,80.01,333400
PRU,2006-11-27,79.26,80.18,79.13,79.91,1743100
PRU,2006-11-28,79.77,80.17,79.15,79.15,1618200
PRU,2006-11-29,80.23,80.23,79.6,80.02,1407400
PRU,2006-11-30,81.48,81.78,80.19,80.23,2213500
PRU,2006-12-01,81.86,81.86,81.0,81.41,2515000
PRU,2006-12-04,82.24,82.33,81.41,82.0,1580100
PRU,2006-12-05,84.28,85.2,82.13,82.23,5371800
PRU,2006-12-06,86.59,86.93,85.38,85.5,7526200
PRU,2006-12-07,86.84,87.18,86.11,86.84,2932100
PRU,2006-12-08,86.24,86.6,85.71,86.56,4142100
PRU,2006-12-11,86.31,86.65,86.06,86.57,1643400
PRU,2006-12-12,86.67,86.95,86.22,86.56,2929700
PRU,2006-12-13,86.09,86.92,85.96,86.7,2234100
PRU,2006-12-14,86.24,86.58,85.8,86.35,1830500
PRU,2006-12-15,86.05,86.66,85.96,86.24,2138400
PRU,2006-12-18,85.43,86.56,85.36,86.3,2199300
PRU,2006-12-19,86.31,86.31,85.84,86.0,2578300
PRU,2006-12-20,86.34,86.48,86.03,86.47,1347200
PRU,2006-12-21,85.31,86.59,85.31,86.58,1695100
PRU,2006-12-22,85.4,86.0,85.18,85.94,1563800
PRU,2006-12-25,85.4,86.0,85.18,85.94,0
PRU,2006-12-26,85.95,86.05,85.4,85.5,1170700
PRU,2006-12-27,86.16,86.48,85.88,86.45,846600
PRU,2006-12-28,85.91,86.3,85.79,85.79,712200
PRU,2006-12-29,85.86,86.19,85.65,85.7,805900
PRU,2007-01-01,85.86,86.19,85.65,85.7,0
PRU,2007-01-02,85.86,86.19,85.65,85.7,0
PRU,2007-01-03,86.25,87.1,85.73,85.97,2299900
PRU,2007-01-04,85.9,86.39,85.49,86.25,1926500
PRU,2007-01-05,85.69,86.25,85.55,85.57,1530000
PRU,2007-01-08,86.22,86.35,85.38,85.54,1481400
PRU,2007-01-09,85.88,86.8,85.44,86.5,2076000
PRU,2007-01-10,86.94,87.12,85.61,85.73,2528200
PRU,2007-01-11,87.78,87.91,86.86,86.86,2201600
PRU,2007-01-12,87.68,87.95,87.1,87.8,1247700
PRU,2007-01-15,87.68,87.95,87.1,87.8,0
PRU,2007-01-16,88.61,88.78,87.54,87.79,2176100
PRU,2007-01-17,87.98,88.5,87.71,88.5,1603400
PRU,2007-01-18,88.05,88.5,87.87,88.47,1667800
PRU,2007-01-19,88.56,88.74,87.85,88.48,1825400
PRU,2007-01-22,88.18,88.56,87.92,88.36,1138200
PRU,2007-01-23,88.16,88.21,87.52,87.98,1350200
PRU,2007-01-24,88.67,88.74,88.12,88.15,1326600
PRU,2007-01-25,87.57,88.55,87.4,88.5,1569300
PRU,2007-01-26,87.95,88.37,87.26,87.58,1252700
PRU,2007-01-29,88.16,88.99,87.9,88.0,1953400
PRU,2007-01-30,88.97,89.0,88.43,88.48,1983000
PRU,2007-01-31,89.13,89.33,88.2,88.45,1846900
PRU,2007-02-01,90.01,90.03,89.05,89.13,2051699
PRU,2007-02-02,90.33,90.7,89.93,90.0,1839000
PRU,2007-02-05,89.86,90.44,89.63,90.44,1425300
PRU,2007-02-06,89.73,90.36,89.51,89.77,1699000
PRU,2007-02-07,90.37,90.37,89.65,89.65,1977800
PRU,2007-02-08,92.14,92.83,91.19,91.5,5207900
PRU,2007-02-09,91.33,92.75,90.79,92.7,2499500
PRU,2007-02-12,91.05,91.65,90.62,91.32,1529154
PRU,2007-02-13,91.73,91.74,90.75,90.79,1475664
PRU,2007-02-14,92.55,92.75,91.5,91.73,1905072
PRU,2007-02-15,91.84,92.15,91.55,92.0,1469500
PRU,2007-02-16,92.51,92.7,91.28,91.4,2753800
PRU,2007-02-19,92.51,92.7,91.28,91.4,0
PRU,2007-02-20,93.1,93.26,92.11,92.51,2385000
PRU,2007-02-21,92.63,93.08,92.4,92.4,1843000
PRU,2007-02-22,92.69,93.03,92.33,92.5,1471900
PRU,2007-02-23,92.45,92.74,92.15,92.47,1421700
PRU,2007-02-26,92.37,92.73,91.89,92.45,1415632
PRU,2007-02-27,90.21,92.36,89.78,92.26,3324900
PRU,2007-02-28,90.94,91.2,90.14,90.21,2976300
PRU,2007-03-01,90.38,90.95,89.28,90.95,3047804
PRU,2007-03-02,89.91,90.72,89.83,90.22,1751800
PRU,2007-03-05,89.28,90.12,89.23,89.74,2421402
PRU,2007-03-06,89.75,89.93,89.28,89.75,2402946
PRU,2007-03-07,89.56,90.2,89.35,89.51,2160600
PRU,2007-03-08,90.29,90.65,89.86,90.0,1567600
PRU,2007-03-09,90.31,90.79,90.02,90.54,1844500
PRU,2007-03-12,90.17,90.35,89.25,89.91,1492600
PRU,2007-03-13,87.91,89.93,87.79,89.78,4226300
PRU,2007-03-14,88.9,88.9,88.0,88.0,3432800
PRU,2007-03-15,89.15,89.47,88.49,88.6,1636200
PRU,2007-03-16,88.65,89.84,88.23,89.36,3860800
PRU,2007-03-19,89.79,89.95,89.15,89.44,2009999
PRU,2007-03-20,90.21,90.41,89.35,89.9,2552662
PRU,2007-03-21,91.14,91.57,89.98,90.16,2710901
PRU,2007-03-22,91.04,91.3,90.61,91.14,1914781
PRU,2007-03-23,91.23,91.6,90.71,90.79,1668159
PRU,2007-03-26,91.05,91.39,90.51,91.23,1998500
PRU,2007-03-27,90.6,91.05,90.28,90.65,1720241
PRU,2007-03-28,89.97,90.54,89.57,89.94,2635399
PRU,2007-03-29,90.11,90.52,89.57,90.19,1857613
PRU,2007-03-30,90.26,90.88,89.62,90.28,1708800
PRU,2007-04-02,90.21,90.54,89.88,90.4,1808700
PRU,2007-04-03,91.41,91.44,90.46,90.46,2112500
PRU,2007-04-04,91.61,91.63,90.92,91.43,1548100
