Symbol,Date,Close,High,Low,Open,Volume
PSA,2006-01-02,67.72,68.5,67.72,68.3,0
PSA,2006-01-03,69.96,70.13,67.72,68.0,488800
PSA,2006-01-04,70.23,70.34,69.7,70.2,252800
PSA,2006-01-05,71.45,72.18,70.37,70.4,601700
PSA,2006-01-06,71.94,71.95,71.09,71.75,428400
PSA,2006-01-09,72.78,72.78,71.78,71.9,356100
PSA,2006-01-10,73.34,73.79,72.3,72.63,417200
PSA,2006-01-11,73.5,74.13,72.91,73.44,482800
PSA,2006-01-12,73.16,73.3,72.42,73.3,325000
PSA,2006-01-13,71.65,73.05,71.39,72.96,343100
PSA,2006-01-16,71.65,73.05,71.39,72.96,0
PSA,2006-01-17,71.45,71.55,69.7,69.7,322800
PSA,2006-01-18,70.69,71.1,69.9,70.45,636000
PSA,2006-01-19,71.65,71.66,70.49,70.5,332000
PSA,2006-01-20,70.29,71.93,70.2,71.62,380000
PSA,2006-01-23,70.92,71.1,70.29,70.29,212300
PSA,2006-01-24,71.33,71.45,70.8,70.91,244000
PSA,2006-01-25,71.51,72.14,71.33,71.5,393500
PSA,2006-01-26,71.5,72.03,71.24,71.7,452900
PSA,2006-01-27,72.65,73.11,71.5,71.5,459400
PSA,2006-01-30,72.02,72.62,71.88,72.57,187000
PSA,2006-01-31,72.57,72.62,71.6,71.78,595200
PSA,2006-02-01,72.72,72.98,72.43,72.47,511399
PSA,2006-02-02,72.23,72.58,72.11,72.4,462200
PSA,2006-02-03,71.1,72.09,70.27,71.3,522599
PSA,2006-02-06,72.63,72.63,71.08,71.1,592300
PSA,2006-02-07,72.9,73.73,72.5,72.76,679200
PSA,2006-02-08,73.25,73.38,72.35,72.87,648900
PSA,2006-02-09,73.92,74.37,72.79,73.35,680400
PSA,2006-02-10,74.21,74.77,73.5,74.6,658500
PSA,2006-02-13,74.48,74.84,74.11,74.35,299100
PSA,2006-02-14,75.0,75.22,73.851,74.48,286900
PSA,2006-02-15,75.53,75.58,74.6,74.85,669900
PSA,2006-02-16,76.02,76.08,75.3,75.4,410700
