Symbol,Date,Close,High,Low,Open,Volume
PVH,2006-01-02,32.4,32.64,32.12,32.43,0
PVH,2006-01-03,31.9,32.55,31.24,32.55,442500
PVH,2006-01-04,31.8,32.17,31.5,31.95,277800
PVH,2006-01-05,32.29,32.33,31.7,31.87,164500
PVH,2006-01-06,32.64,32.64,31.97,32.4,211600
PVH,2006-01-09,33.45,33.58,32.68,32.68,442300
PVH,2006-01-10,36.41,36.65,33.39,33.73,1549300
PVH,2006-01-11,36.59,36.83,36.11,36.4,562200
PVH,2006-01-12,35.9,36.75,35.87,36.53,772900
PVH,2006-01-13,35.63,35.99,35.48,35.83,483100
PVH,2006-01-16,35.63,35.99,35.48,35.83,0
PVH,2006-01-17,34.98,35.84,34.94,35.63,326100
PVH,2006-01-18,34.9,35.47,34.68,34.68,283700
PVH,2006-01-19,34.98,35.06,34.71,35.05,261900
PVH,2006-01-20,34.21,35.06,34.06,35.0,215400
PVH,2006-01-23,34.42,34.81,33.83,34.3,236600
PVH,2006-01-24,35.0,35.05,34.54,34.56,336800
PVH,2006-01-25,34.99,35.0,34.64,34.96,307300
PVH,2006-01-26,34.99,35.07,34.73,35.0,475700
PVH,2006-01-27,35.62,35.71,34.77,34.99,526400
PVH,2006-01-30,35.92,35.95,35.39,35.46,277700
PVH,2006-01-31,36.13,36.13,35.64,35.8,340500
PVH,2006-02-01,37.11,37.4,36.25,36.38,600000
PVH,2006-02-02,35.9,37.0,35.61,37.0,389100
PVH,2006-02-03,36.64,36.77,35.74,35.84,264200
PVH,2006-02-06,36.08,36.64,35.67,36.64,241100
PVH,2006-02-07,35.54,36.28,35.51,36.0,193800
PVH,2006-02-08,36.07,36.17,35.49,35.64,218000
PVH,2006-02-09,35.81,36.28,35.53,36.08,175800
PVH,2006-02-10,35.74,35.89,35.22,35.89,192200
PVH,2006-02-13,35.34,35.86,35.27,35.74,204100
PVH,2006-02-14,36.75,36.88,35.33,35.33,166900
PVH,2006-02-15,36.88,37.01,36.37,36.79,422800
PVH,2006-02-16,36.62,37.0,36.18,37.0,229400
PVH,2006-02-17,36.15,36.69,35.8,36.69,145500
PVH,2006-02-20,36.15,36.69,35.8,36.69,0
PVH,2006-02-21,35.63,36.14,35.25,36.14,141700
PVH,2006-02-22,35.67,35.95,35.28,35.5,283900
PVH,2006-02-23,36.74,37.34,35.55,35.66,256000
PVH,2006-02-24,36.83,36.87,36.1,36.63,97000
PVH,2006-02-27,36.09,37.099,35.96,36.73,310200
PVH,2006-02-28,35.5,36.0,34.77,36.0,560100
PVH,2006-03-01,35.36,35.5,35.12,35.46,417400
PVH,2006-03-02,35.01,35.4,34.97,35.26,306200
PVH,2006-03-03,34.49,34.9,34.43,34.9,387300
PVH,2006-03-06,33.8,34.55,33.54,33.54,332900
PVH,2006-03-07,33.05,33.65,32.91,33.65,457300
PVH,2006-03-08,33.3,33.51,32.82,33.3,636100
PVH,2006-03-09,33.39,33.67,33.3,33.39,300300
PVH,2006-03-10,33.88,33.88,33.29,33.36,251300
PVH,2006-03-13,34.3,34.6,34.0,34.0,222800
PVH,2006-03-14,34.71,34.71,33.83,34.12,165400
PVH,2006-03-15,34.95,34.98,34.34,34.72,120700
PVH,2006-03-16,35.25,35.48,34.9501,35.0,232600
PVH,2006-03-17,34.45,35.07,34.34,34.98,486400
PVH,2006-03-20,35.25,35.37,34.38,34.6,476500
PVH,2006-03-21,38.96,38.96,34.5401,35.5,2048600
PVH,2006-03-22,39.91,40.06,38.68,39.03,584000
PVH,2006-03-23,39.0,39.76,38.59,39.66,630300
PVH,2006-03-24,38.98,39.0,38.5,38.88,218300
PVH,2006-03-27,38.99,39.2,38.73,39.05,251100
PVH,2006-03-28,38.31,38.78,38.0,38.78,254500
PVH,2006-03-29,37.92,38.34,37.73,38.25,308700
PVH,2006-03-30,37.9,38.0,37.38,38.0,214400
PVH,2006-03-31,38.21,38.8,37.72,37.98,441400
PVH,2006-04-03,37.85,38.45,37.59,38.35,287700
PVH,2006-04-04,37.25,37.75,37.05,37.75,409200
PVH,2006-04-05,37.12,37.7,37.09,37.7,389100
PVH,2006-04-06,37.84,37.85,37.05,37.15,345000
PVH,2006-04-07,37.8,38.4799,37.55,38.0,376100
PVH,2006-04-10,37.34,38.1916,37.07,37.95,194800
