Symbol,Date,Close,High,Low,Open,Volume
PWR,2006-01-02,13.17,13.33,13.07,13.28,0
PWR,2006-01-03,13.37,13.49,13.02,13.26,741700
PWR,2006-01-04,13.47,13.7,13.23,13.36,607400
PWR,2006-01-05,13.87,13.96,13.35,13.49,1019099
PWR,2006-01-06,13.89,14.08,13.79,13.97,508800
PWR,2006-01-09,13.9,13.99,13.66,13.86,512000
PWR,2006-01-10,13.71,13.9,13.65,13.77,930300
PWR,2006-01-11,13.58,13.75,13.44,13.69,895800
PWR,2006-01-12,13.26,13.67,13.06,13.49,734400
PWR,2006-01-13,13.19,13.34,12.95,13.28,767800
PWR,2006-01-16,13.19,13.34,12.95,13.28,0
PWR,2006-01-17,12.84,13.1,12.58,13.09,900000
PWR,2006-01-18,12.82,12.84,12.54,12.7,940200
PWR,2006-01-19,12.96,13.02,12.53,12.88,839400
PWR,2006-01-20,12.87,13.06,12.84,13.06,963700
PWR,2006-01-23,12.98,13.12,12.82,12.95,749400
PWR,2006-01-24,13.28,13.31,12.97,12.97,496500
PWR,2006-01-25,13.17,13.32,12.98,13.28,512300
PWR,2006-01-26,13.59,13.65,13.16,13.2,564900
PWR,2006-01-27,13.78,13.94,13.501,13.64,451000
PWR,2006-01-30,13.77,13.92,13.67,13.75,368800
PWR,2006-01-31,13.85,13.95,13.62,13.75,400400
PWR,2006-02-01,13.62,13.9,13.58,13.75,382600
PWR,2006-02-02,13.13,13.54,13.06,13.5,550500
PWR,2006-02-03,12.99,13.2,12.8,13.0,568800
PWR,2006-02-06,12.62,12.88,12.48,12.75,875200
PWR,2006-02-07,12.38,12.78,12.24,12.65,1207400
PWR,2006-02-08,12.75,12.82,12.3,12.39,1022999
PWR,2006-02-09,12.81,13.11,12.75,12.76,450400
PWR,2006-02-10,13.03,13.359,12.75,13.3,660500
PWR,2006-02-13,12.93,13.17,12.86,13.06,776600
PWR,2006-02-14,13.13,13.32,12.73,12.9,484400
PWR,2006-02-15,13.24,13.37,13.04,13.09,331400
PWR,2006-02-16,13.0,13.33,12.8,13.19,980500
PWR,2006-02-17,12.71,13.08,12.24,12.24,752300
PWR,2006-02-20,12.71,13.08,12.24,12.24,0
PWR,2006-02-21,12.31,12.79,12.3,12.69,1732100
PWR,2006-02-22,12.42,12.7,12.31,12.41,2408100
PWR,2006-02-23,12.85,13.06,12.43,12.54,3748700
PWR,2006-02-24,13.37,13.95,13.25,13.85,2759200
PWR,2006-02-27,13.81,13.83,13.41,13.65,1688000
PWR,2006-02-28,13.69,13.95,13.48,13.78,1448700
PWR,2006-03-01,13.96,13.97,13.67,13.69,1909300
PWR,2006-03-02,13.98,14.15,13.79,13.89,1305700
