Symbol,Date,Close,High,Low,Open,Volume
PX,2006-01-02,52.96,53.29,52.92,53.19,0
PX,2006-01-03,53.83,53.9,52.47,53.1,1325800
PX,2006-01-04,53.4,53.59,53.13,53.45,1021400
PX,2006-01-05,53.25,53.5,52.84,53.4,981500
PX,2006-01-06,54.4,54.4,53.7,53.98,1170300
PX,2006-01-09,53.4,54.54,53.26,54.54,1218300
PX,2006-01-10,52.2,52.93,52.02,52.9,1893600
PX,2006-01-11,52.18,52.44,51.6,51.95,1295500
PX,2006-01-12,52.0,52.7,51.92,52.18,1067200
PX,2006-01-13,52.0,52.74,51.97,52.24,955500
PX,2006-01-16,52.0,52.74,51.97,52.24,0
PX,2006-01-17,52.33,52.39,51.7,51.7,1002999
PX,2006-01-18,52.5,52.69,51.96,51.96,1130700
PX,2006-01-19,53.8,54.14,52.0,52.0,1596200
PX,2006-01-20,52.13,53.5,52.05,53.45,1578500
PX,2006-01-23,52.49,52.94,51.95,52.2,802700
PX,2006-01-24,53.41,53.6,52.82,52.83,1315000
PX,2006-01-25,51.85,53.0,50.36,50.36,2191700
PX,2006-01-26,52.37,52.97,52.37,52.6,1884400
PX,2006-01-27,52.44,52.75,51.86,52.35,2294200
PX,2006-01-30,52.11,52.82,52.05,52.38,1231500
PX,2006-01-31,52.68,53.03,52.26,52.31,1283800
PX,2006-02-01,52.87,53.1,52.23,52.35,1776000
PX,2006-02-02,51.79,52.68,51.16,52.51,1550300
PX,2006-02-03,51.05,51.69,50.95,51.3,1870800
PX,2006-02-06,51.94,52.07,51.15,51.25,1790000
PX,2006-02-07,50.97,52.62,50.95,52.25,1406300
PX,2006-02-08,50.95,51.4,50.825,51.05,1530600
PX,2006-02-09,51.13,52.06,51.05,51.07,1160800
PX,2006-02-10,51.51,51.64,50.65,51.26,1029500
PX,2006-02-13,51.19,51.45,50.85,51.25,1133800
PX,2006-02-14,53.08,53.37,51.33,51.4,1756400
PX,2006-02-15,53.2,53.44,52.53,52.85,1546400
PX,2006-02-16,53.48,53.48,52.76,53.2,1248000
PX,2006-02-17,54.01,54.2,53.25,53.48,1081100
PX,2006-02-20,54.01,54.2,53.25,53.48,0
PX,2006-02-21,53.63,54.38,53.52,54.24,1054800
PX,2006-02-22,54.7,54.99,54.02,54.3,2116500
PX,2006-02-23,54.75,54.85,53.96,54.38,1212000
PX,2006-02-24,54.16,54.68,53.88,54.66,1042600
PX,2006-02-27,55.24,55.94,54.27,54.3,1647800
PX,2006-02-28,53.98,54.99,53.95,54.9,1682800
PX,2006-03-01,54.85,55.05,54.12,54.23,835000
PX,2006-03-02,54.7,54.89,54.24,54.55,1024200
PX,2006-03-03,54.83,55.476,54.19,54.24,1001900
PX,2006-03-06,54.26,55.0,53.72,54.93,943400
PX,2006-03-07,54.44,54.92,54.1,54.41,926700
PX,2006-03-08,53.95,55.1,53.3,54.85,1532700
PX,2006-03-09,53.45,54.57,53.45,53.75,811600
PX,2006-03-10,55.06,55.31,54.13,54.25,1590700
PX,2006-03-13,55.16,55.65,54.96,55.4,1223900
