Symbol,Date,Close,High,Low,Open,Volume
QCOM,2006-01-02,43.08,43.5,42.98,43.23,0
QCOM,2006-01-03,44.0,44.35,42.91,43.25,15655469
QCOM,2006-01-04,45.43,45.49,43.93,44.0,16490378
QCOM,2006-01-05,45.21,45.68,45.002,45.23,10590218
QCOM,2006-01-06,47.36,47.39,45.36,45.55,26502827
QCOM,2006-01-09,47.57,47.7,46.91,46.94,14498350
QCOM,2006-01-10,47.36,48.0,47.09,47.16,12703621
QCOM,2006-01-11,48.801,49.45,47.3,47.55,19616324
QCOM,2006-01-12,49.0,49.3,48.27,48.6,16408107
QCOM,2006-01-13,48.64,49.0,48.06,48.92,11629057
QCOM,2006-01-16,48.64,49.0,48.06,48.92,0
QCOM,2006-01-17,48.12,48.33,47.31,47.42,12897255
QCOM,2006-01-18,47.75,48.48,47.4,47.42,12862603
QCOM,2006-01-19,48.67,48.72,47.61,48.22,14105140
QCOM,2006-01-20,46.96,48.68,46.53,48.52,20791747
QCOM,2006-01-23,46.92,47.19,46.499,47.16,10664816
QCOM,2006-01-24,48.07,48.3,46.96,47.25,13720669
QCOM,2006-01-25,47.58,48.6,47.11,48.22,16270295
QCOM,2006-01-26,47.5,48.09,46.5,46.74,19219456
QCOM,2006-01-27,48.02,48.17,47.1,47.56,14391069
QCOM,2006-01-30,48.57,48.8,47.91,48.09,11972796
QCOM,2006-01-31,47.96,48.86,47.54,48.37,12499354
QCOM,2006-02-01,47.93,48.3,47.13,47.33,12258357
QCOM,2006-02-02,46.88,47.91,46.87,47.59,9670349
QCOM,2006-02-03,46.08,46.8,45.75,46.55,11511912
QCOM,2006-02-06,45.93,46.34,45.51,45.82,8691319
QCOM,2006-02-07,45.73,46.12,45.08,45.85,11808998
QCOM,2006-02-08,46.97,47.13,45.81,45.85,11580463
QCOM,2006-02-09,46.16,47.32,46.06,47.05,9602445
QCOM,2006-02-10,46.66,46.8,45.74,46.4,8678134
QCOM,2006-02-13,45.95,46.52,45.48,46.3,9197241
QCOM,2006-02-14,47.6,47.96,46.09,46.36,16862318
QCOM,2006-02-15,47.33,47.96,46.75,47.27,12483631
QCOM,2006-02-16,48.1,48.11,47.0,47.49,13715666
QCOM,2006-02-17,48.31,48.88,47.68,47.75,14691986
QCOM,2006-02-20,48.31,48.88,47.68,47.75,0
QCOM,2006-02-21,46.94,48.19,46.71,48.08,11713593
QCOM,2006-02-22,47.78,48.48,46.85,47.0,11220105
QCOM,2006-02-23,46.93,47.67,46.85,47.47,8309915
QCOM,2006-02-24,47.19,47.28,46.58,47.09,6872526
QCOM,2006-02-27,48.35,48.49,46.97,47.13,11060435
QCOM,2006-02-28,47.16,48.4,46.99,48.17,13654647
QCOM,2006-03-01,48.03,48.29,46.79,47.23,10536098
QCOM,2006-03-02,47.83,48.76,47.24,47.35,12701019
QCOM,2006-03-03,47.63,48.74,47.27,47.455,10978068
QCOM,2006-03-06,47.24,48.36,47.1,47.55,12338963
QCOM,2006-03-07,48.42,48.42,47.86,47.89,23360696
QCOM,2006-03-08,49.53,49.88,47.7,47.96,26858852
QCOM,2006-03-09,48.1,49.94,48.03,49.56,16988568
QCOM,2006-03-10,48.0,48.65,47.5,47.97,11744759
QCOM,2006-03-13,48.21,48.83,47.95,48.65,10252060
QCOM,2006-03-14,49.25,49.37,48.0,48.1,12796885
QCOM,2006-03-15,49.84,49.84,49.41,49.41,12753313
QCOM,2006-03-16,49.87,51.18,49.87,50.31,23558676
QCOM,2006-03-17,50.77,50.98,49.92,49.96,19107254
QCOM,2006-03-20,50.31,50.96,50.2,50.635,9544033
QCOM,2006-03-21,49.59,51.0,49.51,49.765,17300295
QCOM,2006-03-22,49.75,50.19,49.32,49.46,11450894
QCOM,2006-03-23,49.58,49.9,49.15,49.68,9932863
QCOM,2006-03-24,49.35,50.2,48.89,49.69,10012656
QCOM,2006-03-27,49.71,50.14,49.44,49.48,8227976
QCOM,2006-03-28,49.36,50.53,49.17,49.58,12662210
QCOM,2006-03-29,50.72,51.1,49.52,49.62,15375028
QCOM,2006-03-30,50.85,51.75,50.75,50.935,13300516
QCOM,2006-03-31,50.61,51.41,50.43,51.16,11159901
QCOM,2006-04-03,51.18,51.72,51.03,51.14,13742406
QCOM,2006-04-04,51.81,51.96,51.03,51.04,13854427
QCOM,2006-04-05,51.67,51.8,51.18,51.69,9702669
QCOM,2006-04-06,51.76,51.99,51.16,51.75,9917042
QCOM,2006-04-07,51.96,52.48,51.73,51.91,14099261
QCOM,2006-04-10,51.58,52.07,51.0,51.78,7184138
QCOM,2006-04-11,51.39,52.03,50.91,51.63,10969919
QCOM,2006-04-12,50.97,51.7,50.97,51.64,7200438
QCOM,2006-04-13,51.48,51.84,50.93,50.93,7667722
QCOM,2006-04-14,51.48,51.84,50.93,50.93,0
QCOM,2006-04-17,51.02,51.93,50.63,51.42,9383288
QCOM,2006-04-18,52.03,52.49,51.32,51.38,11882566
QCOM,2006-04-19,52.5,52.58,51.85,52.49,13309289
QCOM,2006-04-20,51.84,52.4,51.2,52.31,13348283
QCOM,2006-04-21,51.39,52.1,50.91,51.72,14762534
QCOM,2006-04-24,52.3,52.49,51.06,51.07,14344739
QCOM,2006-04-25,51.5,52.45,51.25,52.45,10145650
QCOM,2006-04-26,51.08,51.87,50.84,51.6,8758051
QCOM,2006-04-27,52.03,52.46,50.77,50.77,12216850
QCOM,2006-04-28,51.34,52.24,51.32,52.205,7911917
QCOM,2006-05-01,50.65,51.71,50.28,51.46,10929482
QCOM,2006-05-02,51.078,51.36,50.39,50.7,8646762
QCOM,2006-05-03,51.75,52.24,51.05,52.24,17783631
QCOM,2006-05-04,52.34,53.01,51.95,52.02,15703147
QCOM,2006-05-05,52.56,53.0,52.31,52.71,9736442
QCOM,2006-05-08,52.66,52.75,52.12,52.36,8853266
QCOM,2006-05-09,52.74,52.99,52.6,52.775,6448997
QCOM,2006-05-10,51.66,52.68,51.42,52.47,10460446
QCOM,2006-05-11,49.4,51.74,48.82,51.53,20299718
QCOM,2006-05-12,48.99,49.63,48.55,49.34,14965752
QCOM,2006-05-15,48.63,48.81,47.36,48.56,18582014
QCOM,2006-05-16,48.19,49.5,47.99,48.75,14064290
QCOM,2006-05-17,46.9,47.81,46.24,46.33,21847879
QCOM,2006-05-18,46.36,47.7,46.28,47.25,15271404
QCOM,2006-05-19,47.07,47.7,46.0,46.3,22455677
QCOM,2006-05-22,46.63,47.18,46.1,46.45,14249470
QCOM,2006-05-23,45.38,47.17,45.38,46.89,16187355
QCOM,2006-05-24,45.59,45.88,44.1,45.12,22851784
QCOM,2006-05-25,46.06,46.4,45.4,46.0,13154337
QCOM,2006-05-26,46.03,46.43,45.6,46.23,9143296
QCOM,2006-05-29,46.03,46.43,45.6,46.23,0
QCOM,2006-05-30,44.72,45.9,44.7187,45.61,14934321
QCOM,2006-05-31,45.21,45.46,44.46,44.73,12946208
QCOM,2006-06-01,47.05,47.05,44.79,45.2,15421843
QCOM,2006-06-02,47.0,47.77,46.46,47.6,11670568
QCOM,2006-06-05,45.68,46.97,45.66,46.665,11207223
QCOM,2006-06-06,46.17,46.47,45.51,45.68,13497773
QCOM,2006-06-07,45.48,46.73,45.34,46.36,12207026
QCOM,2006-06-08,44.45,45.11,42.24,44.81,27773249
QCOM,2006-06-09,43.44,45.42,43.04,45.0,17767956
QCOM,2006-06-12,41.19,43.5,41.05,43.27,23386436
QCOM,2006-06-13,41.84,42.92,41.57,42.71,37169980
QCOM,2006-06-14,43.25,43.3,41.92,42.21,20251327
QCOM,2006-06-15,44.89,45.0,43.45,43.65,19190253
QCOM,2006-06-16,43.95,45.0,43.02,44.74,26240247
QCOM,2006-06-19,43.39,44.39,43.04,44.305,14534435
QCOM,2006-06-20,43.91,44.4,43.1,43.625,13257883
QCOM,2006-06-21,44.2,45.0,43.81,44.04,15616770
QCOM,2006-06-22,41.38,43.9,41.22,43.87,34791601
QCOM,2006-06-23,39.5,40.32,38.77,40.21,52761369
QCOM,2006-06-26,40.09,40.66,39.7,40.0,16710141
QCOM,2006-06-27,38.69,40.38,38.54,39.9,16197288
QCOM,2006-06-28,39.47,39.53,38.57,38.97,13477022
QCOM,2006-06-29,40.54,40.78,38.94,39.98,19770579
QCOM,2006-06-30,40.07,40.92,39.91,40.74,12088178
QCOM,2006-07-03,39.46,39.72,39.15,39.47,7048464
QCOM,2006-07-04,39.46,39.72,39.15,39.47,0
QCOM,2006-07-05,38.17,39.41,37.92,39.38,18713528
QCOM,2006-07-06,38.47,38.64,37.91,38.18,13280379
QCOM,2006-07-07,38.0,38.51,37.64,38.15,12607907
QCOM,2006-07-10,37.8,38.23,37.1,38.15,14534217
QCOM,2006-07-11,38.87,39.0,37.39,37.56,19020693
QCOM,2006-07-12,37.55,39.03,37.19,38.775,13948969
QCOM,2006-07-13,36.56,37.85,36.55,37.17,15438742
QCOM,2006-07-14,36.37,37.09,35.73,36.495,15641958
QCOM,2006-07-17,36.56,37.39,36.29,36.99,14354442
QCOM,2006-07-18,37.5,37.5,36.75,36.75,14300490
QCOM,2006-07-19,36.73,37.79,36.42,37.4,28736175
QCOM,2006-07-20,35.85,37.27,35.59,36.26,36106717
QCOM,2006-07-21,34.44,35.15,34.11,35.0,25820318
