Symbol,Date,Close,High,Low,Open,Volume
RAD,2006-01-02,3.48,3.48,3.4,3.44,0
RAD,2006-01-03,3.46,3.5,3.45,3.47,3844700
RAD,2006-01-04,3.48,3.49,3.41,3.46,2924400
RAD,2006-01-05,3.47,3.49,3.45,3.46,2157700
RAD,2006-01-06,3.59,3.62,3.47,3.47,3484500
RAD,2006-01-09,3.58,3.63,3.55,3.62,2643600
RAD,2006-01-10,3.69,3.78,3.61,3.63,7923100
RAD,2006-01-11,3.73,3.76,3.7,3.72,3813300
RAD,2006-01-12,3.71,3.76,3.66,3.71,6352200
RAD,2006-01-13,3.66,3.71,3.64,3.68,1786100
RAD,2006-01-16,3.66,3.71,3.64,3.68,0
RAD,2006-01-17,3.61,3.65,3.57,3.61,2217400
RAD,2006-01-18,3.57,3.63,3.55,3.56,1261400
RAD,2006-01-19,3.59,3.64,3.55,3.57,5074700
RAD,2006-01-20,3.58,3.6,3.56,3.57,2251200
RAD,2006-01-23,3.51,3.58,3.47,3.58,6369000
RAD,2006-01-24,3.59,3.6,3.51,3.51,2747700
RAD,2006-01-25,3.72,3.76,3.57,3.58,3946500
RAD,2006-01-26,3.72,3.74,3.66,3.73,1729900
RAD,2006-01-27,3.72,3.76,3.68,3.73,2135800
RAD,2006-01-30,3.6,3.68,3.59,3.65,2515000
RAD,2006-01-31,3.59,3.62,3.56,3.59,2988100
RAD,2006-02-01,3.63,3.67,3.57,3.57,3115600
RAD,2006-02-02,3.63,3.65,3.57,3.63,3439700
RAD,2006-02-03,3.7,3.71,3.62,3.63,2369300
RAD,2006-02-06,3.59,3.69,3.56,3.67,2536200
RAD,2006-02-07,3.54,3.59,3.53,3.57,2421500
RAD,2006-02-08,3.53,3.56,3.5,3.55,2408000
RAD,2006-02-09,3.56,3.58,3.52,3.52,3097700
RAD,2006-02-10,3.53,3.57,3.52,3.54,1885500
RAD,2006-02-13,3.51,3.54,3.49,3.52,2343800
RAD,2006-02-14,3.52,3.54,3.49,3.51,3560600
RAD,2006-02-15,3.51,3.54,3.49,3.5,5256600
RAD,2006-02-16,3.53,3.53,3.49,3.51,4482600
RAD,2006-02-17,3.54,3.58,3.5,3.52,4430400
RAD,2006-02-20,3.54,3.58,3.5,3.52,0
RAD,2006-02-21,3.56,3.57,3.51,3.52,4875800
RAD,2006-02-22,3.64,3.68,3.58,3.6,3404400
RAD,2006-02-23,3.66,3.75,3.61,3.75,2991100
