Symbol,Date,Close,High,Low,Open,Volume
RCL,2006-01-02,45.06,45.14,44.75,45.05,0
RCL,2006-01-03,44.96,45.48,44.33,45.48,1759300
RCL,2006-01-04,44.8,45.3,44.38,45.19,1315600
RCL,2006-01-05,44.72,44.87,44.51,44.82,953700
RCL,2006-01-06,45.1,45.22,44.8,45.05,1117700
RCL,2006-01-09,45.49,45.49,45.16,45.25,731700
RCL,2006-01-10,45.21,45.28,44.75,45.01,735100
RCL,2006-01-11,44.85,45.38,44.84,45.21,1115200
RCL,2006-01-12,45.31,45.35,44.66,44.69,1344300
RCL,2006-01-13,45.75,45.94,45.3,45.31,681100
RCL,2006-01-16,45.75,45.94,45.3,45.31,0
RCL,2006-01-17,44.46,45.71,44.4,45.7,1750900
RCL,2006-01-18,43.67,43.96,42.28,43.79,3614900
RCL,2006-01-19,42.9,43.17,42.66,42.84,1497300
RCL,2006-01-20,41.86,42.81,41.72,42.8,1696600
RCL,2006-01-23,41.84,42.45,41.7,42.27,898800
RCL,2006-01-24,41.9,42.25,41.59,42.04,1171700
RCL,2006-01-25,42.31,42.7,42.14,42.63,1108900
RCL,2006-01-26,41.97,42.75,41.72,42.61,1152300
RCL,2006-01-27,41.3,41.88,41.27,41.66,1111300
RCL,2006-01-30,41.27,41.5,41.15,41.3,1763800
RCL,2006-01-31,40.9,41.49,40.9,41.43,1324400
RCL,2006-02-01,41.56,41.829,40.59,40.88,2183100
RCL,2006-02-02,43.98,44.22,43.01,43.4,4847100
RCL,2006-02-03,44.3,44.41,43.73,43.77,1189400
RCL,2006-02-06,44.39,44.7,44.12,44.19,1343000
RCL,2006-02-07,43.49,44.35,43.41,44.2,934900
RCL,2006-02-08,43.6,43.65,42.84,43.47,2044800
RCL,2006-02-09,44.09,44.09,43.58,43.78,1638100
RCL,2006-02-10,44.34,44.44,43.98,44.1,1704800
RCL,2006-02-13,44.63,44.74,44.2,44.34,1454400
RCL,2006-02-14,45.66,45.85,44.48,44.58,2755900
RCL,2006-02-15,46.35,46.77,45.49,45.65,1783800
RCL,2006-02-16,46.61,46.67,46.02,46.15,845000
RCL,2006-02-17,45.9,46.72,45.79,46.4,2196500
RCL,2006-02-20,45.9,46.72,45.79,46.4,0
RCL,2006-02-21,45.0,45.37,44.26,44.6,2496900
RCL,2006-02-22,45.0,45.2,44.87,45.0,1883000
RCL,2006-02-23,44.87,45.04,44.76,45.0,1856800
RCL,2006-02-24,44.5,44.87,44.44,44.86,1082200
RCL,2006-02-27,44.41,44.55,44.25,44.43,2134000
RCL,2006-02-28,44.06,44.35,43.99,44.35,1384700
RCL,2006-03-01,44.75,44.75,44.03,44.1,1548300
RCL,2006-03-02,44.55,44.61,44.13,44.13,1296400
RCL,2006-03-03,44.69,44.9,44.27,44.45,1135100
RCL,2006-03-06,43.73,44.76,43.6,44.69,1422600
RCL,2006-03-07,43.58,43.74,43.11,43.5,1533300
RCL,2006-03-08,43.2,43.7,43.16,43.42,1330500
RCL,2006-03-09,42.76,43.48,42.67,43.45,1184100
RCL,2006-03-10,43.09,43.41,42.93,43.02,1458400
RCL,2006-03-13,43.77,43.87,43.19,43.19,724100
RCL,2006-03-14,43.72,44.07,43.6,43.77,1073900
RCL,2006-03-15,43.53,43.93,43.3,43.88,1010999
RCL,2006-03-16,42.28,43.02,42.03,43.01,3231800
