Symbol,Date,Close,High,Low,Open,Volume
RE,2006-01-02,100.35,101.27,99.68,101.26,0
RE,2006-01-03,100.81,100.97,98.05,100.6,727900
RE,2006-01-04,101.05,102.66,100.58,100.9,460900
RE,2006-01-05,100.64,101.47,100.211,101.3,263100
RE,2006-01-06,102.29,102.34,100.8,100.89,284000
RE,2006-01-09,102.04,102.39,101.61,102.2,375300
RE,2006-01-10,102.24,102.71,101.49,101.79,359500
RE,2006-01-11,103.03,103.26,102.0,102.43,293800
RE,2006-01-12,101.66,103.08,101.65,103.04,192800
RE,2006-01-13,99.45,100.66,98.54,98.6,587900
RE,2006-01-16,99.45,100.66,98.54,98.6,0
RE,2006-01-17,99.26,99.73,98.75,99.42,344500
RE,2006-01-18,98.42,99.06,97.65,99.06,386600
RE,2006-01-19,97.44,98.26,97.16,97.9,423200
RE,2006-01-20,95.42,97.74,95.3,97.4,473100
RE,2006-01-23,95.03,96.29,94.88,95.58,328400
RE,2006-01-24,95.8,96.04,94.97,95.19,479300
RE,2006-01-25,95.87,97.98,95.83,96.8,726400
RE,2006-01-26,97.25,97.78,95.86,95.86,624800
RE,2006-01-27,98.74,99.25,97.73,98.25,726900
RE,2006-01-30,100.02,100.45,99.31,100.0,783200
RE,2006-01-31,96.65,98.01,95.83,98.0,1559100
RE,2006-02-01,98.4,98.61,97.5,97.65,751700
RE,2006-02-02,98.26,98.55,97.32,98.0,563700
RE,2006-02-03,97.64,98.32,97.46,98.26,431700
RE,2006-02-06,97.45,98.08,97.07,97.8,200500
RE,2006-02-07,97.6,98.41,97.28,97.85,692400
RE,2006-02-08,97.53,97.74,97.15,97.59,570300
RE,2006-02-09,97.46,98.29,97.05,97.1,447800
RE,2006-02-10,97.42,97.87,97.16,97.3,235500
RE,2006-02-13,97.33,97.62,96.5,97.45,167300
RE,2006-02-14,99.5,99.95,97.57,97.63,485600
RE,2006-02-15,100.29,101.14,99.21,100.15,441800
RE,2006-02-16,100.54,100.61,99.65,100.39,207700
RE,2006-02-17,99.37,100.75,99.3,100.65,219200
RE,2006-02-20,99.37,100.75,99.3,100.65,0
RE,2006-02-21,99.18,99.49,98.04,98.77,369600
RE,2006-02-22,100.75,100.81,99.15,99.18,243100
RE,2006-02-23,99.44,100.5,99.14,100.5,221400
RE,2006-02-24,100.18,100.44,98.55,98.92,351500
RE,2006-02-27,100.0,100.59,99.5,100.18,218100
RE,2006-02-28,99.04,100.01,98.51,99.75,285200
RE,2006-03-01,98.28,99.41,98.11,99.25,518200
RE,2006-03-02,99.47,99.52,97.6,98.16,450800
RE,2006-03-03,97.72,99.37,97.52,99.22,528700
RE,2006-03-06,96.8,97.886,96.57,97.8,421200
RE,2006-03-07,96.87,97.65,96.47,96.85,270500
RE,2006-03-08,96.55,97.49,95.86,96.62,277000
RE,2006-03-09,96.66,98.19,96.44,96.79,230000
RE,2006-03-10,96.45,97.19,95.01,96.52,246300
RE,2006-03-13,96.36,97.19,96.21,96.55,199700
RE,2006-03-14,96.61,96.8,96.0,96.5,267000
RE,2006-03-15,96.28,96.85,95.23,96.85,468600
RE,2006-03-16,96.33,96.7,95.79,96.55,294200
RE,2006-03-17,96.04,96.3,95.65,96.1,565000
RE,2006-03-20,95.87,96.19,95.1,95.1,226000
RE,2006-03-21,95.21,96.32,94.9,95.8,382100
RE,2006-03-22,95.0,95.8,94.48,95.33,398400
RE,2006-03-23,92.84,94.75,92.2,94.75,694300
RE,2006-03-24,92.21,92.84,92.02,92.84,448400
RE,2006-03-27,91.51,92.77,90.61,92.22,1030500
RE,2006-03-28,91.55,92.56,91.25,91.35,541400
RE,2006-03-29,92.64,93.05,90.63,90.63,484700
RE,2006-03-30,92.44,92.75,92.09,92.5,285100
RE,2006-03-31,93.37,93.57,92.15,92.15,454200
RE,2006-04-03,93.8,94.64,92.82,93.62,457400
RE,2006-04-04,93.77,94.35,93.12,93.9,344900
RE,2006-04-05,94.06,94.72,93.69,93.72,222200
RE,2006-04-06,93.7,94.3,93.3,94.06,181200
RE,2006-04-07,93.14,94.13,92.56,93.95,262200
RE,2006-04-10,92.76,93.59,92.58,93.14,257799
RE,2006-04-11,91.73,93.25,91.34,92.96,302300
RE,2006-04-12,91.22,92.67,90.81,91.6,344800
RE,2006-04-13,91.2,91.39,90.21,91.0,359100
RE,2006-04-14,91.2,91.39,90.21,91.0,0
RE,2006-04-17,91.02,91.83,90.63,91.2,107900
RE,2006-04-18,91.76,93.26,91.27,91.33,987700
RE,2006-04-19,93.26,93.28,91.66,91.66,749000
RE,2006-04-20,93.27,93.32,92.61,93.2,389800
RE,2006-04-21,92.89,93.82,92.05,93.51,312800
RE,2006-04-24,93.89,93.99,92.64,93.5,640400
RE,2006-04-25,90.0,91.3,87.0,89.0,2125300
RE,2006-04-26,90.02,90.5,89.7,90.01,1211600
RE,2006-04-27,89.08,89.92,88.71,89.5,502000
RE,2006-04-28,91.0,91.8,90.18,91.5,716700
RE,2006-05-01,90.3,91.53,89.9,91.1,610800
RE,2006-05-02,90.75,90.77,89.94,90.52,428800
RE,2006-05-03,89.25,91.65,88.89,90.75,655500
RE,2006-05-04,90.79,90.95,89.45,89.7,409500
RE,2006-05-05,92.01,92.14,90.48,91.04,505300
RE,2006-05-08,92.68,93.14,91.7,91.7,451400
RE,2006-05-09,92.8,93.03,92.5,92.5,415600
RE,2006-05-10,93.3,93.9,92.55,92.55,517800
