Symbol,Date,Close,High,Low,Open,Volume
REG,2006-01-02,58.95,58.95,58.09,58.14,0
REG,2006-01-03,60.47,60.53,58.63,59.2,450800
REG,2006-01-04,60.85,60.85,60.22,60.25,495000
REG,2006-01-05,61.51,61.82,60.78,61.0,423100
REG,2006-01-06,62.66,62.66,61.61,61.76,272900
REG,2006-01-09,63.08,63.16,62.6,62.69,250300
REG,2006-01-10,64.34,64.74,62.85,62.88,1109200
REG,2006-01-11,63.97,64.25,63.79,63.85,854300
REG,2006-01-12,64.2,64.22,63.58,63.99,310600
REG,2006-01-13,62.56,64.17,62.41,63.99,274000
REG,2006-01-16,62.56,64.17,62.41,63.99,0
REG,2006-01-17,62.67,62.78,61.91,62.08,350600
REG,2006-01-18,63.03,63.2,62.4,62.46,282800
REG,2006-01-19,64.32,64.35,63.11,63.11,243300
REG,2006-01-20,63.62,64.47,63.6,64.29,261100
REG,2006-01-23,63.75,64.1,63.56,63.62,177700
REG,2006-01-24,64.35,64.64,63.86,63.9,241500
REG,2006-01-25,63.7,64.8,63.7,64.44,211500
REG,2006-01-26,63.77,63.98,63.31,63.72,275000
REG,2006-01-27,64.63,64.81,63.61,63.85,444500
REG,2006-01-30,64.35,64.52,63.78,64.52,239700
REG,2006-01-31,64.45,64.48,63.85,64.2,438000
REG,2006-02-01,64.72,64.81,64.1,64.2,250900
REG,2006-02-02,64.2,64.6,63.73,64.6,243300
REG,2006-02-03,63.53,64.16,62.63,63.7,418800
REG,2006-02-06,63.55,63.69,63.12,63.42,202800
REG,2006-02-07,62.84,63.52,62.56,63.49,204100
REG,2006-02-08,62.07,62.86,61.69,62.8,288300
REG,2006-02-09,62.35,62.69,62.05,62.23,205600
REG,2006-02-10,62.1,62.62,61.85,62.25,236900
REG,2006-02-13,61.83,62.68,61.43,62.29,233700
REG,2006-02-14,62.42,62.64,61.16,61.83,3103600
REG,2006-02-15,62.86,62.93,62.1,62.33,204200
REG,2006-02-16,63.05,63.09,62.73,62.85,136100
REG,2006-02-17,63.24,63.24,62.59,63.12,275100
REG,2006-02-20,63.24,63.24,62.59,63.12,0
REG,2006-02-21,63.63,63.82,62.76,63.1,189700
REG,2006-02-22,64.7,64.83,63.24,63.3,249100
REG,2006-02-23,64.66,64.73,63.9,64.7,264500
REG,2006-02-24,64.52,64.74,64.2,64.53,259400
REG,2006-02-27,64.69,64.77,64.02,64.5,189500
REG,2006-02-28,64.5,64.71,63.88,64.65,324300
REG,2006-03-01,65.0,65.06,64.16,64.65,256900
REG,2006-03-02,64.91,65.06,64.54,64.89,255800
